time,Miami,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Grant vs. A. Stoudemire (G. Dragic gains possession),,,,Jump ball: J. Grant vs. A. Stoudemire (G. Dragic gains possession)
11:40.0,Turnover by A. Stoudemire (bad pass; steal by R. Covington),,0-0,,
11:32.0,,,0-0,,Turnover by I. Smith (bad pass; steal by A. Stoudemire)
11:29.0,Turnover by D. Wade (bad pass; steal by I. Smith),,0-0,,
11:16.0,,,0-0,,Turnover by I. Smith (bad pass)
11:07.0,,,0-0,,Personal foul by I. Smith (drawn by L. Deng)
10:59.0,G. Dragic makes 2-pt shot from 15 ft (assist by L. Deng),2,2-0,,
10:49.0,,,2-0,,C. Landry misses 2-pt shot from 18 ft
10:48.0,Defensive rebound by D. Wade,,2-0,,
10:41.0,D. Wade misses 2-pt shot from 17 ft,,2-0,,
10:40.0,,,2-0,,Defensive rebound by I. Smith
10:35.0,,,2-0,,Turnover by R. Covington (lost ball; steal by D. Wade)
10:29.0,G. Dragic misses 2-pt shot at rim,,2-0,,
10:27.0,Offensive rebound by L. Deng,,2-0,,
10:20.0,J. Johnson makes 2-pt shot from 2 ft,2,4-0,,
10:20.0,Shooting foul by H. Thompson (drawn by J. Johnson),,4-0,,
10:20.0,J. Johnson makes free throw 1 of 1,1,5-0,,
10:10.0,,,5-2,2,R. Covington makes 2-pt shot from 17 ft (assist by C. Landry)
9:55.0,Shooting foul by C. Landry (drawn by A. Stoudemire),,5-2,,
9:55.0,A. Stoudemire makes free throw 1 of 2,1,6-2,,
9:55.0,A. Stoudemire makes free throw 2 of 2,1,7-2,,
9:46.0,,,7-2,,H. Thompson misses 2-pt shot from 2 ft
9:44.0,Defensive rebound by A. Stoudemire,,7-2,,
9:38.0,J. Johnson makes 3-pt shot from 26 ft (assist by G. Dragic),3,10-2,,
9:24.0,,,10-2,,R. Covington misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by Team,,10-2,,
9:11.0,A. Stoudemire makes 2-pt shot from 18 ft (assist by G. Dragic),2,12-2,,
9:11.0,,,12-2,,Philadelphia full timeout
8:56.0,,,12-2,,H. Thompson misses 3-pt shot from 23 ft
8:55.0,Defensive rebound by L. Deng,,12-2,,
8:46.0,A. Stoudemire makes 2-pt shot at rim (assist by D. Wade),2,14-2,,
