time,Charlotte,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. C. Zeller (L. Deng gains possession),,,,Jump ball: H. Whiteside vs. C. Zeller (L. Deng gains possession)
11:46.0,,,0-3,3,L. Deng makes 3-pt shot from 25 ft (assist by G. Dragic)
11:30.0,Shooting foul by J. Johnson (drawn by C. Zeller),,0-3,,
11:30.0,C. Zeller misses free throw 1 of 2,,0-3,,
11:30.0,Offensive rebound by Team,,0-3,,
11:30.0,C. Zeller makes free throw 2 of 2,1,1-3,,
11:30.0,,,1-3,,D. Wade misses 2-pt shot from 9 ft
11:29.0,Defensive rebound by M. Williams,,1-3,,
11:07.0,M. Williams misses 3-pt shot from 25 ft,,1-3,,
11:06.0,,,1-3,,Defensive rebound by J. Johnson
10:20.0,,,1-5,2,H. Whiteside makes 2-pt shot from 5 ft (assist by G. Dragic)
10:08.0,C. Lee misses 2-pt shot from 1 ft,,1-5,,
10:07.0,,,1-5,,Defensive rebound by L. Deng
9:53.0,,,1-5,,Shooting foul by C. Lee (drawn by H. Whiteside)
9:53.0,,,1-6,1,H. Whiteside makes free throw 1 of 2
9:53.0,,,1-7,1,H. Whiteside makes free throw 2 of 2
9:43.0,Turnover by K. Walker (lost ball; steal by L. Deng),,1-7,,
9:38.0,Shooting block foul by M. Williams (drawn by G. Dragic),,1-7,,
9:38.0,,,1-8,1,G. Dragic makes free throw 1 of 2
9:38.0,,,1-9,1,G. Dragic makes free throw 2 of 2
9:32.0,Shooting foul by J. Johnson (drawn by N. Batum),,1-9,,
9:32.0,N. Batum makes free throw 1 of 3,1,2-9,,
9:32.0,N. Batum makes free throw 2 of 3,1,3-9,,
9:32.0,,,3-9,,J. Winslow enters the game for J. Johnson
9:32.0,N. Batum misses free throw 3 of 3,,3-9,,
9:32.0,,,3-9,,Defensive rebound by L. Deng
9:18.0,,,3-11,2,D. Wade makes 2-pt shot from 2 ft (assist by G. Dragic)
8:59.0,K. Walker makes 3-pt shot from 25 ft,3,6-11,,
8:45.0,,,6-11,,Shooting foul by K. Walker (drawn by G. Dragic)
8:45.0,,,6-12,1,G. Dragic makes free throw 1 of 2
8:45.0,,,6-13,1,G. Dragic makes free throw 2 of 2
8:27.0,N. Batum makes 3-pt shot from 24 ft (assist by C. Zeller),3,9-13,,
8:10.0,,,9-13,,G. Dragic misses 2-pt shot from 17 ft
8:09.0,Defensive rebound by C. Zeller,,9-13,,
7:51.0,C. Zeller misses 2-pt shot from 3 ft (block by H. Whiteside),,9-13,,
7:50.0,Offensive rebound by Team,,9-13,,
7:43.0,C. Lee makes 2-pt shot from 7 ft,2,11-13,,
7:20.0,,,11-15,2,L. Deng makes 2-pt shot from 8 ft
7:03.0,N. Batum misses 2-pt shot from 16 ft,,11-15,,
7:02.0,,,11-15,,Defensive rebound by Team
6:52.0,,,11-15,,J. Winslow misses 3-pt shot from 23 ft
6:51.0,,,11-15,,Offensive rebound by H. Whiteside
6:50.0,,,11-17,2,H. Whiteside makes 2-pt shot from 2 ft
6:27.0,M. Williams misses 2-pt shot from 2 ft,,11-17,,
6:26.0,,,11-17,,Defensive rebound by D. Wade
6:22.0,,,11-19,2,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade)
6:02.0,M. Williams misses 3-pt shot from 25 ft,,11-19,,
6:01.0,,,11-19,,Defensive rebound by H. Whiteside
5:53.0,,,11-19,,D. Wade misses 2-pt shot from 2 ft
5:52.0,Defensive rebound by C. Zeller,,11-19,,
5:43.0,,,11-19,,Personal foul by D. Wade
5:43.0,,,11-19,,Miami full timeout
5:43.0,A. Jefferson enters the game for C. Zeller,,11-19,,
5:43.0,,,11-19,,J. Richardson enters the game for G. Dragic
5:36.0,N. Batum makes 2-pt shot from 2 ft,2,13-19,,
5:19.0,,,13-21,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
4:57.0,Turnover by A. Jefferson (lost ball; steal by J. Winslow),,13-21,,
4:42.0,,,13-23,2,H. Whiteside makes 2-pt shot from 7 ft (assist by D. Wade)
4:28.0,K. Walker makes 2-pt shot from 12 ft,2,15-23,,
4:02.0,,,15-26,3,L. Deng makes 3-pt shot from 24 ft (assist by J. Richardson)
3:37.0,N. Batum misses 3-pt shot from 24 ft,,15-26,,
3:36.0,,,15-26,,Defensive rebound by H. Whiteside
3:25.0,,,15-26,,D. Wade misses 2-pt shot from 16 ft
3:24.0,,,15-26,,Offensive rebound by J. Winslow
3:13.0,,,15-28,2,D. Wade makes 2-pt shot from 10 ft
3:06.0,Charlotte full timeout,,15-28,,
3:06.0,F. Kaminsky enters the game for M. Williams,,15-28,,
3:06.0,J. Lin enters the game for C. Lee,,15-28,,
3:06.0,,,15-28,,A. Stoudemire enters the game for H. Whiteside
3:06.0,,,15-28,,G. Dragic enters the game for D. Wade
2:55.0,A. Jefferson misses 2-pt shot from 15 ft,,15-28,,
2:54.0,,,15-28,,Defensive rebound by J. Richardson
2:45.0,,,15-31,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
2:18.0,Offensive charge foul by J. Lin,,15-31,,
2:18.0,Turnover by J. Lin (offensive foul),,15-31,,
2:01.0,,,15-31,,Turnover by G. Dragic (lost ball; steal by N. Batum)
1:59.0,Shooting foul by L. Deng (drawn by N. Batum),,15-31,,
1:59.0,N. Batum makes free throw 1 of 2,1,16-31,,
1:59.0,N. Batum makes free throw 2 of 2,1,17-31,,
1:43.0,,,17-31,,G. Dragic misses 2-pt shot from 18 ft
1:42.0,,,17-31,,Offensive rebound by A. Stoudemire
1:40.0,,,17-31,,Shooting foul by F. Kaminsky (drawn by L. Deng)
1:40.0,,,17-33,2,L. Deng makes 2-pt shot from 1 ft (assist by J. Richardson)
1:40.0,C. Lee enters the game for N. Batum,,17-33,,
1:40.0,,,17-34,1,L. Deng makes free throw 1 of 1
1:30.0,,,17-34,,Personal foul by J. Winslow
1:30.0,J. Lin misses free throw 1 of 2,,17-34,,
1:30.0,Offensive rebound by Team,,17-34,,
1:30.0,J. Lin makes free throw 2 of 2,1,18-34,,
1:19.0,,,18-36,2,A. Stoudemire makes 2-pt shot from 1 ft (assist by G. Dragic)
0:56.0,Shooting foul by A. Stoudemire (drawn by A. Jefferson),,18-36,,
