time,Philadelphia,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. N. Noel (T. Ross gains possession),,,,Jump ball: B. Biyombo vs. N. Noel (T. Ross gains possession)
11:37.0,,,0-2,2,K. Lowry makes 2-pt shot from 16 ft
11:15.0,N. Noel misses 2-pt shot from 2 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by L. Scola
11:13.0,,,0-2,,Turnover by K. Lowry (dbl dribble)
10:56.0,I. Canaan makes 3-pt shot from 23 ft (assist by T. McConnell),3,3-2,,
10:37.0,,,3-5,3,L. Scola makes 3-pt shot from 23 ft (assist by D. DeRozan)
10:15.0,J. Okafor makes 2-pt shot from 17 ft,2,5-5,,
9:50.0,,,5-5,,D. DeRozan misses 3-pt shot from 23 ft
9:49.0,,,5-5,,Offensive rebound by B. Biyombo
9:48.0,,,5-5,,Turnover by Team (shot clock)
9:37.0,Turnover by I. Canaan (illegal screen),,5-5,,
9:22.0,,,5-5,,D. DeRozan misses 2-pt shot from 1 ft (block by R. Covington)
9:20.0,Defensive rebound by N. Noel,,5-5,,
9:15.0,,,5-5,,Personal foul by K. Lowry (drawn by T. McConnell)
8:58.0,J. Okafor misses 2-pt shot from 10 ft,,5-5,,
8:57.0,Offensive rebound by J. Okafor,,5-5,,
8:53.0,T. McConnell makes 2-pt shot from 1 ft (assist by J. Okafor),2,7-5,,
8:33.0,,,7-5,,B. Biyombo misses 2-pt shot from 1 ft
8:33.0,Defensive rebound by T. McConnell,,7-5,,
8:26.0,J. Okafor makes 2-pt shot from 1 ft (assist by N. Noel),2,9-5,,
8:09.0,,,9-7,2,L. Scola makes 2-pt shot from 5 ft
7:49.0,R. Covington makes 3-pt shot from 24 ft (assist by N. Noel),3,12-7,,
7:31.0,,,12-7,,Shooting foul by N. Noel (drawn by D. DeRozan)
7:31.0,,,12-7,,D. DeRozan misses free throw 1 of 2
7:31.0,,,12-7,,Offensive rebound by Team
7:31.0,K. Marshall enters the game for T. McConnell,,12-7,,
7:31.0,,,12-8,1,D. DeRozan makes free throw 2 of 2
7:10.0,J. Okafor makes 2-pt shot from 7 ft,2,14-8,,
