time,Houston,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. D. Howard (P. Beverley gains possession),,,,Jump ball: D. Cousins vs. D. Howard (P. Beverley gains possession)
11:40.0,Turnover by J. Harden (bad pass; steal by D. Cousins),,0-0,,
11:35.0,Violation by D. Howard (def goaltending),,0-0,,
11:35.0,,,0-2,2,O. Casspi makes 2-pt shot from 2 ft
11:28.0,Turnover by D. Motiejunas (bad pass),,0-2,,
11:04.0,,,0-4,2,O. Casspi makes 2-pt shot from 2 ft (assist by D. Collison)
10:47.0,D. Motiejunas makes 2-pt shot from 2 ft (assist by D. Howard),2,2-4,,
10:36.0,,,2-7,3,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison)
10:24.0,J. Harden misses 3-pt shot from 24 ft,,2-7,,
10:22.0,Offensive rebound by Team,,2-7,,
10:12.0,P. Beverley misses 2-pt shot from 5 ft,,2-7,,
10:12.0,,,2-7,,Defensive rebound by Team
10:12.0,Loose ball foul by D. Howard (drawn by D. Cousins),,2-7,,
10:12.0,Violation by Team (delay of game),,2-7,,
10:00.0,,,2-7,,D. Cousins misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by D. Motiejunas,,2-7,,
9:52.0,D. Howard misses 2-pt shot from 4 ft,,2-7,,
9:52.0,,,2-7,,Defensive rebound by D. Collison
9:44.0,,,2-9,2,B. McLemore makes 2-pt shot from 2 ft (assist by D. Collison)
9:33.0,,,2-9,,Violation by R. Gay (kicked ball)
9:25.0,D. Motiejunas misses 3-pt shot from 24 ft,,2-9,,
9:24.0,,,2-9,,Defensive rebound by D. Cousins
9:16.0,,,2-11,2,R. Gay makes 2-pt shot from 3 ft (assist by D. Collison)
9:10.0,Houston full timeout,,2-11,,
9:10.0,J. Terry enters the game for P. Beverley,,2-11,,
9:10.0,C. Capela enters the game for D. Motiejunas,,2-11,,
8:57.0,J. Terry misses 3-pt shot from 23 ft,,2-11,,
8:56.0,Offensive rebound by D. Howard,,2-11,,
