time,Dallas,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. Z. Pachulia (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. Z. Pachulia (B. Griffin gains possession)
11:40.0,,,0-2,2,J. Redick makes 2-pt shot from 21 ft (assist by L. Stephenson)
11:22.0,R. Felton misses 2-pt shot from 1 ft (block by D. Jordan),,0-2,,
11:21.0,Offensive rebound by J. Evans,,0-2,,
11:17.0,Z. Pachulia misses 2-pt shot from 19 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by D. Jordan
11:09.0,,,0-2,,B. Griffin misses 2-pt shot from 18 ft
11:08.0,Defensive rebound by D. Nowitzki,,0-2,,
10:47.0,D. Nowitzki misses 3-pt shot from 25 ft,,0-2,,
10:47.0,Offensive rebound by Z. Pachulia,,0-2,,
10:40.0,J. Jenkins makes 2-pt shot from 21 ft (assist by Z. Pachulia),2,2-2,,
10:28.0,,,2-2,,J. Redick misses 2-pt shot from 3 ft
10:26.0,Defensive rebound by J. Jenkins,,2-2,,
10:16.0,R. Felton makes 2-pt shot from 12 ft,2,4-2,,
10:12.0,,,4-2,,Shooting foul by J. Evans (drawn by B. Griffin)
10:12.0,,,4-3,1,B. Griffin makes free throw 1 of 2
10:12.0,,,4-3,,B. Griffin misses free throw 2 of 2
10:11.0,Defensive rebound by D. Nowitzki,,4-3,,
9:53.0,R. Felton makes 2-pt shot from 15 ft,2,6-3,,
9:47.0,,,6-3,,C. Paul misses 3-pt shot from 26 ft
9:47.0,,,6-3,,Offensive rebound by Team
9:47.0,Loose ball foul by Z. Pachulia (drawn by B. Griffin),,6-3,,
9:33.0,,,6-3,,L. Stephenson misses 2-pt shot from 18 ft
9:32.0,,,6-3,,Offensive rebound by B. Griffin
9:29.0,,,6-3,,Turnover by B. Griffin (lost ball; steal by R. Felton)
9:26.0,Offensive foul by Z. Pachulia,,6-3,,
9:26.0,Turnover by Z. Pachulia (offensive foul),,6-3,,
9:26.0,D. Powell enters the game for Z. Pachulia,,6-3,,
9:10.0,,,6-5,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
8:52.0,,,6-5,,Personal foul by L. Stephenson (drawn by D. Nowitzki)
8:43.0,R. Felton misses 3-pt shot from 27 ft,,6-5,,
8:42.0,,,6-5,,Defensive rebound by B. Griffin
8:17.0,,,6-7,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
8:02.0,J. Jenkins misses 2-pt shot from 20 ft,,6-7,,
8:01.0,,,6-7,,Defensive rebound by B. Griffin
7:58.0,,,6-7,,Offensive foul by D. Jordan
7:58.0,,,6-7,,Turnover by D. Jordan (offensive foul)
7:39.0,Turnover by J. Jenkins (bad pass; steal by C. Paul),,6-7,,
7:36.0,,,6-7,,Shooting foul by R. Felton (drawn by C. Paul)
7:36.0,,,6-8,1,C. Paul makes free throw 1 of 2
7:36.0,,,6-9,1,C. Paul makes free throw 2 of 2
7:11.0,D. Powell makes 2-pt shot from 15 ft (assist by R. Felton),2,8-9,,
7:01.0,Personal foul by D. Powell (drawn by C. Paul),,8-9,,
