time,New Orleans,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. A. Johnson (J. Sullinger gains possession),,,,Jump ball: A. Ajinca vs. A. Johnson (J. Sullinger gains possession)
11:41.0,,,0-0,,A. Bradley misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by A. Ajinca,,0-0,,
11:25.0,A. Ajinca misses 2-pt shot from 19 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by I. Thomas
11:12.0,,,0-0,,I. Thomas misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by O. Asik,,0-0,,
10:57.0,O. Asik misses 2-pt shot from 2 ft (block by J. Crowder),,0-0,,
10:56.0,,,0-0,,Defensive rebound by A. Bradley
10:47.0,,,0-0,,J. Sullinger misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by T. Douglas,,0-0,,
10:32.0,A. Ajinca makes 2-pt shot from 10 ft,2,2-0,,
10:13.0,,,2-2,2,J. Sullinger makes 2-pt shot from 18 ft (assist by J. Crowder)
9:55.0,Turnover by T. Douglas (lost ball; steal by J. Sullinger),,2-2,,
9:50.0,,,2-2,,Turnover by I. Thomas (lost ball; steal by T. Douglas)
9:47.0,Offensive foul by A. Ajinca,,2-2,,
9:47.0,Turnover by A. Ajinca (offensive foul),,2-2,,
9:37.0,,,2-2,,J. Crowder misses 2-pt shot from 2 ft
9:36.0,Defensive rebound by A. Ajinca,,2-2,,
9:30.0,Turnover by J. Ennis (lost ball; steal by A. Bradley),,2-2,,
9:24.0,,,2-2,,J. Crowder misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by D. Cunningham,,2-2,,
9:07.0,Turnover by O. Asik (bad pass),,2-2,,
8:57.0,,,2-4,2,J. Sullinger makes 2-pt shot from 17 ft (assist by I. Thomas)
8:44.0,T. Douglas misses 2-pt shot from 7 ft,,2-4,,
8:43.0,,,2-4,,Defensive rebound by J. Sullinger
8:35.0,,,2-4,,Shooting foul by J. Ennis (drawn by I. Thomas)
8:35.0,,,2-6,2,I. Thomas makes 2-pt shot from 2 ft (assist by A. Bradley)
8:35.0,,,2-6,,I. Thomas misses free throw 1 of 1
8:34.0,,,2-6,,Offensive rebound by Team
8:29.0,,,2-6,,A. Bradley misses 2-pt shot from 17 ft
8:29.0,Defensive rebound by A. Ajinca,,2-6,,
8:17.0,Turnover by J. Ennis (lost ball),,2-6,,
8:02.0,,,2-8,2,J. Crowder makes 2-pt shot from 20 ft (assist by A. Johnson)
7:54.0,New Orleans full timeout,,2-8,,
7:45.0,T. Douglas misses 3-pt shot from 24 ft,,2-8,,
7:44.0,Offensive rebound by J. Ennis,,2-8,,
7:37.0,A. Ajinca makes 2-pt shot from 17 ft (assist by T. Douglas),2,4-8,,
7:19.0,,,4-8,,A. Johnson misses 2-pt shot from 2 ft
7:18.0,Defensive rebound by Team,,4-8,,
7:08.0,Turnover by O. Asik (bad pass),,4-8,,
7:05.0,Personal block foul by J. Ennis,,4-8,,
6:49.0,,,4-8,,I. Thomas misses 2-pt shot from 4 ft
6:48.0,Defensive rebound by Team,,4-8,,
6:24.0,A. Ajinca makes 2-pt shot from 6 ft,2,6-8,,
