time,LA Lakers,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. R. Hibbert (D. Russell gains possession),,,,Jump ball: D. Dedmon vs. R. Hibbert (D. Russell gains possession)
11:41.0,J. Clarkson misses 2-pt shot from 16 ft,,0-0,,
11:41.0,Offensive rebound by J. Clarkson,,0-0,,
11:22.0,D. Russell makes 3-pt shot from 23 ft (assist by J. Clarkson),3,3-0,,
11:17.0,,,3-0,,T. Harris misses 2-pt shot from 4 ft
11:15.0,,,3-0,,Offensive rebound by D. Dedmon
11:13.0,,,3-0,,D. Dedmon misses 2-pt shot from 2 ft
11:13.0,Defensive rebound by Team,,3-0,,
10:53.0,R. Hibbert misses 2-pt shot from 15 ft,,3-0,,
10:52.0,,,3-0,,Defensive rebound by T. Harris
10:46.0,,,3-0,,T. Harris misses 2-pt shot from 1 ft (block by R. Hibbert)
10:43.0,,,3-0,,Offensive rebound by D. Dedmon
10:34.0,,,3-0,,D. Dedmon misses 2-pt shot from 9 ft
10:33.0,Defensive rebound by J. Clarkson,,3-0,,
10:21.0,J. Randle misses 2-pt shot from 17 ft,,3-0,,
10:20.0,,,3-0,,Defensive rebound by V. Oladipo
10:05.0,,,3-3,3,V. Oladipo makes 3-pt shot from 24 ft (assist by E. Fournier)
9:47.0,D. Russell makes 2-pt shot from 3 ft,2,5-3,,
9:30.0,,,5-3,,E. Payton misses 2-pt shot from 2 ft (block by R. Hibbert)
9:28.0,Defensive rebound by D. Russell,,5-3,,
9:23.0,M. World Peace makes 3-pt shot from 23 ft (assist by D. Russell),3,8-3,,
9:07.0,,,8-3,,E. Fournier misses 2-pt shot from 9 ft
9:06.0,Defensive rebound by J. Randle,,8-3,,
8:58.0,M. World Peace misses 3-pt shot from 25 ft,,8-3,,
8:56.0,,,8-3,,Defensive rebound by E. Fournier
8:42.0,,,8-3,,V. Oladipo misses 2-pt shot from 20 ft
8:39.0,Defensive rebound by J. Randle,,8-3,,
8:22.0,,,8-3,,Personal block foul by V. Oladipo (drawn by J. Clarkson)
8:18.0,R. Hibbert misses 2-pt shot from 18 ft,,8-3,,
8:17.0,,,8-3,,Defensive rebound by T. Harris
7:59.0,,,8-3,,E. Fournier misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by D. Russell,,8-3,,
7:50.0,M. World Peace makes 2-pt shot from 2 ft (assist by D. Russell),2,10-3,,
7:41.0,,,10-5,2,E. Payton makes 2-pt shot at rim
7:24.0,D. Russell misses 2-pt shot at rim,,10-5,,
7:24.0,,,10-5,,Defensive rebound by D. Dedmon
7:12.0,,,10-7,2,D. Dedmon makes 2-pt shot from 3 ft (assist by V. Oladipo)
6:54.0,Turnover by M. World Peace (lost ball; steal by T. Harris),,10-7,,
6:46.0,,,10-7,,E. Fournier misses 2-pt shot from 1 ft (block by D. Russell)
6:44.0,Defensive rebound by D. Russell,,10-7,,
6:41.0,D. Russell makes 2-pt shot from 1 ft,2,12-7,,
6:22.0,,,12-10,3,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton)
6:08.0,J. Randle makes 2-pt shot from 1 ft,2,14-10,,
5:49.0,,,14-10,,E. Fournier misses 2-pt shot from 4 ft
