time,Houston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Howard (P. Beverley gains possession),,,,Jump ball: P. Gasol vs. D. Howard (P. Beverley gains possession)
11:37.0,T. Ariza misses 3-pt shot from 25 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by J. Butler
11:14.0,,,0-0,,T. Gibson misses 2-pt shot from 15 ft
11:13.0,Defensive rebound by T. Ariza,,0-0,,
11:09.0,Turnover by J. Harden (bad pass; steal by T. Gibson),,0-0,,
10:58.0,,,0-0,,P. Gasol misses 2-pt shot from 11 ft (block by T. Ariza)
10:57.0,,,0-0,,Offensive rebound by P. Gasol
10:56.0,,,0-0,,P. Gasol misses 2-pt shot from 4 ft
10:54.0,,,0-0,,Offensive rebound by P. Gasol
10:54.0,,,0-2,2,P. Gasol makes 2-pt shot from 1 ft
10:46.0,D. Motiejunas makes 2-pt shot from 1 ft,2,2-2,,
10:29.0,,,2-2,,J. Butler misses 2-pt shot from 2 ft
10:28.0,Defensive rebound by D. Howard,,2-2,,
10:22.0,P. Beverley misses 2-pt shot from 1 ft,,2-2,,
10:21.0,Offensive rebound by D. Motiejunas,,2-2,,
10:21.0,D. Motiejunas misses 2-pt shot from 1 ft,,2-2,,
10:20.0,,,2-2,,Defensive rebound by J. Butler
10:15.0,,,2-4,2,D. Rose makes 2-pt shot from 4 ft (assist by J. Butler)
10:03.0,D. Motiejunas makes 2-pt shot from 14 ft (assist by J. Harden),2,4-4,,
9:47.0,,,4-6,2,P. Gasol makes 2-pt shot from 17 ft (assist by D. Rose)
9:31.0,T. Ariza misses 3-pt shot from 22 ft,,4-6,,
9:29.0,Offensive rebound by D. Howard,,4-6,,
9:29.0,D. Howard makes 2-pt shot from 2 ft,2,6-6,,
9:20.0,,,6-6,,Shooting foul by D. Motiejunas (drawn by M. Dunleavy)
9:20.0,,,6-7,1,M. Dunleavy makes free throw 1 of 2
9:20.0,,,6-8,1,M. Dunleavy makes free throw 2 of 2
9:02.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,8-8,,
8:55.0,,,8-8,,Shooting foul by P. Beverley (drawn by D. Rose)
8:55.0,,,8-8,,D. Rose misses free throw 1 of 2
8:55.0,,,8-8,,Offensive rebound by Team
8:55.0,,,8-9,1,D. Rose makes free throw 2 of 2
8:31.0,D. Howard misses 2-pt shot from 6 ft,,8-9,,
8:30.0,,,8-9,,Defensive rebound by P. Gasol
8:27.0,,,8-9,,Turnover by P. Gasol (bad pass; steal by T. Ariza)
8:23.0,T. Ariza makes 2-pt shot from 12 ft,2,10-9,,
8:14.0,,,10-9,,Shooting foul by J. Harden (drawn by J. Butler)
8:14.0,,,10-10,1,J. Butler makes free throw 1 of 2
8:14.0,,,10-11,1,J. Butler makes free throw 2 of 2
7:50.0,Turnover by Team (shot clock),,10-11,,
7:33.0,,,10-13,2,P. Gasol makes 2-pt shot from 10 ft (assist by J. Butler)
7:30.0,Offensive charge foul by J. Harden,,10-13,,
7:30.0,Turnover by J. Harden (offensive foul),,10-13,,
7:15.0,,,10-13,,Turnover by P. Gasol (lost ball)
7:05.0,T. Ariza misses 3-pt shot from 23 ft,,10-13,,
7:04.0,,,10-13,,Defensive rebound by P. Gasol
7:02.0,Personal foul by P. Beverley (drawn by D. Rose),,10-13,,
6:54.0,,,10-13,,P. Gasol misses 2-pt shot at rim
6:53.0,Defensive rebound by D. Howard,,10-13,,
6:49.0,Shooting foul by D. Rose (drawn by J. Harden),,10-13,,
6:49.0,J. Harden makes free throw 1 of 2,1,11-13,,
6:49.0,J. Terry enters the game for P. Beverley,,11-13,,
6:49.0,J. Harden misses free throw 2 of 2,,11-13,,
6:48.0,,,11-13,,Defensive rebound by P. Gasol
6:34.0,,,11-15,2,M. Dunleavy makes 2-pt shot at rim (assist by D. Rose)
6:20.0,D. Howard misses 2-pt shot from 1 ft,,11-15,,
6:19.0,,,11-15,,Defensive rebound by P. Gasol
6:14.0,,,11-18,3,M. Dunleavy makes 3-pt shot from 26 ft (assist by J. Butler)
6:06.0,Houston full timeout,,11-18,,
6:06.0,J. Smith enters the game for D. Motiejunas,,11-18,,
5:50.0,J. Smith misses 2-pt shot from 7 ft (block by T. Gibson),,11-18,,
5:50.0,Offensive rebound by D. Howard,,11-18,,
5:50.0,Shooting foul by M. Dunleavy (drawn by D. Howard),,11-18,,
5:50.0,D. Howard misses free throw 1 of 2,,11-18,,
5:50.0,Offensive rebound by Team,,11-18,,
5:50.0,D. Howard misses free throw 2 of 2,,11-18,,
5:49.0,Offensive rebound by J. Smith,,11-18,,
5:42.0,J. Terry misses 3-pt shot from 26 ft,,11-18,,
5:40.0,,,11-18,,Defensive rebound by J. Butler
5:33.0,,,11-20,2,J. Butler makes 2-pt shot at rim (assist by P. Gasol)
5:22.0,D. Howard misses 2-pt shot at rim,,11-20,,
5:21.0,,,11-20,,Defensive rebound by T. Gibson
5:17.0,,,11-22,2,D. Rose makes 2-pt shot from 1 ft (assist by T. Gibson)
5:02.0,Shooting foul by J. Butler (drawn by J. Harden),,11-22,,
5:02.0,J. Harden makes free throw 1 of 2,1,12-22,,
5:02.0,J. Harden makes free throw 2 of 2,1,13-22,,
4:38.0,,,13-22,,D. Rose misses 2-pt shot from 19 ft
4:37.0,,,13-22,,Offensive rebound by P. Gasol
4:34.0,,,13-22,,Turnover by P. Gasol (bad pass; steal by T. Ariza)
4:28.0,J. Harden misses 3-pt shot from 25 ft,,13-22,,
4:26.0,,,13-22,,Defensive rebound by D. Rose
4:22.0,,,13-24,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by D. Rose)
4:18.0,Shooting foul by P. Gasol (drawn by D. Howard),,13-24,,
4:18.0,D. Howard misses free throw 1 of 2,,13-24,,
4:18.0,Offensive rebound by Team,,13-24,,
4:18.0,C. Brewer enters the game for J. Harden,,13-24,,
4:18.0,,,13-24,,E. Moore enters the game for M. Dunleavy
4:18.0,,,13-24,,N. Mirotic enters the game for T. Gibson
4:18.0,,,13-24,,D. McDermott enters the game for D. Rose
4:18.0,D. Howard makes free throw 2 of 2,1,14-24,,
4:03.0,,,14-26,2,E. Moore makes 2-pt shot from 2 ft (assist by P. Gasol)
3:40.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Smith),2,16-26,,
3:27.0,,,16-26,,Turnover by E. Moore (bad pass)
3:27.0,,,16-26,,J. Holiday enters the game for J. Butler
3:13.0,Offensive foul by D. Howard,,16-26,,
3:13.0,Turnover by D. Howard (offensive foul),,16-26,,
2:55.0,,,16-26,,N. Mirotic misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by D. Howard,,16-26,,
2:48.0,C. Brewer makes 2-pt shot from 3 ft (assist by D. Howard),2,18-26,,
2:27.0,,,18-26,,Turnover by P. Gasol (bad pass; steal by C. Brewer)
2:13.0,J. Smith misses 3-pt shot from 24 ft,,18-26,,
2:13.0,Offensive rebound by Team,,18-26,,
2:13.0,,,18-26,,Chicago full timeout
2:10.0,D. Howard misses 2-pt shot from 3 ft (block by P. Gasol),,18-26,,
2:09.0,,,18-26,,Defensive rebound by J. Holiday
1:55.0,,,18-26,,Turnover by D. McDermott (bad pass; steal by T. Ariza)
1:49.0,Shooting foul by E. Moore (drawn by D. Howard),,18-26,,
1:49.0,D. Howard misses free throw 1 of 2,,18-26,,
1:49.0,Offensive rebound by Team,,18-26,,
1:49.0,D. Howard makes free throw 2 of 2,1,19-26,,
1:38.0,Personal foul by J. Terry (drawn by P. Gasol),,19-26,,
1:38.0,,,19-26,,P. Gasol misses free throw 1 of 2
1:38.0,,,19-26,,Offensive rebound by Team
1:38.0,,,19-26,,D. Rose enters the game for J. Holiday
1:38.0,,,19-27,1,P. Gasol makes free throw 2 of 2
1:31.0,Turnover by J. Smith (bad pass),,19-27,,
1:17.0,,,19-27,,Turnover by P. Gasol (bad pass; steal by D. Howard)
1:01.0,D. Howard misses 2-pt shot from 1 ft,,19-27,,
1:00.0,Offensive rebound by J. Smith,,19-27,,
1:00.0,J. Smith makes 2-pt shot from 1 ft,2,21-27,,
0:47.0,,,21-27,,Turnover by D. Rose (bad pass)
0:37.0,J. Smith misses 3-pt shot from 24 ft,,21-27,,
0:36.0,,,21-27,,Defensive rebound by P. Gasol
0:29.0,,,21-27,,E. Moore misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by J. Terry,,21-27,,
0:27.0,,,21-27,,J. Butler enters the game for E. Moore
0:27.0,J. Harden enters the game for D. Howard,,21-27,,
0:08.0,J. Smith makes 2-pt shot from 3 ft (assist by C. Brewer),2,23-27,,
0:03.0,,,23-29,2,P. Gasol makes 2-pt shot at rim (assist by D. Rose)
0:00.0,J. Smith misses 3-pt shot from 47 ft,,23-29,,
0:00.0,Offensive rebound by Team,,23-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-31,2,D. Rose makes 2-pt shot from 12 ft (assist by B. Portis)
11:36.0,C. Capela makes 2-pt shot at rim (assist by D. Motiejunas),2,25-31,,
11:24.0,,,25-31,,Shooting foul by C. Brewer (drawn by J. Butler)
11:24.0,,,25-31,,J. Butler misses free throw 1 of 2
11:24.0,,,25-31,,Offensive rebound by Team
11:24.0,,,25-32,1,J. Butler makes free throw 2 of 2
11:01.0,J. Harden misses 2-pt shot from 6 ft,,25-32,,
11:00.0,,,25-32,,Defensive rebound by J. Butler
10:39.0,,,25-32,,B. Portis misses 3-pt shot from 23 ft
10:37.0,Defensive rebound by D. Motiejunas,,25-32,,
10:24.0,J. Harden makes 2-pt shot from 11 ft,2,27-32,,
10:12.0,,,27-32,,D. Rose misses 2-pt shot from 1 ft
10:11.0,,,27-32,,Offensive rebound by T. Gibson
10:11.0,,,27-32,,T. Gibson misses 2-pt shot from 1 ft
10:09.0,Defensive rebound by P. Beverley,,27-32,,
10:04.0,J. Harden misses 2-pt shot from 1 ft,,27-32,,
10:03.0,Offensive rebound by C. Capela,,27-32,,
10:03.0,C. Capela makes 2-pt shot at rim,2,29-32,,
9:44.0,,,29-32,,D. McDermott misses 3-pt shot from 22 ft
9:43.0,,,29-32,,Offensive rebound by B. Portis
9:41.0,,,29-32,,B. Portis misses 2-pt shot from 10 ft
9:41.0,,,29-32,,Offensive rebound by T. Gibson
9:41.0,,,29-32,,T. Gibson misses 2-pt shot from 1 ft
9:41.0,,,29-32,,Offensive rebound by Team
9:41.0,Personal foul by D. Motiejunas (drawn by T. Gibson),,29-32,,
9:32.0,,,29-34,2,D. McDermott makes 2-pt shot from 1 ft (assist by T. Gibson)
9:22.0,,,29-34,,Personal foul by D. McDermott (drawn by C. Brewer)
9:22.0,C. Brewer misses free throw 1 of 2,,29-34,,
9:22.0,Offensive rebound by Team,,29-34,,
9:22.0,C. Brewer makes free throw 2 of 2,1,30-34,,
8:58.0,,,30-34,,Turnover by B. Portis (lost ball; steal by C. Brewer)
8:52.0,J. Harden misses 2-pt shot from 2 ft,,30-34,,
8:51.0,Offensive rebound by C. Capela,,30-34,,
8:51.0,C. Capela makes 2-pt shot at rim,2,32-34,,
8:50.0,,,32-34,,Chicago full timeout
8:37.0,Personal foul by D. Motiejunas (drawn by B. Portis),,32-34,,
8:37.0,J. Smith enters the game for D. Motiejunas,,32-34,,
8:25.0,,,32-34,,Turnover by D. Rose (lost ball; steal by P. Beverley)
8:21.0,J. Harden makes 2-pt shot from 1 ft (assist by P. Beverley),2,34-34,,
8:15.0,,,34-34,,Turnover by D. Rose (traveling)
8:10.0,,,34-34,,Technical foul by D. Rose
8:10.0,Technical foul by P. Beverley,,34-34,,
8:10.0,,,34-34,,M. Dunleavy enters the game for D. McDermott
8:03.0,Turnover by C. Brewer (bad pass; steal by J. Butler),,34-34,,
8:01.0,,,34-36,2,J. Butler makes 2-pt shot at rim
7:50.0,Shooting foul by B. Portis (drawn by J. Harden),,34-36,,
7:50.0,J. Harden makes free throw 1 of 2,1,35-36,,
7:50.0,,,35-36,,P. Gasol enters the game for B. Portis
7:50.0,J. Harden makes free throw 2 of 2,1,36-36,,
7:41.0,,,36-36,,J. Butler misses 2-pt shot from 5 ft
7:40.0,Defensive rebound by J. Harden,,36-36,,
7:34.0,C. Capela misses 2-pt shot at rim,,36-36,,
7:33.0,,,36-36,,Defensive rebound by J. Butler
7:29.0,,,36-36,,Turnover by J. Butler (lost ball; steal by C. Brewer)
7:29.0,,,36-36,,Loose ball foul by J. Butler (drawn by J. Harden)
7:15.0,P. Beverley makes 2-pt shot from 1 ft (assist by J. Harden),2,38-36,,
7:09.0,,,38-36,,Technical foul by Team
7:09.0,J. Harden makes technical free throw,1,39-36,,
6:57.0,,,39-36,,J. Butler misses 2-pt shot from 2 ft (block by J. Smith)
6:56.0,Defensive rebound by J. Smith,,39-36,,
6:50.0,J. Harden misses 3-pt shot from 24 ft,,39-36,,
6:49.0,,,39-36,,Defensive rebound by J. Butler
6:38.0,,,39-36,,Shooting foul by C. Brewer (drawn by D. Rose)
6:38.0,,,39-37,1,D. Rose makes free throw 1 of 2
6:38.0,T. Ariza enters the game for C. Brewer,,39-37,,
6:38.0,D. Howard enters the game for C. Capela,,39-37,,
6:38.0,,,39-38,1,D. Rose makes free throw 2 of 2
6:25.0,P. Beverley misses 2-pt shot from 1 ft (block by P. Gasol),,39-38,,
6:24.0,,,39-38,,Defensive rebound by T. Gibson
6:19.0,,,39-38,,J. Butler misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by T. Ariza,,39-38,,
6:06.0,Turnover by J. Harden (bad pass),,39-38,,
6:06.0,,,39-38,,E. Moore enters the game for D. Rose
5:53.0,Personal foul by J. Smith (drawn by P. Gasol),,39-38,,
5:53.0,,,39-38,,Chicago full timeout
5:53.0,J. Terry enters the game for P. Beverley,,39-38,,
5:53.0,,,39-38,,P. Gasol misses free throw 1 of 2
5:53.0,,,39-38,,Offensive rebound by Team
5:53.0,,,39-39,1,P. Gasol makes free throw 2 of 2
5:34.0,Turnover by J. Harden (bad pass; steal by E. Moore),,39-39,,
