time,Detroit,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Plumlee (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Plumlee (R. Jackson gains possession)
11:40.0,A. Drummond makes 2-pt shot from 1 ft,2,2-0,,
11:20.0,,,2-0,,D. Lillard misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by A. Drummond,,2-0,,
11:10.0,R. Jackson misses 2-pt shot from 14 ft,,2-0,,
11:09.0,,,2-0,,Defensive rebound by D. Lillard
11:06.0,,,2-2,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard)
11:06.0,,,2-2,,Shooting foul by A. Drummond (drawn by M. Plumlee)
11:06.0,,,2-3,1,M. Plumlee makes free throw 1 of 1
10:53.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,2-3,,
10:52.0,,,2-3,,Defensive rebound by A. Aminu
10:43.0,,,2-3,,C. McCollum misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by A. Drummond,,2-3,,
10:29.0,K. Caldwell-Pope misses 2-pt shot from 12 ft,,2-3,,
10:29.0,,,2-3,,Defensive rebound by A. Aminu
10:13.0,,,2-6,3,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum)
10:00.0,Offensive foul by M. Morris,,2-6,,
10:00.0,Turnover by M. Morris (offensive foul),,2-6,,
9:42.0,,,2-6,,M. Leonard misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by A. Drummond,,2-6,,
9:33.0,R. Jackson misses 2-pt shot from 2 ft,,2-6,,
9:32.0,Offensive rebound by A. Drummond,,2-6,,
9:32.0,A. Drummond misses 2-pt shot from 1 ft,,2-6,,
9:31.0,Offensive rebound by R. Jackson,,2-6,,
9:20.0,M. Morris makes 2-pt shot from 14 ft,2,4-6,,
9:05.0,,,4-8,2,M. Plumlee makes 2-pt shot from 3 ft
8:51.0,K. Caldwell-Pope makes 2-pt shot from 19 ft,2,6-8,,
8:37.0,,,6-10,2,M. Leonard makes 2-pt shot from 17 ft (assist by D. Lillard)
8:25.0,,,6-10,,Personal foul by A. Aminu (drawn by M. Morris)
8:10.0,M. Morris misses 2-pt shot from 12 ft,,6-10,,
8:09.0,,,6-10,,Defensive rebound by A. Aminu
8:06.0,,,6-10,,Shooting foul by E. Ilyasova (drawn by A. Aminu)
8:06.0,,,6-11,1,A. Aminu makes free throw 1 of 2
8:06.0,,,6-12,1,A. Aminu makes free throw 2 of 2
7:55.0,R. Jackson misses 2-pt shot from 1 ft,,6-12,,
7:55.0,Offensive rebound by R. Jackson,,6-12,,
