time,Miami,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Stoudemire (K. Korver gains possession),,,,Jump ball: A. Horford vs. A. Stoudemire (K. Korver gains possession)
11:44.0,,,0-0,,Turnover by K. Bazemore (bad pass)
11:26.0,A. Stoudemire misses 2-pt shot from 7 ft (block by A. Horford),,0-0,,
11:26.0,,,0-0,,Defensive rebound by Team
11:26.0,Jump ball: A. Horford vs. A. Stoudemire (P. Millsap gains possession),,,,Jump ball: A. Horford vs. A. Stoudemire (P. Millsap gains possession)
11:14.0,,,0-0,,Shooting foul by L. Deng (drawn by P. Millsap)
11:14.0,,,0-1,1,P. Millsap makes free throw 1 of 2
11:14.0,,,0-2,1,P. Millsap makes free throw 2 of 2
11:02.0,J. Winslow misses 3-pt shot from 23 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by K. Bazemore
10:55.0,,,0-2,,Turnover by K. Bazemore (lost ball; steal by G. Dragic)
10:50.0,G. Dragic makes 2-pt shot from 1 ft,2,2-2,,
10:29.0,,,2-2,,P. Millsap misses 2-pt shot from 11 ft
10:27.0,Defensive rebound by G. Dragic,,2-2,,
10:23.0,,,2-2,,Personal foul by J. Teague
10:10.0,G. Green misses 2-pt shot from 1 ft,,2-2,,
10:09.0,Offensive rebound by A. Stoudemire,,2-2,,
10:08.0,Shooting foul by P. Millsap (drawn by A. Stoudemire),,2-2,,
10:08.0,A. Stoudemire makes free throw 1 of 2,1,3-2,,
10:08.0,A. Stoudemire misses free throw 2 of 2,,3-2,,
10:07.0,,,3-2,,Defensive rebound by K. Bazemore
9:58.0,,,3-2,,Turnover by K. Korver (bad pass)
9:47.0,J. Winslow misses 3-pt shot from 23 ft,,3-2,,
9:45.0,,,3-2,,Defensive rebound by A. Horford
9:38.0,,,3-2,,P. Millsap misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by G. Green,,3-2,,
9:25.0,L. Deng misses 3-pt shot from 22 ft,,3-2,,
9:23.0,,,3-2,,Defensive rebound by P. Millsap
9:15.0,,,3-4,2,K. Korver makes 2-pt shot from 19 ft
9:00.0,G. Dragic misses 2-pt shot from 17 ft,,3-4,,
8:59.0,,,3-4,,Defensive rebound by P. Millsap
8:47.0,,,3-4,,J. Teague misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by G. Green,,3-4,,
8:27.0,J. Winslow misses 2-pt shot from 17 ft,,3-4,,
8:24.0,,,3-4,,Defensive rebound by P. Millsap
8:14.0,,,3-4,,K. Bazemore misses 3-pt shot from 23 ft
8:12.0,Defensive rebound by L. Deng,,3-4,,
8:05.0,Turnover by G. Dragic (lost ball; steal by K. Bazemore),,3-4,,
8:00.0,,,3-6,2,J. Teague makes 2-pt shot from 1 ft (assist by K. Bazemore)
7:46.0,L. Deng makes 2-pt shot from 18 ft (assist by G. Dragic),2,5-6,,
7:33.0,,,5-6,,A. Horford misses 2-pt shot from 16 ft
7:32.0,Defensive rebound by L. Deng,,5-6,,
7:22.0,Shooting foul by K. Korver (drawn by J. Winslow),,5-6,,
7:22.0,J. Winslow misses free throw 1 of 2,,5-6,,
7:22.0,Offensive rebound by Team,,5-6,,
7:22.0,J. Winslow makes free throw 2 of 2,1,6-6,,
7:10.0,,,6-6,,A. Horford misses 2-pt shot from 3 ft
7:09.0,Defensive rebound by A. Stoudemire,,6-6,,
7:04.0,G. Dragic misses 2-pt shot at rim,,6-6,,
7:03.0,Offensive rebound by J. Winslow,,6-6,,
7:02.0,J. Winslow makes 2-pt shot at rim,2,8-6,,
6:42.0,,,8-6,,K. Korver misses 2-pt shot from 20 ft
6:40.0,Defensive rebound by A. Stoudemire,,8-6,,
6:30.0,A. Stoudemire misses 2-pt shot from 19 ft,,8-6,,
6:29.0,,,8-6,,Defensive rebound by A. Horford
6:23.0,Personal foul by G. Dragic,,8-6,,
6:23.0,,,8-6,,Atlanta full timeout
6:23.0,,,8-6,,M. Muscala enters the game for A. Horford
6:23.0,J. McRoberts enters the game for L. Deng,,8-6,,
6:08.0,,,8-6,,J. Teague misses 3-pt shot from 24 ft
6:06.0,Defensive rebound by J. McRoberts,,8-6,,
5:56.0,A. Stoudemire makes 2-pt shot from 2 ft (assist by G. Dragic),2,10-6,,
5:42.0,,,10-9,3,K. Bazemore makes 3-pt shot from 24 ft (assist by K. Korver)
5:18.0,J. McRoberts makes 2-pt shot from 2 ft,2,12-9,,
5:09.0,,,12-9,,Shooting foul by G. Dragic (drawn by J. Teague)
5:09.0,,,12-10,1,J. Teague makes free throw 1 of 2
5:09.0,B. Udrih enters the game for G. Dragic,,12-10,,
5:09.0,,,12-10,,T. Hardaway enters the game for K. Korver
5:09.0,,,12-10,,T. Sefolosha enters the game for K. Bazemore
5:09.0,,,12-11,1,J. Teague makes free throw 2 of 2
4:59.0,J. McRoberts makes 2-pt shot from 16 ft (assist by B. Udrih),2,14-11,,
4:42.0,,,14-11,,Offensive charge foul by P. Millsap
4:42.0,,,14-11,,Turnover by P. Millsap (offensive foul)
4:42.0,,,14-11,,D. Schroder enters the game for J. Teague
4:42.0,,,14-11,,M. Scott enters the game for P. Millsap
4:28.0,,,14-11,,Personal foul by M. Scott
4:19.0,,,14-11,,Personal foul by M. Muscala
4:19.0,A. Stoudemire makes free throw 1 of 2,1,15-11,,
4:19.0,,,15-11,,A. Horford enters the game for M. Muscala
4:19.0,A. Stoudemire misses free throw 2 of 2,,15-11,,
4:18.0,,,15-11,,Defensive rebound by T. Hardaway
4:03.0,,,15-11,,Shooting foul by J. Winslow (drawn by A. Horford)
4:03.0,,,15-12,1,A. Horford makes free throw 1 of 2
4:03.0,,,15-13,1,A. Horford makes free throw 2 of 2
3:49.0,J. Winslow misses 2-pt shot from 3 ft,,15-13,,
3:45.0,,,15-13,,Defensive rebound by T. Sefolosha
3:37.0,,,15-13,,T. Sefolosha misses 3-pt shot from 24 ft
3:36.0,,,15-13,,Offensive rebound by M. Scott
3:35.0,,,15-13,,Turnover by M. Scott (lost ball)
3:31.0,Miami full timeout,,15-13,,
3:19.0,G. Green misses 2-pt shot from 16 ft,,15-13,,
3:16.0,,,15-13,,Defensive rebound by T. Hardaway
3:07.0,,,15-15,2,D. Schroder makes 2-pt shot from 1 ft
2:53.0,Turnover by B. Udrih (lost ball; steal by T. Sefolosha),,15-15,,
2:48.0,,,15-17,2,M. Scott makes 2-pt shot from 1 ft (assist by D. Schroder)
2:37.0,B. Udrih misses 2-pt shot from 20 ft,,15-17,,
2:35.0,,,15-17,,Defensive rebound by D. Schroder
2:33.0,,,15-17,,Turnover by D. Schroder (traveling)
2:33.0,L. Deng enters the game for A. Stoudemire,,15-17,,
2:27.0,Shooting foul by A. Horford (drawn by L. Deng),,15-17,,
2:27.0,L. Deng makes free throw 1 of 2,1,16-17,,
2:27.0,L. Deng misses free throw 2 of 2,,16-17,,
2:25.0,,,16-17,,Defensive rebound by T. Sefolosha
2:16.0,,,16-17,,A. Horford misses 2-pt shot from 7 ft
2:13.0,Defensive rebound by J. McRoberts,,16-17,,
2:07.0,L. Deng makes 2-pt shot from 1 ft (assist by J. McRoberts),2,18-17,,
1:53.0,,,18-19,2,D. Schroder makes 2-pt shot from 20 ft
1:33.0,L. Deng misses 2-pt shot from 1 ft,,18-19,,
1:32.0,Offensive rebound by J. Winslow,,18-19,,
1:32.0,J. Winslow misses 2-pt shot at rim,,18-19,,
1:31.0,,,18-19,,Defensive rebound by M. Scott
1:26.0,,,18-19,,T. Hardaway misses 3-pt shot from 24 ft
1:24.0,Defensive rebound by L. Deng,,18-19,,
1:16.0,B. Udrih misses 2-pt shot from 1 ft,,18-19,,
1:15.0,,,18-19,,Defensive rebound by A. Horford
1:01.0,,,18-19,,D. Schroder misses 2-pt shot from 2 ft (block by G. Green)
1:00.0,Defensive rebound by L. Deng,,18-19,,
0:58.0,J. Winslow makes 2-pt shot from 1 ft (assist by B. Udrih),2,20-19,,
0:35.0,,,20-19,,T. Sefolosha misses 3-pt shot from 23 ft
0:34.0,Defensive rebound by L. Deng,,20-19,,
0:10.0,J. McRoberts misses 2-pt shot from 19 ft,,20-19,,
0:08.0,Offensive rebound by L. Deng,,20-19,,
0:08.0,L. Deng makes 2-pt shot at rim,2,22-19,,
0:00.0,,,22-19,,D. Schroder misses 2-pt shot from 15 ft
0:00.0,,,22-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,L. Deng makes 2-pt shot at rim,2,24-19,,
11:33.0,,,24-21,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by A. Horford)
11:19.0,L. Deng makes 2-pt shot at rim (assist by J. McRoberts),2,26-21,,
11:11.0,,,26-24,3,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder)
10:54.0,,,26-24,,Personal foul by D. Schroder
10:40.0,Turnover by Team (shot clock),,26-24,,
10:26.0,,,26-27,3,A. Horford makes 3-pt shot from 24 ft (assist by D. Schroder)
10:04.0,J. McRoberts makes 3-pt shot from 24 ft (assist by U. Haslem),3,29-27,,
9:47.0,,,29-27,,D. Schroder misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by U. Haslem,,29-27,,
9:22.0,B. Udrih misses 2-pt shot from 5 ft,,29-27,,
9:22.0,Offensive rebound by Team,,29-27,,
9:22.0,Turnover by Team (shot clock),,29-27,,
9:22.0,,,29-27,,P. Millsap enters the game for A. Horford
9:22.0,,,29-27,,M. Muscala enters the game for M. Scott
9:21.0,,,29-27,,Turnover by M. Muscala (lost ball; steal by J. Richardson)
9:19.0,J. Richardson makes 2-pt shot at rim,2,31-27,,
9:18.0,,,31-27,,Atlanta full timeout
9:18.0,,,31-27,,K. Korver enters the game for T. Hardaway
9:18.0,G. Dragic enters the game for B. Udrih,,31-27,,
9:02.0,,,31-27,,Turnover by D. Schroder (lost ball; steal by L. Deng)
8:38.0,J. Richardson misses 2-pt shot from 20 ft (block by D. Schroder),,31-27,,
8:36.0,,,31-27,,Defensive rebound by D. Schroder
8:27.0,,,31-29,2,M. Muscala makes 2-pt shot from 16 ft (assist by K. Korver)
8:01.0,U. Haslem makes 2-pt shot from 2 ft (assist by J. McRoberts),2,33-29,,
7:48.0,,,33-31,2,D. Schroder makes 2-pt shot at rim
7:35.0,L. Deng makes 2-pt shot from 21 ft (assist by G. Dragic),2,35-31,,
7:11.0,,,35-33,2,K. Korver makes 2-pt shot from 19 ft
6:59.0,Shooting foul by M. Muscala (drawn by U. Haslem),,35-33,,
6:59.0,U. Haslem makes free throw 1 of 2,1,36-33,,
6:59.0,,,36-33,,K. Bazemore enters the game for T. Sefolosha
6:59.0,,,36-33,,J. Teague enters the game for D. Schroder
6:59.0,J. Winslow enters the game for J. McRoberts,,36-33,,
6:59.0,U. Haslem makes free throw 2 of 2,1,37-33,,
6:48.0,,,37-33,,K. Korver misses 2-pt shot from 1 ft
6:45.0,Defensive rebound by G. Dragic,,37-33,,
6:41.0,J. Winslow makes 2-pt shot at rim (assist by G. Dragic),2,39-33,,
6:28.0,,,39-33,,Turnover by K. Bazemore (lost ball; steal by G. Dragic)
6:23.0,J. Richardson makes 2-pt shot from 1 ft (assist by G. Dragic),2,41-33,,
6:23.0,,,41-33,,Atlanta full timeout
6:08.0,,,41-33,,Shooting foul by J. Winslow (drawn by M. Muscala)
6:08.0,,,41-34,1,M. Muscala makes free throw 1 of 2
6:08.0,G. Green enters the game for J. Winslow,,41-34,,
6:08.0,,,41-35,1,M. Muscala makes free throw 2 of 2
5:57.0,J. Richardson makes 3-pt shot from 24 ft (assist by G. Dragic),3,44-35,,
5:43.0,,,44-35,,K. Korver misses 2-pt shot from 19 ft
5:41.0,,,44-35,,Offensive rebound by M. Muscala
5:41.0,,,44-35,,Turnover by M. Muscala (lost ball; steal by G. Dragic)
5:35.0,G. Dragic misses 2-pt shot from 16 ft,,44-35,,
5:34.0,,,44-35,,Defensive rebound by Team
5:34.0,Official timeout,,44-35,,
5:34.0,,,44-35,,A. Horford enters the game for M. Muscala
5:34.0,J. Winslow enters the game for L. Deng,,44-35,,
