time,New Orleans,pts.away,score,pts.home,Portland
3:15.0,,,27-23,,Shooting foul by O. Asik (drawn by M. Leonard)
3:15.0,,,27-23,,M. Leonard misses free throw 1 of 1
3:14.0,Defensive rebound by O. Asik,,27-23,,
3:09.0,New Orleans full timeout,,27-23,,
3:09.0,A. Ajinca enters the game for O. Asik,,27-23,,
2:59.0,E. Gordon makes 2-pt shot at rim (assist by J. Holiday),2,29-23,,
2:38.0,,,29-23,,Turnover by M. Leonard (bad pass; steal by J. Holiday)
2:33.0,Turnover by J. Holiday (bad pass; steal by E. Davis),,29-23,,
2:21.0,,,29-26,3,D. Lillard makes 3-pt shot from 25 ft (assist by M. Leonard)
2:05.0,T. Evans makes 2-pt shot from 20 ft,2,31-26,,
1:46.0,,,31-26,,D. Lillard misses 2-pt shot from 17 ft
1:46.0,Defensive rebound by J. Holiday,,31-26,,
1:32.0,R. Anderson misses 2-pt shot from 13 ft,,31-26,,
1:31.0,,,31-26,,Defensive rebound by E. Davis
1:11.0,,,31-26,,Turnover by M. Leonard (traveling)
1:11.0,N. Cole enters the game for T. Evans,,31-26,,
0:58.0,Offensive foul by A. Ajinca,,31-26,,
0:58.0,Turnover by A. Ajinca (offensive foul),,31-26,,
0:58.0,D. Cunningham enters the game for A. Ajinca,,31-26,,
0:39.0,,,31-26,,A. Crabbe misses 3-pt shot from 23 ft
0:38.0,Defensive rebound by E. Gordon,,31-26,,
0:27.0,Turnover by Team (back court),,31-26,,
0:27.0,,,31-26,,C. McCollum enters the game for E. Davis
0:06.0,,,31-26,,D. Lillard misses 2-pt shot from 1 ft
0:06.0,Defensive rebound by Team,,31-26,,
0:06.0,,,31-26,,Loose ball foul by M. Leonard (drawn by N. Cole)
0:06.0,,,31-26,,E. Davis enters the game for D. Lillard
0:00.0,N. Cole misses 3-pt shot from 25 ft,,31-26,,
0:00.0,Offensive rebound by Team,,31-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Shooting foul by A. Crabbe (drawn by J. Holiday),,31-26,,
11:53.0,J. Holiday makes free throw 1 of 2,1,32-26,,
11:53.0,J. Holiday makes free throw 2 of 2,1,33-26,,
11:39.0,A. Davis enters the game for E. Gordon,,33-26,,
11:32.0,,,33-26,,A. Crabbe misses 3-pt shot from 23 ft
11:32.0,Defensive rebound by D. Cunningham,,33-26,,
11:22.0,A. Davis misses 2-pt shot from 14 ft,,33-26,,
11:21.0,,,33-26,,Defensive rebound by A. Crabbe
11:06.0,,,33-26,,G. Henderson misses 2-pt shot from 17 ft
11:05.0,Defensive rebound by R. Anderson,,33-26,,
10:52.0,N. Cole misses 2-pt shot from 6 ft,,33-26,,
10:51.0,,,33-26,,Defensive rebound by E. Davis
10:41.0,,,33-29,3,G. Henderson makes 3-pt shot from 23 ft (assist by A. Crabbe)
10:30.0,J. Holiday misses 2-pt shot from 1 ft,,33-29,,
10:29.0,,,33-29,,Defensive rebound by E. Davis
10:23.0,,,33-29,,Turnover by C. McCollum (bad pass)
10:05.0,R. Anderson misses 3-pt shot from 25 ft,,33-29,,
10:04.0,,,33-29,,Defensive rebound by A. Crabbe
9:50.0,,,33-29,,A. Crabbe misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by N. Cole,,33-29,,
9:43.0,A. Davis makes 2-pt shot at rim (assist by N. Cole),2,35-29,,
9:25.0,,,35-31,2,C. McCollum makes 2-pt shot from 19 ft
9:14.0,N. Cole misses 2-pt shot from 2 ft,,35-31,,
9:13.0,,,35-31,,Defensive rebound by M. Leonard
9:04.0,,,35-31,,M. Leonard misses 3-pt shot from 25 ft
9:03.0,,,35-31,,Offensive rebound by C. McCollum
9:00.0,Personal foul by D. Cunningham (drawn by G. Henderson),,35-31,,
9:00.0,T. Evans enters the game for J. Holiday,,35-31,,
8:56.0,,,35-34,3,G. Henderson makes 3-pt shot from 26 ft (assist by M. Leonard)
8:36.0,R. Anderson misses 3-pt shot from 27 ft,,35-34,,
8:35.0,,,35-34,,Defensive rebound by M. Leonard
8:21.0,,,35-34,,G. Henderson misses 3-pt shot from 27 ft
8:20.0,Defensive rebound by T. Evans,,35-34,,
8:11.0,R. Anderson makes 2-pt shot at rim,2,37-34,,
7:49.0,,,37-34,,Shooting foul by T. Evans (drawn by A. Crabbe)
7:49.0,Official timeout,,37-34,,
7:49.0,,,37-34,,A. Aminu enters the game for G. Henderson
7:49.0,,,37-35,1,A. Crabbe makes free throw 1 of 2
7:49.0,,,37-36,1,A. Crabbe makes free throw 2 of 2
7:32.0,Turnover by A. Davis (lost ball; steal by A. Crabbe),,37-36,,
7:26.0,,,37-36,,A. Crabbe misses 3-pt shot from 25 ft
7:24.0,,,37-36,,Offensive rebound by M. Leonard
7:11.0,,,37-36,,M. Leonard misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by N. Cole,,37-36,,
7:01.0,,,37-36,,Violation by A. Aminu (kicked ball)
7:01.0,,,37-36,,M. Plumlee enters the game for E. Davis
7:01.0,,,37-36,,M. Harkless enters the game for M. Leonard
6:49.0,Shooting foul by A. Crabbe (drawn by R. Anderson),,37-36,,
6:49.0,R. Anderson makes free throw 1 of 2,1,38-36,,
6:49.0,R. Anderson makes free throw 2 of 2,1,39-36,,
6:34.0,,,39-39,3,C. McCollum makes 3-pt shot from 22 ft (assist by M. Plumlee)
6:10.0,N. Cole misses 2-pt shot from 1 ft,,39-39,,
6:09.0,,,39-39,,Defensive rebound by M. Plumlee
5:59.0,,,39-39,,Portland full timeout
5:47.0,,,39-39,,A. Crabbe misses 2-pt shot from 12 ft
5:46.0,Defensive rebound by T. Evans,,39-39,,
5:33.0,T. Evans misses 2-pt shot from 2 ft (block by M. Plumlee),,39-39,,
5:31.0,,,39-39,,Defensive rebound by A. Crabbe
5:23.0,,,39-39,,A. Aminu misses 2-pt shot from 3 ft (block by A. Davis)
5:21.0,Defensive rebound by T. Evans,,39-39,,
