time,Detroit,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Johnson (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. A. Johnson (R. Jackson gains possession)
11:43.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,0-0,,
11:40.0,Offensive rebound by E. Ilyasova,,0-0,,
11:27.0,M. Morris misses 2-pt shot from 19 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by E. Turner
11:13.0,,,0-2,2,J. Crowder makes 2-pt shot from 21 ft (assist by A. Johnson)
10:54.0,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by E. Ilyasova),2,2-2,,
10:40.0,,,2-2,,E. Turner misses 2-pt shot from 10 ft
10:39.0,Defensive rebound by A. Drummond,,2-2,,
10:31.0,E. Ilyasova misses 3-pt shot from 25 ft,,2-2,,
10:30.0,,,2-2,,Defensive rebound by E. Turner
10:20.0,,,2-4,2,E. Turner makes 2-pt shot from 7 ft
10:00.0,R. Jackson makes 2-pt shot from 8 ft,2,4-4,,
9:48.0,,,4-6,2,I. Thomas makes 2-pt shot from 15 ft
9:28.0,K. Caldwell-Pope misses 2-pt shot from 15 ft,,4-6,,
9:27.0,,,4-6,,Defensive rebound by E. Turner
9:12.0,,,4-8,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
8:58.0,A. Drummond misses 2-pt shot at rim,,4-8,,
8:57.0,,,4-8,,Defensive rebound by A. Johnson
8:47.0,,,4-8,,Shooting foul by M. Morris (drawn by J. Crowder)
8:47.0,Violation by Team (delay of game),,4-8,,
8:47.0,,,4-9,1,J. Crowder makes free throw 1 of 2
8:47.0,,,4-10,1,J. Crowder makes free throw 2 of 2
8:33.0,E. Ilyasova makes 2-pt shot from 7 ft (assist by R. Jackson),2,6-10,,
8:19.0,,,6-10,,Turnover by A. Johnson (3 sec)
8:11.0,,,6-10,,Def 3 sec tech foul by A. Johnson
8:11.0,R. Jackson makes technical free throw,1,7-10,,
7:53.0,M. Morris misses 2-pt shot from 7 ft,,7-10,,
7:52.0,,,7-10,,Defensive rebound by I. Thomas
7:45.0,,,7-10,,I. Thomas misses 2-pt shot from 1 ft
7:44.0,,,7-10,,Offensive rebound by A. Johnson
7:44.0,,,7-12,2,A. Johnson makes 2-pt shot at rim
7:36.0,Detroit full timeout,,7-12,,
7:28.0,R. Jackson makes 2-pt shot from 16 ft,2,9-12,,
7:14.0,,,9-14,2,E. Turner makes 2-pt shot from 6 ft (assist by K. Olynyk)
6:51.0,E. Ilyasova misses 2-pt shot from 6 ft (block by A. Johnson),,9-14,,
6:50.0,,,9-14,,Defensive rebound by A. Johnson
6:45.0,,,9-14,,I. Thomas misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by A. Drummond,,9-14,,
6:38.0,Shooting foul by E. Turner (drawn by K. Caldwell-Pope),,9-14,,
6:38.0,K. Caldwell-Pope makes free throw 1 of 2,1,10-14,,
6:38.0,K. Caldwell-Pope misses free throw 2 of 2,,10-14,,
6:38.0,,,10-14,,Defensive rebound by J. Crowder
6:13.0,,,10-16,2,E. Turner makes 2-pt shot at rim (assist by A. Johnson)
5:52.0,A. Drummond makes 2-pt shot from 14 ft,2,12-16,,
5:36.0,,,12-18,2,K. Olynyk makes 2-pt shot from 8 ft (assist by I. Thomas)
5:22.0,,,12-18,,Personal foul by A. Johnson (drawn by K. Caldwell-Pope)
5:16.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson),3,15-18,,
5:01.0,,,15-18,,I. Thomas misses 2-pt shot from 1 ft (block by E. Ilyasova)
5:00.0,,,15-18,,Offensive rebound by Team
4:55.0,,,15-20,2,E. Turner makes 2-pt shot from 17 ft (assist by I. Thomas)
4:40.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson),3,18-20,,
4:24.0,,,18-22,2,A. Johnson makes 2-pt shot at rim (assist by K. Olynyk)
4:07.0,Shooting foul by I. Thomas (drawn by R. Jackson),,18-22,,
4:07.0,R. Jackson makes free throw 1 of 2,1,19-22,,
4:07.0,,,19-22,,M. Smart enters the game for E. Turner
4:07.0,S. Johnson enters the game for M. Morris,,19-22,,
4:07.0,R. Jackson makes free throw 2 of 2,1,20-22,,
3:50.0,,,20-25,3,K. Olynyk makes 3-pt shot from 24 ft (assist by I. Thomas)
3:33.0,E. Ilyasova misses 3-pt shot from 25 ft,,20-25,,
3:32.0,,,20-25,,Defensive rebound by A. Johnson
3:25.0,,,20-28,3,J. Crowder makes 3-pt shot from 25 ft (assist by M. Smart)
3:08.0,R. Jackson makes 2-pt shot from 1 ft,2,22-28,,
3:01.0,Personal foul by A. Drummond (drawn by I. Thomas),,22-28,,
2:45.0,,,22-28,,A. Johnson misses 3-pt shot from 25 ft
2:43.0,,,22-28,,Offensive rebound by M. Smart
2:43.0,,,22-28,,M. Smart misses 2-pt shot at rim
2:42.0,Defensive rebound by E. Ilyasova,,22-28,,
2:29.0,R. Jackson misses 3-pt shot from 26 ft,,22-28,,
2:28.0,,,22-28,,Defensive rebound by J. Crowder
2:21.0,,,22-28,,Boston full timeout
2:21.0,,,22-28,,J. Sullinger enters the game for A. Johnson
2:21.0,B. Jennings enters the game for R. Jackson,,22-28,,
2:16.0,,,22-28,,Turnover by M. Smart (bad pass; steal by A. Drummond)
2:07.0,Turnover by S. Johnson (traveling),,22-28,,
2:07.0,,,22-28,,R. Hunter enters the game for I. Thomas
1:59.0,Personal foul by A. Drummond (drawn by M. Smart),,22-28,,
1:59.0,A. Baynes enters the game for A. Drummond,,22-28,,
1:53.0,Personal foul by E. Ilyasova (drawn by K. Olynyk),,22-28,,
1:53.0,,,22-28,,K. Olynyk misses free throw 1 of 2
1:53.0,,,22-28,,Offensive rebound by Team
1:53.0,,,22-28,,K. Olynyk misses free throw 2 of 2
1:53.0,Defensive rebound by S. Johnson,,22-28,,
1:39.0,Turnover by B. Jennings (lost ball),,22-28,,
1:26.0,,,22-28,,K. Olynyk misses 2-pt shot from 6 ft
1:25.0,,,22-28,,Offensive rebound by K. Olynyk
1:24.0,,,22-30,2,K. Olynyk makes 2-pt shot from 2 ft
1:06.0,Shooting foul by K. Olynyk (drawn by B. Jennings),,22-30,,
1:06.0,B. Jennings makes free throw 1 of 2,1,23-30,,
1:06.0,A. Tolliver enters the game for E. Ilyasova,,23-30,,
1:06.0,B. Jennings makes free throw 2 of 2,1,24-30,,
0:52.0,,,24-30,,K. Olynyk misses 2-pt shot from 15 ft
0:51.0,Defensive rebound by A. Baynes,,24-30,,
0:47.0,Turnover by K. Caldwell-Pope (lost ball; steal by R. Hunter),,24-30,,
0:27.0,,,24-30,,M. Smart misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by S. Johnson,,24-30,,
0:04.0,Turnover by B. Jennings (bad pass),,24-30,,
0:01.0,,,24-33,3,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Sullinger)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-33,,J. Sullinger misses 2-pt shot from 22 ft
11:46.0,Defensive rebound by S. Johnson,,24-33,,
11:28.0,S. Johnson misses 2-pt shot from 22 ft,,24-33,,
11:27.0,,,24-33,,Defensive rebound by Team
11:04.0,,,24-33,,M. Smart misses 3-pt shot from 23 ft
11:03.0,Defensive rebound by A. Baynes,,24-33,,
10:58.0,S. Johnson makes 2-pt shot from 1 ft (assist by A. Baynes),2,26-33,,
10:38.0,,,26-33,,E. Turner misses 2-pt shot at rim (block by A. Baynes)
10:37.0,,,26-33,,Offensive rebound by J. Sullinger
10:36.0,,,26-35,2,J. Sullinger makes 2-pt shot at rim
10:18.0,A. Baynes misses 2-pt shot from 5 ft,,26-35,,
10:17.0,,,26-35,,Defensive rebound by J. Jerebko
10:08.0,,,26-35,,R. Hunter misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by S. Johnson,,26-35,,
9:58.0,Shooting foul by M. Smart (drawn by M. Morris),,26-35,,
9:58.0,M. Morris misses free throw 1 of 2,,26-35,,
9:58.0,Offensive rebound by Team,,26-35,,
9:58.0,M. Morris makes free throw 2 of 2,1,27-35,,
