time,Detroit,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. A. Drummond (M. Morris gains possession),,,,Jump ball: W. Cauley-Stein vs. A. Drummond (M. Morris gains possession)
11:43.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by M. Morris),3,3-0,,
11:30.0,,,3-0,,R. Rondo misses 2-pt shot from 2 ft
11:29.0,,,3-0,,Offensive rebound by R. Rondo
11:28.0,,,3-2,2,R. Rondo makes 2-pt shot from 2 ft
11:11.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,3-2,,
11:10.0,Offensive rebound by A. Drummond,,3-2,,
11:00.0,K. Caldwell-Pope misses 2-pt shot from 8 ft (block by D. Cousins),,3-2,,
10:58.0,,,3-2,,Defensive rebound by D. Cousins
10:52.0,,,3-4,2,D. Cousins makes 2-pt shot from 2 ft
10:24.0,A. Drummond misses 2-pt shot from 18 ft,,3-4,,
10:23.0,,,3-4,,Defensive rebound by R. Rondo
10:14.0,,,3-4,,Turnover by W. Cauley-Stein (lost ball; steal by A. Drummond)
10:06.0,E. Ilyasova misses 3-pt shot from 23 ft,,3-4,,
10:04.0,,,3-4,,Defensive rebound by R. Gay
9:53.0,,,3-6,2,R. Gay makes 2-pt shot from 21 ft
9:42.0,,,3-6,,Personal foul by R. Gay (drawn by M. Morris)
9:40.0,K. Caldwell-Pope makes 2-pt shot from 4 ft (assist by M. Morris),2,5-6,,
9:40.0,Shooting foul by R. Rondo (drawn by K. Caldwell-Pope),,5-6,,
9:40.0,K. Caldwell-Pope makes free throw 1 of 1,1,6-6,,
9:28.0,,,6-6,,D. Cousins misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by M. Morris,,6-6,,
9:12.0,Shooting foul by W. Cauley-Stein (drawn by A. Drummond),,6-6,,
9:12.0,A. Drummond misses free throw 1 of 2,,6-6,,
9:12.0,Offensive rebound by Team,,6-6,,
9:12.0,A. Drummond misses free throw 2 of 2,,6-6,,
9:11.0,,,6-6,,Defensive rebound by D. Cousins
8:51.0,,,6-8,2,R. Gay makes 2-pt shot from 9 ft
8:29.0,M. Morris misses 2-pt shot from 2 ft (block by W. Cauley-Stein),,6-8,,
8:27.0,Offensive rebound by M. Morris,,6-8,,
8:23.0,M. Morris misses 3-pt shot from 25 ft,,6-8,,
8:22.0,,,6-8,,Defensive rebound by R. Rondo
8:18.0,,,6-10,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by R. Rondo)
7:52.0,K. Caldwell-Pope misses 2-pt shot from 6 ft,,6-10,,
7:51.0,Offensive rebound by A. Drummond,,6-10,,
7:51.0,Turnover by A. Drummond (traveling),,6-10,,
7:26.0,,,6-12,2,D. Cousins makes 2-pt shot from 21 ft (assist by R. Gay)
7:19.0,Detroit full timeout,,6-12,,
7:04.0,E. Ilyasova makes 2-pt shot from 7 ft,2,8-12,,
6:47.0,,,8-14,2,R. Gay makes 2-pt shot from 8 ft
6:47.0,,,8-14,,Shooting foul by E. Ilyasova (drawn by R. Gay)
6:47.0,,,8-15,1,R. Gay makes free throw 1 of 1
6:30.0,Turnover by R. Jackson (bad pass; steal by R. Gay),,8-15,,
6:24.0,,,8-17,2,R. Gay makes 2-pt shot from 16 ft
6:08.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson),3,11-17,,
6:00.0,,,11-17,,Shooting foul by A. Drummond (drawn by D. Cousins)
6:00.0,,,11-18,1,D. Cousins makes free throw 1 of 2
6:00.0,S. Johnson enters the game for M. Morris,,11-18,,
6:00.0,,,11-18,,D. Cousins misses free throw 2 of 2
5:59.0,Defensive rebound by E. Ilyasova,,11-18,,
5:48.0,Turnover by S. Johnson (traveling),,11-18,,
5:34.0,,,11-18,,D. Cousins misses 2-pt shot from 16 ft
5:33.0,Defensive rebound by A. Drummond,,11-18,,
5:18.0,Turnover by E. Ilyasova (bad pass; steal by W. Cauley-Stein),,11-18,,
5:13.0,,,11-18,,Offensive charge foul by J. Anderson
5:13.0,,,11-18,,Turnover by J. Anderson (offensive foul)
5:01.0,S. Johnson misses 2-pt shot from 3 ft,,11-18,,
5:01.0,,,11-18,,Defensive rebound by Team
4:41.0,,,11-18,,D. Cousins misses 2-pt shot from 3 ft
4:40.0,,,11-18,,Offensive rebound by W. Cauley-Stein
4:35.0,,,11-21,3,R. Gay makes 3-pt shot from 25 ft (assist by R. Rondo)
4:10.0,A. Drummond misses 2-pt shot from 8 ft,,11-21,,
4:09.0,Offensive rebound by A. Drummond,,11-21,,
4:07.0,Turnover by A. Drummond (lost ball; steal by R. Rondo),,11-21,,
4:03.0,,,11-21,,J. Anderson misses 2-pt shot from 2 ft
3:59.0,,,11-21,,Offensive rebound by W. Cauley-Stein
3:59.0,,,11-21,,W. Cauley-Stein misses 2-pt shot from 2 ft
3:58.0,Defensive rebound by E. Ilyasova,,11-21,,
3:43.0,S. Johnson misses 3-pt shot from 24 ft,,11-21,,
3:42.0,,,11-21,,Defensive rebound by R. Gay
3:33.0,,,11-21,,R. Gay misses 2-pt shot from 3 ft (block by E. Ilyasova)
3:31.0,Defensive rebound by S. Johnson,,11-21,,
3:17.0,R. Jackson misses 3-pt shot from 25 ft,,11-21,,
3:17.0,,,11-21,,Defensive rebound by W. Cauley-Stein
3:05.0,,,11-24,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Gay)
2:50.0,Shooting foul by W. Cauley-Stein (drawn by R. Jackson),,11-24,,
2:50.0,,,11-24,,Sacramento full timeout
2:50.0,M. Morris enters the game for K. Caldwell-Pope,,11-24,,
2:50.0,,,11-24,,M. Belinelli enters the game for W. Cauley-Stein
2:50.0,,,11-24,,K. Koufos enters the game for J. Anderson
2:50.0,R. Jackson makes free throw 1 of 2,1,12-24,,
2:50.0,R. Jackson misses free throw 2 of 2,,12-24,,
2:48.0,,,12-24,,Defensive rebound by D. Cousins
2:37.0,,,12-24,,Turnover by D. Cousins (bad pass)
2:23.0,E. Ilyasova misses 3-pt shot from 24 ft,,12-24,,
2:23.0,,,12-24,,Defensive rebound by R. Rondo
2:15.0,Shooting block foul by A. Drummond (drawn by D. Cousins),,12-24,,
2:15.0,,,12-25,1,D. Cousins makes free throw 1 of 2
2:15.0,,,12-25,,O. Casspi enters the game for R. Gay
2:15.0,A. Baynes enters the game for E. Ilyasova,,12-25,,
2:15.0,S. Blake enters the game for A. Drummond,,12-25,,
2:15.0,A. Tolliver enters the game for R. Jackson,,12-25,,
2:15.0,,,12-26,1,D. Cousins makes free throw 2 of 2
1:56.0,S. Blake makes 3-pt shot from 25 ft (assist by A. Tolliver),3,15-26,,
1:46.0,,,15-26,,K. Koufos misses 2-pt shot from 9 ft
1:45.0,Defensive rebound by S. Johnson,,15-26,,
1:42.0,Shooting foul by M. Belinelli (drawn by S. Johnson),,15-26,,
1:42.0,S. Johnson makes free throw 1 of 2,1,16-26,,
1:42.0,S. Johnson makes free throw 2 of 2,1,17-26,,
1:22.0,,,17-29,3,O. Casspi makes 3-pt shot from 23 ft (assist by D. Cousins)
1:06.0,S. Johnson makes 2-pt shot from 3 ft (assist by A. Tolliver),2,19-29,,
0:56.0,,,19-31,2,D. Cousins makes 2-pt shot from 3 ft
0:41.0,S. Blake makes 2-pt shot from 16 ft,2,21-31,,
0:33.0,,,21-34,3,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo)
0:12.0,A. Tolliver makes 2-pt shot from 22 ft (assist by M. Morris),2,23-34,,
0:02.0,,,23-36,2,R. Rondo makes 2-pt shot from 2 ft
0:00.0,S. Blake misses 3-pt shot from 47 ft,,23-36,,
0:00.0,Offensive rebound by Team,,23-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,23-36,,R. Rondo misses 3-pt shot from 22 ft
11:36.0,Defensive rebound by S. Blake,,23-36,,
11:29.0,S. Blake misses 2-pt shot from 19 ft,,23-36,,
11:27.0,,,23-36,,Defensive rebound by D. Cousins
11:15.0,,,23-38,2,K. Koufos makes 2-pt shot from 2 ft (assist by O. Casspi)
10:56.0,,,23-38,,Violation by D. Cousins (def goaltending)
10:56.0,M. Morris makes 2-pt shot from 5 ft,2,25-38,,
10:56.0,Shooting foul by M. Belinelli (drawn by M. Morris),,25-38,,
10:56.0,M. Morris misses free throw 1 of 1,,25-38,,
10:55.0,,,25-38,,Defensive rebound by K. Koufos
10:41.0,,,25-38,,R. Rondo misses 2-pt shot from 20 ft
10:40.0,Defensive rebound by M. Morris,,25-38,,
10:29.0,A. Tolliver makes 3-pt shot from 24 ft (assist by S. Blake),3,28-38,,
10:09.0,,,28-40,2,K. Koufos makes 2-pt shot from 2 ft (assist by R. Rondo)
9:49.0,M. Morris misses 2-pt shot from 3 ft,,28-40,,
9:48.0,,,28-40,,Defensive rebound by D. Cousins
9:40.0,,,28-40,,Turnover by R. Rondo (bad pass; steal by S. Blake)
9:30.0,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Johnson),3,31-40,,
9:19.0,,,31-40,,Turnover by O. Casspi (bad pass; steal by M. Morris)
9:03.0,S. Blake misses 3-pt shot from 25 ft,,31-40,,
9:03.0,,,31-40,,Defensive rebound by O. Casspi
