time,Charlotte,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. C. Zeller (R. Price gains possession),,,,Jump ball: T. Chandler vs. C. Zeller (R. Price gains possession)
11:42.0,Personal block foul by M. Williams (drawn by B. Knight),,0-0,,
11:36.0,,,0-0,,R. Price misses 2-pt shot from 1 ft
11:33.0,Defensive rebound by C. Zeller,,0-0,,
11:25.0,Turnover by J. Lin (bad pass; steal by P. Tucker),,0-0,,
11:20.0,,,0-2,2,B. Knight makes 2-pt shot from 2 ft (assist by R. Price)
10:56.0,,,0-2,,Personal foul by T. Chandler (drawn by J. Lin)
10:47.0,C. Zeller misses 2-pt shot from 1 ft,,0-2,,
10:44.0,,,0-2,,Defensive rebound by T. Chandler
10:39.0,,,0-2,,Turnover by B. Knight (bad pass; steal by P. Hairston)
10:32.0,K. Walker makes 3-pt shot from 24 ft (assist by M. Williams),3,3-2,,
10:12.0,,,3-4,2,B. Knight makes 2-pt shot from 4 ft
9:52.0,P. Hairston makes 3-pt shot from 24 ft (assist by K. Walker),3,6-4,,
9:43.0,,,6-4,,Shooting foul by J. Lin (drawn by T. Chandler)
9:43.0,,,6-5,1,T. Chandler makes free throw 1 of 2
9:43.0,,,6-6,1,T. Chandler makes free throw 2 of 2
9:30.0,J. Lin makes 2-pt shot from 2 ft,2,8-6,,
9:16.0,,,8-8,2,J. Leuer makes 2-pt shot from 9 ft (assist by T. Chandler)
9:01.0,J. Lin misses 2-pt shot from 12 ft,,8-8,,
8:59.0,Offensive rebound by C. Zeller,,8-8,,
8:52.0,K. Walker makes 2-pt shot from 6 ft (assist by J. Lin),2,10-8,,
8:39.0,,,10-11,3,P. Tucker makes 3-pt shot from 22 ft
8:32.0,Charlotte full timeout,,10-11,,
8:23.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,13-11,,
8:04.0,Personal foul by C. Zeller (drawn by J. Leuer),,13-11,,
7:58.0,,,13-13,2,R. Price makes 2-pt shot from 15 ft
7:43.0,,,13-13,,Personal foul by R. Price (drawn by J. Lin)
7:33.0,C. Zeller makes 2-pt shot at rim (assist by M. Williams),2,15-13,,
7:22.0,,,15-16,3,B. Knight makes 3-pt shot from 24 ft (assist by T. Chandler)
7:03.0,K. Walker misses 2-pt shot from 13 ft,,15-16,,
6:59.0,,,15-16,,Defensive rebound by J. Leuer
6:50.0,,,15-18,2,T. Chandler makes 2-pt shot at rim (assist by B. Knight)
6:29.0,J. Lin makes 2-pt shot at rim,2,17-18,,
6:18.0,,,17-20,2,J. Leuer makes 2-pt shot at rim
6:11.0,Charlotte full timeout,,17-20,,
6:11.0,,,17-20,,D. Booker enters the game for R. Price
6:08.0,K. Walker misses 3-pt shot from 23 ft,,17-20,,
6:06.0,,,17-20,,Defensive rebound by D. Booker
5:49.0,,,17-20,,T. Chandler misses 2-pt shot at rim (block by C. Zeller)
5:46.0,Defensive rebound by M. Williams,,17-20,,
5:39.0,P. Hairston misses 3-pt shot from 23 ft,,17-20,,
5:36.0,,,17-20,,Defensive rebound by P. Tucker
5:28.0,,,17-20,,J. Leuer misses 2-pt shot from 7 ft (block by M. Williams)
5:26.0,,,17-20,,Offensive rebound by D. Booker
5:24.0,,,17-20,,Turnover by J. Leuer (bad pass)
5:24.0,,,17-20,,A. Len enters the game for T. Chandler
5:09.0,K. Walker makes 3-pt shot from 23 ft (assist by J. Lin),3,20-20,,
4:57.0,,,20-20,,B. Knight misses 2-pt shot from 6 ft (block by K. Walker)
4:55.0,Defensive rebound by P. Hairston,,20-20,,
4:54.0,Shooting foul by J. Leuer (drawn by P. Hairston),,20-20,,
4:54.0,P. Hairston makes free throw 1 of 2,1,21-20,,
4:54.0,F. Kaminsky enters the game for M. Williams,,21-20,,
4:54.0,,,21-20,,M. Teletovic enters the game for J. Leuer
4:54.0,P. Hairston misses free throw 2 of 2,,21-20,,
4:53.0,,,21-20,,Defensive rebound by D. Booker
4:34.0,,,21-20,,M. Teletovic misses 2-pt shot from 8 ft (block by F. Kaminsky)
4:32.0,Defensive rebound by J. Lin,,21-20,,
4:14.0,F. Kaminsky misses 2-pt shot from 11 ft,,21-20,,
4:11.0,,,21-20,,Defensive rebound by B. Knight
4:01.0,,,21-20,,M. Teletovic misses 2-pt shot from 6 ft
3:59.0,Defensive rebound by C. Zeller,,21-20,,
3:48.0,K. Walker misses 2-pt shot from 7 ft,,21-20,,
3:44.0,,,21-20,,Defensive rebound by D. Booker
3:40.0,,,21-20,,D. Booker misses 2-pt shot from 6 ft
