time,Indiana,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. I. Mahinmi (C. Miles gains possession),,,,Jump ball: A. Johnson vs. I. Mahinmi (C. Miles gains possession)
11:39.0,M. Ellis makes 2-pt shot from 2 ft,2,2-0,,
11:26.0,,,2-0,,Turnover by J. Sullinger (bad pass; steal by C. Miles)
11:15.0,C. Miles misses 2-pt shot from 18 ft,,2-0,,
11:14.0,,,2-0,,Defensive rebound by I. Thomas
11:03.0,,,2-0,,Turnover by A. Johnson (lost ball; steal by C. Miles)
10:57.0,C. Miles makes 2-pt shot from 2 ft (assist by G. Hill),2,4-0,,
10:45.0,,,4-0,,Offensive foul by J. Crowder
10:45.0,,,4-0,,Turnover by J. Crowder (offensive foul)
10:31.0,P. George misses 2-pt shot from 20 ft,,4-0,,
10:31.0,,,4-0,,Defensive rebound by A. Johnson
10:18.0,,,4-0,,E. Turner misses 2-pt shot from 2 ft (block by I. Mahinmi)
10:17.0,Defensive rebound by G. Hill,,4-0,,
10:08.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by G. Hill),2,6-0,,
9:55.0,,,6-0,,Shooting foul by P. George (drawn by A. Johnson)
9:55.0,,,6-0,,A. Johnson misses free throw 1 of 2
9:55.0,,,6-0,,Offensive rebound by Team
9:55.0,,,6-1,1,A. Johnson makes free throw 2 of 2
9:42.0,Shooting foul by E. Turner (drawn by I. Mahinmi),,6-1,,
9:42.0,I. Mahinmi misses free throw 1 of 2,,6-1,,
9:42.0,Offensive rebound by Team,,6-1,,
9:42.0,I. Mahinmi misses free throw 2 of 2,,6-1,,
9:42.0,,,6-1,,Defensive rebound by J. Crowder
9:27.0,,,6-3,2,A. Johnson makes 2-pt shot from 4 ft (assist by I. Thomas)
9:08.0,G. Hill misses 2-pt shot from 17 ft,,6-3,,
9:07.0,,,6-3,,Defensive rebound by J. Sullinger
8:55.0,,,6-3,,A. Johnson misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by P. George,,6-3,,
8:44.0,C. Miles misses 3-pt shot from 23 ft,,6-3,,
8:43.0,,,6-3,,Defensive rebound by J. Crowder
8:36.0,,,6-6,3,I. Thomas makes 3-pt shot from 24 ft
8:24.0,C. Miles makes 2-pt shot from 3 ft,2,8-6,,
8:24.0,Shooting foul by I. Thomas (drawn by C. Miles),,8-6,,
8:24.0,C. Miles makes free throw 1 of 1,1,9-6,,
8:13.0,,,9-6,,I. Thomas misses 2-pt shot from 13 ft
8:12.0,Defensive rebound by P. George,,9-6,,
8:03.0,I. Mahinmi misses 2-pt shot from 4 ft,,9-6,,
8:02.0,Offensive rebound by Team,,9-6,,
8:02.0,,,9-6,,Loose ball foul by I. Thomas (drawn by G. Hill)
7:58.0,P. George makes 2-pt shot from 5 ft (assist by M. Ellis),2,11-6,,
7:47.0,,,11-6,,Shooting foul by C. Miles (drawn by J. Crowder)
7:47.0,,,11-7,1,J. Crowder makes free throw 1 of 2
7:47.0,,,11-8,1,J. Crowder makes free throw 2 of 2
7:36.0,P. George misses 3-pt shot from 24 ft,,11-8,,
7:35.0,,,11-8,,Defensive rebound by J. Sullinger
7:18.0,,,11-11,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
6:58.0,Turnover by I. Mahinmi (3 sec),,11-11,,
6:45.0,,,11-13,2,E. Turner makes 2-pt shot from 14 ft (assist by A. Johnson)
6:30.0,C. Miles makes 3-pt shot from 24 ft (assist by M. Ellis),3,14-13,,
6:03.0,,,14-13,,J. Sullinger misses 2-pt shot from 16 ft
6:02.0,Defensive rebound by C. Miles,,14-13,,
5:46.0,C. Miles misses 3-pt shot from 25 ft,,14-13,,
5:45.0,,,14-13,,Defensive rebound by J. Crowder
5:30.0,,,14-13,,J. Crowder misses 3-pt shot from 23 ft
5:29.0,Defensive rebound by Team,,14-13,,
5:29.0,,,14-13,,Loose ball foul by A. Johnson (drawn by I. Mahinmi)
5:29.0,,,14-13,,Boston full timeout
5:29.0,,,14-13,,M. Smart enters the game for A. Johnson
5:29.0,,,14-13,,J. Jerebko enters the game for I. Thomas
5:11.0,I. Mahinmi makes 2-pt shot at rim (assist by P. George),2,16-13,,
5:00.0,,,16-13,,Turnover by J. Sullinger (offensive goaltending)
4:43.0,,,16-13,,Personal foul by M. Smart (drawn by M. Ellis)
4:43.0,M. Ellis misses free throw 1 of 2,,16-13,,
4:43.0,Offensive rebound by Team,,16-13,,
4:43.0,,,16-13,,K. Olynyk enters the game for J. Sullinger
4:43.0,M. Ellis makes free throw 2 of 2,1,17-13,,
4:31.0,,,17-13,,J. Jerebko misses 2-pt shot from 8 ft
4:30.0,Defensive rebound by Team,,17-13,,
4:30.0,C. Budinger enters the game for G. Hill,,17-13,,
4:21.0,Shooting foul by J. Jerebko (drawn by C. Miles),,17-13,,
4:21.0,C. Miles makes free throw 1 of 3,1,18-13,,
4:21.0,C. Miles makes free throw 2 of 3,1,19-13,,
4:21.0,C. Miles makes free throw 3 of 3,1,20-13,,
4:08.0,Personal foul by M. Ellis (drawn by M. Smart),,20-13,,
3:59.0,,,20-15,2,E. Turner makes 2-pt shot from 13 ft (assist by K. Olynyk)
3:40.0,C. Budinger misses 2-pt shot from 11 ft,,20-15,,
3:39.0,,,20-15,,Defensive rebound by J. Jerebko
3:28.0,,,20-17,2,E. Turner makes 2-pt shot from 11 ft
