time,LA Clippers,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Jordan (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. D. Jordan (R. Jackson gains possession)
11:39.0,,,0-0,,E. Ilyasova misses 2-pt shot from 13 ft
11:39.0,,,0-0,,Offensive rebound by R. Jackson
11:25.0,,,0-0,,Turnover by A. Drummond (bad pass; steal by C. Paul)
11:18.0,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul),3,3-0,,
10:54.0,,,3-0,,M. Morris misses 2-pt shot from 16 ft
10:51.0,Defensive rebound by B. Griffin,,3-0,,
10:35.0,B. Griffin makes 2-pt shot from 18 ft (assist by J. Redick),2,5-0,,
10:19.0,,,5-0,,A. Drummond misses 2-pt shot from 7 ft
10:18.0,Defensive rebound by L. Mbah a Moute,,5-0,,
10:08.0,C. Paul makes 2-pt shot from 18 ft,2,7-0,,
9:54.0,Personal foul by J. Redick (drawn by E. Ilyasova),,7-0,,
9:42.0,,,7-2,2,R. Jackson makes 2-pt shot from 17 ft
9:38.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,9-2,,
9:19.0,,,9-2,,A. Drummond misses 2-pt shot from 8 ft
9:17.0,Defensive rebound by J. Redick,,9-2,,
9:07.0,C. Paul misses 2-pt shot from 9 ft,,9-2,,
9:06.0,Offensive rebound by D. Jordan,,9-2,,
9:04.0,D. Jordan makes 2-pt shot at rim,2,11-2,,
9:00.0,,,11-2,,Detroit full timeout
8:51.0,,,11-2,,A. Drummond misses 2-pt shot at rim
8:49.0,,,11-2,,Offensive rebound by R. Jackson
8:39.0,,,11-2,,K. Caldwell-Pope misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by C. Paul,,11-2,,
8:24.0,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul),2,13-2,,
8:17.0,,,13-2,,Shooting foul by D. Jordan (drawn by R. Jackson)
8:17.0,,,13-3,1,R. Jackson makes free throw 1 of 2
8:17.0,,,13-4,1,R. Jackson makes free throw 2 of 2
8:03.0,J. Redick misses 2-pt shot from 20 ft,,13-4,,
8:03.0,,,13-4,,Defensive rebound by M. Morris
7:55.0,,,13-4,,R. Jackson misses 2-pt shot at rim
7:54.0,Defensive rebound by L. Mbah a Moute,,13-4,,
7:54.0,,,13-4,,Technical foul by Team
7:54.0,C. Paul makes technical free throw,1,14-4,,
7:37.0,B. Griffin misses 2-pt shot from 19 ft,,14-4,,
7:37.0,,,14-4,,Defensive rebound by Team
7:18.0,,,14-4,,Turnover by M. Morris (lost ball; steal by L. Mbah a Moute)
7:10.0,L. Mbah a Moute misses 2-pt shot at rim,,14-4,,
7:10.0,,,14-4,,Defensive rebound by E. Ilyasova
7:01.0,,,14-6,2,K. Caldwell-Pope makes 2-pt shot from 8 ft
6:51.0,C. Paul makes 2-pt shot from 11 ft,2,16-6,,
6:30.0,,,16-6,,A. Drummond misses 2-pt shot from 9 ft
6:30.0,,,16-6,,Offensive rebound by E. Ilyasova
6:30.0,,,16-6,,E. Ilyasova misses 2-pt shot at rim
6:30.0,,,16-6,,Offensive rebound by Team
6:21.0,,,16-8,2,R. Jackson makes 2-pt shot from 15 ft
6:15.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,18-8,,
6:00.0,,,18-11,3,R. Jackson makes 3-pt shot from 26 ft
5:57.0,,,18-11,,Personal foul by E. Ilyasova (drawn by B. Griffin)
5:42.0,B. Griffin misses 2-pt shot from 17 ft,,18-11,,
5:42.0,,,18-11,,Defensive rebound by R. Jackson
5:33.0,,,18-13,2,R. Jackson makes 2-pt shot at rim
5:14.0,J. Redick makes 2-pt shot from 20 ft (assist by B. Griffin),2,20-13,,
5:04.0,,,20-13,,Turnover by R. Jackson (lost ball)
5:04.0,W. Johnson enters the game for L. Mbah a Moute,,20-13,,
4:52.0,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin),2,22-13,,
4:37.0,,,22-13,,K. Caldwell-Pope misses 2-pt shot at rim
4:37.0,Defensive rebound by C. Paul,,22-13,,
4:37.0,,,22-13,,Personal foul by K. Caldwell-Pope (drawn by C. Paul)
4:37.0,,,22-13,,A. Tolliver enters the game for E. Ilyasova
4:24.0,J. Redick misses 2-pt shot from 14 ft,,22-13,,
4:23.0,Offensive rebound by D. Jordan,,22-13,,
4:11.0,D. Jordan misses 2-pt shot from 1 ft,,22-13,,
4:11.0,,,22-13,,Defensive rebound by A. Tolliver
4:10.0,,,22-13,,Shooting foul by B. Griffin (drawn by K. Caldwell-Pope)
4:10.0,,,22-14,1,K. Caldwell-Pope makes free throw 1 of 2
4:10.0,,,22-15,1,K. Caldwell-Pope makes free throw 2 of 2
4:01.0,C. Paul misses 2-pt shot from 19 ft,,22-15,,
4:01.0,,,22-15,,Defensive rebound by A. Drummond
3:53.0,,,22-15,,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by D. Jordan)
3:53.0,,,22-15,,Offensive rebound by Team
3:53.0,J. Crawford enters the game for J. Redick,,22-15,,
3:53.0,J. Smith enters the game for B. Griffin,,22-15,,
3:42.0,,,22-17,2,K. Caldwell-Pope makes 2-pt shot from 15 ft
3:10.0,C. Paul misses 2-pt shot from 15 ft,,22-17,,
3:09.0,,,22-17,,Defensive rebound by M. Morris
3:04.0,,,22-17,,M. Morris misses 2-pt shot from 17 ft
3:04.0,Defensive rebound by Team,,22-17,,
2:55.0,C. Paul misses 2-pt shot from 7 ft,,22-17,,
2:55.0,,,22-17,,Defensive rebound by M. Morris
2:44.0,,,22-20,3,A. Tolliver makes 3-pt shot from 25 ft (assist by A. Drummond)
2:37.0,LA Clippers full timeout,,22-20,,
2:37.0,,,22-20,,S. Blake enters the game for M. Morris
2:37.0,,,22-20,,S. Johnson enters the game for R. Jackson
2:37.0,A. Rivers enters the game for C. Paul,,22-20,,
2:24.0,W. Johnson makes 3-pt shot from 27 ft (assist by J. Crawford),3,25-20,,
2:10.0,,,25-20,,Turnover by S. Blake (bad pass; steal by J. Smith)
2:03.0,W. Johnson misses 2-pt shot from 20 ft,,25-20,,
2:02.0,Offensive rebound by D. Jordan,,25-20,,
1:57.0,J. Smith misses 2-pt shot from 15 ft,,25-20,,
1:56.0,,,25-20,,Defensive rebound by A. Drummond
1:53.0,,,25-20,,Turnover by S. Blake (bad pass; steal by W. Johnson)
1:44.0,J. Crawford misses 3-pt shot from 25 ft,,25-20,,
1:44.0,,,25-20,,Defensive rebound by A. Drummond
1:25.0,,,25-20,,Shooting foul by J. Smith (drawn by K. Caldwell-Pope)
1:25.0,,,25-20,,K. Caldwell-Pope misses free throw 1 of 3
1:25.0,,,25-20,,Offensive rebound by Team
1:25.0,,,25-21,1,K. Caldwell-Pope makes free throw 2 of 3
1:25.0,,,25-22,1,K. Caldwell-Pope makes free throw 3 of 3
1:05.0,A. Rivers misses 3-pt shot from 27 ft,,25-22,,
1:04.0,,,25-22,,Defensive rebound by K. Caldwell-Pope
0:59.0,,,25-24,2,A. Drummond makes 2-pt shot from 5 ft (assist by K. Caldwell-Pope)
0:39.0,D. Jordan makes 2-pt shot at rim (assist by J. Smith),2,27-24,,
0:23.0,,,27-27,3,S. Blake makes 3-pt shot from 25 ft (assist by S. Johnson)
0:02.0,P. Pierce enters the game for D. Jordan,,27-27,,
0:01.0,P. Pierce misses 3-pt shot from 26 ft,,27-27,,
0:00.0,Offensive rebound by Team,,27-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
