time,Charlotte,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. C. Zeller (G. Dragic gains possession),,,,Jump ball: H. Whiteside vs. C. Zeller (G. Dragic gains possession)
11:41.0,,,0-0,,L. Deng misses 2-pt shot from 17 ft
11:40.0,Defensive rebound by N. Batum,,0-0,,
11:31.0,C. Zeller makes 2-pt shot from 18 ft (assist by N. Batum),2,2-0,,
11:10.0,,,2-2,2,H. Whiteside makes 2-pt shot from 2 ft
10:57.0,Shooting foul by D. Wade (drawn by C. Zeller),,2-2,,
10:57.0,C. Zeller misses free throw 1 of 2,,2-2,,
10:57.0,Offensive rebound by Team,,2-2,,
10:57.0,C. Zeller makes free throw 2 of 2,1,3-2,,
10:34.0,,,3-5,3,J. Johnson makes 3-pt shot from 25 ft
10:20.0,N. Batum misses 3-pt shot from 24 ft,,3-5,,
10:19.0,,,3-5,,Defensive rebound by H. Whiteside
10:05.0,,,3-7,2,D. Wade makes 2-pt shot from 2 ft (assist by H. Whiteside)
9:47.0,C. Zeller makes 2-pt shot from 2 ft,2,5-7,,
9:20.0,,,5-7,,D. Wade misses 2-pt shot from 12 ft
9:19.0,Defensive rebound by N. Batum,,5-7,,
9:15.0,Shooting foul by J. Johnson (drawn by C. Lee),,5-7,,
9:15.0,C. Lee misses free throw 1 of 2,,5-7,,
9:15.0,Offensive rebound by Team,,5-7,,
9:15.0,C. Lee makes free throw 2 of 2,1,6-7,,
9:03.0,,,6-7,,Turnover by J. Johnson (lost ball; steal by M. Williams)
8:54.0,K. Walker makes 3-pt shot from 25 ft,3,9-7,,
8:41.0,,,9-9,2,D. Wade makes 2-pt shot from 22 ft
8:27.0,K. Walker makes 2-pt shot from 16 ft,2,11-9,,
8:10.0,,,11-9,,G. Dragic misses 2-pt shot from 10 ft (block by K. Walker)
8:10.0,Jump ball: G. Dragic vs. K. Walker (C. Zeller gains possession),,,,Jump ball: G. Dragic vs. K. Walker (C. Zeller gains possession)
8:09.0,Defensive rebound by Team,,11-9,,
8:00.0,K. Walker misses 2-pt shot from 6 ft,,11-9,,
7:59.0,,,11-9,,Defensive rebound by H. Whiteside
7:53.0,,,11-11,2,L. Deng makes 2-pt shot from 12 ft (assist by G. Dragic)
7:42.0,Shooting foul by H. Whiteside (drawn by K. Walker),,11-11,,
7:42.0,K. Walker makes free throw 1 of 2,1,12-11,,
7:42.0,K. Walker makes free throw 2 of 2,1,13-11,,
7:29.0,Personal foul by C. Zeller,,13-11,,
7:15.0,,,13-11,,Turnover by Team (shot clock)
7:08.0,K. Walker misses 2-pt shot from 16 ft,,13-11,,
7:07.0,,,13-11,,Defensive rebound by L. Deng
6:56.0,,,13-13,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
6:39.0,N. Batum makes 2-pt shot from 12 ft (assist by K. Walker),2,15-13,,
6:25.0,,,15-13,,D. Wade misses 2-pt shot from 16 ft
6:24.0,Defensive rebound by N. Batum,,15-13,,
6:19.0,C. Lee misses 2-pt shot from 6 ft (block by H. Whiteside),,15-13,,
6:18.0,,,15-13,,Defensive rebound by G. Dragic
6:15.0,,,15-15,2,D. Wade makes 2-pt shot from 2 ft (assist by G. Dragic)
5:58.0,C. Zeller makes 2-pt shot from 14 ft (assist by N. Batum),2,17-15,,
5:42.0,,,17-15,,D. Wade misses 2-pt shot from 17 ft
5:41.0,,,17-15,,Offensive rebound by D. Wade
5:37.0,,,17-17,2,H. Whiteside makes 2-pt shot from 8 ft (assist by D. Wade)
5:20.0,M. Williams misses 3-pt shot from 24 ft,,17-17,,
5:19.0,,,17-17,,Defensive rebound by H. Whiteside
5:07.0,,,17-19,2,G. Dragic makes 2-pt shot from 12 ft
5:02.0,,,17-19,,Personal foul by H. Whiteside
5:02.0,,,17-19,,Miami full timeout
5:02.0,A. Jefferson enters the game for C. Zeller,,17-19,,
5:02.0,J. Lin enters the game for C. Lee,,17-19,,
5:02.0,,,17-19,,A. Stoudemire enters the game for L. Deng
5:02.0,,,17-19,,J. Richardson enters the game for H. Whiteside
5:02.0,,,17-19,,J. Winslow enters the game for G. Dragic
4:48.0,M. Williams misses 2-pt shot from 7 ft,,17-19,,
4:47.0,,,17-19,,Defensive rebound by J. Winslow
4:35.0,,,17-19,,D. Wade misses 2-pt shot from 14 ft
4:34.0,Defensive rebound by K. Walker,,17-19,,
4:19.0,N. Batum misses 2-pt shot from 15 ft,,17-19,,
4:18.0,Offensive rebound by Team,,17-19,,
4:18.0,,,17-19,,Loose ball foul by J. Winslow
4:18.0,M. Williams misses free throw 1 of 2,,17-19,,
4:18.0,Offensive rebound by Team,,17-19,,
4:18.0,M. Williams misses free throw 2 of 2,,17-19,,
4:17.0,,,17-19,,Defensive rebound by A. Stoudemire
4:00.0,,,17-21,2,J. Winslow makes 2-pt shot from 19 ft (assist by J. Johnson)
3:43.0,K. Walker misses 2-pt shot from 3 ft,,17-21,,
3:42.0,Offensive rebound by K. Walker,,17-21,,
3:37.0,J. Lin misses 3-pt shot from 25 ft,,17-21,,
3:36.0,Offensive rebound by M. Williams,,17-21,,
3:30.0,K. Walker misses 2-pt shot from 15 ft,,17-21,,
3:29.0,,,17-21,,Defensive rebound by D. Wade
3:25.0,,,17-23,2,D. Wade makes 2-pt shot from 3 ft
3:25.0,,,17-23,,Shooting foul by J. Lin (drawn by D. Wade)
3:25.0,,,17-24,1,D. Wade makes free throw 1 of 1
3:10.0,J. Lin makes 2-pt shot from 9 ft,2,19-24,,
2:52.0,,,19-24,,Turnover by D. Wade (bad pass)
2:52.0,Charlotte full timeout,,19-24,,
2:52.0,C. Lee enters the game for N. Batum,,19-24,,
2:52.0,F. Kaminsky enters the game for M. Williams,,19-24,,
2:52.0,,,19-24,,G. Dragic enters the game for D. Wade
2:39.0,,,19-24,,Personal foul by G. Dragic
2:39.0,J. Lin makes free throw 1 of 2,1,20-24,,
2:39.0,J. Lin makes free throw 2 of 2,1,21-24,,
2:23.0,,,21-24,,Turnover by A. Stoudemire (lost ball; steal by A. Jefferson)
2:12.0,J. Lin makes 2-pt shot from 2 ft,2,23-24,,
2:01.0,,,23-27,3,G. Dragic makes 3-pt shot from 25 ft
1:46.0,K. Walker makes 2-pt shot from 2 ft (assist by A. Jefferson),2,25-27,,
1:32.0,,,25-27,,J. Richardson misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by F. Kaminsky,,25-27,,
1:22.0,Shooting foul by G. Dragic (drawn by J. Lin),,25-27,,
1:22.0,J. Lin makes free throw 1 of 2,1,26-27,,
1:22.0,,,26-27,,L. Deng enters the game for J. Johnson
1:22.0,,,26-27,,G. Green enters the game for G. Dragic
1:22.0,J. Lin makes free throw 2 of 2,1,27-27,,
1:03.0,,,27-27,,Offensive charge foul by G. Green
1:03.0,,,27-27,,Turnover by G. Green (offensive foul)
0:47.0,A. Jefferson misses 2-pt shot from 12 ft,,27-27,,
0:46.0,,,27-27,,Defensive rebound by J. Richardson
0:40.0,,,27-29,2,J. Richardson makes 2-pt shot from 20 ft
0:30.0,Shooting foul by J. Richardson (drawn by K. Walker),,27-29,,
0:30.0,K. Walker makes free throw 1 of 2,1,28-29,,
0:30.0,,,28-29,,J. Johnson enters the game for G. Green
0:30.0,K. Walker makes free throw 2 of 2,1,29-29,,
0:11.0,,,29-29,,Turnover by J. Johnson (bad pass)
0:01.0,K. Walker misses 3-pt shot from 25 ft,,29-29,,
0:00.0,Offensive rebound by A. Jefferson,,29-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,29-29,,Violation by A. Stoudemire (kicked ball)
11:38.0,J. Lin misses 3-pt shot from 25 ft,,29-29,,
11:37.0,,,29-29,,Defensive rebound by L. Deng
11:20.0,,,29-32,3,L. Deng makes 3-pt shot from 25 ft (assist by J. Richardson)
11:02.0,F. Kaminsky misses 2-pt shot from 5 ft,,29-32,,
11:01.0,Offensive rebound by A. Jefferson,,29-32,,
11:01.0,A. Jefferson makes 2-pt shot from 1 ft,2,31-32,,
10:42.0,,,31-34,2,J. Winslow makes 2-pt shot from 20 ft (assist by L. Deng)
10:22.0,,,31-34,,Personal foul by A. Stoudemire
10:22.0,,,31-34,,D. Wade enters the game for G. Green
10:08.0,A. Jefferson makes 2-pt shot from 16 ft (assist by C. Lee),2,33-34,,
9:49.0,,,33-34,,Shooting foul by J. Lin (drawn by J. Richardson)
9:49.0,,,33-35,1,J. Richardson makes free throw 1 of 3
9:49.0,,,33-36,1,J. Richardson makes free throw 2 of 3
9:49.0,,,33-36,,H. Whiteside enters the game for A. Stoudemire
9:49.0,,,33-37,1,J. Richardson makes free throw 3 of 3
9:32.0,Turnover by A. Jefferson (lost ball; steal by D. Wade),,33-37,,
9:29.0,,,33-37,,Turnover by J. Winslow (traveling)
9:11.0,A. Jefferson makes 2-pt shot from 15 ft,2,35-37,,
8:55.0,,,35-39,2,J. Richardson makes 2-pt shot from 2 ft
8:39.0,A. Jefferson makes 2-pt shot from 3 ft,2,37-39,,
8:22.0,,,37-39,,L. Deng misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by N. Batum,,37-39,,
8:12.0,N. Batum makes 2-pt shot from 2 ft,2,39-39,,
7:55.0,,,39-41,2,H. Whiteside makes 2-pt shot from 6 ft (assist by D. Wade)
7:43.0,A. Jefferson makes 2-pt shot at rim (assist by N. Batum),2,41-41,,
7:20.0,,,41-43,2,D. Wade makes 2-pt shot from 2 ft
6:54.0,A. Jefferson makes 2-pt shot from 11 ft,2,43-43,,
6:49.0,,,43-43,,Miami full timeout
6:49.0,K. Walker enters the game for J. Lin,,43-43,,
6:35.0,,,43-43,,J. Richardson misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by F. Kaminsky,,43-43,,
6:16.0,A. Jefferson makes 2-pt shot from 13 ft,2,45-43,,
5:50.0,,,45-45,2,H. Whiteside makes 2-pt shot from 9 ft
5:31.0,Turnover by A. Jefferson (step out of bounds),,45-45,,
5:31.0,Official timeout,,45-45,,
5:31.0,M. Williams enters the game for F. Kaminsky,,45-45,,
5:31.0,,,45-45,,G. Dragic enters the game for L. Deng
5:31.0,,,45-45,,J. Johnson enters the game for J. Richardson
5:09.0,,,45-45,,D. Wade misses 2-pt shot from 11 ft
5:08.0,,,45-45,,Offensive rebound by H. Whiteside
5:07.0,,,45-47,2,H. Whiteside makes 2-pt shot at rim
4:51.0,N. Batum misses 2-pt shot from 2 ft,,45-47,,
4:50.0,Offensive rebound by A. Jefferson,,45-47,,
4:49.0,A. Jefferson makes 2-pt shot at rim,2,47-47,,
4:25.0,,,47-49,2,J. Johnson makes 2-pt shot from 12 ft
4:02.0,A. Jefferson misses 2-pt shot from 5 ft,,47-49,,
4:01.0,,,47-49,,Defensive rebound by J. Winslow
3:44.0,,,47-52,3,J. Winslow makes 3-pt shot from 23 ft (assist by D. Wade)
3:20.0,Turnover by K. Walker (lost ball; steal by H. Whiteside),,47-52,,
3:17.0,,,47-52,,Shooting foul by C. Lee (drawn by G. Dragic)
3:17.0,,,47-53,1,G. Dragic makes free throw 1 of 2
3:17.0,C. Zeller enters the game for A. Jefferson,,47-53,,
3:17.0,,,47-53,,L. Deng enters the game for D. Wade
3:17.0,,,47-54,1,G. Dragic makes free throw 2 of 2
3:04.0,Shooting foul by J. Winslow (drawn by N. Batum),,47-54,,
3:04.0,N. Batum makes free throw 1 of 3,1,48-54,,
3:04.0,N. Batum makes free throw 2 of 3,1,49-54,,
3:04.0,N. Batum makes free throw 3 of 3,1,50-54,,
2:53.0,,,50-57,3,G. Dragic makes 3-pt shot from 25 ft
2:38.0,K. Walker makes 2-pt shot from 2 ft,2,52-57,,
2:27.0,,,52-60,3,G. Dragic makes 3-pt shot from 25 ft
2:12.0,K. Walker makes 2-pt shot from 2 ft,2,54-60,,
2:00.0,,,54-60,,Shooting foul by C. Zeller (drawn by L. Deng)
2:00.0,,,54-62,2,L. Deng makes 2-pt shot from 12 ft (assist by G. Dragic)
2:00.0,Charlotte full timeout,,54-62,,
2:00.0,,,54-62,,L. Deng misses free throw 1 of 1
1:59.0,Defensive rebound by N. Batum,,54-62,,
1:44.0,K. Walker makes 2-pt shot from 14 ft,2,56-62,,
1:25.0,,,56-64,2,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Johnson)
1:25.0,,,56-64,,Shooting foul by C. Zeller (drawn by H. Whiteside)
1:25.0,,,56-64,,D. Wade enters the game for J. Winslow
1:25.0,,,56-64,,J. Richardson enters the game for G. Dragic
1:25.0,A. Jefferson enters the game for C. Zeller,,56-64,,
1:25.0,,,56-65,1,H. Whiteside makes free throw 1 of 1
1:11.0,K. Walker makes 2-pt shot from 2 ft,2,58-65,,
1:01.0,,,58-67,2,D. Wade makes 2-pt shot from 12 ft
0:47.0,N. Batum misses 3-pt shot from 25 ft,,58-67,,
0:46.0,,,58-67,,Defensive rebound by H. Whiteside
0:40.0,,,58-70,3,L. Deng makes 3-pt shot from 24 ft (assist by D. Wade)
0:29.0,A. Jefferson misses 2-pt shot from 14 ft (block by H. Whiteside),,58-70,,
0:28.0,,,58-70,,Defensive rebound by L. Deng
0:08.0,,,58-72,2,D. Wade makes 2-pt shot from 16 ft
0:00.0,K. Walker makes 2-pt shot from 2 ft,2,60-72,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,M. Williams misses 2-pt shot from 12 ft,,60-72,,
11:45.0,Offensive rebound by C. Zeller,,60-72,,
11:43.0,C. Zeller misses 2-pt shot at rim,,60-72,,
11:42.0,Offensive rebound by M. Williams,,60-72,,
11:41.0,M. Williams misses 2-pt shot from 1 ft,,60-72,,
11:40.0,Offensive rebound by M. Williams,,60-72,,
11:39.0,M. Williams misses 2-pt shot from 1 ft,,60-72,,
11:38.0,Offensive rebound by M. Williams,,60-72,,
11:37.0,M. Williams misses 2-pt shot from 1 ft,,60-72,,
11:36.0,Offensive rebound by C. Zeller,,60-72,,
11:35.0,C. Zeller misses 2-pt shot from 1 ft,,60-72,,
11:34.0,,,60-72,,Defensive rebound by D. Wade
11:25.0,,,60-74,2,L. Deng makes 2-pt shot from 7 ft (assist by D. Wade)
11:12.0,K. Walker misses 2-pt shot from 2 ft,,60-74,,
11:11.0,,,60-74,,Defensive rebound by H. Whiteside
11:05.0,,,60-74,,G. Dragic misses 2-pt shot from 15 ft
11:04.0,Defensive rebound by C. Zeller,,60-74,,
10:51.0,N. Batum makes 2-pt shot from 17 ft (assist by K. Walker),2,62-74,,
10:28.0,,,62-74,,L. Deng misses 3-pt shot from 24 ft
10:27.0,Defensive rebound by C. Zeller,,62-74,,
10:16.0,C. Zeller misses 2-pt shot from 5 ft,,62-74,,
10:15.0,,,62-74,,Defensive rebound by G. Dragic
10:06.0,,,62-74,,G. Dragic misses 2-pt shot from 1 ft
10:05.0,Defensive rebound by C. Zeller,,62-74,,
9:53.0,M. Williams misses 2-pt shot from 10 ft,,62-74,,
9:52.0,,,62-74,,Defensive rebound by H. Whiteside
9:37.0,,,62-76,2,H. Whiteside makes 2-pt shot from 3 ft (assist by D. Wade)
9:18.0,C. Lee makes 2-pt shot from 17 ft,2,64-76,,
9:01.0,,,64-76,,D. Wade misses 2-pt shot from 12 ft
9:00.0,Defensive rebound by Team,,64-76,,
9:00.0,,,64-76,,Loose ball foul by L. Deng
8:47.0,K. Walker makes 2-pt shot from 2 ft,2,66-76,,
8:25.0,,,66-76,,J. Johnson misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by C. Lee,,66-76,,
8:08.0,Turnover by N. Batum (lost ball; steal by D. Wade),,66-76,,
8:06.0,,,66-76,,Turnover by D. Wade (lost ball; steal by K. Walker)
7:58.0,N. Batum misses 3-pt shot from 24 ft,,66-76,,
7:57.0,Offensive rebound by K. Walker,,66-76,,
7:51.0,M. Williams misses 3-pt shot from 24 ft,,66-76,,
7:50.0,,,66-76,,Defensive rebound by H. Whiteside
7:42.0,,,66-76,,D. Wade misses 2-pt shot from 20 ft
7:41.0,Defensive rebound by M. Williams,,66-76,,
7:24.0,C. Lee makes 2-pt shot from 17 ft,2,68-76,,
7:24.0,,,68-76,,Loose ball foul by D. Wade
7:24.0,C. Zeller makes free throw 1 of 1,1,69-76,,
7:15.0,Personal foul by C. Zeller,,69-76,,
7:15.0,,,69-76,,G. Dragic misses free throw 1 of 2
7:15.0,,,69-76,,Offensive rebound by Team
7:15.0,A. Jefferson enters the game for C. Zeller,,69-76,,
7:15.0,,,69-77,1,G. Dragic makes free throw 2 of 2
7:06.0,K. Walker misses 2-pt shot from 2 ft (block by G. Dragic),,69-77,,
7:05.0,Offensive rebound by Team,,69-77,,
7:02.0,M. Williams misses 2-pt shot from 16 ft,,69-77,,
7:01.0,,,69-77,,Defensive rebound by H. Whiteside
6:47.0,,,69-77,,D. Wade misses 2-pt shot from 7 ft
6:46.0,Defensive rebound by A. Jefferson,,69-77,,
6:40.0,C. Lee misses 3-pt shot from 25 ft,,69-77,,
6:39.0,Offensive rebound by M. Williams,,69-77,,
6:38.0,M. Williams misses 2-pt shot from 1 ft,,69-77,,
6:37.0,,,69-77,,Defensive rebound by J. Johnson
6:31.0,,,69-79,2,D. Wade makes 2-pt shot from 12 ft (assist by J. Johnson)
6:17.0,N. Batum misses 2-pt shot from 14 ft,,69-79,,
6:16.0,,,69-79,,Defensive rebound by J. Johnson
6:13.0,,,69-79,,J. Richardson enters the game for G. Dragic
6:05.0,,,69-82,3,J. Richardson makes 3-pt shot from 24 ft (assist by D. Wade)
5:45.0,N. Batum misses 2-pt shot from 16 ft,,69-82,,
5:41.0,Offensive rebound by N. Batum,,69-82,,
5:38.0,N. Batum misses 3-pt shot from 23 ft,,69-82,,
5:37.0,,,69-82,,Defensive rebound by H. Whiteside
5:28.0,,,69-84,2,J. Johnson makes 2-pt shot from 6 ft
5:28.0,Charlotte full timeout,,69-84,,
5:10.0,C. Lee makes 2-pt shot from 19 ft (assist by K. Walker),2,71-84,,
4:50.0,,,71-86,2,D. Wade makes 2-pt shot from 18 ft
4:22.0,A. Jefferson makes 2-pt shot from 12 ft,2,73-86,,
4:13.0,F. Kaminsky enters the game for M. Williams,,73-86,,
4:13.0,J. Lin enters the game for C. Lee,,73-86,,
