time,Philadelphia,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Noel (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. N. Noel (S. Ibaka gains possession)
11:40.0,,,0-2,2,R. Westbrook makes 2-pt shot at rim
11:22.0,N. Noel makes 2-pt shot from 14 ft (assist by N. Stauskas),2,2-2,,
11:01.0,,,2-2,,S. Adams misses 2-pt shot from 2 ft (block by J. Okafor)
11:00.0,Defensive rebound by N. Noel,,2-2,,
10:42.0,J. Grant misses 2-pt shot from 3 ft,,2-2,,
10:42.0,,,2-2,,Defensive rebound by R. Westbrook
10:37.0,,,2-2,,A. Roberson misses 2-pt shot at rim
10:37.0,Defensive rebound by Team,,2-2,,
10:25.0,N. Stauskas makes 2-pt shot from 17 ft,2,4-2,,
10:08.0,,,4-2,,A. Morrow misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by J. Grant,,4-2,,
9:50.0,N. Noel misses 2-pt shot from 18 ft,,4-2,,
9:50.0,,,4-2,,Defensive rebound by R. Westbrook
9:41.0,,,4-2,,R. Westbrook misses 2-pt shot from 13 ft
9:41.0,Defensive rebound by J. Okafor,,4-2,,
9:30.0,Turnover by J. Okafor (lost ball; steal by S. Ibaka),,4-2,,
9:25.0,,,4-2,,A. Roberson misses 2-pt shot from 1 ft
9:23.0,,,4-2,,Offensive rebound by R. Westbrook
9:23.0,,,4-2,,R. Westbrook misses 2-pt shot from 1 ft
9:23.0,Defensive rebound by Team,,4-2,,
9:02.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,6-2,,
8:50.0,Personal foul by J. Okafor (drawn by S. Adams),,6-2,,
8:42.0,,,6-2,,S. Ibaka misses 2-pt shot from 17 ft
8:42.0,Defensive rebound by N. Stauskas,,6-2,,
8:31.0,N. Noel makes 2-pt shot from 9 ft (assist by N. Stauskas),2,8-2,,
8:15.0,,,8-5,3,A. Morrow makes 3-pt shot from 24 ft (assist by S. Ibaka)
8:01.0,N. Stauskas misses 2-pt shot from 1 ft (block by S. Adams),,8-5,,
8:01.0,Offensive rebound by Team,,8-5,,
7:57.0,J. Grant misses 2-pt shot from 4 ft,,8-5,,
7:56.0,,,8-5,,Defensive rebound by S. Ibaka
7:51.0,,,8-5,,Turnover by R. Westbrook (bad pass; steal by N. Stauskas)
7:36.0,Turnover by J. Okafor (lost ball),,8-5,,
7:21.0,,,8-7,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
7:12.0,Turnover by N. Noel (turnover),,8-7,,
6:58.0,,,8-10,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:57.0,Philadelphia full timeout,,8-10,,
6:35.0,T. McConnell makes 2-pt shot from 5 ft (assist by N. Noel),2,10-10,,
6:11.0,,,10-12,2,S. Adams makes 2-pt shot from 3 ft
5:53.0,Turnover by N. Noel (lost ball),,10-12,,
5:43.0,,,10-12,,R. Westbrook misses 3-pt shot from 23 ft
5:42.0,Defensive rebound by J. Grant,,10-12,,
5:31.0,J. Okafor misses 2-pt shot from 2 ft,,10-12,,
5:30.0,,,10-12,,Defensive rebound by R. Westbrook
5:24.0,,,10-14,2,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook)
5:05.0,Offensive charge foul by J. Grant,,10-14,,
5:05.0,Turnover by J. Grant (offensive foul),,10-14,,
5:05.0,C. Wood enters the game for N. Noel,,10-14,,
5:05.0,J. Sampson enters the game for J. Grant,,10-14,,
4:51.0,,,10-14,,S. Adams misses 2-pt shot from 4 ft
4:51.0,Defensive rebound by C. Wood,,10-14,,
