time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Ezeli vs. D. Howard (D. Green gains possession),,,,Jump ball: F. Ezeli vs. D. Howard (D. Green gains possession)
11:40.0,K. Thompson misses 3-pt shot from 22 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by J. Harden
11:26.0,,,0-0,,Turnover by D. Howard (lost ball; steal by D. Green)
11:22.0,Shooting foul by T. Ariza (drawn by F. Ezeli),,0-0,,
11:22.0,F. Ezeli misses free throw 1 of 2,,0-0,,
11:22.0,Offensive rebound by Team,,0-0,,
11:22.0,F. Ezeli makes free throw 2 of 2,1,1-0,,
11:09.0,,,1-2,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden)
11:00.0,S. Curry misses 2-pt shot from 18 ft,,1-2,,
10:59.0,,,1-2,,Defensive rebound by T. Lawson
10:56.0,,,1-2,,Shooting foul by K. Thompson (drawn by T. Lawson)
10:56.0,,,1-3,1,T. Lawson makes free throw 1 of 2
10:56.0,,,1-4,1,T. Lawson makes free throw 2 of 2
10:36.0,F. Ezeli makes 2-pt shot from 3 ft,2,3-4,,
10:21.0,,,3-6,2,T. Jones makes 2-pt shot from 20 ft (assist by T. Ariza)
10:08.0,D. Green misses 2-pt shot from 2 ft (block by T. Lawson),,3-6,,
10:06.0,,,3-6,,Defensive rebound by T. Jones
10:02.0,,,3-6,,Shooting foul by S. Curry (drawn by T. Lawson)
10:02.0,,,3-7,1,T. Lawson makes free throw 1 of 2
10:02.0,,,3-8,1,T. Lawson makes free throw 2 of 2
9:48.0,K. Thompson misses 2-pt shot from 10 ft,,3-8,,
9:47.0,,,3-8,,Defensive rebound by T. Jones
9:33.0,,,3-8,,T. Jones misses 2-pt shot from 6 ft
9:32.0,,,3-8,,Offensive rebound by D. Howard
9:32.0,,,3-8,,D. Howard misses 2-pt shot from 1 ft
9:29.0,,,3-8,,Offensive rebound by D. Howard
9:29.0,,,3-8,,D. Howard misses 2-pt shot from 2 ft
9:28.0,Defensive rebound by S. Curry,,3-8,,
9:22.0,S. Curry makes 3-pt shot from 24 ft,3,6-8,,
9:08.0,,,6-8,,T. Lawson misses 2-pt shot from 13 ft
9:08.0,Defensive rebound by Team,,6-8,,
9:08.0,,,6-8,,Loose ball foul by D. Howard (drawn by D. Green)
8:56.0,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes),3,9-8,,
8:44.0,,,9-8,,J. Harden misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by K. Thompson,,9-8,,
8:31.0,H. Barnes makes 2-pt shot at rim,2,11-8,,
8:01.0,,,11-8,,Turnover by Team (shot clock)
7:52.0,S. Curry makes 3-pt shot from 29 ft,3,14-8,,
7:41.0,,,14-8,,Shooting foul by H. Barnes (drawn by T. Ariza)
7:41.0,,,14-9,1,T. Ariza makes free throw 1 of 3
7:41.0,,,14-10,1,T. Ariza makes free throw 2 of 3
7:41.0,,,14-11,1,T. Ariza makes free throw 3 of 3
7:22.0,D. Green misses 3-pt shot from 24 ft,,14-11,,
7:21.0,,,14-11,,Defensive rebound by D. Howard
7:14.0,,,14-11,,Offensive charge foul by D. Howard
7:14.0,,,14-11,,Turnover by D. Howard (offensive foul)
7:14.0,,,14-11,,C. Capela enters the game for D. Howard
7:01.0,H. Barnes misses 2-pt shot from 19 ft,,14-11,,
7:00.0,,,14-11,,Defensive rebound by C. Capela
6:34.0,,,14-14,3,T. Lawson makes 3-pt shot from 25 ft (assist by J. Harden)
6:23.0,S. Curry misses 3-pt shot from 24 ft,,14-14,,
6:21.0,,,14-14,,Defensive rebound by J. Harden
6:15.0,,,14-14,,M. Harrell enters the game for T. Jones
6:15.0,,,14-14,,Houston full timeout
6:15.0,A. Iguodala enters the game for H. Barnes,,14-14,,
5:59.0,,,14-14,,J. Harden misses 3-pt shot from 26 ft
5:58.0,Defensive rebound by F. Ezeli,,14-14,,
5:45.0,Offensive charge foul by K. Thompson,,14-14,,
5:45.0,Turnover by K. Thompson (offensive foul),,14-14,,
5:45.0,S. Livingston enters the game for K. Thompson,,14-14,,
5:32.0,,,14-14,,J. Harden misses 2-pt shot from 2 ft
5:31.0,,,14-14,,Offensive rebound by M. Harrell
5:31.0,,,14-16,2,M. Harrell makes 2-pt shot at rim
5:12.0,Shooting foul by C. Capela (drawn by S. Livingston),,14-16,,
5:12.0,S. Livingston makes free throw 1 of 2,1,15-16,,
5:12.0,,,15-16,,P. Beverley enters the game for T. Lawson
5:12.0,S. Livingston misses free throw 2 of 2,,15-16,,
5:12.0,,,15-16,,Defensive rebound by T. Ariza
5:00.0,,,15-16,,P. Beverley misses 2-pt shot from 7 ft
4:59.0,Defensive rebound by F. Ezeli,,15-16,,
4:48.0,,,15-16,,Personal foul by P. Beverley (drawn by A. Iguodala)
4:35.0,D. Green makes 3-pt shot from 23 ft (assist by S. Curry),3,18-16,,
4:24.0,,,18-16,,J. Harden misses 2-pt shot from 3 ft (block by F. Ezeli)
4:24.0,,,18-16,,Offensive rebound by Team
4:16.0,,,18-18,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
4:16.0,,,18-18,,Technical foul by M. Harrell
4:16.0,S. Curry makes technical free throw,1,19-18,,
4:03.0,Shooting foul by M. Harrell (drawn by S. Curry),,19-18,,
4:03.0,S. Curry misses free throw 1 of 3,,19-18,,
