time,LA Clippers,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Vucevic (C. Paul gains possession),,,,Jump ball: D. Jordan vs. N. Vucevic (C. Paul gains possession)
11:44.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,3-0,,
11:28.0,,,3-0,,T. Harris misses 2-pt shot from 17 ft
11:26.0,,,3-0,,Offensive rebound by V. Oladipo
11:20.0,,,3-2,2,V. Oladipo makes 2-pt shot from 20 ft
11:04.0,P. Pierce misses 3-pt shot from 24 ft,,3-2,,
11:03.0,,,3-2,,Defensive rebound by N. Vucevic
10:54.0,,,3-2,,N. Vucevic misses 2-pt shot from 19 ft
10:54.0,Defensive rebound by L. Mbah a Moute,,3-2,,
10:33.0,D. Jordan misses 2-pt shot from 6 ft (block by A. Gordon),,3-2,,
10:32.0,,,3-2,,Defensive rebound by E. Payton
10:23.0,,,3-2,,V. Oladipo misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by D. Jordan,,3-2,,
10:13.0,,,3-2,,Personal foul by V. Oladipo (drawn by J. Redick)
10:13.0,J. Redick makes free throw 1 of 3,1,4-2,,
10:13.0,J. Redick makes free throw 2 of 3,1,5-2,,
10:13.0,J. Redick makes free throw 3 of 3,1,6-2,,
9:52.0,,,6-5,3,V. Oladipo makes 3-pt shot from 25 ft (assist by N. Vucevic)
9:40.0,P. Pierce makes 3-pt shot from 25 ft (assist by C. Paul),3,9-5,,
9:20.0,,,9-5,,T. Harris misses 3-pt shot from 23 ft
9:19.0,,,9-5,,Offensive rebound by N. Vucevic
9:19.0,,,9-5,,N. Vucevic misses 2-pt shot at rim
9:17.0,Defensive rebound by P. Pierce,,9-5,,
9:10.0,,,9-5,,Def 3 sec tech foul by N. Vucevic
9:10.0,C. Paul makes technical free throw,1,10-5,,
9:06.0,C. Paul makes 2-pt shot from 18 ft,2,12-5,,
8:48.0,,,12-5,,T. Harris misses 3-pt shot from 24 ft
8:47.0,Defensive rebound by P. Pierce,,12-5,,
8:34.0,P. Pierce makes 2-pt shot from 19 ft,2,14-5,,
8:20.0,,,14-7,2,N. Vucevic makes 2-pt shot from 9 ft (assist by E. Payton)
8:00.0,C. Paul misses 3-pt shot from 25 ft,,14-7,,
8:00.0,Offensive rebound by D. Jordan,,14-7,,
7:51.0,C. Paul misses 2-pt shot from 15 ft,,14-7,,
7:51.0,,,14-7,,Defensive rebound by T. Harris
7:39.0,,,14-7,,V. Oladipo misses 2-pt shot from 16 ft
7:37.0,Defensive rebound by D. Jordan,,14-7,,
7:31.0,C. Paul makes 2-pt shot from 1 ft,2,16-7,,
7:27.0,,,16-7,,Orlando full timeout
7:18.0,,,16-9,2,A. Gordon makes 2-pt shot from 6 ft
7:18.0,,,16-9,,Shooting foul by P. Pierce (drawn by A. Gordon)
7:18.0,,,16-9,,A. Gordon misses free throw 1 of 1
7:17.0,Defensive rebound by D. Jordan,,16-9,,
7:00.0,Shooting foul by T. Harris (drawn by P. Pierce),,16-9,,
7:00.0,P. Pierce makes free throw 1 of 2,1,17-9,,
7:00.0,P. Pierce makes free throw 2 of 2,1,18-9,,
6:41.0,,,18-9,,E. Payton misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by J. Redick,,18-9,,
6:32.0,,,18-9,,Personal foul by N. Vucevic (drawn by D. Jordan)
6:23.0,Turnover by D. Jordan (3 sec),,18-9,,
6:12.0,,,18-9,,Turnover by V. Oladipo (lost ball; steal by D. Jordan)
6:07.0,Turnover by C. Paul (bad pass; steal by N. Vucevic),,18-9,,
6:02.0,,,18-9,,Shooting foul by C. Paul (drawn by E. Payton)
6:02.0,,,18-10,1,E. Payton makes free throw 1 of 2
6:02.0,,,18-10,,E. Payton misses free throw 2 of 2
5:59.0,Defensive rebound by D. Jordan,,18-10,,
5:48.0,J. Redick misses 3-pt shot from 24 ft,,18-10,,
5:47.0,,,18-10,,Defensive rebound by T. Harris
5:39.0,Personal foul by J. Redick (drawn by V. Oladipo),,18-10,,
5:39.0,W. Johnson enters the game for P. Pierce,,18-10,,
5:32.0,,,18-10,,E. Payton misses 2-pt shot from 10 ft
5:31.0,Defensive rebound by L. Mbah a Moute,,18-10,,
5:17.0,Turnover by C. Paul (step out of bounds),,18-10,,
5:01.0,,,18-10,,A. Gordon misses 2-pt shot from 14 ft (block by W. Johnson)
5:00.0,Defensive rebound by W. Johnson,,18-10,,
4:56.0,Turnover by C. Paul (discontinued dribble),,18-10,,
