time,Toronto,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,,,0-0,,P. Gasol misses 2-pt shot from 14 ft
12:00.0,Jump ball: P. Gasol vs. J. Valanciunas (D. Rose gains possession),,,,Jump ball: P. Gasol vs. J. Valanciunas (D. Rose gains possession)
11:40.0,Defensive rebound by L. Scola,,0-0,,
11:22.0,D. DeRozan misses 2-pt shot from 17 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by P. Gasol
11:11.0,,,0-0,,Shooting foul by L. Scola (drawn by T. Gibson)
11:11.0,,,0-0,,T. Gibson misses free throw 1 of 2
11:11.0,,,0-0,,Offensive rebound by Team
11:11.0,,,0-0,,T. Gibson misses free throw 2 of 2
11:10.0,Defensive rebound by J. Valanciunas,,0-0,,
10:53.0,J. Valanciunas makes 2-pt shot from 2 ft,2,2-0,,
10:39.0,,,2-2,2,P. Gasol makes 2-pt shot from 19 ft (assist by E. Moore)
10:21.0,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan),2,4-2,,
10:10.0,,,4-2,,D. Rose misses 2-pt shot from 14 ft
10:09.0,,,4-2,,Offensive rebound by D. Rose
10:04.0,,,4-4,2,D. Rose makes 2-pt shot from 7 ft
9:49.0,Shooting foul by M. Dunleavy (drawn by J. Valanciunas),,4-4,,
9:49.0,J. Valanciunas misses free throw 1 of 2,,4-4,,
9:49.0,Offensive rebound by Team,,4-4,,
9:49.0,J. Valanciunas makes free throw 2 of 2,1,5-4,,
9:33.0,,,5-7,3,D. Rose makes 3-pt shot from 25 ft (assist by E. Moore)
9:19.0,D. DeRozan makes 2-pt shot from 17 ft,2,7-7,,
9:09.0,,,7-7,,Shooting foul by L. Scola (drawn by E. Moore)
9:09.0,,,7-8,1,E. Moore makes free throw 1 of 2
9:09.0,P. Patterson enters the game for L. Scola,,7-8,,
9:09.0,,,7-9,1,E. Moore makes free throw 2 of 2
8:49.0,D. DeRozan misses 2-pt shot from 15 ft,,7-9,,
8:48.0,Offensive rebound by J. Valanciunas,,7-9,,
8:48.0,Shooting foul by P. Gasol (drawn by J. Valanciunas),,7-9,,
8:48.0,J. Valanciunas makes free throw 1 of 2,1,8-9,,
8:48.0,J. Valanciunas makes free throw 2 of 2,1,9-9,,
8:39.0,,,9-9,,Turnover by D. Rose (traveling)
8:26.0,D. DeRozan makes 2-pt shot from 2 ft,2,11-9,,
8:16.0,,,11-11,2,P. Gasol makes 2-pt shot from 1 ft
8:16.0,,,11-11,,Shooting foul by P. Patterson (drawn by P. Gasol)
8:16.0,,,11-12,1,P. Gasol makes free throw 1 of 1
8:02.0,D. DeRozan misses 2-pt shot from 2 ft,,11-12,,
8:01.0,Offensive rebound by J. Valanciunas,,11-12,,
7:52.0,J. Valanciunas misses 2-pt shot from 11 ft (block by M. Dunleavy),,11-12,,
7:49.0,Offensive rebound by J. Valanciunas,,11-12,,
7:49.0,J. Valanciunas misses 2-pt shot from 9 ft,,11-12,,
7:47.0,,,11-12,,Defensive rebound by T. Gibson
7:31.0,,,11-12,,E. Moore misses 2-pt shot from 20 ft
7:30.0,Defensive rebound by J. Valanciunas,,11-12,,
7:18.0,D. DeRozan misses 2-pt shot from 12 ft,,11-12,,
7:17.0,,,11-12,,Defensive rebound by D. Rose
7:12.0,,,11-14,2,D. Rose makes 2-pt shot from 2 ft
6:57.0,D. DeRozan makes 3-pt shot from 22 ft (assist by P. Patterson),3,14-14,,
6:38.0,,,14-14,,Turnover by P. Gasol (lost ball; steal by P. Patterson)
6:31.0,K. Lowry makes 3-pt shot from 23 ft,3,17-14,,
6:31.0,,,17-14,,Chicago full timeout
