time,Dallas,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. Z. Pachulia (D. Nowitzki gains possession),,,,Jump ball: I. Mahinmi vs. Z. Pachulia (D. Nowitzki gains possession)
11:45.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by W. Matthews),2,2-0,,
11:31.0,,,2-0,,M. Ellis misses 2-pt shot from 17 ft
11:31.0,Defensive rebound by W. Matthews,,2-0,,
11:18.0,Z. Pachulia makes 2-pt shot at rim (assist by D. Williams),2,4-0,,
10:56.0,,,4-0,,P. George misses 2-pt shot from 12 ft
10:55.0,Defensive rebound by Z. Pachulia,,4-0,,
10:51.0,D. Williams makes 2-pt shot from 15 ft,2,6-0,,
10:51.0,Shooting foul by M. Ellis (drawn by D. Williams),,6-0,,
10:51.0,D. Williams makes free throw 1 of 1,1,7-0,,
10:37.0,,,7-0,,P. George misses 3-pt shot from 26 ft
10:37.0,,,7-0,,Offensive rebound by Team
10:29.0,,,7-2,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
10:15.0,D. Nowitzki misses 2-pt shot from 16 ft,,7-2,,
10:14.0,,,7-2,,Defensive rebound by I. Mahinmi
10:08.0,,,7-2,,G. Hill misses 3-pt shot from 26 ft
10:07.0,Defensive rebound by R. Felton,,7-2,,
9:57.0,R. Felton misses 2-pt shot from 15 ft,,7-2,,
9:56.0,,,7-2,,Defensive rebound by I. Mahinmi
9:49.0,,,7-4,2,L. Allen makes 2-pt shot from 2 ft (assist by M. Ellis)
9:33.0,D. Nowitzki misses 2-pt shot from 18 ft,,7-4,,
9:32.0,,,7-4,,Defensive rebound by L. Allen
9:25.0,,,7-4,,Turnover by P. George (bad pass; steal by Z. Pachulia)
9:10.0,Z. Pachulia misses 2-pt shot from 16 ft,,7-4,,
9:09.0,,,7-4,,Defensive rebound by I. Mahinmi
8:53.0,,,7-7,3,P. George makes 3-pt shot from 24 ft (assist by L. Allen)
8:31.0,Shooting foul by I. Mahinmi (drawn by R. Felton),,7-7,,
8:31.0,R. Felton makes free throw 1 of 2,1,8-7,,
8:31.0,R. Felton misses free throw 2 of 2,,8-7,,
8:30.0,Offensive rebound by Z. Pachulia,,8-7,,
8:22.0,R. Felton misses 2-pt shot from 2 ft (block by L. Allen),,8-7,,
8:21.0,,,8-7,,Defensive rebound by I. Mahinmi
8:15.0,,,8-10,3,P. George makes 3-pt shot from 22 ft (assist by G. Hill)
7:52.0,Turnover by R. Felton (bad pass; steal by M. Ellis),,8-10,,
7:35.0,,,8-10,,M. Ellis misses 2-pt shot from 20 ft
7:34.0,,,8-10,,Offensive rebound by L. Allen
7:32.0,,,8-10,,L. Allen misses 2-pt shot at rim (block by D. Nowitzki)
7:32.0,,,8-10,,Offensive rebound by Team
7:29.0,,,8-12,2,G. Hill makes 2-pt shot from 17 ft (assist by P. George)
7:20.0,Turnover by D. Williams (lost ball),,8-12,,
7:14.0,,,8-12,,M. Ellis misses 2-pt shot from 2 ft (block by D. Nowitzki)
7:14.0,,,8-12,,Offensive rebound by Team
7:07.0,,,8-12,,P. George misses 2-pt shot from 15 ft
7:06.0,Defensive rebound by D. Nowitzki,,8-12,,
6:55.0,D. Williams misses 2-pt shot from 12 ft,,8-12,,
6:55.0,Offensive rebound by Z. Pachulia,,8-12,,
6:54.0,Shooting foul by P. George (drawn by Z. Pachulia),,8-12,,
6:54.0,Z. Pachulia misses free throw 1 of 2,,8-12,,
6:54.0,Offensive rebound by Team,,8-12,,
6:54.0,D. Powell enters the game for D. Nowitzki,,8-12,,
6:54.0,D. Harris enters the game for R. Felton,,8-12,,
6:54.0,Z. Pachulia makes free throw 2 of 2,1,9-12,,
6:43.0,,,9-12,,Turnover by I. Mahinmi (bad pass)
6:27.0,W. Matthews misses 2-pt shot from 19 ft,,9-12,,
6:26.0,,,9-12,,Defensive rebound by M. Ellis
6:05.0,,,9-12,,G. Hill misses 2-pt shot from 11 ft
6:04.0,,,9-12,,Offensive rebound by Team
6:00.0,,,9-12,,Turnover by P. George (bad pass)
5:43.0,D. Williams misses 2-pt shot from 17 ft,,9-12,,
5:42.0,Offensive rebound by Z. Pachulia,,9-12,,
5:39.0,W. Matthews misses 3-pt shot from 25 ft,,9-12,,
5:38.0,,,9-12,,Defensive rebound by I. Mahinmi
5:26.0,,,9-12,,Indiana full timeout
5:26.0,,,9-12,,C. Miles enters the game for L. Allen
5:26.0,C. Parsons enters the game for D. Powell,,9-12,,
5:16.0,,,9-15,3,G. Hill makes 3-pt shot from 26 ft (assist by I. Mahinmi)
4:52.0,Z. Pachulia makes 2-pt shot from 3 ft (assist by C. Parsons),2,11-15,,
4:41.0,,,11-15,,G. Hill misses 3-pt shot from 27 ft
4:40.0,Defensive rebound by Z. Pachulia,,11-15,,
4:26.0,W. Matthews misses 2-pt shot from 16 ft,,11-15,,
4:23.0,Offensive rebound by Z. Pachulia,,11-15,,
4:14.0,D. Harris makes 3-pt shot from 24 ft (assist by C. Parsons),3,14-15,,
3:56.0,,,14-15,,M. Ellis misses 3-pt shot from 26 ft
3:56.0,Defensive rebound by Team,,14-15,,
3:56.0,,,14-15,,R. Stuckey enters the game for G. Hill
3:44.0,,,14-15,,Personal foul by C. Miles (drawn by C. Parsons)
3:38.0,C. Parsons makes 3-pt shot from 26 ft (assist by D. Williams),3,17-15,,
3:18.0,,,17-15,,P. George misses 3-pt shot from 26 ft
3:17.0,Defensive rebound by Z. Pachulia,,17-15,,
3:09.0,Z. Pachulia misses 2-pt shot at rim (block by M. Ellis),,17-15,,
3:06.0,,,17-15,,Defensive rebound by C. Miles
3:01.0,,,17-15,,C. Miles misses 3-pt shot from 24 ft
