time,Charlotte,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. C. Zeller (P. Beverley gains possession),,,,Jump ball: D. Howard vs. C. Zeller (P. Beverley gains possession)
11:41.0,,,0-0,,C. Capela misses 2-pt shot from 1 ft
11:40.0,Defensive rebound by Team,,0-0,,
11:26.0,,,0-0,,Inbound foul by C. Capela
11:26.0,M. Williams makes free throw 1 of 2,1,1-0,,
11:26.0,M. Williams makes free throw 2 of 2,1,2-0,,
11:12.0,,,2-2,2,J. Harden makes 2-pt shot from 21 ft
11:02.0,P. Hairston misses 3-pt shot from 24 ft,,2-2,,
10:58.0,,,2-2,,Defensive rebound by T. Ariza
10:41.0,,,2-2,,P. Beverley misses 2-pt shot from 4 ft
10:41.0,,,2-2,,Offensive rebound by D. Howard
10:39.0,,,2-4,2,D. Howard makes 2-pt shot at rim
10:17.0,K. Walker misses 2-pt shot from 4 ft (block by D. Howard),,2-4,,
10:11.0,Offensive rebound by C. Zeller,,2-4,,
10:11.0,C. Zeller makes 2-pt shot from 1 ft,2,4-4,,
9:59.0,,,4-4,,T. Ariza misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by K. Walker,,4-4,,
9:55.0,,,4-4,,Shooting block foul by C. Capela (drawn by M. Williams)
9:55.0,M. Williams makes free throw 1 of 2,1,5-4,,
9:55.0,,,5-4,,D. Motiejunas enters the game for C. Capela
9:55.0,M. Williams makes free throw 2 of 2,1,6-4,,
9:36.0,,,6-7,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
9:19.0,P. Hairston misses 3-pt shot from 25 ft,,6-7,,
9:18.0,,,6-7,,Defensive rebound by T. Ariza
8:55.0,,,6-7,,J. Harden misses 2-pt shot from 7 ft
8:54.0,Defensive rebound by Team,,6-7,,
8:45.0,M. Williams misses 3-pt shot from 24 ft,,6-7,,
8:43.0,,,6-7,,Defensive rebound by T. Ariza
8:34.0,,,6-7,,Turnover by T. Ariza (bad pass; steal by C. Zeller)
8:34.0,Shooting foul by J. Harden (drawn by K. Walker),,6-7,,
8:34.0,K. Walker makes free throw 1 of 2,1,7-7,,
8:34.0,K. Walker makes free throw 2 of 2,1,8-7,,
8:25.0,,,8-7,,D. Motiejunas misses 3-pt shot from 26 ft
8:23.0,Defensive rebound by Team,,8-7,,
8:10.0,N. Batum makes 2-pt shot from 19 ft (assist by K. Walker),2,10-7,,
7:58.0,,,10-10,3,J. Harden makes 3-pt shot from 24 ft (assist by D. Motiejunas)
7:34.0,P. Hairston makes 3-pt shot from 26 ft (assist by N. Batum),3,13-10,,
7:22.0,,,13-10,,J. Harden misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by C. Zeller,,13-10,,
7:05.0,K. Walker misses 3-pt shot from 24 ft,,13-10,,
7:04.0,,,13-10,,Defensive rebound by D. Howard
6:57.0,,,13-10,,Shooting foul by P. Hairston (drawn by J. Harden)
6:57.0,,,13-11,1,J. Harden makes free throw 1 of 3
6:57.0,,,13-12,1,J. Harden makes free throw 2 of 3
6:57.0,,,13-12,,J. Terry enters the game for P. Beverley
6:57.0,,,13-13,1,J. Harden makes free throw 3 of 3
6:33.0,C. Zeller makes 2-pt shot from 20 ft (assist by K. Walker),2,15-13,,
6:18.0,,,15-13,,D. Motiejunas misses 2-pt shot from 4 ft
6:17.0,Defensive rebound by K. Walker,,15-13,,
6:10.0,M. Williams misses 3-pt shot from 25 ft,,15-13,,
6:09.0,,,15-13,,Defensive rebound by D. Howard
6:04.0,,,15-15,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
5:46.0,,,15-15,,Def 3 sec tech foul by D. Howard
5:46.0,,,15-15,,Houston full timeout
5:46.0,N. Batum makes technical free throw,1,16-15,,
5:37.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,19-15,,
5:16.0,,,19-15,,J. Terry misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by M. Williams,,19-15,,
5:03.0,P. Hairston misses 2-pt shot from 6 ft,,19-15,,
5:01.0,,,19-15,,Defensive rebound by D. Howard
4:44.0,,,19-15,,Shooting foul by C. Zeller (drawn by D. Howard)
4:44.0,,,19-15,,D. Howard misses free throw 1 of 2
4:44.0,,,19-15,,Offensive rebound by Team
4:44.0,J. Lin enters the game for P. Hairston,,19-15,,
4:44.0,,,19-16,1,D. Howard makes free throw 2 of 2
4:26.0,M. Williams misses 3-pt shot from 26 ft,,19-16,,
4:26.0,,,19-16,,Defensive rebound by J. Harden
