time,Memphis,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. C. Zeller (M. Williams gains possession),,,,Jump ball: M. Gasol vs. C. Zeller (M. Williams gains possession)
11:42.0,,,0-0,,M. Williams misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by M. Barnes,,0-0,,
11:19.0,J. Green misses 2-pt shot from 6 ft,,0-0,,
11:17.0,Offensive rebound by J. Green,,0-0,,
11:17.0,J. Green makes 2-pt shot at rim,2,2-0,,
10:51.0,,,2-0,,Turnover by K. Walker (bad pass; steal by J. Green)
10:34.0,,,2-0,,Personal foul by C. Zeller (drawn by M. Gasol)
10:23.0,M. Conley makes 3-pt shot from 24 ft (assist by J. Green),3,5-0,,
10:09.0,,,5-0,,Shooting foul by M. Barnes (drawn by N. Batum)
10:09.0,,,5-1,1,N. Batum makes free throw 1 of 2
10:09.0,,,5-2,1,N. Batum makes free throw 2 of 2
9:51.0,J. Green makes 3-pt shot from 25 ft (assist by M. Conley),3,8-2,,
9:30.0,,,8-5,3,P. Hairston makes 3-pt shot from 25 ft (assist by K. Walker)
9:18.0,Turnover by M. Conley (bad pass; steal by K. Walker),,8-5,,
9:12.0,,,8-7,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
8:49.0,M. Conley misses 2-pt shot from 2 ft (block by M. Williams),,8-7,,
8:48.0,,,8-7,,Defensive rebound by N. Batum
8:43.0,,,8-10,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
8:27.0,Memphis full timeout,,8-10,,
8:17.0,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol),3,11-10,,
8:00.0,,,11-10,,C. Zeller misses 2-pt shot from 19 ft
7:59.0,Defensive rebound by M. Conley,,11-10,,
7:46.0,M. Barnes makes 2-pt shot from 1 ft (assist by J. Green),2,13-10,,
7:29.0,,,13-13,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
