time,New York,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. G. Monroe (O. Mayo gains possession),,,,Jump ball: R. Lopez vs. G. Monroe (O. Mayo gains possession)
11:50.0,,,0-0,,Offensive charge foul by G. Antetokounmpo
11:50.0,,,0-0,,Turnover by G. Antetokounmpo (offensive foul)
11:34.0,R. Lopez makes 2-pt shot from 11 ft (assist by J. Calderon),2,2-0,,
11:13.0,,,2-2,2,G. Antetokounmpo makes 2-pt shot from 14 ft
11:01.0,Shooting foul by J. Parker (drawn by C. Anthony),,2-2,,
11:01.0,C. Anthony makes free throw 1 of 2,1,3-2,,
11:01.0,C. Anthony makes free throw 2 of 2,1,4-2,,
10:49.0,,,4-2,,G. Monroe misses 2-pt shot from 6 ft
10:47.0,Defensive rebound by A. Afflalo,,4-2,,
10:41.0,C. Anthony misses 3-pt shot from 24 ft,,4-2,,
10:40.0,,,4-2,,Defensive rebound by J. Parker
10:34.0,,,4-2,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by R. Lopez)
10:32.0,Defensive rebound by J. Calderon,,4-2,,
10:29.0,A. Afflalo makes 2-pt shot at rim (assist by J. Calderon),2,6-2,,
10:04.0,,,6-2,,K. Middleton misses 2-pt shot from 13 ft
10:03.0,,,6-2,,Offensive rebound by J. Parker
10:01.0,,,6-4,2,J. Parker makes 2-pt shot at rim
9:58.0,New York full timeout,,6-4,,
9:58.0,L. Thomas enters the game for C. Anthony,,6-4,,
9:46.0,L. Thomas misses 2-pt shot from 1 ft (block by J. Parker),,6-4,,
9:43.0,,,6-4,,Defensive rebound by J. Parker
9:32.0,,,6-4,,G. Antetokounmpo misses 2-pt shot from 1 ft
9:29.0,,,6-4,,Offensive rebound by G. Monroe
9:29.0,,,6-6,2,G. Monroe makes 2-pt shot at rim
9:13.0,K. Porzingis misses 2-pt shot from 19 ft,,6-6,,
9:12.0,,,6-6,,Defensive rebound by G. Monroe
8:56.0,,,6-8,2,G. Monroe makes 2-pt shot from 12 ft (assist by O. Mayo)
8:45.0,A. Afflalo misses 3-pt shot from 24 ft,,6-8,,
8:43.0,,,6-8,,Defensive rebound by G. Antetokounmpo
8:32.0,,,6-10,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
8:10.0,K. Porzingis misses 2-pt shot from 4 ft,,6-10,,
8:09.0,,,6-10,,Defensive rebound by G. Antetokounmpo
8:01.0,,,6-10,,K. Middleton misses 2-pt shot from 6 ft
8:00.0,Defensive rebound by J. Calderon,,6-10,,
7:55.0,L. Thomas misses 3-pt shot from 25 ft,,6-10,,
7:53.0,,,6-10,,Defensive rebound by G. Antetokounmpo
7:47.0,,,6-10,,G. Monroe misses 2-pt shot from 2 ft
7:47.0,,,6-10,,Offensive rebound by G. Monroe
7:47.0,Personal foul by K. Porzingis (drawn by G. Monroe),,6-10,,
7:44.0,C. Anthony enters the game for K. Porzingis,,6-10,,
7:37.0,,,6-10,,G. Antetokounmpo misses 2-pt shot from 13 ft
7:34.0,Defensive rebound by J. Calderon,,6-10,,
7:28.0,J. Calderon makes 2-pt shot from 1 ft,2,8-10,,
7:18.0,Personal foul by A. Afflalo (drawn by K. Middleton),,8-10,,
7:18.0,,,8-10,,J. O'Bryant enters the game for J. Parker
