time,Phoenix,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. B. Lopez (J. Jack gains possession),,,,Jump ball: A. Len vs. B. Lopez (J. Jack gains possession)
11:44.0,,,0-0,,B. Lopez misses 2-pt shot from 4 ft
11:43.0,Defensive rebound by A. Len,,0-0,,
11:17.0,M. Morris misses 3-pt shot from 24 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by J. Jack
10:59.0,,,0-2,2,J. Jack makes 2-pt shot from 21 ft (assist by B. Lopez)
10:44.0,Turnover by A. Len (lost ball; steal by J. Jack),,0-2,,
10:34.0,,,0-2,,T. Young misses 2-pt shot from 1 ft
10:33.0,,,0-2,,Offensive rebound by T. Young
10:32.0,,,0-2,,T. Young misses 2-pt shot from 1 ft
10:31.0,Defensive rebound by M. Morris,,0-2,,
10:23.0,B. Knight misses 2-pt shot from 1 ft,,0-2,,
10:21.0,,,0-2,,Defensive rebound by T. Young
10:12.0,,,0-2,,B. Lopez misses 2-pt shot from 11 ft
10:11.0,Defensive rebound by A. Len,,0-2,,
9:58.0,E. Bledsoe misses 2-pt shot from 2 ft,,0-2,,
9:57.0,,,0-2,,Defensive rebound by B. Lopez
9:52.0,,,0-4,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by J. Jack)
9:35.0,B. Knight makes 2-pt shot from 23 ft (assist by A. Len),2,2-4,,
9:21.0,,,2-4,,Turnover by J. Johnson (bad pass; steal by E. Bledsoe)
9:16.0,B. Knight makes 2-pt shot at rim (assist by E. Bledsoe),2,4-4,,
9:05.0,,,4-4,,Turnover by B. Lopez (step out of bounds)
8:49.0,M. Morris makes 2-pt shot at rim (assist by A. Len),2,6-4,,
8:32.0,,,6-6,2,T. Young makes 2-pt shot from 18 ft (assist by R. Hollis-Jefferson)
8:26.0,Turnover by P. Tucker (step out of bounds),,6-6,,
8:11.0,,,6-8,2,J. Johnson makes 2-pt shot from 5 ft
8:00.0,,,6-8,,Personal foul by R. Hollis-Jefferson (drawn by B. Knight)
7:55.0,E. Bledsoe makes 2-pt shot from 12 ft,2,8-8,,
7:38.0,,,8-8,,Turnover by J. Johnson (bad pass)
7:22.0,M. Morris makes 2-pt shot from 17 ft (assist by B. Knight),2,10-8,,
7:04.0,,,10-10,2,J. Jack makes 2-pt shot from 2 ft (assist by T. Young)
