time,Indiana,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. Z. Pachulia (M. Ellis gains possession),,,,Jump ball: I. Mahinmi vs. Z. Pachulia (M. Ellis gains possession)
11:39.0,M. Ellis makes 2-pt shot from 17 ft,2,2-0,,
11:20.0,Personal foul by M. Turner,,2-0,,
11:13.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by W. Matthews)
10:58.0,M. Turner makes 2-pt shot from 2 ft (assist by I. Mahinmi),2,4-2,,
10:38.0,,,4-2,,Z. Pachulia misses 2-pt shot from 10 ft
10:37.0,Defensive rebound by P. George,,4-2,,
10:18.0,M. Ellis makes 2-pt shot from 6 ft,2,6-2,,
10:04.0,,,6-2,,W. Matthews misses 2-pt shot from 7 ft
10:03.0,Defensive rebound by P. George,,6-2,,
9:54.0,M. Turner misses 2-pt shot from 18 ft,,6-2,,
9:53.0,,,6-2,,Defensive rebound by Z. Pachulia
9:39.0,,,6-2,,Z. Pachulia misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by M. Ellis,,6-2,,
9:27.0,Shooting foul by C. Parsons (drawn by M. Turner),,6-2,,
9:27.0,M. Turner makes free throw 1 of 2,1,7-2,,
9:27.0,M. Turner makes free throw 2 of 2,1,8-2,,
9:17.0,,,8-2,,Dallas full timeout
9:08.0,,,8-2,,C. Parsons misses 2-pt shot from 4 ft (block by I. Mahinmi)
9:06.0,Defensive rebound by P. George,,8-2,,
8:55.0,M. Turner makes 2-pt shot from 16 ft (assist by P. George),2,10-2,,
8:44.0,,,10-4,2,D. Williams makes 2-pt shot from 18 ft (assist by W. Matthews)
8:30.0,P. George misses 2-pt shot from 20 ft,,10-4,,
8:29.0,,,10-4,,Defensive rebound by W. Matthews
8:18.0,,,10-4,,D. Williams misses 2-pt shot from 18 ft
8:16.0,Defensive rebound by M. Turner,,10-4,,
7:54.0,M. Ellis misses 3-pt shot from 22 ft,,10-4,,
7:53.0,,,10-4,,Defensive rebound by D. Nowitzki
7:34.0,,,10-4,,W. Matthews misses 2-pt shot from 16 ft
7:33.0,,,10-4,,Offensive rebound by Z. Pachulia
7:20.0,,,10-4,,D. Williams misses 2-pt shot from 1 ft
7:19.0,Defensive rebound by G. Hill,,10-4,,
7:12.0,P. George misses 3-pt shot from 23 ft,,10-4,,
7:11.0,,,10-4,,Defensive rebound by C. Parsons
6:53.0,,,10-6,2,W. Matthews makes 2-pt shot from 19 ft (assist by D. Nowitzki)
6:30.0,G. Hill misses 3-pt shot from 24 ft,,10-6,,
6:29.0,,,10-6,,Defensive rebound by W. Matthews
6:20.0,,,10-8,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Williams)
6:09.0,P. George misses 3-pt shot from 22 ft,,10-8,,
6:09.0,,,10-8,,Defensive rebound by Z. Pachulia
6:00.0,,,10-8,,D. Nowitzki misses 2-pt shot from 17 ft
5:59.0,Defensive rebound by G. Hill,,10-8,,
5:53.0,G. Hill makes 2-pt shot from 18 ft,2,12-8,,
5:29.0,,,12-10,2,W. Matthews makes 2-pt shot from 8 ft (assist by C. Parsons)
5:17.0,Shooting foul by Z. Pachulia (drawn by I. Mahinmi),,12-10,,
5:17.0,I. Mahinmi makes free throw 1 of 2,1,13-10,,
5:17.0,,,13-10,,D. Lee enters the game for Z. Pachulia
5:17.0,,,13-10,,R. Felton enters the game for D. Nowitzki
5:17.0,I. Mahinmi makes free throw 2 of 2,1,14-10,,
5:07.0,,,14-12,2,C. Parsons makes 2-pt shot from 18 ft (assist by W. Matthews)
4:58.0,G. Hill makes 2-pt shot from 19 ft,2,16-12,,
4:49.0,S. Hill enters the game for M. Turner,,16-12,,
4:45.0,,,16-12,,R. Felton misses 3-pt shot from 22 ft
4:44.0,Defensive rebound by M. Ellis,,16-12,,
4:25.0,Indiana full timeout,,16-12,,
4:21.0,P. George misses 3-pt shot from 25 ft,,16-12,,
4:21.0,,,16-12,,Defensive rebound by Team
4:09.0,,,16-12,,C. Parsons misses 2-pt shot from 22 ft
4:08.0,Defensive rebound by M. Ellis,,16-12,,
3:57.0,S. Hill misses 3-pt shot from 23 ft,,16-12,,
3:56.0,,,16-12,,Defensive rebound by D. Lee
3:48.0,,,16-15,3,C. Parsons makes 3-pt shot from 22 ft (assist by R. Felton)
3:27.0,I. Mahinmi misses 2-pt shot from 7 ft,,16-15,,
3:26.0,Offensive rebound by S. Hill,,16-15,,
3:25.0,S. Hill makes 2-pt shot from 3 ft,2,18-15,,
3:07.0,,,18-15,,Shooting foul by M. Ellis (drawn by D. Williams)
3:07.0,,,18-16,1,D. Williams makes free throw 1 of 2
3:07.0,R. Stuckey enters the game for G. Hill,,18-16,,
3:07.0,J. Hill enters the game for I. Mahinmi,,18-16,,
3:07.0,,,18-17,1,D. Williams makes free throw 2 of 2
2:51.0,J. Hill misses 2-pt shot from 5 ft (block by D. Lee),,18-17,,
2:51.0,Offensive rebound by Team,,18-17,,
2:48.0,S. Hill makes 2-pt shot from 18 ft (assist by P. George),2,20-17,,
2:36.0,,,20-17,,C. Parsons misses 2-pt shot from 7 ft
2:35.0,Defensive rebound by P. George,,20-17,,
2:30.0,S. Hill misses 3-pt shot from 24 ft,,20-17,,
2:29.0,,,20-17,,Defensive rebound by D. Williams
2:18.0,,,20-17,,J. Barea enters the game for C. Parsons
2:18.0,,,20-17,,D. Harris enters the game for W. Matthews
2:18.0,,,20-17,,D. Nowitzki enters the game for D. Williams
2:18.0,L. Allen enters the game for S. Hill,,20-17,,
2:11.0,,,20-17,,Turnover by R. Felton (lost ball; steal by R. Stuckey)
2:01.0,L. Allen makes 2-pt shot from 19 ft (assist by M. Ellis),2,22-17,,
1:52.0,Personal foul by L. Allen,,22-17,,
1:43.0,,,22-17,,D. Nowitzki misses 2-pt shot from 19 ft
1:42.0,Defensive rebound by M. Ellis,,22-17,,
1:35.0,M. Ellis misses 2-pt shot from 20 ft,,22-17,,
1:35.0,,,22-17,,Defensive rebound by D. Lee
1:25.0,,,22-19,2,R. Felton makes 2-pt shot from 1 ft (assist by D. Lee)
1:09.0,J. Hill misses 2-pt shot from 10 ft,,22-19,,
1:08.0,,,22-19,,Defensive rebound by D. Lee
0:51.0,,,22-19,,D. Nowitzki misses 2-pt shot from 18 ft
0:50.0,,,22-19,,Offensive rebound by D. Lee
0:50.0,,,22-21,2,D. Lee makes 2-pt shot at rim
0:33.0,R. Stuckey misses 3-pt shot from 22 ft,,22-21,,
0:31.0,Offensive rebound by P. George,,22-21,,
0:29.0,P. George makes 2-pt shot from 1 ft,2,24-21,,
0:16.0,,,24-23,2,D. Lee makes 2-pt shot from 1 ft (assist by J. Barea)
0:02.0,J. Hill makes 2-pt shot from 10 ft,2,26-23,,
