time,Washington,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. M. Gortat (T. Parker gains possession),,,,Jump ball: L. Aldridge vs. M. Gortat (T. Parker gains possession)
11:36.0,,,0-0,,L. Aldridge misses 2-pt shot from 8 ft
11:35.0,Defensive rebound by J. Wall,,0-0,,
11:29.0,J. Wall makes 2-pt shot at rim,2,2-0,,
11:18.0,,,2-3,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker)
11:01.0,J. Wall makes 2-pt shot from 16 ft,2,4-3,,
10:40.0,,,4-3,,L. Aldridge misses 2-pt shot from 16 ft
10:39.0,,,4-3,,Offensive rebound by T. Parker
10:35.0,Personal foul by G. Neal (drawn by D. West),,4-3,,
10:34.0,Personal foul by G. Neal (drawn by D. West),,4-3,,
10:34.0,R. Sessions enters the game for G. Neal,,4-3,,
10:27.0,,,4-5,2,D. Green makes 2-pt shot from 17 ft (assist by T. Parker)
10:08.0,Turnover by R. Sessions (bad pass; steal by K. Leonard),,4-5,,
10:04.0,,,4-5,,D. West misses 2-pt shot from 2 ft
10:02.0,Defensive rebound by O. Porter,,4-5,,
9:56.0,R. Sessions misses 2-pt shot from 13 ft,,4-5,,
9:55.0,,,4-5,,Defensive rebound by D. Green
9:40.0,,,4-5,,D. Green misses 3-pt shot from 23 ft
9:38.0,,,4-5,,Offensive rebound by D. West
9:38.0,,,4-7,2,D. West makes 2-pt shot from 2 ft
9:12.0,M. Gortat makes 2-pt shot from 15 ft (assist by J. Wall),2,6-7,,
8:55.0,,,6-9,2,T. Parker makes 2-pt shot from 17 ft (assist by K. Leonard)
8:43.0,J. Wall misses 2-pt shot from 12 ft,,6-9,,
8:42.0,,,6-9,,Defensive rebound by D. Green
8:21.0,,,6-9,,T. Parker misses 2-pt shot from 10 ft
8:20.0,Defensive rebound by O. Porter,,6-9,,
8:13.0,K. Humphries makes 2-pt shot from 1 ft (assist by O. Porter),2,8-9,,
8:00.0,,,8-9,,Turnover by K. Leonard (bad pass; steal by O. Porter)
7:57.0,Turnover by M. Gortat (bad pass; steal by K. Leonard),,8-9,,
7:50.0,,,8-9,,D. Green misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by R. Sessions,,8-9,,
7:40.0,M. Gortat misses 2-pt shot from 4 ft (block by D. Green),,8-9,,
7:38.0,Offensive rebound by K. Humphries,,8-9,,
7:36.0,K. Humphries misses 2-pt shot from 14 ft,,8-9,,
7:35.0,,,8-9,,Defensive rebound by T. Parker
7:15.0,,,8-9,,T. Parker misses 2-pt shot from 4 ft
7:14.0,Defensive rebound by K. Humphries,,8-9,,
7:10.0,,,8-9,,Personal foul by L. Aldridge (drawn by M. Gortat)
7:04.0,R. Sessions makes 2-pt shot from 13 ft,2,10-9,,
7:04.0,,,10-9,,San Antonio full timeout
6:51.0,Personal foul by J. Wall (drawn by D. Green),,10-9,,
6:44.0,,,10-9,,Shooting foul by O. Porter (drawn by K. Leonard)
6:44.0,,,10-10,1,K. Leonard makes free throw 1 of 2
6:44.0,,,10-10,,K. Leonard misses free throw 2 of 2
6:44.0,Defensive rebound by M. Gortat,,10-10,,
6:30.0,M. Gortat makes 2-pt shot from 12 ft (assist by J. Wall),2,12-10,,
6:23.0,,,12-10,,Turnover by Team (back court)
6:11.0,K. Humphries makes 2-pt shot from 16 ft (assist by J. Wall),2,14-10,,
5:50.0,,,14-10,,Turnover by T. Parker (bad pass; steal by O. Porter)
5:36.0,R. Sessions makes 2-pt shot from 6 ft,2,16-10,,
5:36.0,,,16-10,,San Antonio full timeout
5:36.0,,,16-10,,P. Mills enters the game for T. Parker
5:36.0,,,16-10,,M. Ginobili enters the game for D. Green
5:36.0,,,16-10,,B. Diaw enters the game for D. West
5:15.0,,,16-13,3,K. Leonard makes 3-pt shot from 26 ft (assist by M. Ginobili)
5:01.0,O. Porter misses 2-pt shot from 5 ft,,16-13,,
5:00.0,,,16-13,,Defensive rebound by K. Leonard
4:50.0,,,16-15,2,L. Aldridge makes 2-pt shot from 13 ft (assist by K. Leonard)
4:45.0,J. Wall misses 2-pt shot from 3 ft,,16-15,,
4:44.0,,,16-15,,Defensive rebound by M. Ginobili
4:31.0,,,16-17,2,M. Ginobili makes 2-pt shot from 4 ft
4:19.0,M. Gortat makes 2-pt shot from 8 ft (assist by R. Sessions),2,18-17,,
4:05.0,,,18-19,2,M. Ginobili makes 2-pt shot from 2 ft (assist by P. Mills)
3:50.0,K. Humphries misses 2-pt shot from 16 ft,,18-19,,
3:49.0,Offensive rebound by Team,,18-19,,
3:49.0,Washington full timeout,,18-19,,
3:49.0,J. Dudley enters the game for K. Humphries,,18-19,,
3:38.0,J. Wall makes 2-pt shot from 2 ft,2,20-19,,
3:16.0,,,20-21,2,K. Leonard makes 2-pt shot from 8 ft
3:05.0,M. Gortat makes 2-pt shot from 8 ft (assist by R. Sessions),2,22-21,,
2:50.0,,,22-21,,Turnover by M. Ginobili (lost ball; steal by O. Porter)
2:27.0,J. Wall makes 3-pt shot from 23 ft (assist by R. Sessions),3,25-21,,
2:05.0,,,25-21,,K. Leonard misses 3-pt shot from 23 ft
2:04.0,Defensive rebound by J. Dudley,,25-21,,
1:46.0,Shooting foul by K. Leonard (drawn by M. Gortat),,25-21,,
1:46.0,M. Gortat makes free throw 1 of 2,1,26-21,,
1:46.0,G. Temple enters the game for J. Wall,,26-21,,
1:46.0,,,26-21,,B. Marjanovic enters the game for L. Aldridge
1:46.0,M. Gortat makes free throw 2 of 2,1,27-21,,
1:32.0,,,27-23,2,B. Diaw makes 2-pt shot from 1 ft
1:22.0,Shooting foul by B. Marjanovic (drawn by R. Sessions),,27-23,,
1:22.0,R. Sessions makes free throw 1 of 2,1,28-23,,
1:22.0,D. Blair enters the game for M. Gortat,,28-23,,
1:22.0,R. Sessions makes free throw 2 of 2,1,29-23,,
1:08.0,,,29-23,,P. Mills misses 3-pt shot from 24 ft
1:07.0,Defensive rebound by R. Sessions,,29-23,,
1:00.0,G. Temple misses 3-pt shot from 23 ft,,29-23,,
1:00.0,,,29-23,,Defensive rebound by B. Diaw
0:53.0,,,29-25,2,B. Diaw makes 2-pt shot from 2 ft
0:35.0,Offensive foul by D. Blair,,29-25,,
0:35.0,Turnover by D. Blair (offensive foul),,29-25,,
0:35.0,,,29-25,,K. Anderson enters the game for K. Leonard
0:29.0,,,29-25,,B. Diaw misses 3-pt shot from 26 ft
0:29.0,,,29-25,,Offensive rebound by B. Marjanovic
0:29.0,Personal foul by D. Blair (drawn by B. Marjanovic),,29-25,,
0:29.0,,,29-25,,B. Marjanovic misses free throw 1 of 2
0:29.0,,,29-25,,Offensive rebound by Team
0:29.0,J. Wall enters the game for O. Porter,,29-25,,
0:29.0,,,29-25,,T. Parker enters the game for P. Mills
0:29.0,,,29-26,1,B. Marjanovic makes free throw 2 of 2
0:08.0,Shooting foul by M. Ginobili (drawn by D. Blair),,29-26,,
0:08.0,D. Blair makes free throw 1 of 2,1,30-26,,
0:08.0,K. Oubre enters the game for J. Wall,,30-26,,
0:08.0,,,30-26,,P. Mills enters the game for T. Parker
0:08.0,,,30-26,,D. Green enters the game for K. Anderson
0:08.0,D. Blair makes free throw 2 of 2,1,31-26,,
0:01.0,,,31-26,,B. Marjanovic misses 2-pt shot from 4 ft
0:00.0,,,31-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,K. Oubre makes 2-pt shot from 4 ft,2,33-26,,
11:19.0,,,33-26,,Shooting foul by G. Temple (drawn by K. Anderson)
11:19.0,,,33-26,,K. Anderson misses free throw 1 of 2
11:19.0,,,33-26,,Offensive rebound by Team
11:19.0,,,33-27,1,K. Anderson makes free throw 2 of 2
11:19.0,Turnover by D. Blair (bad pass; steal by M. Ginobili),,33-27,,
11:19.0,,,33-27,,Shooting foul by K. Oubre (drawn by M. Ginobili)
11:19.0,,,33-28,1,M. Ginobili makes free throw 1 of 2
11:19.0,,,33-29,1,M. Ginobili makes free throw 2 of 2
11:11.0,,,33-29,,Personal foul by P. Mills (drawn by R. Sessions)
11:01.0,R. Sessions misses 2-pt shot from 4 ft,,33-29,,
11:00.0,,,33-29,,Defensive rebound by B. Marjanovic
10:49.0,,,33-29,,P. Mills misses 3-pt shot from 26 ft
10:48.0,Defensive rebound by D. Blair,,33-29,,
10:40.0,D. Blair misses 2-pt shot from 11 ft,,33-29,,
10:39.0,,,33-29,,Defensive rebound by B. Diaw
10:30.0,,,33-29,,M. Ginobili misses 3-pt shot from 24 ft
10:29.0,,,33-29,,Offensive rebound by B. Marjanovic
10:29.0,Loose ball foul by D. Blair (drawn by B. Marjanovic),,33-29,,
10:29.0,G. Neal enters the game for G. Temple,,33-29,,
10:29.0,M. Gortat enters the game for D. Blair,,33-29,,
10:20.0,,,33-31,2,B. Marjanovic makes 2-pt shot at rim (assist by M. Ginobili)
10:00.0,M. Gortat misses 2-pt shot from 7 ft,,33-31,,
9:59.0,,,33-31,,Defensive rebound by B. Diaw
9:42.0,,,33-31,,Turnover by B. Diaw (bad pass; steal by R. Sessions)
