time,Indiana,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. A. Stoudemire (G. Green gains possession),,,,Jump ball: I. Mahinmi vs. A. Stoudemire (G. Green gains possession)
11:36.0,,,0-0,,L. Deng misses 2-pt shot from 15 ft
11:35.0,Defensive rebound by P. George,,0-0,,
11:09.0,I. Mahinmi makes 2-pt shot from 13 ft,2,2-0,,
10:57.0,Violation by G. Hill (kicked ball),,2-0,,
10:48.0,,,2-0,,Turnover by A. Stoudemire (lost ball)
10:33.0,M. Turner makes 2-pt shot from 15 ft (assist by P. George),2,4-0,,
10:11.0,,,4-0,,G. Green misses 2-pt shot from 20 ft
10:10.0,Defensive rebound by I. Mahinmi,,4-0,,
10:01.0,M. Turner misses 2-pt shot from 15 ft,,4-0,,
10:00.0,,,4-0,,Defensive rebound by A. Stoudemire
9:50.0,,,4-0,,Turnover by G. Dragic (bad pass)
9:44.0,P. George makes 2-pt shot from 18 ft (assist by G. Hill),2,6-0,,
9:28.0,,,6-0,,G. Dragic misses 2-pt shot from 15 ft
9:27.0,,,6-0,,Offensive rebound by G. Dragic
9:23.0,,,6-0,,D. Wade misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by P. George,,6-0,,
9:08.0,M. Ellis misses 2-pt shot from 20 ft,,6-0,,
9:07.0,,,6-0,,Defensive rebound by A. Stoudemire
8:49.0,,,6-0,,G. Green misses 2-pt shot from 18 ft
8:48.0,Defensive rebound by G. Hill,,6-0,,
8:44.0,P. George makes 2-pt shot at rim (assist by G. Hill),2,8-0,,
8:44.0,,,8-0,,Miami full timeout
8:35.0,,,8-0,,L. Deng misses 2-pt shot from 2 ft
8:34.0,Defensive rebound by M. Turner,,8-0,,
8:25.0,P. George makes 3-pt shot from 24 ft (assist by M. Ellis),3,11-0,,
8:14.0,,,11-2,2,G. Dragic makes 2-pt shot from 6 ft
7:58.0,P. George misses 2-pt shot from 19 ft,,11-2,,
7:57.0,,,11-2,,Defensive rebound by D. Wade
7:39.0,,,11-2,,Turnover by A. Stoudemire (lost ball; steal by M. Ellis)
7:33.0,G. Hill misses 2-pt shot from 9 ft,,11-2,,
7:32.0,,,11-2,,Defensive rebound by A. Stoudemire
7:27.0,,,11-2,,Turnover by D. Wade (bad pass)
7:14.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis),2,13-2,,
7:00.0,,,13-2,,G. Green misses 2-pt shot from 14 ft
6:59.0,Defensive rebound by I. Mahinmi,,13-2,,
6:51.0,P. George makes 3-pt shot from 24 ft (assist by G. Hill),3,16-2,,
6:29.0,,,16-2,,Turnover by A. Stoudemire (step out of bounds)
6:29.0,,,16-2,,J. Winslow enters the game for G. Green
6:29.0,,,16-2,,H. Whiteside enters the game for A. Stoudemire
6:08.0,P. George misses 2-pt shot from 19 ft,,16-2,,
