time,Charlotte,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:55.0,,,0-0,,D. Rose misses 2-pt shot from 3 ft (block by K. Walker)
12:00.0,Jump ball: P. Gasol vs. C. Zeller (T. Snell gains possession),,,,Jump ball: P. Gasol vs. C. Zeller (T. Snell gains possession)
11:54.0,Defensive rebound by K. Walker,,0-0,,
11:41.0,M. Williams makes 2-pt shot from 22 ft (assist by K. Walker),2,2-0,,
11:18.0,,,2-0,,Turnover by P. Gasol (bad pass; steal by P. Hairston)
11:03.0,M. Williams misses 3-pt shot from 24 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by Team
10:41.0,,,2-0,,N. Mirotic misses 2-pt shot from 2 ft
10:40.0,Defensive rebound by M. Williams,,2-0,,
10:23.0,C. Zeller makes 2-pt shot from 14 ft (assist by M. Williams),2,4-0,,
10:03.0,,,4-3,3,D. Rose makes 3-pt shot from 23 ft (assist by J. Butler)
9:46.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,7-3,,
9:31.0,,,7-3,,D. Rose misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by N. Batum,,7-3,,
9:20.0,M. Williams makes 2-pt shot from 2 ft,2,9-3,,
9:12.0,,,9-3,,J. Butler misses 2-pt shot from 15 ft
9:11.0,Defensive rebound by C. Zeller,,9-3,,
9:01.0,Shooting foul by N. Mirotic (drawn by C. Zeller),,9-3,,
9:01.0,C. Zeller misses free throw 2 of 2,,9-3,,
9:00.0,,,9-3,,Defensive rebound by P. Gasol
9:01.0,C. Zeller makes free throw 1 of 2,1,10-3,,
8:43.0,,,10-3,,J. Butler misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by M. Williams,,10-3,,
8:34.0,N. Batum makes 2-pt shot from 1 ft,2,12-3,,
8:30.0,,,12-3,,Chicago full timeout
8:08.0,,,12-5,2,N. Mirotic makes 2-pt shot from 15 ft
7:49.0,N. Batum misses 2-pt shot from 16 ft,,12-5,,
7:48.0,,,12-5,,Defensive rebound by D. Rose
7:45.0,,,12-5,,J. Butler misses 2-pt shot from 2 ft (block by N. Batum)
7:45.0,,,12-5,,Offensive rebound by Team
7:36.0,,,12-5,,J. Butler misses 2-pt shot from 12 ft
7:34.0,Defensive rebound by N. Batum,,12-5,,
7:24.0,C. Zeller misses 3-pt shot from 24 ft,,12-5,,
7:23.0,,,12-5,,Defensive rebound by P. Gasol
7:17.0,,,12-5,,D. Rose misses 2-pt shot from 2 ft (block by C. Zeller)
7:15.0,,,12-5,,Offensive rebound by P. Gasol
7:15.0,,,12-7,2,P. Gasol makes 2-pt shot at rim
6:50.0,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker),3,15-7,,
6:25.0,,,15-9,2,D. Rose makes 2-pt shot from 2 ft (assist by T. Snell)
6:07.0,N. Batum makes 2-pt shot from 10 ft,2,17-9,,
5:55.0,,,17-9,,P. Gasol misses 2-pt shot from 1 ft
5:55.0,,,17-9,,Offensive rebound by Team
5:55.0,Loose ball foul by C. Zeller (drawn by P. Gasol),,17-9,,
5:50.0,,,17-12,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Rose)
5:35.0,,,17-12,,D. McDermott enters the game for T. Snell
5:35.0,,,17-12,,J. Noah enters the game for P. Gasol
5:25.0,M. Williams misses 3-pt shot from 23 ft,,17-12,,
5:23.0,,,17-12,,Defensive rebound by N. Mirotic
5:16.0,,,17-12,,D. Rose misses 2-pt shot from 20 ft
5:15.0,Defensive rebound by N. Batum,,17-12,,
5:09.0,K. Walker makes 2-pt shot from 5 ft (assist by N. Batum),2,19-12,,
4:54.0,,,19-12,,Turnover by J. Butler (lost ball; steal by M. Williams)
4:49.0,K. Walker makes 2-pt shot from 3 ft (assist by N. Batum),2,21-12,,
4:36.0,,,21-12,,Turnover by J. Butler (bad pass; steal by K. Walker)
4:30.0,M. Williams misses 2-pt shot from 1 ft,,21-12,,
4:28.0,,,21-12,,Defensive rebound by J. Noah
4:23.0,,,21-12,,D. McDermott misses 2-pt shot from 3 ft
4:22.0,Defensive rebound by C. Zeller,,21-12,,
4:02.0,M. Williams misses 2-pt shot from 22 ft,,21-12,,
4:01.0,,,21-12,,Defensive rebound by N. Mirotic
3:44.0,,,21-12,,J. Butler misses 3-pt shot from 24 ft
3:43.0,,,21-12,,Offensive rebound by N. Mirotic
3:43.0,,,21-14,2,N. Mirotic makes 2-pt shot from 2 ft
3:42.0,Charlotte full timeout,,21-14,,
3:42.0,,,21-14,,K. Hinrich enters the game for D. Rose
3:42.0,F. Kaminsky enters the game for P. Hairston,,21-14,,
3:42.0,J. Lin enters the game for M. Williams,,21-14,,
3:18.0,N. Batum misses 2-pt shot from 19 ft,,21-14,,
3:18.0,Offensive rebound by J. Lin,,21-14,,
3:18.0,J. Lin misses 2-pt shot from 2 ft (block by J. Noah),,21-14,,
3:18.0,Offensive rebound by Team,,21-14,,
3:18.0,Turnover by Team (shot clock),,21-14,,
3:09.0,Personal foul by F. Kaminsky (drawn by N. Mirotic),,21-14,,
3:04.0,,,21-14,,J. Noah misses 2-pt shot from 2 ft
3:03.0,Defensive rebound by F. Kaminsky,,21-14,,
2:49.0,F. Kaminsky misses 2-pt shot from 1 ft,,21-14,,
2:48.0,,,21-14,,Defensive rebound by J. Noah
2:42.0,,,21-16,2,K. Hinrich makes 2-pt shot from 19 ft
2:24.0,F. Kaminsky misses 2-pt shot from 1 ft,,21-16,,
2:22.0,Offensive rebound by C. Zeller,,21-16,,
2:16.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by C. Zeller),2,23-16,,
2:04.0,,,23-16,,Turnover by J. Noah (bad pass; steal by J. Lin)
1:55.0,,,23-16,,Personal foul by J. Butler (drawn by C. Zeller)
1:55.0,S. Hawes enters the game for C. Zeller,,23-16,,
1:55.0,J. Lamb enters the game for N. Batum,,23-16,,
1:55.0,,,23-16,,T. Gibson enters the game for N. Mirotic
1:46.0,K. Walker makes 2-pt shot from 11 ft,2,25-16,,
1:36.0,Personal foul by K. Walker (drawn by K. Hinrich),,25-16,,
1:29.0,,,25-18,2,J. Butler makes 2-pt shot from 2 ft (assist by J. Noah)
1:16.0,,,25-18,,Personal foul by K. Hinrich (drawn by J. Lin)
1:16.0,J. Lin misses free throw 1 of 2,,25-18,,
1:16.0,Offensive rebound by Team,,25-18,,
1:16.0,J. Lin makes free throw 2 of 2,1,26-18,,
1:00.0,,,26-20,2,T. Gibson makes 2-pt shot from 15 ft (assist by K. Hinrich)
0:48.0,F. Kaminsky misses 3-pt shot from 25 ft,,26-20,,
0:47.0,,,26-20,,Defensive rebound by K. Hinrich
0:34.0,,,26-20,,D. McDermott misses 2-pt shot from 5 ft
0:33.0,Defensive rebound by F. Kaminsky,,26-20,,
0:11.0,K. Walker misses 3-pt shot from 25 ft,,26-20,,
0:10.0,,,26-20,,Defensive rebound by K. Hinrich
0:02.0,,,26-20,,K. Hinrich misses 2-pt shot from 15 ft
0:00.0,,,26-20,,Offensive rebound by J. Butler
0:00.0,,,26-22,2,J. Butler makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Lin misses 3-pt shot from 23 ft,,26-22,,
11:42.0,,,26-22,,Defensive rebound by J. Noah
11:17.0,,,26-22,,K. Hinrich misses 3-pt shot from 24 ft
