time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Thompson (S. Curry gains possession),,,,Jump ball: A. Bogut vs. T. Thompson (S. Curry gains possession)
11:38.0,,,0-0,,D. Green misses 3-pt shot from 27 ft
11:37.0,Defensive rebound by L. James,,0-0,,
11:23.0,K. Love makes 3-pt shot from 23 ft (assist by K. Irving),3,3-0,,
10:57.0,,,3-2,2,A. Bogut makes 2-pt shot from 2 ft (assist by D. Green)
10:43.0,K. Irving misses 3-pt shot from 25 ft,,3-2,,
10:42.0,,,3-2,,Defensive rebound by K. Thompson
10:34.0,,,3-2,,K. Thompson misses 3-pt shot from 28 ft
10:33.0,Defensive rebound by L. James,,3-2,,
10:28.0,Turnover by J. Smith (lost ball),,3-2,,
10:14.0,,,3-4,2,H. Barnes makes 2-pt shot from 2 ft (assist by A. Bogut)
10:14.0,,,3-4,,Shooting foul by T. Thompson (drawn by H. Barnes)
10:14.0,,,3-5,1,H. Barnes makes free throw 1 of 1
9:59.0,L. James makes 2-pt shot from 1 ft,2,5-5,,
9:48.0,,,5-5,,K. Thompson misses 2-pt shot from 7 ft
9:47.0,Defensive rebound by K. Love,,5-5,,
9:27.0,T. Thompson misses 2-pt shot from 8 ft,,5-5,,
9:26.0,Offensive rebound by Team,,5-5,,
9:23.0,K. Love misses 3-pt shot from 25 ft,,5-5,,
9:22.0,,,5-5,,Defensive rebound by D. Green
9:13.0,,,5-7,2,H. Barnes makes 2-pt shot from 2 ft (assist by D. Green)
9:05.0,,,5-7,,Personal foul by K. Thompson
9:05.0,K. Irving makes free throw 1 of 2,1,6-7,,
9:05.0,K. Irving makes free throw 2 of 2,1,7-7,,
8:47.0,,,7-9,2,H. Barnes makes 2-pt shot from 2 ft
8:34.0,T. Thompson misses 2-pt shot from 2 ft (block by K. Thompson),,7-9,,
8:34.0,,,7-9,,Defensive rebound by D. Green
8:32.0,,,7-9,,Turnover by D. Green (bad pass)
8:22.0,K. Love makes 2-pt shot from 9 ft (assist by L. James),2,9-9,,
8:09.0,,,9-9,,A. Bogut misses 2-pt shot from 3 ft
8:07.0,,,9-9,,Offensive rebound by A. Bogut
8:07.0,,,9-11,2,A. Bogut makes 2-pt shot from 2 ft
7:41.0,Turnover by Team (shot clock),,9-11,,
7:28.0,,,9-14,3,S. Curry makes 3-pt shot from 26 ft
7:26.0,Cleveland full timeout,,9-14,,
7:08.0,L. James makes 2-pt shot from 3 ft,2,11-14,,
6:47.0,,,11-16,2,A. Bogut makes 2-pt shot at rim (assist by D. Green)
6:22.0,K. Irving makes 2-pt shot from 11 ft (assist by L. James),2,13-16,,
6:16.0,,,13-16,,K. Thompson misses 3-pt shot from 27 ft
