time,Brooklyn,pts.away,score,pts.home,Miami
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,27-29,2,J. McRoberts makes 2-pt shot at rim (assist by H. Whiteside)
11:28.0,S. Kilpatrick makes 2-pt shot from 13 ft,2,29-29,,
11:13.0,,,29-31,2,H. Whiteside makes 2-pt shot from 4 ft (assist by J. McRoberts)
10:51.0,H. Sims makes 2-pt shot from 5 ft (assist by R. Hollis-Jefferson),2,31-31,,
10:36.0,,,31-33,2,J. Winslow makes 2-pt shot from 5 ft
10:20.0,S. Kilpatrick makes 2-pt shot from 17 ft (assist by R. Hollis-Jefferson),2,33-33,,
9:58.0,,,33-33,,Turnover by J. Johnson (lost ball; steal by C. McCullough)
9:41.0,C. McCullough makes 3-pt shot from 24 ft (assist by D. Sloan),3,36-33,,
9:13.0,,,36-33,,J. McRoberts misses 3-pt shot from 25 ft
9:12.0,,,36-33,,Offensive rebound by Team
9:12.0,,,36-33,,Turnover by Team (shot clock)
8:59.0,Turnover by D. Sloan (lost ball; steal by H. Whiteside),,36-33,,
8:46.0,,,36-33,,J. McRoberts misses 2-pt shot from 19 ft
8:45.0,,,36-33,,Offensive rebound by H. Whiteside
8:41.0,,,36-33,,H. Whiteside misses 2-pt shot from 3 ft
8:40.0,Defensive rebound by C. McCullough,,36-33,,
8:39.0,Turnover by C. McCullough (bad pass),,36-33,,
8:39.0,Official timeout,,36-33,,
8:24.0,,,36-33,,H. Whiteside misses 2-pt shot from 7 ft
8:23.0,Defensive rebound by H. Sims,,36-33,,
8:10.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by H. Sims),2,38-33,,
7:56.0,,,38-33,,Shooting foul by H. Sims (drawn by H. Whiteside)
7:56.0,,,38-34,1,H. Whiteside makes free throw 1 of 2
7:56.0,,,38-34,,D. Wade enters the game for G. Green
7:56.0,M. Brown enters the game for R. Hollis-Jefferson,,38-34,,
7:56.0,,,38-35,1,H. Whiteside makes free throw 2 of 2
7:44.0,Turnover by S. Kilpatrick (lost ball; steal by J. McRoberts),,38-35,,
7:36.0,,,38-37,2,J. Winslow makes 2-pt shot from 2 ft (assist by J. McRoberts)
7:21.0,S. Kilpatrick misses 3-pt shot from 24 ft,,38-37,,
7:20.0,Offensive rebound by H. Sims,,38-37,,
7:19.0,,,38-37,,Personal foul by J. Winslow
7:19.0,S. Kilpatrick makes free throw 1 of 2,1,39-37,,
7:19.0,,,39-37,,J. Richardson enters the game for J. Johnson
7:19.0,S. Kilpatrick makes free throw 2 of 2,1,40-37,,
7:04.0,,,40-39,2,J. McRoberts makes 2-pt shot from 9 ft
6:48.0,S. Kilpatrick misses 3-pt shot from 24 ft,,40-39,,
6:47.0,,,40-39,,Defensive rebound by H. Whiteside
6:33.0,,,40-39,,Shooting foul by S. Kilpatrick (drawn by D. Wade)
6:33.0,,,40-41,2,D. Wade makes 2-pt shot from 1 ft (assist by J. McRoberts)
6:33.0,,,40-42,1,D. Wade makes free throw 1 of 1
6:17.0,Turnover by C. McCullough (traveling),,40-42,,
6:08.0,,,40-44,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
5:47.0,M. Brown makes 2-pt shot from 8 ft,2,42-44,,
5:28.0,,,42-46,2,D. Wade makes 2-pt shot from 4 ft
5:16.0,D. Sloan misses 2-pt shot from 18 ft,,42-46,,
5:15.0,,,42-46,,Defensive rebound by H. Whiteside
5:12.0,,,42-46,,Shooting foul by M. Brown (drawn by J. Winslow)
5:12.0,,,42-46,,Miami full timeout
5:12.0,B. Lopez enters the game for S. Kilpatrick,,42-46,,
5:12.0,S. Karasev enters the game for C. McCullough,,42-46,,
5:12.0,T. Young enters the game for H. Sims,,42-46,,
5:12.0,,,42-47,1,J. Winslow makes free throw 1 of 2
5:12.0,,,42-48,1,J. Winslow makes free throw 2 of 2
4:48.0,B. Lopez makes 2-pt shot from 7 ft,2,44-48,,
4:27.0,,,44-48,,J. Winslow misses 2-pt shot from 3 ft
4:26.0,Defensive rebound by T. Young,,44-48,,
4:12.0,T. Young makes 2-pt shot from 14 ft,2,46-48,,
3:53.0,,,46-50,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade)
3:41.0,Turnover by B. Lopez (traveling),,46-50,,
3:41.0,,,46-50,,L. Deng enters the game for J. McRoberts
3:41.0,S. Larkin enters the game for D. Sloan,,46-50,,
3:26.0,,,46-50,,H. Whiteside misses 2-pt shot from 4 ft
3:25.0,Defensive rebound by T. Young,,46-50,,
3:15.0,B. Lopez makes 2-pt shot from 8 ft (assist by T. Young),2,48-50,,
