time,San Antonio,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:46.0,,,0-0,,K. Irving misses 2-pt shot from 15 ft
12:00.0,Jump ball: L. Aldridge vs. T. Thompson (L. James gains possession),,,,Jump ball: L. Aldridge vs. T. Thompson (L. James gains possession)
11:45.0,,,0-0,,Offensive rebound by J. Smith
11:39.0,,,0-0,,K. Love misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by T. Parker,,0-0,,
11:23.0,D. West makes 2-pt shot from 1 ft (assist by T. Parker),2,2-0,,
11:23.0,Technical foul by D. West,,2-0,,
11:23.0,,,2-1,1,K. Irving makes technical free throw
11:07.0,,,2-1,,L. James misses 2-pt shot from 12 ft
11:06.0,Defensive rebound by K. Leonard,,2-1,,
10:56.0,K. Leonard makes 2-pt shot at rim (assist by D. West),2,4-1,,
10:45.0,,,4-1,,Shooting foul by L. Aldridge (drawn by K. Love)
10:45.0,,,4-2,1,K. Love makes free throw 1 of 2
10:45.0,,,4-3,1,K. Love makes free throw 2 of 2
10:34.0,Turnover by T. Parker (lost ball; steal by K. Irving),,4-3,,
10:29.0,,,4-5,2,K. Irving makes 2-pt shot from 1 ft
10:15.0,D. West misses 2-pt shot from 10 ft,,4-5,,
10:11.0,,,4-5,,Defensive rebound by K. Love
10:06.0,,,4-8,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
9:48.0,L. Aldridge misses 2-pt shot from 9 ft,,4-8,,
9:47.0,,,4-8,,Defensive rebound by K. Love
9:38.0,,,4-10,2,K. Love makes 2-pt shot from 19 ft (assist by L. James)
9:38.0,San Antonio full timeout,,4-10,,
9:24.0,,,4-10,,Personal foul by K. Love
9:17.0,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Parker),2,6-10,,
9:02.0,,,6-13,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
8:37.0,T. Parker misses 2-pt shot from 8 ft,,6-13,,
8:35.0,Offensive rebound by K. Leonard,,6-13,,
8:29.0,K. Leonard misses 2-pt shot from 17 ft,,6-13,,
8:27.0,Offensive rebound by D. Green,,6-13,,
8:14.0,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker),3,9-13,,
7:57.0,,,9-13,,K. Irving misses 2-pt shot from 20 ft
7:56.0,Defensive rebound by T. Parker,,9-13,,
7:44.0,T. Parker makes 2-pt shot at rim,2,11-13,,
7:18.0,,,11-13,,L. James misses 3-pt shot from 27 ft
7:17.0,,,11-13,,Offensive rebound by T. Thompson
7:15.0,,,11-13,,Shooting foul by K. Leonard (drawn by T. Thompson)
7:15.0,,,11-14,1,T. Thompson makes free throw 1 of 2
7:15.0,,,11-15,1,T. Thompson makes free throw 2 of 2
6:54.0,T. Parker makes 2-pt shot from 8 ft,2,13-15,,
6:38.0,,,13-17,2,K. Love makes 2-pt shot from 9 ft
6:25.0,T. Parker misses 2-pt shot from 1 ft,,13-17,,
6:24.0,,,13-17,,Defensive rebound by T. Thompson
6:18.0,,,13-19,2,L. James makes 2-pt shot from 8 ft
6:03.0,Turnover by K. Leonard (lost ball; steal by L. James),,13-19,,
5:57.0,,,13-21,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
5:43.0,T. Parker misses 2-pt shot from 7 ft,,13-21,,
5:41.0,,,13-21,,Defensive rebound by L. James
5:27.0,,,13-23,2,K. Love makes 2-pt shot from 18 ft (assist by J. Smith)
5:06.0,L. Aldridge makes 2-pt shot from 1 ft,2,15-23,,
5:04.0,,,15-23,,Cleveland full timeout
5:04.0,P. Mills enters the game for D. West,,15-23,,
5:04.0,M. Ginobili enters the game for D. Green,,15-23,,
5:04.0,B. Diaw enters the game for T. Parker,,15-23,,
4:48.0,,,15-23,,J. Smith misses 2-pt shot from 21 ft
4:47.0,,,15-23,,Offensive rebound by K. Love
4:41.0,,,15-23,,J. Smith misses 2-pt shot from 18 ft
4:41.0,,,15-23,,Offensive rebound by Team
4:41.0,Loose ball foul by L. Aldridge,,15-23,,
4:28.0,,,15-23,,K. Irving misses 2-pt shot from 14 ft
4:28.0,Defensive rebound by Team,,15-23,,
4:09.0,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills),2,17-23,,
3:47.0,,,17-26,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
3:29.0,M. Ginobili misses 2-pt shot from 8 ft,,17-26,,
3:25.0,Offensive rebound by L. Aldridge,,17-26,,
3:25.0,L. Aldridge makes 2-pt shot from 2 ft,2,19-26,,
3:09.0,,,19-26,,K. Irving misses 3-pt shot from 26 ft
3:09.0,,,19-26,,Offensive rebound by Team
3:09.0,Loose ball foul by L. Aldridge,,19-26,,
3:09.0,,,19-26,,M. Dellavedova enters the game for K. Irving
3:09.0,,,19-26,,R. Jefferson enters the game for L. James
3:09.0,D. West enters the game for L. Aldridge,,19-26,,
3:02.0,,,19-26,,K. Love misses 2-pt shot from 17 ft
3:00.0,Defensive rebound by K. Leonard,,19-26,,
2:54.0,M. Ginobili makes 3-pt shot from 25 ft (assist by K. Leonard),3,22-26,,
2:45.0,,,22-26,,Turnover by M. Dellavedova (bad pass)
2:30.0,B. Diaw misses 2-pt shot at rim,,22-26,,
2:28.0,,,22-26,,Defensive rebound by J. Smith
2:16.0,,,22-28,2,M. Dellavedova makes 2-pt shot from 6 ft
2:00.0,,,22-28,,Personal foul by R. Jefferson
2:00.0,K. Leonard makes free throw 1 of 2,1,23-28,,
2:00.0,,,23-28,,I. Shumpert enters the game for K. Love
2:00.0,K. Leonard makes free throw 2 of 2,1,24-28,,
1:47.0,,,24-31,3,J. Smith makes 3-pt shot from 24 ft (assist by R. Jefferson)
1:33.0,M. Ginobili misses 2-pt shot from 2 ft,,24-31,,
1:32.0,,,24-31,,Defensive rebound by M. Dellavedova
1:27.0,,,24-31,,Shooting foul by K. Leonard (drawn by T. Thompson)
1:27.0,,,24-32,1,T. Thompson makes free throw 1 of 2
1:27.0,K. Anderson enters the game for K. Leonard,,24-32,,
1:27.0,,,24-33,1,T. Thompson makes free throw 2 of 2
1:12.0,P. Mills misses 3-pt shot from 25 ft,,24-33,,
1:12.0,Offensive rebound by B. Diaw,,24-33,,
1:03.0,D. West makes 2-pt shot from 12 ft (assist by B. Diaw),2,26-33,,
0:52.0,,,26-33,,M. Dellavedova misses 2-pt shot from 8 ft
0:50.0,,,26-33,,Offensive rebound by M. Dellavedova
0:47.0,,,26-33,,J. Smith misses 3-pt shot from 23 ft
0:46.0,Defensive rebound by M. Ginobili,,26-33,,
0:37.0,B. Diaw makes 2-pt shot at rim (assist by K. Anderson),2,28-33,,
0:28.0,,,28-35,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
0:17.0,B. Diaw makes 2-pt shot at rim,2,30-35,,
0:00.0,,,30-37,2,J. Smith makes 2-pt shot from 20 ft (assist by M. Dellavedova)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,P. Mills makes 2-pt shot from 18 ft (assist by M. Ginobili),2,32-37,,
11:21.0,,,32-39,2,T. Mozgov makes 2-pt shot from 2 ft (assist by I. Shumpert)
11:09.0,P. Mills misses 2-pt shot from 12 ft,,32-39,,
11:08.0,,,32-39,,Defensive rebound by I. Shumpert
10:57.0,,,32-42,3,R. Jefferson makes 3-pt shot from 22 ft (assist by K. Irving)
10:47.0,,,32-42,,Personal foul by T. Mozgov
10:47.0,B. Marjanovic enters the game for D. West,,32-42,,
10:30.0,M. Ginobili misses 3-pt shot from 24 ft,,32-42,,
10:29.0,,,32-42,,Defensive rebound by R. Jefferson
10:13.0,,,32-44,2,K. Irving makes 2-pt shot at rim
9:50.0,P. Mills misses 3-pt shot from 24 ft,,32-44,,
9:49.0,,,32-44,,Defensive rebound by R. Jefferson
9:41.0,Personal foul by M. Ginobili,,32-44,,
9:29.0,,,32-46,2,K. Irving makes 2-pt shot from 18 ft
9:14.0,Shooting foul by R. Jefferson (drawn by K. Anderson),,32-46,,
9:14.0,K. Anderson makes free throw 1 of 2,1,33-46,,
9:14.0,,,33-46,,L. James enters the game for R. Jefferson
9:14.0,K. Leonard enters the game for B. Diaw,,33-46,,
9:14.0,J. Simmons enters the game for M. Ginobili,,33-46,,
9:14.0,K. Anderson makes free throw 2 of 2,1,34-46,,
8:53.0,,,34-46,,Shooting foul by B. Marjanovic (drawn by L. James)
8:53.0,Official timeout,,34-46,,
8:53.0,,,34-46,,K. Love enters the game for M. Dellavedova
8:53.0,,,34-46,,L. James misses free throw 1 of 2
8:53.0,,,34-46,,Offensive rebound by Team
8:53.0,T. Parker enters the game for P. Mills,,34-46,,
8:53.0,,,34-46,,L. James misses free throw 2 of 2
8:52.0,Defensive rebound by K. Anderson,,34-46,,
8:37.0,K. Anderson makes 2-pt shot from 15 ft,2,36-46,,
8:21.0,,,36-46,,T. Mozgov misses 2-pt shot from 1 ft
8:20.0,Defensive rebound by J. Simmons,,36-46,,
7:59.0,K. Anderson misses 3-pt shot from 24 ft,,36-46,,
7:58.0,,,36-46,,Defensive rebound by I. Shumpert
7:42.0,,,36-46,,Shooting foul by J. Simmons (drawn by L. James)
7:42.0,,,36-47,1,L. James makes free throw 1 of 2
7:42.0,,,36-48,1,L. James makes free throw 2 of 2
7:22.0,K. Leonard misses 3-pt shot from 24 ft,,36-48,,
7:21.0,,,36-48,,Defensive rebound by K. Love
6:58.0,,,36-48,,L. James misses 2-pt shot from 15 ft
6:57.0,Defensive rebound by T. Parker,,36-48,,
6:52.0,T. Parker misses 2-pt shot from 5 ft (block by L. James),,36-48,,
6:52.0,Offensive rebound by Team,,36-48,,
6:37.0,J. Simmons makes 2-pt shot at rim,2,38-48,,
6:24.0,,,38-50,2,K. Love makes 2-pt shot from 12 ft (assist by K. Irving)
6:04.0,Shooting foul by T. Mozgov (drawn by B. Marjanovic),,38-50,,
6:04.0,B. Marjanovic makes free throw 1 of 2,1,39-50,,
6:04.0,B. Marjanovic makes free throw 2 of 2,1,40-50,,
5:48.0,,,40-52,2,K. Love makes 2-pt shot from 9 ft (assist by K. Irving)
5:24.0,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker),3,43-52,,
5:15.0,Personal foul by J. Simmons,,43-52,,
5:15.0,,,43-52,,Cleveland full timeout
5:15.0,D. Green enters the game for K. Anderson,,43-52,,
4:55.0,,,43-54,2,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Love)
4:38.0,T. Parker makes 2-pt shot from 12 ft (assist by J. Simmons),2,45-54,,
4:20.0,,,45-56,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
4:00.0,K. Leonard misses 2-pt shot from 5 ft,,45-56,,
3:58.0,,,45-56,,Defensive rebound by K. Love
3:50.0,,,45-56,,T. Mozgov misses 2-pt shot from 2 ft
3:49.0,Defensive rebound by B. Marjanovic,,45-56,,
3:40.0,K. Leonard misses 2-pt shot from 7 ft,,45-56,,
3:40.0,,,45-56,,Defensive rebound by T. Mozgov
3:36.0,,,45-56,,L. James misses 2-pt shot from 1 ft (block by J. Simmons)
3:36.0,,,45-56,,Offensive rebound by Team
3:36.0,D. West enters the game for B. Marjanovic,,45-56,,
3:36.0,,,45-56,,T. Thompson enters the game for T. Mozgov
3:36.0,,,45-56,,J. Smith enters the game for I. Shumpert
3:36.0,,,45-56,,M. Dellavedova enters the game for K. Irving
3:31.0,,,45-56,,Offensive foul by J. Smith
3:31.0,,,45-56,,Turnover by J. Smith (offensive foul)
3:13.0,,,45-56,,Personal foul by L. James
3:06.0,Shooting foul by M. Dellavedova (drawn by T. Parker),,45-56,,
3:06.0,T. Parker makes free throw 1 of 2,1,46-56,,
3:06.0,T. Parker misses free throw 2 of 2,,46-56,,
3:04.0,,,46-56,,Defensive rebound by J. Smith
2:54.0,,,46-56,,Shooting foul by D. Green (drawn by L. James)
2:54.0,San Antonio full timeout,,46-56,,
2:54.0,B. Diaw enters the game for D. Green,,46-56,,
2:54.0,M. Ginobili enters the game for J. Simmons,,46-56,,
2:54.0,,,46-57,1,L. James makes free throw 1 of 2
2:54.0,,,46-58,1,L. James makes free throw 2 of 2
2:39.0,K. Leonard misses 2-pt shot from 9 ft,,46-58,,
2:37.0,,,46-58,,Defensive rebound by K. Love
2:29.0,,,46-58,,M. Dellavedova misses 3-pt shot from 24 ft
2:28.0,,,46-58,,Offensive rebound by K. Love
2:22.0,,,46-60,2,T. Thompson makes 2-pt shot at rim (assist by K. Love)
2:09.0,M. Ginobili misses 2-pt shot from 3 ft (block by K. Love),,46-60,,
2:08.0,,,46-60,,Defensive rebound by K. Love
2:01.0,,,46-62,2,J. Smith makes 2-pt shot from 15 ft
1:45.0,Shooting foul by J. Smith (drawn by K. Leonard),,46-62,,
1:45.0,K. Leonard misses free throw 1 of 2,,46-62,,
1:45.0,Offensive rebound by Team,,46-62,,
1:45.0,,,46-62,,I. Shumpert enters the game for J. Smith
1:45.0,K. Leonard makes free throw 2 of 2,1,47-62,,
1:28.0,,,47-64,2,I. Shumpert makes 2-pt shot from 10 ft (assist by L. James)
1:14.0,Turnover by T. Parker (step out of bounds),,47-64,,
1:03.0,,,47-64,,K. Love misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by B. Diaw,,47-64,,
0:58.0,Shooting foul by M. Dellavedova (drawn by T. Parker),,47-64,,
0:58.0,T. Parker makes free throw 1 of 2,1,48-64,,
0:58.0,,,48-64,,K. Irving enters the game for M. Dellavedova
0:58.0,T. Parker makes free throw 2 of 2,1,49-64,,
0:35.0,,,49-64,,K. Irving misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by B. Diaw,,49-64,,
0:27.0,T. Parker misses 2-pt shot from 19 ft,,49-64,,
0:26.0,,,49-64,,Defensive rebound by I. Shumpert
0:05.0,,,49-66,2,L. James makes 2-pt shot at rim
0:00.0,Turnover by T. Parker (lost ball; steal by K. Irving),,49-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,L. Aldridge makes 2-pt shot from 13 ft,2,51-66,,
11:11.0,,,51-66,,K. Irving misses 2-pt shot from 19 ft
11:10.0,Defensive rebound by K. Leonard,,51-66,,
10:56.0,L. Aldridge makes 2-pt shot from 6 ft,2,53-66,,
10:39.0,,,53-66,,Turnover by K. Irving (traveling)
10:26.0,K. Leonard makes 2-pt shot from 1 ft (assist by T. Parker),2,55-66,,
10:26.0,,,55-66,,Cleveland full timeout
10:06.0,,,55-66,,J. Smith misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by T. Parker,,55-66,,
9:52.0,D. West misses 2-pt shot from 14 ft,,55-66,,
9:52.0,,,55-66,,Defensive rebound by T. Thompson
9:37.0,,,55-66,,L. James misses 2-pt shot from 2 ft
9:36.0,Defensive rebound by K. Leonard,,55-66,,
9:32.0,D. Green makes 2-pt shot from 1 ft (assist by T. Parker),2,57-66,,
9:14.0,,,57-66,,K. Love misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by D. West,,57-66,,
8:59.0,L. Aldridge misses 2-pt shot from 12 ft,,57-66,,
8:58.0,Offensive rebound by D. Green,,57-66,,
8:47.0,L. Aldridge misses 2-pt shot from 9 ft,,57-66,,
8:46.0,,,57-66,,Defensive rebound by K. Love
8:41.0,,,57-68,2,L. James makes 2-pt shot from 1 ft
8:23.0,K. Leonard misses 3-pt shot from 22 ft,,57-68,,
8:22.0,Offensive rebound by D. West,,57-68,,
8:22.0,Turnover by K. Leonard (traveling),,57-68,,
8:06.0,,,57-68,,T. Thompson misses 2-pt shot from 8 ft
8:05.0,Defensive rebound by D. West,,57-68,,
8:02.0,D. Green misses 3-pt shot from 26 ft,,57-68,,
8:00.0,,,57-68,,Defensive rebound by L. James
7:35.0,,,57-70,2,K. Irving makes 2-pt shot from 6 ft
7:09.0,L. Aldridge misses 2-pt shot from 11 ft,,57-70,,
7:07.0,,,57-70,,Defensive rebound by L. James
7:07.0,,,57-70,,Shooting foul by D. West (drawn by L. James)
7:07.0,,,57-71,1,L. James makes free throw 1 of 2
7:07.0,M. Ginobili enters the game for D. West,,57-71,,
7:07.0,B. Diaw enters the game for D. Green,,57-71,,
7:07.0,,,57-72,1,L. James makes free throw 2 of 2
6:55.0,T. Parker makes 2-pt shot at rim,2,59-72,,
6:50.0,Shooting block foul by M. Ginobili (drawn by K. Irving),,59-72,,
