time,Memphis,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. A. Bogut (K. Thompson gains possession),,,,Jump ball: C. Andersen vs. A. Bogut (K. Thompson gains possession)
11:39.0,,,0-0,,D. Green misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by J. Farmar,,0-0,,
11:23.0,M. Barnes misses 2-pt shot from 12 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by D. Green
11:08.0,,,0-0,,H. Barnes misses 3-pt shot from 25 ft
11:08.0,,,0-0,,Offensive rebound by D. Green
11:05.0,,,0-0,,D. Green misses 2-pt shot from 2 ft
11:05.0,,,0-0,,Offensive rebound by D. Green
11:05.0,,,0-0,,D. Green misses 2-pt shot from 2 ft
11:05.0,,,0-0,,Offensive rebound by D. Green
11:05.0,,,0-0,,Shooting foul by J. Farmar (drawn by D. Green)
11:05.0,,,0-1,1,D. Green makes free throw 1 of 2
11:05.0,,,0-1,,D. Green misses free throw 2 of 2
11:00.0,Defensive rebound by C. Andersen,,0-1,,
10:48.0,Z. Randolph misses 2-pt shot from 4 ft,,0-1,,
10:45.0,Offensive rebound by Z. Randolph,,0-1,,
10:44.0,Z. Randolph makes 2-pt shot from 3 ft,2,2-1,,
10:30.0,,,2-3,2,K. Thompson makes 2-pt shot from 16 ft (assist by S. Curry)
10:12.0,Z. Randolph makes 2-pt shot from 6 ft (assist by M. Barnes),2,4-3,,
9:59.0,,,4-3,,K. Thompson misses 3-pt shot from 26 ft
9:58.0,Defensive rebound by M. Barnes,,4-3,,
9:49.0,Turnover by M. Barnes (lost ball; steal by S. Curry),,4-3,,
9:44.0,,,4-3,,S. Curry misses 3-pt shot from 27 ft
9:43.0,Defensive rebound by Team,,4-3,,
9:21.0,Z. Randolph misses 2-pt shot from 12 ft,,4-3,,
9:20.0,,,4-3,,Defensive rebound by D. Green
9:13.0,,,4-6,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
9:04.0,M. Barnes misses 3-pt shot from 26 ft,,4-6,,
9:04.0,,,4-6,,Defensive rebound by S. Curry
9:01.0,,,4-6,,K. Thompson misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by M. Barnes,,4-6,,
8:47.0,J. Farmar makes 2-pt shot from 16 ft,2,6-6,,
8:33.0,,,6-9,3,H. Barnes makes 3-pt shot from 24 ft (assist by K. Thompson)
8:17.0,V. Carter misses 2-pt shot from 10 ft,,6-9,,
8:16.0,Offensive rebound by Z. Randolph,,6-9,,
8:11.0,V. Carter makes 3-pt shot from 25 ft,3,9-9,,
7:59.0,,,9-12,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
7:39.0,J. Farmar makes 3-pt shot from 23 ft,3,12-12,,
7:33.0,,,12-12,,D. Green misses 3-pt shot from 26 ft
7:32.0,Defensive rebound by Z. Randolph,,12-12,,
7:09.0,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Barnes),2,14-12,,
7:03.0,,,14-14,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
6:52.0,Z. Randolph misses 3-pt shot from 24 ft,,14-14,,
6:52.0,Offensive rebound by Team,,14-14,,
6:52.0,,,14-14,,Loose ball foul by H. Barnes
6:52.0,L. Stephenson enters the game for C. Andersen,,14-14,,
6:36.0,Turnover by Z. Randolph (traveling),,14-14,,
6:26.0,,,14-14,,K. Thompson misses 3-pt shot from 26 ft
6:26.0,Defensive rebound by V. Carter,,14-14,,
6:16.0,M. Barnes misses 3-pt shot from 23 ft,,14-14,,
6:15.0,,,14-14,,Defensive rebound by H. Barnes
6:08.0,,,14-14,,Shooting foul by M. Barnes (drawn by S. Curry)
6:08.0,,,14-15,1,S. Curry makes free throw 1 of 2
6:08.0,,,14-15,,A. Iguodala enters the game for H. Barnes
6:08.0,,,14-16,1,S. Curry makes free throw 2 of 2
5:54.0,J. Farmar misses 3-pt shot from 25 ft,,14-16,,
5:53.0,,,14-16,,Defensive rebound by A. Bogut
