time,Sacramento,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Cousins (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. D. Cousins (S. Ibaka gains possession)
11:51.0,,,0-2,2,R. Westbrook makes 2-pt shot from 1 ft
11:39.0,Turnover by R. Rondo (lost ball),,0-2,,
11:17.0,,,0-2,,K. Durant misses 3-pt shot from 24 ft
11:16.0,,,0-2,,Offensive rebound by A. Roberson
11:13.0,,,0-4,2,S. Ibaka makes 2-pt shot from 16 ft (assist by A. Roberson)
11:04.0,,,0-4,,Personal foul by S. Ibaka (drawn by R. Gay)
10:54.0,D. Cousins makes 2-pt shot from 18 ft (assist by R. Gay),2,2-4,,
10:31.0,,,2-4,,A. Roberson misses 3-pt shot from 23 ft
10:31.0,Defensive rebound by B. McLemore,,2-4,,
10:19.0,,,2-4,,Personal foul by S. Ibaka (drawn by D. Cousins)
10:10.0,D. Cousins misses 3-pt shot from 24 ft,,2-4,,
10:09.0,,,2-4,,Defensive rebound by R. Westbrook
9:51.0,,,2-6,2,S. Ibaka makes 2-pt shot at rim (assist by S. Adams)
9:35.0,R. Rondo misses 2-pt shot from 16 ft,,2-6,,
9:33.0,,,2-6,,Defensive rebound by K. Durant
9:23.0,,,2-8,2,R. Westbrook makes 2-pt shot from 13 ft
9:09.0,D. Cousins misses 2-pt shot from 2 ft (block by S. Adams),,2-8,,
9:08.0,,,2-8,,Defensive rebound by K. Durant
9:05.0,,,2-8,,Shooting foul by B. McLemore (drawn by K. Durant)
9:05.0,,,2-8,,K. Durant misses free throw 1 of 2
9:05.0,,,2-8,,Offensive rebound by Team
9:05.0,,,2-9,1,K. Durant makes free throw 2 of 2
8:53.0,O. Casspi misses 3-pt shot from 25 ft,,2-9,,
8:52.0,Offensive rebound by D. Cousins,,2-9,,
8:39.0,D. Cousins misses 2-pt shot from 1 ft,,2-9,,
8:37.0,,,2-9,,Defensive rebound by S. Adams
8:26.0,,,2-11,2,R. Westbrook makes 2-pt shot from 1 ft
8:12.0,R. Gay misses 2-pt shot from 15 ft,,2-11,,
8:11.0,Offensive rebound by D. Cousins,,2-11,,
8:10.0,,,2-11,,Personal foul by A. Roberson (drawn by D. Cousins)
8:02.0,R. Rondo makes 2-pt shot at rim,2,4-11,,
7:44.0,,,4-11,,A. Roberson misses 2-pt shot from 1 ft
7:42.0,Defensive rebound by D. Cousins,,4-11,,
7:38.0,B. McLemore makes 2-pt shot at rim (assist by R. Rondo),2,6-11,,
7:16.0,,,6-11,,A. Roberson misses 2-pt shot from 1 ft
7:15.0,,,6-11,,Offensive rebound by S. Adams
7:15.0,,,6-11,,S. Adams misses 2-pt shot from 1 ft
7:14.0,Defensive rebound by R. Rondo,,6-11,,
7:08.0,R. Gay makes 3-pt shot from 22 ft (assist by R. Rondo),3,9-11,,
6:51.0,,,9-13,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
6:35.0,Shooting foul by S. Ibaka (drawn by O. Casspi),,9-13,,
6:35.0,O. Casspi misses free throw 1 of 2,,9-13,,
6:35.0,Offensive rebound by Team,,9-13,,
