time,Charlotte,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. C. Zeller (L. Scola gains possession),,,,Jump ball: J. Valanciunas vs. C. Zeller (L. Scola gains possession)
11:41.0,,,0-2,2,K. Lowry makes 2-pt shot from 14 ft
11:22.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,2-2,,
11:11.0,,,2-2,,Shooting foul by K. Walker (drawn by D. DeRozan)
11:11.0,,,2-3,1,D. DeRozan makes free throw 1 of 2
11:11.0,,,2-4,1,D. DeRozan makes free throw 2 of 2
11:00.0,Shooting foul by N. Powell (drawn by J. Lin),,2-4,,
11:00.0,J. Lin makes free throw 1 of 2,1,3-4,,
11:00.0,J. Lin makes free throw 2 of 2,1,4-4,,
10:43.0,,,4-4,,D. DeRozan misses 2-pt shot from 20 ft
10:43.0,Defensive rebound by M. Williams,,4-4,,
10:30.0,C. Lee makes 2-pt shot from 13 ft,2,6-4,,
10:09.0,,,6-6,2,J. Valanciunas makes 2-pt shot from 19 ft (assist by D. DeRozan)
9:50.0,J. Lin misses 2-pt shot from 3 ft,,6-6,,
9:50.0,,,6-6,,Defensive rebound by J. Valanciunas
9:44.0,,,6-6,,K. Lowry misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by C. Zeller,,6-6,,
9:34.0,J. Lin makes 3-pt shot from 25 ft,3,9-6,,
9:11.0,,,9-8,2,L. Scola makes 2-pt shot from 5 ft
8:59.0,,,9-8,,Personal block foul by L. Scola
8:50.0,K. Walker misses 3-pt shot from 26 ft,,9-8,,
8:49.0,,,9-8,,Defensive rebound by J. Valanciunas
8:36.0,,,9-8,,L. Scola misses 2-pt shot from 2 ft
8:36.0,Defensive rebound by C. Zeller,,9-8,,
8:30.0,C. Zeller misses 2-pt shot from 2 ft,,9-8,,
8:30.0,,,9-8,,Defensive rebound by D. DeRozan
8:18.0,,,9-10,2,K. Lowry makes 2-pt shot at rim (assist by D. DeRozan)
8:02.0,M. Williams misses 3-pt shot from 25 ft,,9-10,,
8:02.0,,,9-10,,Defensive rebound by N. Powell
7:56.0,,,9-12,2,N. Powell makes 2-pt shot from 2 ft
7:56.0,Charlotte full timeout,,9-12,,
7:41.0,C. Lee misses 3-pt shot from 25 ft,,9-12,,
7:40.0,,,9-12,,Defensive rebound by N. Powell
7:19.0,,,9-12,,J. Valanciunas misses 2-pt shot from 3 ft
7:19.0,,,9-12,,Offensive rebound by J. Valanciunas
7:15.0,,,9-12,,Turnover by J. Valanciunas (bad pass)
6:53.0,M. Williams misses 2-pt shot from 3 ft,,9-12,,
6:52.0,,,9-12,,Defensive rebound by D. DeRozan
6:42.0,,,9-12,,N. Powell misses 3-pt shot from 24 ft
6:41.0,,,9-12,,Offensive rebound by J. Valanciunas
