time,Chicago,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,P. Gasol misses 2-pt shot from 14 ft,,0-0,,
12:00.0,Jump ball: P. Gasol vs. N. Vucevic (C. Bairstow gains possession),,,,Jump ball: P. Gasol vs. N. Vucevic (C. Bairstow gains possession)
11:42.0,,,0-0,,Defensive rebound by A. Gordon
11:27.0,,,0-2,2,N. Vucevic makes 2-pt shot from 10 ft (assist by V. Oladipo)
11:12.0,E. Moore makes 2-pt shot from 6 ft,2,2-2,,
11:12.0,Shooting foul by V. Oladipo (drawn by E. Moore),,2-2,,
11:12.0,E. Moore makes free throw 1 of 1,1,3-2,,
11:02.0,,,3-5,3,M. Hezonja makes 3-pt shot from 24 ft
10:47.0,P. Gasol misses 2-pt shot from 18 ft,,3-5,,
10:47.0,,,3-5,,Defensive rebound by Team
10:47.0,Loose ball foul by C. Bairstow (drawn by M. Hezonja),,3-5,,
10:34.0,,,3-5,,Turnover by E. Payton (lost ball; steal by D. Rose)
10:24.0,D. Rose makes 2-pt shot from 18 ft,2,5-5,,
10:15.0,,,5-5,,N. Vucevic misses 2-pt shot from 18 ft
10:14.0,Defensive rebound by M. Dunleavy,,5-5,,
10:01.0,P. Gasol misses 2-pt shot from 17 ft,,5-5,,
9:59.0,,,5-5,,Defensive rebound by A. Gordon
9:51.0,,,5-7,2,V. Oladipo makes 2-pt shot from 20 ft
9:31.0,E. Moore misses 2-pt shot from 18 ft,,5-7,,
9:29.0,,,5-7,,Defensive rebound by A. Gordon
9:21.0,,,5-9,2,N. Vucevic makes 2-pt shot from 18 ft (assist by A. Gordon)
9:10.0,Turnover by D. Rose (bad pass),,5-9,,
8:51.0,,,5-12,3,E. Payton makes 3-pt shot from 23 ft (assist by M. Hezonja)
8:36.0,Turnover by P. Gasol (bad pass),,5-12,,
8:25.0,,,5-14,2,M. Hezonja makes 2-pt shot from 17 ft (assist by E. Payton)
8:25.0,Chicago full timeout,,5-14,,
8:06.0,P. Gasol misses 2-pt shot from 10 ft,,5-14,,
8:04.0,,,5-14,,Defensive rebound by A. Gordon
7:51.0,,,5-14,,M. Hezonja misses 2-pt shot from 21 ft
7:50.0,Defensive rebound by C. Bairstow,,5-14,,
7:34.0,D. Rose makes 2-pt shot from 2 ft,2,7-14,,
7:09.0,,,7-17,3,N. Vucevic makes 3-pt shot from 25 ft
7:00.0,M. Dunleavy misses 2-pt shot from 7 ft,,7-17,,
6:58.0,,,7-17,,Defensive rebound by V. Oladipo
6:55.0,,,7-17,,Shooting foul by C. Bairstow (drawn by A. Gordon)
6:55.0,,,7-18,1,A. Gordon makes free throw 1 of 2
6:55.0,B. Portis enters the game for C. Bairstow,,7-18,,
6:55.0,,,7-19,1,A. Gordon makes free throw 2 of 2
6:46.0,Shooting foul by E. Payton (drawn by D. Rose),,7-19,,
6:46.0,D. Rose makes free throw 1 of 2,1,8-19,,
6:46.0,D. Rose makes free throw 2 of 2,1,9-19,,
6:28.0,,,9-19,,A. Gordon misses 3-pt shot from 23 ft
6:27.0,,,9-19,,Offensive rebound by N. Vucevic
6:26.0,,,9-19,,N. Vucevic misses 2-pt shot from 2 ft
6:23.0,Defensive rebound by P. Gasol,,9-19,,
6:09.0,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose),2,11-19,,
6:02.0,,,11-19,,V. Oladipo misses 2-pt shot from 16 ft
6:01.0,,,11-19,,Offensive rebound by A. Gordon
