time,Dallas,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. Z. Pachulia (K. Porzingis gains possession),,,,Jump ball: R. Lopez vs. Z. Pachulia (K. Porzingis gains possession)
11:37.0,,,0-2,2,R. Lopez makes 2-pt shot from 6 ft
11:18.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Williams),2,2-2,,
10:57.0,,,2-4,2,A. Afflalo makes 2-pt shot from 17 ft (assist by R. Lopez)
10:34.0,Z. Pachulia misses 2-pt shot from 2 ft,,2-4,,
10:33.0,Offensive rebound by Z. Pachulia,,2-4,,
10:33.0,Z. Pachulia makes 2-pt shot from 2 ft,2,4-4,,
10:15.0,,,4-4,,K. Porzingis misses 3-pt shot from 26 ft
10:14.0,Defensive rebound by Z. Pachulia,,4-4,,
10:02.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams),3,7-4,,
9:45.0,,,7-6,2,K. Porzingis makes 2-pt shot from 8 ft (assist by J. Calderon)
9:24.0,D. Nowitzki makes 2-pt shot at rim (assist by D. Williams),2,9-6,,
9:15.0,,,9-6,,C. Anthony misses 2-pt shot from 11 ft
9:14.0,Defensive rebound by Z. Pachulia,,9-6,,
9:05.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Williams),2,11-6,,
8:47.0,,,11-8,2,R. Lopez makes 2-pt shot from 8 ft (assist by C. Anthony)
8:29.0,Shooting foul by J. Calderon (drawn by D. Nowitzki),,11-8,,
8:29.0,D. Nowitzki makes free throw 1 of 2,1,12-8,,
8:29.0,D. Nowitzki makes free throw 2 of 2,1,13-8,,
8:16.0,,,13-8,,A. Afflalo misses 2-pt shot from 18 ft
8:15.0,Defensive rebound by R. Felton,,13-8,,
8:02.0,D. Nowitzki misses 2-pt shot from 13 ft,,13-8,,
8:01.0,,,13-8,,Defensive rebound by R. Lopez
7:50.0,,,13-8,,C. Anthony misses 2-pt shot from 2 ft
7:49.0,,,13-8,,Offensive rebound by C. Anthony
7:48.0,,,13-10,2,C. Anthony makes 2-pt shot from 1 ft
7:24.0,D. Nowitzki misses 2-pt shot from 10 ft,,13-10,,
7:23.0,,,13-10,,Defensive rebound by J. Calderon
7:12.0,,,13-10,,R. Lopez misses 2-pt shot from 17 ft
7:11.0,Defensive rebound by R. Felton,,13-10,,
7:06.0,W. Matthews misses 3-pt shot from 24 ft,,13-10,,
7:05.0,,,13-10,,Defensive rebound by A. Afflalo
6:50.0,,,13-10,,R. Lopez misses 2-pt shot from 4 ft
6:49.0,Defensive rebound by D. Nowitzki,,13-10,,
6:40.0,D. Williams makes 3-pt shot from 24 ft,3,16-10,,
6:31.0,,,16-10,,Turnover by K. Porzingis (offensive foul)
6:31.0,,,16-10,,Offensive foul by K. Porzingis
6:31.0,D. Powell enters the game for R. Felton,,16-10,,
6:31.0,C. Parsons enters the game for D. Nowitzki,,16-10,,
6:20.0,D. Williams makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,19-10,,
6:08.0,,,19-10,,New York full timeout
6:01.0,Personal foul by D. Powell (drawn by K. Porzingis),,19-10,,
5:52.0,,,19-12,2,C. Anthony makes 2-pt shot from 2 ft
5:34.0,Shooting foul by A. Afflalo (drawn by D. Powell),,19-12,,
5:34.0,D. Powell makes free throw 1 of 2,1,20-12,,
5:34.0,D. Powell makes free throw 2 of 2,1,21-12,,
