time,Utah,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. J. Withey (K. Garnett gains possession),,,,Jump ball: K. Towns vs. J. Withey (K. Garnett gains possession)
11:46.0,,,0-2,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
11:25.0,T. Lyles makes 3-pt shot from 23 ft (assist by G. Hayward),3,3-2,,
11:08.0,,,3-4,2,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio)
10:50.0,R. Neto misses 3-pt shot from 23 ft,,3-4,,
10:48.0,,,3-4,,Defensive rebound by K. Garnett
10:41.0,,,3-6,2,K. Garnett makes 2-pt shot from 21 ft (assist by R. Rubio)
10:16.0,R. Hood misses 3-pt shot from 24 ft,,3-6,,
10:15.0,,,3-6,,Defensive rebound by K. Garnett
10:07.0,,,3-8,2,K. Garnett makes 2-pt shot from 21 ft (assist by R. Rubio)
10:06.0,Utah full timeout,,3-8,,
9:44.0,R. Neto makes 2-pt shot from 20 ft (assist by J. Withey),2,5-8,,
9:32.0,,,5-8,,K. Towns misses 2-pt shot from 20 ft
9:31.0,Defensive rebound by T. Lyles,,5-8,,
9:23.0,Turnover by R. Neto (bad pass; steal by T. Prince),,5-8,,
9:07.0,,,5-8,,K. Garnett misses 2-pt shot from 8 ft
9:06.0,Defensive rebound by J. Withey,,5-8,,
8:43.0,R. Neto misses 2-pt shot from 18 ft,,5-8,,
8:42.0,,,5-8,,Defensive rebound by K. Garnett
8:41.0,Personal block foul by R. Neto (drawn by R. Rubio),,5-8,,
8:26.0,,,5-8,,A. Wiggins misses 2-pt shot from 19 ft
8:25.0,Defensive rebound by T. Lyles,,5-8,,
8:12.0,R. Neto misses 3-pt shot from 24 ft,,5-8,,
8:11.0,,,5-8,,Defensive rebound by K. Towns
8:04.0,Personal foul by R. Neto (drawn by A. Wiggins),,5-8,,
8:04.0,T. Burke enters the game for R. Neto,,5-8,,
7:51.0,,,5-8,,A. Wiggins misses 2-pt shot from 18 ft
7:50.0,Defensive rebound by J. Withey,,5-8,,
7:35.0,J. Withey makes 2-pt shot from 2 ft (assist by R. Hood),2,7-8,,
7:16.0,,,7-8,,R. Rubio misses 3-pt shot from 24 ft
7:15.0,Defensive rebound by T. Lyles,,7-8,,
7:03.0,T. Lyles misses 2-pt shot from 10 ft,,7-8,,
7:02.0,,,7-8,,Defensive rebound by K. Garnett
6:59.0,,,7-8,,Shooting foul by R. Hood (drawn by A. Wiggins)
6:59.0,,,7-8,,A. Wiggins misses free throw 1 of 2
6:59.0,,,7-8,,Offensive rebound by Team
6:59.0,,,7-8,,G. Dieng enters the game for K. Garnett
6:59.0,,,7-9,1,A. Wiggins makes free throw 2 of 2
6:44.0,T. Lyles misses 2-pt shot from 14 ft,,7-9,,
6:43.0,Offensive rebound by J. Withey,,7-9,,
6:43.0,J. Withey makes 2-pt shot from 1 ft,2,9-9,,
6:24.0,,,9-11,2,G. Dieng makes 2-pt shot from 15 ft (assist by R. Rubio)
6:11.0,T. Booker enters the game for T. Lyles,,9-11,,
6:06.0,T. Burke misses 2-pt shot from 20 ft,,9-11,,
6:05.0,,,9-11,,Defensive rebound by K. Towns
5:52.0,,,9-11,,Turnover by K. Towns (traveling)
5:52.0,,,9-11,,Minnesota full timeout
5:32.0,Turnover by T. Burke (bad pass; steal by G. Dieng),,9-11,,
5:26.0,,,9-13,2,K. Towns makes 2-pt shot at rim (assist by G. Dieng)
5:07.0,J. Withey misses 2-pt shot from 5 ft (block by K. Towns),,9-13,,
5:06.0,Offensive rebound by T. Booker,,9-13,,
5:04.0,R. Hood misses 2-pt shot from 5 ft,,9-13,,
5:03.0,,,9-13,,Defensive rebound by T. Prince
4:45.0,,,9-13,,K. Towns misses 2-pt shot at rim
4:44.0,Defensive rebound by R. Hood,,9-13,,
4:36.0,R. Hood misses 2-pt shot from 17 ft,,9-13,,
4:35.0,,,9-13,,Defensive rebound by G. Dieng
4:11.0,,,9-13,,Turnover by Team (shot clock)
4:11.0,J. Ingles enters the game for R. Hood,,9-13,,
4:11.0,,,9-13,,A. Payne enters the game for K. Towns
3:54.0,T. Booker misses 2-pt shot from 5 ft (block by A. Payne),,9-13,,
3:53.0,Offensive rebound by Team,,9-13,,
3:53.0,T. Lyles enters the game for J. Withey,,9-13,,
3:47.0,T. Burke misses 3-pt shot from 29 ft,,9-13,,
3:45.0,Offensive rebound by T. Booker,,9-13,,
3:43.0,T. Booker misses 2-pt shot from 7 ft,,9-13,,
3:42.0,,,9-13,,Defensive rebound by A. Payne
3:37.0,,,9-15,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
3:19.0,G. Hayward misses 2-pt shot from 22 ft,,9-15,,
3:17.0,,,9-15,,Defensive rebound by T. Prince
3:08.0,,,9-15,,Turnover by G. Dieng (traveling)
3:08.0,Utah full timeout,,9-15,,
2:55.0,Shooting foul by R. Rubio (drawn by G. Hayward),,9-15,,
2:55.0,G. Hayward makes free throw 1 of 2,1,10-15,,
2:55.0,G. Hayward misses free throw 2 of 2,,10-15,,
2:55.0,,,10-15,,Defensive rebound by A. Payne
2:40.0,,,10-15,,A. Wiggins misses 2-pt shot from 1 ft
2:39.0,,,10-15,,Offensive rebound by A. Wiggins
2:39.0,,,10-15,,A. Wiggins misses 2-pt shot from 1 ft
2:38.0,,,10-15,,Offensive rebound by A. Wiggins
2:37.0,,,10-15,,A. Wiggins misses 2-pt shot at rim (block by T. Burke)
2:36.0,Defensive rebound by T. Booker,,10-15,,
2:29.0,Turnover by T. Burke (bad pass; steal by R. Rubio),,10-15,,
2:26.0,Personal foul by G. Hayward (drawn by R. Rubio),,10-15,,
2:26.0,,,10-15,,Z. LaVine enters the game for T. Prince
2:26.0,C. Johnson enters the game for G. Hayward,,10-15,,
2:19.0,,,10-15,,A. Wiggins misses 2-pt shot from 17 ft
2:18.0,Defensive rebound by T. Booker,,10-15,,
2:03.0,,,10-15,,Personal block foul by A. Payne (drawn by T. Booker)
1:55.0,Turnover by T. Burke (lost ball; steal by R. Rubio),,10-15,,
1:52.0,Personal foul by T. Lyles (drawn by R. Rubio),,10-15,,
1:52.0,,,10-16,1,R. Rubio makes free throw 1 of 2
1:52.0,,,10-16,,R. Rubio misses free throw 2 of 2
1:52.0,Defensive rebound by T. Booker,,10-16,,
1:38.0,Turnover by T. Booker (lost ball; steal by A. Payne),,10-16,,
1:31.0,,,10-16,,Z. LaVine misses 2-pt shot from 3 ft
1:30.0,,,10-16,,Offensive rebound by R. Rubio
1:27.0,,,10-18,2,A. Payne makes 2-pt shot from 5 ft (assist by R. Rubio)
1:08.0,C. Johnson makes 3-pt shot from 25 ft,3,13-18,,
0:58.0,Personal foul by T. Burke (drawn by R. Rubio),,13-18,,
0:58.0,,,13-18,,R. Rubio misses free throw 1 of 2
0:58.0,,,13-18,,Offensive rebound by Team
0:58.0,R. Hood enters the game for T. Lyles,,13-18,,
0:58.0,,,13-18,,S. Muhammad enters the game for A. Wiggins
0:58.0,,,13-19,1,R. Rubio makes free throw 2 of 2
0:46.0,R. Hood misses 3-pt shot from 26 ft,,13-19,,
0:44.0,Offensive rebound by Team,,13-19,,
0:44.0,,,13-19,,T. Jones enters the game for R. Rubio
0:31.0,J. Ingles misses 3-pt shot from 24 ft,,13-19,,
0:30.0,Offensive rebound by T. Booker,,13-19,,
0:27.0,T. Booker misses 2-pt shot from 1 ft,,13-19,,
0:26.0,Offensive rebound by T. Booker,,13-19,,
0:24.0,T. Booker misses 2-pt shot from 2 ft,,13-19,,
0:23.0,Offensive rebound by T. Booker,,13-19,,
0:19.0,R. Hood misses 3-pt shot from 24 ft,,13-19,,
0:18.0,,,13-19,,Defensive rebound by A. Payne
0:01.0,,,13-19,,A. Payne misses 3-pt shot from 25 ft
0:00.0,,,13-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. Johnson misses 3-pt shot from 23 ft,,13-19,,
11:42.0,,,13-19,,Defensive rebound by G. Dieng
11:19.0,,,13-19,,A. Payne misses 2-pt shot from 19 ft
11:18.0,Defensive rebound by C. Johnson,,13-19,,
11:11.0,Turnover by C. Johnson (traveling),,13-19,,
11:01.0,,,13-19,,Z. LaVine misses 2-pt shot from 18 ft
11:00.0,Defensive rebound by T. Booker,,13-19,,
10:46.0,T. Burke misses 3-pt shot from 25 ft,,13-19,,
10:45.0,,,13-19,,Defensive rebound by G. Dieng
10:37.0,,,13-19,,Turnover by Z. LaVine (bad pass; steal by J. Ingles)
10:27.0,C. Johnson misses 3-pt shot from 23 ft,,13-19,,
10:25.0,Offensive rebound by T. Booker,,13-19,,
10:15.0,R. Hood misses 2-pt shot from 16 ft,,13-19,,
10:14.0,,,13-19,,Defensive rebound by Team
10:14.0,,,13-19,,Minnesota full timeout
9:57.0,,,13-19,,Z. LaVine misses 2-pt shot from 2 ft
9:55.0,Defensive rebound by R. Hood,,13-19,,
9:37.0,C. Johnson misses 3-pt shot from 23 ft,,13-19,,
9:36.0,,,13-19,,Defensive rebound by T. Jones
9:27.0,,,13-21,2,T. Jones makes 2-pt shot from 6 ft
9:02.0,C. Johnson misses 3-pt shot from 23 ft,,13-21,,
9:01.0,,,13-21,,Defensive rebound by Z. LaVine
8:56.0,,,13-21,,S. Muhammad misses 2-pt shot at rim
8:55.0,,,13-21,,Offensive rebound by Z. LaVine
8:55.0,,,13-23,2,Z. LaVine makes 2-pt shot at rim
8:54.0,Utah full timeout,,13-23,,
8:54.0,,,13-23,,K. Towns enters the game for G. Dieng
8:54.0,J. Withey enters the game for T. Booker,,13-23,,
8:54.0,G. Hayward enters the game for C. Johnson,,13-23,,
8:35.0,Shooting foul by Z. LaVine (drawn by R. Hood),,13-23,,
8:35.0,R. Hood makes free throw 1 of 2,1,14-23,,
8:35.0,R. Hood makes free throw 2 of 2,1,15-23,,
8:19.0,,,15-23,,A. Payne misses 2-pt shot from 4 ft
8:18.0,Defensive rebound by T. Burke,,15-23,,
8:14.0,G. Hayward makes 2-pt shot from 1 ft,2,17-23,,
8:14.0,Shooting foul by T. Jones (drawn by G. Hayward),,17-23,,
8:14.0,,,17-23,,Violation by A. Payne (def goaltending)
8:14.0,R. Neto enters the game for T. Burke,,17-23,,
8:14.0,G. Hayward makes free throw 1 of 1,1,18-23,,
8:03.0,Personal block foul by J. Withey (drawn by K. Towns),,18-23,,
8:03.0,,,18-23,,N. Bjelica enters the game for A. Payne
7:49.0,,,18-25,2,K. Towns makes 2-pt shot from 9 ft
7:35.0,Shooting foul by Z. LaVine (drawn by R. Hood),,18-25,,
7:35.0,R. Hood misses free throw 1 of 2,,18-25,,
7:35.0,Offensive rebound by Team,,18-25,,
7:35.0,R. Hood makes free throw 2 of 2,1,19-25,,
7:26.0,,,19-28,3,S. Muhammad makes 3-pt shot from 23 ft (assist by T. Jones)
7:12.0,Turnover by J. Withey (bad pass; steal by K. Towns),,19-28,,
7:09.0,,,19-30,2,K. Towns makes 2-pt shot at rim
7:09.0,,,19-30,,Shooting foul by J. Withey (drawn by K. Towns)
7:09.0,T. Booker enters the game for J. Withey,,19-30,,
7:09.0,,,19-31,1,K. Towns makes free throw 1 of 1
6:53.0,T. Booker makes 2-pt shot from 1 ft (assist by R. Hood),2,21-31,,
6:36.0,,,21-31,,S. Muhammad misses 2-pt shot from 2 ft (block by R. Hood)
6:35.0,,,21-31,,Offensive rebound by K. Towns
6:34.0,,,21-33,2,K. Towns makes 2-pt shot from 1 ft
6:34.0,,,21-33,,Shooting foul by T. Booker (drawn by K. Towns)
6:34.0,,,21-33,,A. Wiggins enters the game for S. Muhammad
6:34.0,,,21-33,,K. Towns misses free throw 1 of 1
6:34.0,Defensive rebound by G. Hayward,,21-33,,
6:17.0,R. Hood misses 3-pt shot from 23 ft,,21-33,,
6:16.0,Offensive rebound by T. Booker,,21-33,,
6:03.0,Turnover by G. Hayward (lost ball; steal by N. Bjelica),,21-33,,
6:00.0,,,21-33,,Turnover by N. Bjelica (bad pass; steal by G. Hayward)
5:54.0,G. Hayward makes 3-pt shot from 22 ft (assist by R. Neto),3,24-33,,
5:46.0,,,24-33,,Minnesota full timeout
5:46.0,,,24-33,,G. Dieng enters the game for K. Towns
5:46.0,,,24-33,,R. Rubio enters the game for T. Jones
5:33.0,,,24-33,,A. Wiggins misses 2-pt shot from 9 ft (block by G. Hayward)
5:32.0,Defensive rebound by R. Hood,,24-33,,
5:16.0,Turnover by R. Neto (lost ball; steal by N. Bjelica),,24-33,,
5:03.0,,,24-33,,G. Dieng misses 2-pt shot from 5 ft
5:01.0,Defensive rebound by R. Hood,,24-33,,
4:52.0,Offensive charge foul by G. Hayward,,24-33,,
4:52.0,Turnover by G. Hayward (offensive foul),,24-33,,
4:52.0,T. Burke enters the game for R. Neto,,24-33,,
4:41.0,,,24-33,,N. Bjelica misses 2-pt shot from 21 ft
4:40.0,Defensive rebound by T. Booker,,24-33,,
4:22.0,G. Hayward misses 2-pt shot from 15 ft,,24-33,,
4:21.0,,,24-33,,Defensive rebound by Z. LaVine
4:15.0,,,24-33,,Z. LaVine misses 2-pt shot from 5 ft (block by J. Ingles)
4:14.0,Defensive rebound by J. Ingles,,24-33,,
4:13.0,Turnover by T. Booker (traveling),,24-33,,
4:13.0,E. Millsap enters the game for G. Hayward,,24-33,,
4:04.0,Personal block foul by J. Ingles (drawn by Z. LaVine),,24-33,,
3:56.0,,,24-33,,Z. LaVine misses 2-pt shot from 17 ft
3:54.0,Defensive rebound by E. Millsap,,24-33,,
3:44.0,J. Ingles misses 3-pt shot from 25 ft,,24-33,,
3:43.0,,,24-33,,Defensive rebound by A. Wiggins
3:36.0,Personal foul by T. Booker (drawn by G. Dieng),,24-33,,
3:36.0,,,24-34,1,G. Dieng makes free throw 1 of 2
3:36.0,T. Lyles enters the game for J. Ingles,,24-34,,
3:36.0,,,24-34,,K. Towns enters the game for N. Bjelica
3:36.0,,,24-34,,T. Prince enters the game for Z. LaVine
3:36.0,,,24-34,,G. Dieng misses free throw 2 of 2
3:36.0,Defensive rebound by T. Lyles,,24-34,,
3:21.0,E. Millsap misses 3-pt shot from 23 ft,,24-34,,
3:20.0,Offensive rebound by T. Booker,,24-34,,
3:14.0,E. Millsap makes 2-pt shot at rim,2,26-34,,
2:49.0,,,26-34,,A. Wiggins misses 2-pt shot from 11 ft
2:48.0,,,26-34,,Offensive rebound by G. Dieng
2:44.0,,,26-36,2,G. Dieng makes 2-pt shot from 6 ft
2:27.0,T. Lyles makes 2-pt shot from 6 ft,2,28-36,,
2:12.0,,,28-36,,G. Dieng misses 2-pt shot from 17 ft
2:11.0,Defensive rebound by E. Millsap,,28-36,,
2:01.0,Turnover by E. Millsap (bad pass; steal by A. Wiggins),,28-36,,
1:58.0,,,28-36,,Minnesota full timeout
1:58.0,,,28-36,,S. Muhammad enters the game for T. Prince
1:44.0,Personal foul by T. Lyles (drawn by K. Towns),,28-36,,
1:44.0,,,28-37,1,K. Towns makes free throw 1 of 2
1:44.0,,,28-38,1,K. Towns makes free throw 2 of 2
1:31.0,,,28-38,,Violation by A. Wiggins (kicked ball)
1:22.0,T. Burke misses 2-pt shot from 8 ft,,28-38,,
1:21.0,,,28-38,,Defensive rebound by S. Muhammad
1:01.0,,,28-38,,R. Rubio misses 2-pt shot from 20 ft
1:00.0,Defensive rebound by R. Hood,,28-38,,
0:47.0,Turnover by T. Booker (lost ball; steal by R. Rubio),,28-38,,
0:42.0,,,28-38,,Turnover by R. Rubio (bad pass; steal by T. Booker)
0:33.0,Turnover by T. Burke (bad pass),,28-38,,
0:12.0,,,28-38,,K. Towns misses 2-pt shot from 19 ft
0:11.0,,,28-38,,Offensive rebound by K. Towns
0:09.0,,,28-38,,Turnover by K. Towns (bad pass; steal by E. Millsap)
0:00.0,T. Lyles makes 3-pt shot from 23 ft (assist by T. Booker),3,31-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,R. Neto misses 3-pt shot from 24 ft,,31-38,,
11:40.0,Offensive rebound by R. Neto,,31-38,,
11:16.0,J. Withey misses 2-pt shot from 1 ft (block by K. Towns),,31-38,,
11:16.0,Offensive rebound by Team,,31-38,,
11:14.0,J. Withey misses 2-pt shot from 17 ft,,31-38,,
11:13.0,,,31-38,,Defensive rebound by K. Garnett
10:48.0,,,31-40,2,T. Prince makes 2-pt shot from 20 ft (assist by R. Rubio)
10:24.0,J. Withey makes 2-pt shot at rim (assist by R. Neto),2,33-40,,
10:00.0,,,33-42,2,A. Wiggins makes 2-pt shot from 13 ft
9:45.0,Shooting foul by K. Towns (drawn by G. Hayward),,33-42,,
9:45.0,G. Hayward makes free throw 1 of 2,1,34-42,,
9:45.0,,,34-42,,G. Dieng enters the game for K. Towns
9:45.0,G. Hayward makes free throw 2 of 2,1,35-42,,
9:29.0,,,35-42,,T. Prince misses 2-pt shot from 4 ft
9:28.0,,,35-42,,Offensive rebound by T. Prince
9:17.0,,,35-44,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
8:56.0,R. Neto misses 3-pt shot from 23 ft,,35-44,,
8:55.0,,,35-44,,Defensive rebound by A. Wiggins
8:41.0,,,35-47,3,R. Rubio makes 3-pt shot from 25 ft (assist by T. Prince)
8:32.0,Turnover by R. Neto (lost ball; steal by G. Dieng),,35-47,,
8:28.0,Personal foul by R. Hood (drawn by A. Wiggins),,35-47,,
8:28.0,T. Burke enters the game for R. Neto,,35-47,,
8:14.0,,,35-47,,G. Dieng misses 2-pt shot from 19 ft
8:13.0,Defensive rebound by J. Withey,,35-47,,
8:06.0,G. Hayward misses 2-pt shot from 11 ft,,35-47,,
8:05.0,Offensive rebound by J. Withey,,35-47,,
8:05.0,Shooting foul by K. Garnett (drawn by J. Withey),,35-47,,
8:05.0,J. Withey makes free throw 1 of 2,1,36-47,,
8:05.0,J. Withey makes free throw 2 of 2,1,37-47,,
7:42.0,,,37-49,2,K. Garnett makes 2-pt shot from 4 ft (assist by R. Rubio)
7:21.0,R. Hood misses 3-pt shot from 25 ft,,37-49,,
7:20.0,Offensive rebound by G. Hayward,,37-49,,
7:12.0,T. Burke makes 2-pt shot from 10 ft,2,39-49,,
6:52.0,,,39-49,,Shooting foul by R. Hood (drawn by A. Wiggins)
6:52.0,,,39-50,1,A. Wiggins makes free throw 1 of 2
6:52.0,E. Millsap enters the game for R. Hood,,39-50,,
6:52.0,,,39-50,,A. Wiggins misses free throw 2 of 2
6:52.0,Defensive rebound by J. Withey,,39-50,,
6:44.0,,,39-50,,Personal foul by K. Garnett (drawn by T. Lyles)
6:36.0,T. Burke misses 3-pt shot from 24 ft,,39-50,,
6:35.0,,,39-50,,Defensive rebound by G. Dieng
6:27.0,,,39-50,,A. Wiggins misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by Team,,39-50,,
6:09.0,J. Withey makes 2-pt shot from 3 ft (assist by T. Burke),2,41-50,,
6:09.0,Shooting foul by R. Rubio (drawn by J. Withey),,41-50,,
6:09.0,T. Booker enters the game for T. Lyles,,41-50,,
6:09.0,J. Withey misses free throw 1 of 1,,41-50,,
6:09.0,,,41-50,,Defensive rebound by G. Dieng
5:57.0,Personal foul by J. Withey (drawn by A. Wiggins),,41-50,,
5:57.0,,,41-50,,Minnesota full timeout
5:57.0,,,41-50,,K. Towns enters the game for K. Garnett
5:51.0,,,41-50,,K. Towns misses 2-pt shot from 19 ft
5:50.0,Defensive rebound by G. Hayward,,41-50,,
5:31.0,Turnover by E. Millsap (lost ball; steal by T. Prince),,41-50,,
5:21.0,,,41-50,,K. Towns misses 2-pt shot from 6 ft (block by J. Withey)
5:20.0,Defensive rebound by Team,,41-50,,
5:20.0,,,41-50,,Loose ball foul by K. Towns (drawn by J. Withey)
5:20.0,J. Withey makes free throw 1 of 2,1,42-50,,
5:20.0,,,42-50,,S. Muhammad enters the game for T. Prince
5:20.0,J. Withey misses free throw 2 of 2,,42-50,,
5:20.0,,,42-50,,Defensive rebound by G. Dieng
5:06.0,Def 3 sec tech foul by J. Withey,,42-50,,
5:06.0,,,42-50,,G. Dieng misses technical free throw
5:06.0,,,42-50,,Offensive rebound by Team
5:06.0,J. Ingles enters the game for E. Millsap,,42-50,,
4:54.0,,,42-52,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
4:37.0,Turnover by T. Booker (bad pass),,42-52,,
4:22.0,,,42-55,3,G. Dieng makes 3-pt shot from 23 ft (assist by R. Rubio)
4:12.0,G. Hayward misses 3-pt shot from 23 ft,,42-55,,
4:10.0,,,42-55,,Defensive rebound by R. Rubio
4:06.0,,,42-57,2,S. Muhammad makes 2-pt shot at rim (assist by A. Wiggins)
4:05.0,Utah full timeout,,42-57,,
3:50.0,T. Burke misses 3-pt shot from 23 ft,,42-57,,
3:49.0,,,42-57,,Defensive rebound by K. Towns
3:25.0,,,42-57,,S. Muhammad misses 3-pt shot from 23 ft
3:24.0,Defensive rebound by G. Hayward,,42-57,,
3:19.0,J. Ingles makes 2-pt shot at rim (assist by T. Burke),2,44-57,,
3:01.0,,,44-57,,R. Rubio misses 2-pt shot from 18 ft
