time,Golden State,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Gobert (D. Favors gains possession),,,,Jump ball: A. Bogut vs. R. Gobert (D. Favors gains possession)
11:40.0,,,0-0,,R. Hood misses 2-pt shot from 18 ft
11:39.0,,,0-0,,Offensive rebound by Team
11:30.0,,,0-2,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
11:12.0,S. Curry makes 3-pt shot from 25 ft (assist by A. Bogut),3,3-2,,
10:51.0,,,3-2,,Shooting foul by A. Bogut (drawn by R. Gobert)
10:51.0,,,3-3,1,R. Gobert makes free throw 1 of 2
10:51.0,,,3-4,1,R. Gobert makes free throw 2 of 2
10:30.0,D. Green misses 3-pt shot from 24 ft,,3-4,,
10:28.0,,,3-4,,Defensive rebound by R. Gobert
10:04.0,,,3-4,,R. Hood misses 2-pt shot from 22 ft
10:04.0,,,3-4,,Offensive rebound by D. Favors
9:58.0,,,3-7,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors)
9:49.0,D. Green misses 2-pt shot from 1 ft,,3-7,,
9:49.0,Offensive rebound by Team,,3-7,,
9:47.0,K. Thompson misses 2-pt shot from 2 ft,,3-7,,
9:46.0,,,3-7,,Defensive rebound by R. Gobert
9:39.0,,,3-7,,Turnover by R. Hood (traveling)
9:29.0,K. Thompson misses 2-pt shot from 17 ft,,3-7,,
9:28.0,,,3-7,,Defensive rebound by D. Favors
9:19.0,,,3-7,,Turnover by R. Neto (bad pass)
9:10.0,S. Curry makes 2-pt shot from 16 ft,2,5-7,,
8:51.0,,,5-7,,G. Hayward misses 2-pt shot from 19 ft
8:50.0,Defensive rebound by A. Bogut,,5-7,,
8:36.0,K. Thompson makes 3-pt shot from 22 ft (assist by D. Green),3,8-7,,
8:17.0,,,8-9,2,D. Favors makes 2-pt shot from 14 ft (assist by R. Gobert)
8:02.0,D. Green misses 2-pt shot from 9 ft,,8-9,,
8:02.0,Offensive rebound by D. Green,,8-9,,
7:59.0,D. Green misses 2-pt shot from 4 ft,,8-9,,
7:57.0,Offensive rebound by A. Bogut,,8-9,,
7:55.0,A. Bogut makes 2-pt shot from 1 ft,2,10-9,,
7:37.0,,,10-11,2,D. Favors makes 2-pt shot from 10 ft (assist by G. Hayward)
7:27.0,S. Curry misses 3-pt shot from 23 ft,,10-11,,
7:26.0,,,10-11,,Defensive rebound by D. Favors
7:18.0,,,10-11,,R. Hood misses 3-pt shot from 23 ft
7:17.0,,,10-11,,Offensive rebound by R. Gobert
7:14.0,,,10-11,,R. Gobert misses 2-pt shot at rim
7:13.0,Defensive rebound by K. Thompson,,10-11,,
7:01.0,D. Green misses 3-pt shot from 24 ft,,10-11,,
7:01.0,Offensive rebound by Team,,10-11,,
6:50.0,B. Rush makes 3-pt shot from 24 ft (assist by A. Bogut),3,13-11,,
6:24.0,,,13-11,,R. Neto misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by D. Green,,13-11,,
6:06.0,B. Rush misses 2-pt shot from 14 ft,,13-11,,
6:06.0,,,13-11,,Defensive rebound by R. Gobert
6:00.0,,,13-11,,Utah full timeout
6:00.0,A. Iguodala enters the game for B. Rush,,13-11,,
5:43.0,,,13-11,,R. Hood misses 3-pt shot from 25 ft
5:43.0,,,13-11,,Offensive rebound by R. Gobert
5:25.0,,,13-13,2,D. Favors makes 2-pt shot from 15 ft (assist by R. Neto)
5:06.0,S. Curry makes 2-pt shot from 3 ft,2,15-13,,
4:46.0,,,15-16,3,G. Hayward makes 3-pt shot from 24 ft
4:32.0,Shooting foul by D. Favors (drawn by D. Green),,15-16,,
4:32.0,D. Green misses free throw 1 of 2,,15-16,,
4:32.0,Offensive rebound by Team,,15-16,,
4:32.0,,,15-16,,A. Burks enters the game for G. Hayward
4:32.0,,,15-16,,T. Booker enters the game for D. Favors
4:32.0,S. Livingston enters the game for K. Thompson,,15-16,,
4:32.0,D. Green makes free throw 2 of 2,1,16-16,,
4:11.0,,,16-16,,A. Burks misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by S. Curry,,16-16,,
4:01.0,Turnover by D. Green (bad pass),,16-16,,
4:01.0,F. Ezeli enters the game for A. Bogut,,16-16,,
3:36.0,,,16-16,,R. Neto misses 2-pt shot from 14 ft
3:35.0,,,16-16,,Offensive rebound by Team
3:23.0,Personal foul by A. Iguodala (drawn by R. Hood),,16-16,,
3:23.0,,,16-16,,J. Ingles enters the game for R. Hood
3:13.0,,,16-16,,T. Booker misses 2-pt shot from 3 ft
3:12.0,Defensive rebound by F. Ezeli,,16-16,,
3:01.0,S. Curry misses 2-pt shot from 3 ft,,16-16,,
3:01.0,,,16-16,,Defensive rebound by A. Burks
2:59.0,,,16-16,,Turnover by A. Burks (discontinued dribble)
2:59.0,Golden State full timeout,,16-16,,
2:59.0,,,16-16,,T. Burke enters the game for R. Neto
2:45.0,,,16-16,,Personal foul by A. Burks (drawn by S. Curry)
2:34.0,F. Ezeli makes 2-pt shot at rim (assist by D. Green),2,18-16,,
2:14.0,,,18-16,,Shooting foul by F. Ezeli (drawn by R. Gobert)
2:14.0,,,18-17,1,R. Gobert makes free throw 1 of 2
2:14.0,,,18-17,,R. Gobert misses free throw 2 of 2
2:14.0,Defensive rebound by S. Livingston,,18-17,,
2:00.0,S. Curry misses 2-pt shot from 3 ft,,18-17,,
1:59.0,Offensive rebound by F. Ezeli,,18-17,,
1:59.0,D. Green misses 2-pt shot at rim,,18-17,,
1:58.0,Offensive rebound by F. Ezeli,,18-17,,
1:58.0,D. Green misses 2-pt shot at rim,,18-17,,
1:54.0,Offensive rebound by D. Green,,18-17,,
1:54.0,D. Green makes 2-pt shot at rim,2,20-17,,
1:41.0,,,20-17,,J. Ingles misses 2-pt shot from 21 ft
1:41.0,Defensive rebound by A. Iguodala,,20-17,,
1:35.0,Shooting foul by T. Burke (drawn by S. Livingston),,20-17,,
