time,LA Lakers,pts.away,score,pts.home,Phoenix
2:04.0,,,95-113,2,M. Teletovic makes 2-pt shot at rim
2:04.0,LA Lakers full timeout,,95-113,,
2:04.0,M. Huertas enters the game for R. Hibbert,,95-113,,
2:04.0,A. Brown enters the game for J. Clarkson,,95-113,,
2:04.0,T. Black enters the game for N. Young,,95-113,,
2:04.0,,,95-113,,D. Booker enters the game for B. Knight
2:04.0,,,95-113,,A. Goodwin enters the game for E. Bledsoe
1:50.0,M. Huertas misses 3-pt shot from 26 ft,,95-113,,
1:47.0,,,95-113,,Defensive rebound by A. Goodwin
1:35.0,,,95-116,3,D. Booker makes 3-pt shot from 23 ft (assist by A. Goodwin)
1:27.0,D. Russell makes 2-pt shot from 1 ft,2,97-116,,
1:12.0,,,97-118,2,T. Warren makes 2-pt shot from 13 ft
1:00.0,J. Randle makes 2-pt shot from 7 ft,2,99-118,,
0:37.0,Personal foul by J. Randle (drawn by A. Goodwin),,99-118,,
0:37.0,,,99-119,1,A. Goodwin makes free throw 1 of 2
0:37.0,,,99-120,1,A. Goodwin makes free throw 2 of 2
0:25.0,D. Russell misses 2-pt shot from 16 ft,,99-120,,
0:24.0,Offensive rebound by D. Russell,,99-120,,
0:22.0,D. Russell misses 2-pt shot from 1 ft,,99-120,,
0:21.0,Offensive rebound by D. Russell,,99-120,,
0:21.0,D. Russell makes 2-pt shot from 1 ft,2,101-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
