time,LA Lakers,pts.away,score,pts.home,Phoenix
2:26.0,,,22-21,,M. Teletovic enters the game for J. Leuer
2:20.0,L. Williams misses 2-pt shot from 12 ft,,22-21,,
2:18.0,,,22-21,,Defensive rebound by A. Goodwin
2:00.0,,,22-21,,B. Knight misses 2-pt shot from 19 ft
1:57.0,,,22-21,,Offensive rebound by M. Teletovic
1:48.0,,,22-21,,M. Teletovic misses 3-pt shot from 24 ft
1:46.0,Defensive rebound by L. Williams,,22-21,,
1:39.0,B. Bass misses 2-pt shot from 15 ft,,22-21,,
1:38.0,,,22-21,,Defensive rebound by Team
1:27.0,,,22-21,,T. Warren misses 2-pt shot from 7 ft
1:25.0,,,22-21,,Offensive rebound by A. Len
1:22.0,,,22-24,3,M. Teletovic makes 3-pt shot from 25 ft (assist by B. Knight)
1:05.0,N. Young misses 3-pt shot from 25 ft,,22-24,,
1:03.0,Offensive rebound by B. Bass,,22-24,,
0:56.0,Turnover by B. Bass (bad pass; steal by T. Warren),,22-24,,
0:55.0,Personal take foul by L. Williams,,22-24,,
0:55.0,,,22-25,1,T. Warren makes free throw 1 of 2
0:55.0,,,22-25,,T. Warren misses free throw 2 of 2
0:55.0,Defensive rebound by L. Nance,,22-25,,
0:43.0,L. Williams misses 2-pt shot from 3 ft (block by A. Len),,22-25,,
0:40.0,,,22-25,,Defensive rebound by B. Knight
0:37.0,,,22-25,,T. Warren misses 2-pt shot from 18 ft
0:35.0,,,22-25,,Offensive rebound by B. Knight
0:32.0,,,22-25,,B. Knight misses 3-pt shot from 23 ft
0:29.0,Defensive rebound by L. Williams,,22-25,,
0:05.0,N. Young misses 3-pt shot from 27 ft,,22-25,,
0:04.0,Offensive rebound by Team,,22-25,,
0:04.0,Turnover by Team (shot clock),,22-25,,
0:01.0,,,22-25,,Shooting foul by J. Clarkson (drawn by B. Knight)
0:01.0,,,22-25,,B. Knight misses free throw 1 of 2
0:01.0,,,22-25,,Offensive rebound by Team
0:01.0,,,22-26,1,B. Knight makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,L. Nance misses 2-pt shot from 16 ft,,22-26,,
11:33.0,,,22-26,,Defensive rebound by B. Knight
11:25.0,,,22-26,,M. Teletovic misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by M. Huertas,,22-26,,
11:20.0,L. Williams misses 2-pt shot from 1 ft,,22-26,,
11:16.0,,,22-26,,Defensive rebound by M. Teletovic
10:55.0,,,22-26,,Turnover by Team (shot clock)
10:45.0,Turnover by N. Young (bad pass; steal by M. Teletovic),,22-26,,
10:36.0,,,22-28,2,A. Goodwin makes 2-pt shot from 1 ft
10:14.0,M. Huertas makes 2-pt shot from 8 ft,2,24-28,,
10:01.0,,,24-28,,Turnover by A. Goodwin (bad pass; steal by B. Bass)
9:57.0,B. Bass makes 2-pt shot at rim,2,26-28,,
9:41.0,,,26-28,,Shooting foul by L. Nance (drawn by A. Goodwin)
9:41.0,,,26-29,1,A. Goodwin makes free throw 1 of 2
9:41.0,,,26-29,,A. Goodwin misses free throw 2 of 2
9:40.0,,,26-29,,Offensive rebound by A. Len
9:29.0,,,26-29,,A. Goodwin misses 2-pt shot from 1 ft
9:25.0,Defensive rebound by N. Young,,26-29,,
9:20.0,L. Williams makes 2-pt shot from 6 ft,2,28-29,,
9:02.0,,,28-32,3,M. Teletovic makes 3-pt shot from 24 ft (assist by B. Knight)
8:38.0,N. Young makes 2-pt shot from 20 ft,2,30-32,,
8:20.0,,,30-35,3,B. Knight makes 3-pt shot from 25 ft
8:08.0,N. Young makes 2-pt shot from 1 ft,2,32-35,,
8:00.0,,,32-35,,M. Teletovic misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by B. Bass,,32-35,,
7:45.0,N. Young misses 3-pt shot from 24 ft,,32-35,,
7:43.0,Offensive rebound by M. Huertas,,32-35,,
7:36.0,L. Williams makes 2-pt shot from 2 ft,2,34-35,,
7:36.0,Shooting foul by T. Warren (drawn by L. Williams),,34-35,,
7:36.0,Official timeout,,34-35,,
7:36.0,L. Williams makes free throw 1 of 1,1,35-35,,
7:21.0,,,35-35,,T. Warren misses 2-pt shot from 9 ft (block by B. Bass)
7:19.0,Defensive rebound by M. Huertas,,35-35,,
7:13.0,Turnover by M. Huertas (bad pass; steal by B. Knight),,35-35,,
7:10.0,,,35-37,2,T. Warren makes 2-pt shot at rim (assist by B. Knight)
6:51.0,N. Young misses 3-pt shot from 22 ft,,35-37,,
6:49.0,,,35-37,,Defensive rebound by A. Len
6:38.0,,,35-39,2,B. Knight makes 2-pt shot from 16 ft
6:27.0,L. Williams makes 2-pt shot from 16 ft,2,37-39,,
6:17.0,,,37-39,,Turnover by B. Knight (lost ball; steal by L. Nance)
6:12.0,L. Williams makes 3-pt shot from 24 ft (assist by M. Huertas),3,40-39,,
5:50.0,,,40-39,,A. Len misses 2-pt shot from 9 ft
5:48.0,Defensive rebound by B. Bass,,40-39,,
5:42.0,Turnover by L. Williams (bad pass; steal by B. Knight),,40-39,,
5:38.0,,,40-41,2,A. Goodwin makes 2-pt shot at rim (assist by B. Knight)
5:34.0,Shooting foul by A. Len (drawn by N. Young),,40-41,,
5:34.0,,,40-41,,Phoenix full timeout
5:34.0,D. Russell enters the game for L. Nance,,40-41,,
5:34.0,J. Clarkson enters the game for L. Williams,,40-41,,
5:34.0,J. Randle enters the game for B. Bass,,40-41,,
5:34.0,R. Hibbert enters the game for M. Huertas,,40-41,,
5:34.0,,,40-41,,E. Bledsoe enters the game for A. Goodwin
5:34.0,,,40-41,,T. Chandler enters the game for A. Len
5:34.0,,,40-41,,P. Tucker enters the game for M. Teletovic
5:34.0,,,40-41,,J. Leuer enters the game for T. Warren
5:34.0,N. Young makes free throw 1 of 2,1,41-41,,
5:34.0,N. Young makes free throw 2 of 2,1,42-41,,
5:16.0,,,42-41,,J. Leuer misses 2-pt shot from 15 ft
5:14.0,Defensive rebound by R. Hibbert,,42-41,,
4:51.0,N. Young makes 2-pt shot from 17 ft,2,44-41,,
4:33.0,,,44-44,3,P. Tucker makes 3-pt shot from 24 ft (assist by B. Knight)
4:21.0,Offensive charge foul by J. Randle,,44-44,,
4:21.0,Turnover by J. Randle (offensive foul),,44-44,,
4:21.0,M. World Peace enters the game for N. Young,,44-44,,
4:21.0,L. Nance enters the game for J. Randle,,44-44,,
3:59.0,,,44-46,2,P. Tucker makes 2-pt shot from 4 ft
3:48.0,D. Russell misses 2-pt shot from 12 ft,,44-46,,
3:45.0,,,44-46,,Defensive rebound by T. Chandler
3:41.0,,,44-46,,B. Knight misses 3-pt shot from 24 ft
3:39.0,,,44-46,,Offensive rebound by P. Tucker
3:38.0,,,44-48,2,P. Tucker makes 2-pt shot from 2 ft
3:31.0,LA Lakers full timeout,,44-48,,
3:12.0,R. Hibbert misses 2-pt shot from 19 ft (block by T. Chandler),,44-48,,
3:09.0,,,44-48,,Defensive rebound by P. Tucker
3:01.0,,,44-50,2,E. Bledsoe makes 2-pt shot from 17 ft
2:43.0,R. Hibbert makes 2-pt shot from 12 ft,2,46-50,,
2:36.0,Personal foul by R. Hibbert (drawn by T. Chandler),,46-50,,
2:28.0,,,46-50,,J. Leuer misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by R. Hibbert,,46-50,,
2:08.0,R. Hibbert makes 2-pt shot from 14 ft,2,48-50,,
1:58.0,,,48-50,,T. Chandler misses 2-pt shot from 1 ft
1:57.0,,,48-50,,Offensive rebound by T. Chandler
1:57.0,,,48-50,,T. Chandler misses 2-pt shot from 1 ft
1:53.0,Defensive rebound by D. Russell,,48-50,,
1:45.0,,,48-50,,Personal foul by T. Chandler (drawn by R. Hibbert)
1:40.0,,,48-50,,Personal foul by P. Tucker (drawn by J. Clarkson)
1:40.0,J. Clarkson makes free throw 1 of 2,1,49-50,,
1:40.0,J. Clarkson makes free throw 2 of 2,1,50-50,,
1:27.0,,,50-52,2,E. Bledsoe makes 2-pt shot from 2 ft
1:12.0,J. Clarkson makes 2-pt shot from 16 ft,2,52-52,,
0:58.0,,,52-55,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by B. Knight)
0:44.0,Shooting foul by P. Tucker (drawn by M. World Peace),,52-55,,
0:44.0,M. World Peace makes free throw 1 of 2,1,53-55,,
0:44.0,L. Williams enters the game for J. Clarkson,,53-55,,
0:44.0,M. World Peace misses free throw 2 of 2,,53-55,,
0:43.0,,,53-55,,Defensive rebound by P. Tucker
0:33.0,,,53-55,,Shooting foul by D. Russell (drawn by E. Bledsoe)
0:33.0,,,53-56,1,E. Bledsoe makes free throw 1 of 2
0:33.0,,,53-57,1,E. Bledsoe makes free throw 2 of 2
0:11.0,D. Russell misses 3-pt shot from 25 ft,,53-57,,
0:09.0,,,53-57,,Defensive rebound by J. Leuer
0:01.0,,,53-57,,B. Knight misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by L. Nance,,53-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by J. Randle (lost ball; steal by B. Knight),,53-57,,
11:30.0,,,53-59,2,E. Bledsoe makes 2-pt shot at rim
11:14.0,M. World Peace misses 2-pt shot from 7 ft (block by T. Chandler),,53-59,,
11:12.0,,,53-59,,Defensive rebound by B. Knight
11:08.0,,,53-61,2,B. Knight makes 2-pt shot from 2 ft
10:52.0,J. Clarkson makes 3-pt shot from 25 ft (assist by R. Hibbert),3,56-61,,
10:40.0,,,56-64,3,J. Leuer makes 3-pt shot from 24 ft (assist by B. Knight)
10:22.0,J. Clarkson misses 3-pt shot from 23 ft,,56-64,,
10:20.0,,,56-64,,Defensive rebound by T. Chandler
10:10.0,,,56-64,,B. Knight misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by M. World Peace,,56-64,,
9:55.0,J. Clarkson makes 2-pt shot from 2 ft,2,58-64,,
9:34.0,,,58-64,,E. Bledsoe misses 2-pt shot from 5 ft
9:30.0,,,58-64,,Offensive rebound by T. Chandler
9:21.0,,,58-66,2,B. Knight makes 2-pt shot from 1 ft
9:21.0,,,58-66,,Shooting foul by R. Hibbert (drawn by B. Knight)
9:21.0,,,58-66,,B. Knight misses free throw 1 of 1
9:18.0,Defensive rebound by R. Hibbert,,58-66,,
8:58.0,J. Clarkson misses 2-pt shot from 14 ft,,58-66,,
8:57.0,,,58-66,,Defensive rebound by T. Chandler
8:37.0,,,58-66,,P. Tucker misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by D. Russell,,58-66,,
8:28.0,D. Russell misses 3-pt shot from 25 ft,,58-66,,
8:27.0,Offensive rebound by R. Hibbert,,58-66,,
8:27.0,,,58-66,,Personal foul by T. Chandler (drawn by R. Hibbert)
8:22.0,,,58-66,,Shooting block foul by B. Knight (drawn by R. Hibbert)
8:22.0,R. Hibbert makes free throw 1 of 2,1,59-66,,
8:22.0,R. Hibbert makes free throw 2 of 2,1,60-66,,
8:02.0,,,60-68,2,E. Bledsoe makes 2-pt shot from 15 ft
7:42.0,J. Randle misses 2-pt shot from 14 ft,,60-68,,
7:39.0,,,60-68,,Defensive rebound by T. Chandler
7:28.0,,,60-68,,P. Tucker misses 3-pt shot from 23 ft
7:27.0,Defensive rebound by J. Clarkson,,60-68,,
7:16.0,M. World Peace misses 3-pt shot from 25 ft,,60-68,,
7:15.0,,,60-68,,Defensive rebound by J. Leuer
7:15.0,,,60-68,,Phoenix full timeout
6:56.0,,,60-68,,Turnover by J. Leuer (traveling)
6:37.0,,,60-68,,Personal foul by P. Tucker (drawn by M. World Peace)
6:31.0,R. Hibbert makes 2-pt shot from 16 ft (assist by J. Clarkson),2,62-68,,
6:15.0,,,62-68,,B. Knight misses 2-pt shot from 13 ft
6:11.0,Defensive rebound by J. Randle,,62-68,,
6:06.0,Turnover by J. Randle (turnover),,62-68,,
6:06.0,,,62-68,,M. Teletovic enters the game for J. Leuer
5:51.0,,,62-68,,Turnover by E. Bledsoe (turnover)
5:39.0,D. Russell misses 2-pt shot from 16 ft,,62-68,,
5:38.0,,,62-68,,Defensive rebound by M. Teletovic
5:32.0,,,62-68,,Shooting foul by J. Randle (drawn by B. Knight)
5:32.0,,,62-69,1,B. Knight makes free throw 1 of 2
5:32.0,,,62-70,1,B. Knight makes free throw 2 of 2
5:12.0,J. Clarkson misses 2-pt shot from 3 ft,,62-70,,
5:10.0,Offensive rebound by J. Randle,,62-70,,
5:10.0,J. Randle makes 2-pt shot from 1 ft,2,64-70,,
5:01.0,,,64-73,3,M. Teletovic makes 3-pt shot from 24 ft (assist by B. Knight)
4:46.0,D. Russell makes 3-pt shot from 22 ft (assist by M. World Peace),3,67-73,,
4:30.0,,,67-73,,B. Knight misses 2-pt shot from 21 ft
4:26.0,,,67-73,,Offensive rebound by T. Chandler
4:23.0,,,67-73,,M. Teletovic misses 3-pt shot from 24 ft
4:21.0,Defensive rebound by M. World Peace,,67-73,,
4:06.0,R. Hibbert makes 2-pt shot from 8 ft (assist by J. Randle),2,69-73,,
3:44.0,,,69-73,,Turnover by E. Bledsoe (dbl dribble)
3:44.0,,,69-73,,A. Goodwin enters the game for B. Knight
3:25.0,Shooting foul by P. Tucker (drawn by M. World Peace),,69-73,,
3:25.0,,,69-73,,T. Warren enters the game for P. Tucker
3:25.0,M. World Peace makes free throw 1 of 2,1,70-73,,
3:25.0,,,70-73,,A. Len enters the game for T. Chandler
3:25.0,L. Williams enters the game for D. Russell,,70-73,,
3:25.0,M. World Peace misses free throw 2 of 2,,70-73,,
3:23.0,,,70-73,,Defensive rebound by A. Goodwin
3:09.0,,,70-76,3,E. Bledsoe makes 3-pt shot from 26 ft
2:50.0,Offensive foul by R. Hibbert,,70-76,,
2:50.0,Turnover by R. Hibbert (offensive foul),,70-76,,
2:50.0,LA Lakers full timeout,,70-76,,
2:50.0,N. Young enters the game for M. World Peace,,70-76,,
2:38.0,,,70-76,,E. Bledsoe misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by N. Young,,70-76,,
2:21.0,L. Williams makes 2-pt shot from 7 ft,2,72-76,,
2:21.0,,,72-76,,Shooting block foul by M. Teletovic (drawn by L. Williams)
2:21.0,L. Williams makes free throw 1 of 1,1,73-76,,
2:09.0,,,73-76,,A. Goodwin misses 2-pt shot at rim
2:08.0,,,73-76,,Offensive rebound by A. Goodwin
1:47.0,,,73-76,,A. Goodwin misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by Team,,73-76,,
1:33.0,J. Clarkson misses 2-pt shot from 20 ft,,73-76,,
1:31.0,,,73-76,,Defensive rebound by A. Goodwin
1:23.0,,,73-76,,M. Teletovic misses 2-pt shot from 16 ft
1:21.0,,,73-76,,Offensive rebound by T. Warren
1:19.0,,,73-78,2,T. Warren makes 2-pt shot from 4 ft
1:04.0,R. Hibbert misses 2-pt shot from 6 ft,,73-78,,
1:01.0,,,73-78,,Defensive rebound by A. Len
0:53.0,,,73-78,,A. Goodwin misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by J. Randle,,73-78,,
0:44.0,L. Williams misses 2-pt shot from 10 ft (block by A. Len),,73-78,,
0:42.0,,,73-78,,Defensive rebound by Team
0:28.0,,,73-78,,E. Bledsoe misses 2-pt shot from 11 ft
0:25.0,Defensive rebound by J. Randle,,73-78,,
0:06.0,Shooting foul by E. Bledsoe (drawn by J. Clarkson),,73-78,,
0:06.0,J. Clarkson makes free throw 1 of 2,1,74-78,,
0:06.0,,,74-78,,B. Knight enters the game for A. Goodwin
0:06.0,J. Clarkson makes free throw 2 of 2,1,75-78,,
0:04.0,Personal take foul by L. Williams,,75-78,,
0:01.0,,,75-80,2,T. Warren makes 2-pt shot from 12 ft (assist by B. Knight)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,75-82,2,T. Warren makes 2-pt shot from 13 ft (assist by B. Knight)
11:35.0,L. Williams makes 3-pt shot from 24 ft,3,78-82,,
11:21.0,,,78-84,2,B. Knight makes 2-pt shot from 3 ft
11:01.0,B. Bass misses 2-pt shot from 6 ft,,78-84,,
10:59.0,,,78-84,,Defensive rebound by B. Knight
10:56.0,Personal take foul by M. Huertas (drawn by B. Knight),,78-84,,
10:54.0,,,78-86,2,A. Goodwin makes 2-pt shot from 3 ft (assist by M. Teletovic)
10:54.0,,,78-86,,Shooting foul by M. Huertas (drawn by A. Goodwin)
10:54.0,,,78-87,1,A. Goodwin makes free throw 1 of 1
10:49.0,,,78-87,,Violation by A. Len (kicked ball)
10:41.0,Turnover by M. Huertas (bad pass; steal by T. Warren),,78-87,,
10:38.0,,,78-89,2,T. Warren makes 2-pt shot at rim
10:30.0,LA Lakers full timeout,,78-89,,
10:23.0,M. Huertas makes 3-pt shot from 23 ft (assist by L. Nance),3,81-89,,
9:59.0,,,81-89,,A. Len misses 2-pt shot from 16 ft
9:57.0,Defensive rebound by B. Bass,,81-89,,
9:45.0,Turnover by L. Williams (bad pass; steal by A. Goodwin),,81-89,,
9:41.0,,,81-91,2,B. Knight makes 2-pt shot from 1 ft (assist by A. Goodwin)
9:20.0,N. Young misses 2-pt shot from 17 ft,,81-91,,
9:19.0,,,81-91,,Defensive rebound by A. Goodwin
9:19.0,Loose ball foul by B. Bass (drawn by A. Goodwin),,81-91,,
9:02.0,,,81-91,,Turnover by A. Goodwin (lost ball; steal by B. Bass)
9:00.0,,,81-91,,Personal foul by B. Knight
8:50.0,Turnover by N. Young (bad pass; steal by B. Knight),,81-91,,
8:42.0,,,81-93,2,T. Warren makes 2-pt shot at rim (assist by B. Knight)
8:28.0,M. Huertas makes 2-pt shot from 8 ft,2,83-93,,
8:19.0,,,83-93,,Shooting foul by N. Young (drawn by A. Len)
8:19.0,,,83-93,,A. Len misses free throw 1 of 2
8:19.0,,,83-93,,Offensive rebound by Team
8:19.0,,,83-94,1,A. Len makes free throw 2 of 2
8:03.0,L. Nance misses 2-pt shot from 18 ft,,83-94,,
8:01.0,,,83-94,,Defensive rebound by T. Warren
7:52.0,,,83-94,,Phoenix full timeout
7:47.0,,,83-96,2,A. Len makes 2-pt shot at rim (assist by B. Knight)
7:29.0,L. Williams misses 3-pt shot from 26 ft,,83-96,,
7:27.0,,,83-96,,Defensive rebound by A. Len
7:16.0,,,83-98,2,A. Goodwin makes 2-pt shot at rim (assist by B. Knight)
6:59.0,N. Young makes 3-pt shot from 24 ft (assist by M. Huertas),3,86-98,,
6:43.0,,,86-98,,Shooting foul by B. Bass (drawn by A. Len)
6:43.0,,,86-100,2,A. Len makes 2-pt shot from 3 ft (assist by B. Knight)
6:43.0,D. Russell enters the game for M. Huertas,,86-100,,
6:43.0,,,86-101,1,A. Len makes free throw 1 of 1
6:33.0,L. Nance misses 2-pt shot at rim,,86-101,,
6:30.0,,,86-101,,Defensive rebound by B. Knight
6:23.0,J. Clarkson enters the game for L. Nance,,86-101,,
6:23.0,J. Randle enters the game for L. Williams,,86-101,,
6:23.0,R. Hibbert enters the game for B. Bass,,86-101,,
6:16.0,,,86-101,,M. Teletovic misses 3-pt shot from 23 ft
6:14.0,,,86-101,,Offensive rebound by T. Warren
6:09.0,,,86-101,,B. Knight misses 2-pt shot from 1 ft
6:08.0,Defensive rebound by Team,,86-101,,
5:52.0,J. Randle misses 2-pt shot from 16 ft,,86-101,,
5:51.0,,,86-101,,Defensive rebound by B. Knight
5:41.0,,,86-103,2,T. Warren makes 2-pt shot from 6 ft (assist by B. Knight)
5:24.0,Shooting foul by A. Len (drawn by J. Randle),,86-103,,
5:24.0,J. Randle makes free throw 1 of 2,1,87-103,,
5:24.0,J. Randle makes free throw 2 of 2,1,88-103,,
5:06.0,,,88-103,,B. Knight misses 2-pt shot from 4 ft
5:03.0,Defensive rebound by N. Young,,88-103,,
4:56.0,R. Hibbert misses 2-pt shot from 4 ft (block by M. Teletovic),,88-103,,
4:54.0,,,88-103,,Defensive rebound by A. Len
4:50.0,,,88-103,,A. Goodwin misses 2-pt shot from 3 ft
4:46.0,,,88-103,,Offensive rebound by B. Knight
4:22.0,,,88-103,,A. Len misses 2-pt shot from 1 ft
4:20.0,Defensive rebound by R. Hibbert,,88-103,,
4:08.0,J. Clarkson makes 3-pt shot from 25 ft (assist by D. Russell),3,91-103,,
4:07.0,,,91-103,,Phoenix full timeout
4:07.0,,,91-103,,E. Bledsoe enters the game for A. Goodwin
