time,Philadelphia,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. N. Noel (J. Cunningham gains possession),,,,Jump ball: T. Mozgov vs. N. Noel (J. Cunningham gains possession)
11:48.0,Personal foul by N. Stauskas (drawn by K. Love),,0-0,,
11:47.0,,,0-0,,Turnover by M. Williams (bad pass; steal by N. Noel)
11:41.0,Turnover by T. McConnell (lost ball; steal by J. Cunningham),,0-0,,
11:36.0,,,0-0,,Turnover by J. Cunningham (lost ball)
11:14.0,T. McConnell makes 2-pt shot from 12 ft (assist by J. Grant),2,2-0,,
11:01.0,,,2-3,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
10:46.0,Turnover by N. Stauskas (bad pass),,2-3,,
10:25.0,,,2-3,,K. Love misses 3-pt shot from 25 ft
10:25.0,,,2-3,,Offensive rebound by T. Mozgov
10:24.0,,,2-5,2,T. Mozgov makes 2-pt shot from 4 ft
10:24.0,,,2-5,,Shooting foul by J. Okafor (drawn by T. Mozgov)
10:24.0,,,2-5,,T. Mozgov misses free throw 1 of 1
10:24.0,,,2-5,,Offensive rebound by K. Love
10:15.0,,,2-5,,K. Love misses 2-pt shot at rim (block by J. Grant)
10:15.0,,,2-5,,Offensive rebound by Team
10:10.0,,,2-7,2,M. Williams makes 2-pt shot from 17 ft (assist by L. James)
10:03.0,,,2-7,,Violation by M. Williams (kicked ball)
9:48.0,N. Noel misses 2-pt shot from 17 ft,,2-7,,
9:48.0,,,2-7,,Defensive rebound by M. Williams
9:41.0,,,2-9,2,L. James makes 2-pt shot from 1 ft
9:24.0,T. McConnell makes 3-pt shot from 24 ft,3,5-9,,
9:05.0,,,5-11,2,M. Williams makes 2-pt shot from 17 ft
8:44.0,J. Okafor misses 2-pt shot from 2 ft,,5-11,,
8:43.0,,,5-11,,Defensive rebound by K. Love
8:41.0,Personal foul by J. Grant (drawn by L. James),,5-11,,
8:34.0,,,5-13,2,M. Williams makes 2-pt shot from 19 ft
8:19.0,J. Okafor makes 2-pt shot from 2 ft,2,7-13,,
8:19.0,Shooting foul by M. Williams (drawn by J. Okafor),,7-13,,
8:19.0,J. Okafor misses free throw 1 of 1,,7-13,,
8:19.0,Offensive rebound by N. Noel,,7-13,,
8:05.0,Shooting foul by J. Cunningham (drawn by J. Grant),,7-13,,
8:05.0,J. Grant makes free throw 1 of 2,1,8-13,,
8:05.0,J. Grant makes free throw 2 of 2,1,9-13,,
7:50.0,,,9-13,,J. Cunningham misses 2-pt shot from 1 ft (block by J. Grant)
7:49.0,,,9-13,,Offensive rebound by K. Love
7:47.0,,,9-13,,Turnover by K. Love (lost ball; steal by N. Noel)
7:40.0,J. Okafor misses 2-pt shot from 5 ft,,9-13,,
7:38.0,,,9-13,,Defensive rebound by K. Love
7:26.0,,,9-15,2,T. Mozgov makes 2-pt shot at rim (assist by M. Williams)
7:20.0,Turnover by T. McConnell (bad pass),,9-15,,
7:20.0,H. Thompson enters the game for N. Noel,,9-15,,
7:20.0,R. Holmes enters the game for N. Stauskas,,9-15,,
7:06.0,,,9-17,2,T. Mozgov makes 2-pt shot from 5 ft
7:06.0,Philadelphia full timeout,,9-17,,
7:06.0,J. Sampson enters the game for J. Grant,,9-17,,
6:40.0,J. Sampson makes 2-pt shot from 5 ft (assist by J. Okafor),2,11-17,,
6:24.0,,,11-17,,T. Mozgov misses 2-pt shot from 8 ft
6:20.0,Defensive rebound by J. Okafor,,11-17,,
