time,Indiana,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. I. Mahinmi (G. Hill gains possession),,,,Jump ball: D. Favors vs. I. Mahinmi (G. Hill gains possession)
11:46.0,Turnover by M. Ellis (bad pass; steal by R. Neto),,0-0,,
11:39.0,,,0-0,,R. Neto misses 2-pt shot from 2 ft
11:35.0,,,0-0,,Offensive rebound by T. Lyles
11:35.0,,,0-2,2,T. Lyles makes 2-pt shot from 1 ft
11:27.0,M. Ellis misses 3-pt shot from 24 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by R. Hood
11:09.0,,,0-2,,Turnover by G. Hayward (bad pass; steal by M. Ellis)
11:00.0,G. Hill makes 3-pt shot from 22 ft (assist by I. Mahinmi),3,3-2,,
10:45.0,,,3-2,,Shooting foul by I. Mahinmi (drawn by D. Favors)
10:45.0,,,3-3,1,D. Favors makes free throw 1 of 2
10:45.0,,,3-4,1,D. Favors makes free throw 2 of 2
10:33.0,P. George misses 2-pt shot from 18 ft,,3-4,,
10:32.0,,,3-4,,Defensive rebound by R. Hood
10:14.0,,,3-4,,R. Neto misses 3-pt shot from 22 ft
10:13.0,,,3-4,,Offensive rebound by G. Hayward
10:05.0,,,3-7,3,R. Neto makes 3-pt shot from 23 ft (assist by G. Hayward)
9:52.0,C. Miles misses 2-pt shot from 19 ft,,3-7,,
9:51.0,Offensive rebound by I. Mahinmi,,3-7,,
9:34.0,M. Ellis misses 3-pt shot from 24 ft,,3-7,,
9:34.0,,,3-7,,Defensive rebound by R. Neto
9:17.0,,,3-7,,T. Lyles misses 2-pt shot from 10 ft
9:17.0,Defensive rebound by I. Mahinmi,,3-7,,
8:56.0,Turnover by G. Hill (traveling),,3-7,,
8:43.0,,,3-7,,Turnover by R. Neto (palming)
8:34.0,P. George makes 2-pt shot from 18 ft,2,5-7,,
8:13.0,,,5-7,,D. Favors misses 2-pt shot from 15 ft
8:13.0,,,5-7,,Offensive rebound by T. Lyles
8:03.0,,,5-9,2,R. Hood makes 2-pt shot from 15 ft
7:54.0,Shooting foul by G. Hayward (drawn by P. George),,5-9,,
7:54.0,P. George makes free throw 1 of 3,1,6-9,,
7:54.0,P. George makes free throw 2 of 3,1,7-9,,
7:54.0,P. George makes free throw 3 of 3,1,8-9,,
7:43.0,,,8-11,2,G. Hayward makes 2-pt shot from 7 ft
7:33.0,C. Miles misses 2-pt shot from 2 ft (block by D. Favors),,8-11,,
7:31.0,,,8-11,,Defensive rebound by Team
7:17.0,,,8-14,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Hood)
6:55.0,P. George makes 2-pt shot at rim (assist by M. Ellis),2,10-14,,
6:35.0,,,10-14,,Turnover by D. Favors (lost ball; steal by I. Mahinmi)
6:34.0,,,10-14,,Personal foul by R. Hood (drawn by G. Hill)
6:25.0,I. Mahinmi makes 2-pt shot at rim (assist by P. George),2,12-14,,
6:04.0,,,12-16,2,D. Favors makes 2-pt shot from 3 ft
5:53.0,P. George misses 2-pt shot from 16 ft,,12-16,,
5:53.0,,,12-16,,Defensive rebound by G. Hayward
5:41.0,,,12-16,,D. Favors misses 2-pt shot from 15 ft
5:40.0,Defensive rebound by P. George,,12-16,,
5:26.0,G. Hill misses 2-pt shot from 19 ft,,12-16,,
5:25.0,,,12-16,,Defensive rebound by R. Hood
5:15.0,,,12-16,,R. Hood misses 3-pt shot from 24 ft
5:14.0,,,12-16,,Offensive rebound by D. Favors
