time,Charlotte,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. C. Zeller (M. Conley gains possession),,,,Jump ball: M. Gasol vs. C. Zeller (M. Conley gains possession)
11:37.0,,,0-2,2,Z. Randolph makes 2-pt shot from 4 ft
11:21.0,M. Williams misses 3-pt shot from 25 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by Team
11:05.0,,,0-4,2,T. Allen makes 2-pt shot from 1 ft (assist by Z. Randolph)
10:42.0,Turnover by P. Hairston (bad pass; steal by Z. Randolph),,0-4,,
10:35.0,,,0-4,,Shooting foul by C. Zeller (drawn by M. Conley)
10:35.0,,,0-5,1,M. Conley makes free throw 1 of 2
10:35.0,,,0-6,1,M. Conley makes free throw 2 of 2
10:13.0,P. Hairston misses 3-pt shot from 26 ft,,0-6,,
10:13.0,,,0-6,,Defensive rebound by M. Gasol
9:53.0,,,0-8,2,T. Allen makes 2-pt shot from 20 ft (assist by M. Conley)
9:39.0,K. Walker misses 2-pt shot from 13 ft (block by M. Conley),,0-8,,
9:36.0,,,0-8,,Defensive rebound by J. Green
9:24.0,,,0-10,2,J. Green makes 2-pt shot from 1 ft
9:19.0,Charlotte full timeout,,0-10,,
9:09.0,N. Batum misses 2-pt shot from 20 ft,,0-10,,
9:06.0,,,0-10,,Defensive rebound by T. Allen
8:47.0,,,0-10,,Shooting foul by N. Batum (drawn by J. Green)
8:47.0,,,0-10,,J. Green misses free throw 1 of 2
8:47.0,,,0-10,,Offensive rebound by Team
8:47.0,,,0-11,1,J. Green makes free throw 2 of 2
8:38.0,K. Walker makes 2-pt shot from 6 ft,2,2-11,,
8:26.0,Personal foul by P. Hairston (drawn by J. Green),,2-11,,
8:12.0,,,2-13,2,M. Conley makes 2-pt shot from 11 ft
8:00.0,K. Walker makes 2-pt shot from 19 ft,2,4-13,,
7:53.0,,,4-13,,Offensive foul by T. Allen
7:53.0,,,4-13,,Turnover by T. Allen (offensive foul)
7:35.0,C. Zeller misses 2-pt shot from 8 ft,,4-13,,
7:34.0,,,4-13,,Defensive rebound by M. Gasol
7:21.0,,,4-15,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
7:07.0,C. Zeller misses 2-pt shot at rim (block by T. Allen),,4-15,,
7:07.0,Offensive rebound by Team,,4-15,,
7:04.0,M. Williams makes 2-pt shot from 21 ft (assist by P. Hairston),2,6-15,,
6:45.0,Def 3 sec tech foul by P. Hairston,,6-15,,
6:45.0,,,6-16,1,M. Conley makes technical free throw
6:36.0,,,6-18,2,M. Gasol makes 2-pt shot at rim
6:25.0,Turnover by K. Walker (bad pass; steal by T. Allen),,6-18,,
6:20.0,,,6-20,2,T. Allen makes 2-pt shot at rim
6:03.0,K. Walker makes 2-pt shot from 16 ft,2,8-20,,
5:50.0,,,8-20,,Shooting foul by P. Hairston (drawn by Z. Randolph)
5:50.0,,,8-21,1,Z. Randolph makes free throw 1 of 2
5:50.0,,,8-22,1,Z. Randolph makes free throw 2 of 2
5:33.0,K. Walker misses 3-pt shot from 24 ft,,8-22,,
5:32.0,,,8-22,,Defensive rebound by M. Gasol
5:25.0,,,8-22,,J. Green misses 2-pt shot at rim
5:25.0,Defensive rebound by Team,,8-22,,
5:12.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,11-22,,
4:51.0,,,11-22,,Turnover by J. Green (back court)
4:51.0,F. Kaminsky enters the game for M. Williams,,11-22,,
4:51.0,,,11-22,,C. Lee enters the game for T. Allen
4:36.0,C. Zeller misses 2-pt shot from 20 ft,,11-22,,
4:34.0,,,11-22,,Defensive rebound by C. Lee
