time,Portland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Plumlee (T. Snell gains possession),,,,Jump ball: P. Gasol vs. M. Plumlee (T. Snell gains possession)
11:37.0,,,0-0,,M. Dunleavy misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by M. Plumlee,,0-0,,
11:23.0,N. Vonleh misses 2-pt shot from 16 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by Team
11:23.0,Loose ball foul by M. Plumlee (drawn by P. Gasol),,0-0,,
11:05.0,,,0-0,,P. Gasol misses 2-pt shot from 5 ft
11:03.0,Defensive rebound by M. Plumlee,,0-0,,
10:51.0,C. McCollum misses 2-pt shot from 18 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by M. Dunleavy
10:29.0,,,0-0,,E. Moore misses 2-pt shot from 6 ft
10:28.0,Defensive rebound by M. Plumlee,,0-0,,
10:25.0,Shooting foul by M. Dunleavy (drawn by M. Plumlee),,0-0,,
10:25.0,M. Plumlee makes free throw 1 of 2,1,1-0,,
10:25.0,M. Plumlee misses free throw 2 of 2,,1-0,,
10:23.0,,,1-0,,Defensive rebound by P. Gasol
10:10.0,,,1-2,2,P. Gasol makes 2-pt shot from 18 ft (assist by M. Dunleavy)
9:46.0,Turnover by N. Vonleh (traveling),,1-2,,
9:29.0,,,1-4,2,T. Gibson makes 2-pt shot from 4 ft (assist by P. Gasol)
9:01.0,C. McCollum misses 3-pt shot from 24 ft,,1-4,,
9:00.0,,,1-4,,Defensive rebound by P. Gasol
8:49.0,,,1-6,2,M. Dunleavy makes 2-pt shot at rim (assist by P. Gasol)
8:29.0,D. Lillard makes 2-pt shot from 10 ft,2,3-6,,
8:11.0,,,3-6,,M. Dunleavy misses 2-pt shot from 6 ft (block by N. Vonleh)
8:10.0,Defensive rebound by N. Vonleh,,3-6,,
7:59.0,D. Lillard makes 2-pt shot from 1 ft,2,5-6,,
7:53.0,Personal foul by N. Vonleh (drawn by T. Gibson),,5-6,,
7:49.0,,,5-8,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by P. Gasol)
7:49.0,,,5-8,,Shooting foul by C. McCollum (drawn by M. Dunleavy)
7:49.0,,,5-9,1,M. Dunleavy makes free throw 1 of 1
7:39.0,Turnover by D. Lillard (bad pass; steal by P. Gasol),,5-9,,
7:31.0,,,5-11,2,T. Gibson makes 2-pt shot at rim (assist by P. Gasol)
7:31.0,,,5-11,,Shooting foul by N. Vonleh (drawn by T. Gibson)
7:31.0,,,5-12,1,T. Gibson makes free throw 1 of 1
7:20.0,Turnover by D. Lillard (lost ball),,5-12,,
6:58.0,,,5-12,,Turnover by M. Dunleavy (bad pass; steal by A. Aminu)
6:42.0,M. Plumlee misses 2-pt shot from 6 ft (block by P. Gasol),,5-12,,
6:39.0,Offensive rebound by N. Vonleh,,5-12,,
6:36.0,M. Plumlee misses 2-pt shot from 1 ft,,5-12,,
6:35.0,,,5-12,,Defensive rebound by T. Gibson
6:11.0,,,5-12,,P. Gasol misses 2-pt shot from 23 ft
6:09.0,Defensive rebound by M. Plumlee,,5-12,,
6:04.0,D. Lillard makes 2-pt shot from 2 ft,2,7-12,,
6:04.0,Shooting foul by T. Gibson (drawn by D. Lillard),,7-12,,
6:04.0,D. Lillard makes free throw 1 of 1,1,8-12,,
5:49.0,,,8-12,,E. Moore misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by N. Vonleh,,8-12,,
5:40.0,Shooting foul by T. Snell (drawn by D. Lillard),,8-12,,
5:40.0,,,8-12,,Chicago full timeout
5:40.0,,,8-12,,D. McDermott enters the game for M. Dunleavy
5:40.0,,,8-12,,B. Portis enters the game for T. Gibson
5:40.0,A. Crabbe enters the game for N. Vonleh,,8-12,,
5:40.0,M. Leonard enters the game for C. McCollum,,8-12,,
5:40.0,D. Lillard makes free throw 1 of 2,1,9-12,,
5:40.0,D. Lillard makes free throw 2 of 2,1,10-12,,
5:18.0,,,10-12,,P. Gasol misses 2-pt shot from 14 ft
5:16.0,Defensive rebound by Team,,10-12,,
4:59.0,D. Lillard makes 2-pt shot from 16 ft (assist by A. Aminu),2,12-12,,
4:40.0,,,12-15,3,D. McDermott makes 3-pt shot from 24 ft (assist by P. Gasol)
4:15.0,D. Lillard misses 2-pt shot from 7 ft,,12-15,,
4:14.0,,,12-15,,Defensive rebound by T. Snell
4:07.0,,,12-17,2,D. McDermott makes 2-pt shot at rim (assist by P. Gasol)
3:41.0,M. Plumlee makes 2-pt shot from 5 ft,2,14-17,,
3:23.0,,,14-17,,Turnover by P. Gasol (lost ball)
3:23.0,G. Henderson enters the game for M. Plumlee,,14-17,,
3:23.0,E. Davis enters the game for A. Aminu,,14-17,,
3:15.0,,,14-17,,Personal foul by T. Snell (drawn by D. Lillard)
3:15.0,,,14-17,,J. Holiday enters the game for T. Snell
