time,Utah,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Withey (T. Jones gains possession),,,,Jump ball: C. Capela vs. J. Withey (T. Jones gains possession)
11:40.0,,,0-2,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
11:18.0,G. Hayward misses 3-pt shot from 23 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by J. Harden
11:12.0,,,0-4,2,J. Harden makes 2-pt shot from 1 ft
10:55.0,Turnover by R. Neto (step out of bounds),,0-4,,
10:38.0,,,0-4,,Turnover by C. Capela (3 sec)
10:20.0,Turnover by T. Lyles (bad pass),,0-4,,
10:02.0,,,0-6,2,T. Jones makes 2-pt shot from 4 ft
9:56.0,Turnover by R. Neto (lost ball; steal by P. Beverley),,0-6,,
9:46.0,,,0-6,,Turnover by T. Ariza (bad pass; steal by R. Neto)
9:29.0,J. Withey makes 2-pt shot at rim (assist by R. Neto),2,2-6,,
9:11.0,,,2-8,2,J. Harden makes 2-pt shot at rim
8:51.0,R. Neto misses 3-pt shot from 24 ft,,2-8,,
8:50.0,,,2-8,,Defensive rebound by T. Jones
8:42.0,,,2-10,2,J. Harden makes 2-pt shot from 16 ft
8:22.0,G. Hayward makes 2-pt shot from 6 ft,2,4-10,,
8:22.0,,,4-10,,Shooting block foul by C. Capela (drawn by G. Hayward)
8:22.0,G. Hayward misses free throw 1 of 1,,4-10,,
8:22.0,,,4-10,,Defensive rebound by C. Capela
8:07.0,,,4-10,,T. Ariza misses 2-pt shot from 17 ft
8:07.0,Defensive rebound by T. Lyles,,4-10,,
7:54.0,J. Withey makes 2-pt shot at rim (assist by R. Neto),2,6-10,,
7:39.0,,,6-10,,C. Capela misses 2-pt shot at rim (block by J. Withey)
7:38.0,Defensive rebound by T. Lyles,,6-10,,
7:24.0,J. Withey misses 2-pt shot at rim,,6-10,,
7:23.0,,,6-10,,Defensive rebound by T. Jones
7:18.0,,,6-10,,Shooting foul by R. Hood (drawn by J. Harden)
7:18.0,,,6-10,,J. Harden misses free throw 1 of 2
7:18.0,,,6-10,,Offensive rebound by Team
7:18.0,,,6-10,,M. Harrell enters the game for C. Capela
7:18.0,,,6-10,,J. Terry enters the game for P. Beverley
7:18.0,R. Gobert enters the game for J. Withey,,6-10,,
7:18.0,,,6-11,1,J. Harden makes free throw 2 of 2
7:03.0,T. Lyles misses 2-pt shot from 11 ft,,6-11,,
7:02.0,,,6-11,,Defensive rebound by J. Harden
6:56.0,Violation by T. Lyles (kicked ball),,6-11,,
6:40.0,,,6-11,,J. Harden misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by T. Lyles,,6-11,,
6:31.0,T. Lyles misses 2-pt shot from 14 ft,,6-11,,
6:30.0,Offensive rebound by R. Gobert,,6-11,,
6:30.0,R. Gobert makes 2-pt shot at rim,2,8-11,,
6:13.0,,,8-11,,Turnover by J. Terry (bad pass; steal by R. Hood)
6:10.0,Shooting foul by J. Harden (drawn by R. Hood),,8-11,,
6:10.0,R. Hood makes free throw 1 of 2,1,9-11,,
6:10.0,R. Hood makes free throw 2 of 2,1,10-11,,
5:56.0,,,10-11,,Houston full timeout
5:46.0,,,10-11,,T. Jones misses 3-pt shot from 25 ft
5:45.0,Defensive rebound by R. Gobert,,10-11,,
5:30.0,Shooting foul by M. Harrell (drawn by R. Hood),,10-11,,
5:30.0,R. Hood makes 2-pt shot from 7 ft,2,12-11,,
5:30.0,R. Hood makes free throw 1 of 1,1,13-11,,
5:15.0,,,13-13,2,T. Jones makes 2-pt shot from 5 ft (assist by J. Harden)
4:56.0,R. Hood makes 3-pt shot from 24 ft (assist by R. Neto),3,16-13,,
4:47.0,,,16-13,,Shooting foul by T. Lyles (drawn by J. Harden)
4:47.0,,,16-14,1,J. Harden makes free throw 1 of 2
4:47.0,T. Booker enters the game for R. Neto,,16-14,,
4:47.0,T. Burke enters the game for T. Lyles,,16-14,,
4:47.0,,,16-14,,C. Capela enters the game for T. Jones
4:47.0,,,16-15,1,J. Harden makes free throw 2 of 2
4:26.0,T. Burke makes 3-pt shot from 25 ft (assist by R. Hood),3,19-15,,
4:11.0,Violation by T. Booker (kicked ball),,19-15,,
4:11.0,,,19-15,,C. Brewer enters the game for T. Ariza
4:11.0,C. Johnson enters the game for R. Hood,,19-15,,
4:01.0,,,19-15,,J. Terry misses 3-pt shot from 23 ft
4:00.0,Defensive rebound by R. Gobert,,19-15,,
3:52.0,Turnover by G. Hayward (step out of bounds),,19-15,,
3:36.0,,,19-15,,Turnover by M. Harrell (lost ball)
3:17.0,Turnover by G. Hayward (bad pass; steal by C. Capela),,19-15,,
3:05.0,,,19-15,,Shooting foul by C. Johnson (drawn by J. Harden)
3:05.0,,,19-15,,J. Harden misses free throw 1 of 2
3:05.0,,,19-15,,Offensive rebound by Team
3:05.0,,,19-15,,P. Beverley enters the game for J. Terry
3:05.0,,,19-16,1,J. Harden makes free throw 2 of 2
2:53.0,Turnover by G. Hayward (bad pass; steal by J. Harden),,19-16,,
2:50.0,,,19-16,,Turnover by J. Harden (lost ball; steal by C. Johnson)
2:34.0,T. Burke makes 2-pt shot from 20 ft,2,21-16,,
2:18.0,,,21-16,,Shooting foul by C. Johnson (drawn by C. Capela)
2:18.0,Utah full timeout,,21-16,,
2:18.0,,,21-16,,M. Thornton enters the game for J. Harden
2:18.0,T. Lyles enters the game for R. Gobert,,21-16,,
2:18.0,,,21-16,,C. Capela misses free throw 1 of 2
2:18.0,,,21-16,,Offensive rebound by Team
2:18.0,,,21-16,,C. Capela misses free throw 2 of 2
2:17.0,Defensive rebound by T. Lyles,,21-16,,
2:03.0,Offensive foul by T. Lyles,,21-16,,
2:03.0,Turnover by T. Lyles (offensive foul),,21-16,,
1:54.0,,,21-18,2,M. Thornton makes 2-pt shot at rim (assist by P. Beverley)
1:37.0,T. Lyles misses 2-pt shot from 12 ft,,21-18,,
1:37.0,,,21-18,,Defensive rebound by Team
1:23.0,,,21-18,,C. Capela misses 2-pt shot from 2 ft (block by T. Lyles)
1:22.0,Defensive rebound by T. Booker,,21-18,,
1:14.0,T. Burke makes 2-pt shot from 5 ft,2,23-18,,
1:04.0,,,23-18,,M. Thornton misses 3-pt shot from 24 ft
1:03.0,Defensive rebound by T. Booker,,23-18,,
0:42.0,G. Hayward makes 2-pt shot from 19 ft,2,25-18,,
0:35.0,,,25-20,2,C. Capela makes 2-pt shot from 1 ft (assist by P. Beverley)
0:14.0,T. Burke misses 2-pt shot from 4 ft (block by M. Harrell),,25-20,,
0:14.0,Offensive rebound by Team,,25-20,,
0:13.0,Turnover by T. Burke (bad pass; steal by C. Capela),,25-20,,
0:09.0,,,25-22,2,M. Thornton makes 2-pt shot from 1 ft (assist by P. Beverley)
0:00.0,G. Hayward misses 3-pt shot from 26 ft,,25-22,,
0:00.0,Offensive rebound by Team,,25-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Shooting foul by P. Beverley (drawn by T. Lyles),,25-22,,
11:37.0,T. Lyles misses free throw 1 of 2,,25-22,,
11:37.0,Offensive rebound by Team,,25-22,,
11:37.0,T. Lyles makes free throw 2 of 2,1,26-22,,
11:17.0,,,26-22,,Turnover by M. Thornton (bad pass; steal by T. Lyles)
11:16.0,Utah full timeout,,26-22,,
11:16.0,,,26-22,,M. Harrell enters the game for C. Capela
10:56.0,R. Hood misses 3-pt shot from 25 ft,,26-22,,
10:56.0,,,26-22,,Defensive rebound by T. Jones
10:32.0,,,26-24,2,C. Brewer makes 2-pt shot from 20 ft
10:08.0,T. Lyles misses 2-pt shot from 8 ft,,26-24,,
10:07.0,,,26-24,,Defensive rebound by T. Jones
9:55.0,,,26-27,3,C. Brewer makes 3-pt shot from 23 ft (assist by P. Beverley)
9:32.0,T. Booker makes 2-pt shot from 1 ft (assist by T. Burke),2,28-27,,
9:16.0,,,28-29,2,T. Jones makes 2-pt shot from 1 ft (assist by C. Brewer)
8:55.0,J. Ingles makes 3-pt shot from 24 ft (assist by T. Lyles),3,31-29,,
8:34.0,,,31-29,,M. Thornton misses 2-pt shot from 17 ft
8:33.0,Defensive rebound by T. Booker,,31-29,,
8:11.0,J. Ingles misses 3-pt shot from 26 ft,,31-29,,
8:09.0,Offensive rebound by T. Booker,,31-29,,
7:53.0,Turnover by T. Burke (lost ball; steal by P. Beverley),,31-29,,
7:52.0,Personal foul by J. Ingles (drawn by P. Beverley),,31-29,,
7:52.0,J. Withey enters the game for T. Booker,,31-29,,
7:52.0,,,31-29,,J. Harden enters the game for M. Harrell
7:52.0,,,31-29,,C. Capela enters the game for C. Brewer
7:52.0,,,31-29,,T. Ariza enters the game for M. Thornton
7:33.0,,,31-29,,T. Jones misses 2-pt shot from 1 ft
7:31.0,,,31-29,,Offensive rebound by T. Jones
7:28.0,,,31-29,,T. Jones misses 2-pt shot from 1 ft (block by T. Lyles)
7:27.0,,,31-29,,Offensive rebound by C. Capela
7:24.0,,,31-29,,J. Harden misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by Team,,31-29,,
7:02.0,R. Hood misses 3-pt shot from 24 ft,,31-29,,
7:01.0,,,31-29,,Defensive rebound by T. Jones
6:48.0,,,31-31,2,J. Harden makes 2-pt shot from 1 ft
6:32.0,T. Burke misses 3-pt shot from 25 ft,,31-31,,
6:31.0,Offensive rebound by J. Withey,,31-31,,
