time,Boston,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. A. Johnson (I. Thomas gains possession),,,,Jump ball: W. Cauley-Stein vs. A. Johnson (I. Thomas gains possession)
11:41.0,A. Bradley misses 2-pt shot from 21 ft,,0-0,,
11:40.0,Offensive rebound by A. Johnson,,0-0,,
11:31.0,J. Sullinger misses 3-pt shot from 25 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by R. Rondo
11:16.0,,,0-0,,B. McLemore misses 3-pt shot from 26 ft
11:16.0,,,0-0,,Offensive rebound by D. Cousins
11:06.0,,,0-2,2,D. Cousins makes 2-pt shot from 15 ft (assist by W. Cauley-Stein)
10:48.0,A. Johnson misses 2-pt shot from 12 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by B. McLemore
10:32.0,,,0-2,,D. Cousins misses 3-pt shot from 26 ft
10:31.0,Defensive rebound by A. Johnson,,0-2,,
10:22.0,I. Thomas makes 2-pt shot from 13 ft,2,2-2,,
10:00.0,,,2-5,3,R. Rondo makes 3-pt shot from 27 ft (assist by D. Cousins)
9:53.0,,,2-5,,Personal foul by W. Cauley-Stein (drawn by I. Thomas)
9:46.0,Shooting foul by W. Cauley-Stein (drawn by J. Crowder),,2-5,,
9:46.0,J. Crowder makes free throw 1 of 2,1,3-5,,
9:46.0,,,3-5,,K. Koufos enters the game for W. Cauley-Stein
9:46.0,J. Crowder makes free throw 2 of 2,1,4-5,,
9:29.0,,,4-5,,R. Rondo misses 2-pt shot from 20 ft
9:29.0,,,4-5,,Offensive rebound by B. McLemore
9:22.0,,,4-5,,K. Koufos misses 2-pt shot from 7 ft
9:20.0,,,4-5,,Offensive rebound by K. Koufos
9:20.0,,,4-5,,K. Koufos misses 2-pt shot from 2 ft
9:20.0,,,4-5,,Offensive rebound by Team
9:20.0,,,4-5,,Shooting foul by A. Johnson (drawn by K. Koufos)
9:20.0,,,4-6,1,K. Koufos makes free throw 1 of 2
9:20.0,,,4-6,,K. Koufos misses free throw 2 of 2
9:19.0,Defensive rebound by Team,,4-6,,
9:19.0,,,4-6,,Loose ball foul by D. Cousins (drawn by J. Sullinger)
9:09.0,I. Thomas makes 2-pt shot from 10 ft (assist by J. Sullinger),2,6-6,,
8:55.0,,,6-8,2,B. McLemore makes 2-pt shot from 20 ft
8:39.0,J. Sullinger makes 2-pt shot from 13 ft (assist by A. Johnson),2,8-8,,
8:34.0,,,8-8,,Turnover by R. Rondo (step out of bounds)
8:26.0,J. Crowder misses 2-pt shot from 10 ft,,8-8,,
8:25.0,,,8-8,,Defensive rebound by D. Cousins
8:17.0,,,8-8,,K. Koufos misses 2-pt shot from 6 ft
8:16.0,Defensive rebound by A. Johnson,,8-8,,
8:09.0,I. Thomas makes 3-pt shot from 25 ft,3,11-8,,
7:54.0,,,11-8,,R. Gay misses 2-pt shot from 13 ft
7:54.0,Defensive rebound by I. Thomas,,11-8,,
7:37.0,A. Bradley makes 3-pt shot from 26 ft (assist by I. Thomas),3,14-8,,
7:35.0,,,14-8,,Sacramento full timeout
7:35.0,T. Zeller enters the game for J. Sullinger,,14-8,,
7:27.0,,,14-8,,Turnover by K. Koufos (lost ball; steal by A. Bradley)
7:24.0,Shooting foul by B. McLemore (drawn by A. Johnson),,14-8,,
7:24.0,A. Johnson makes free throw 1 of 2,1,15-8,,
7:24.0,A. Johnson makes free throw 2 of 2,1,16-8,,
7:06.0,,,16-8,,R. Rondo misses 2-pt shot from 4 ft
7:01.0,,,16-8,,Offensive rebound by K. Koufos
7:01.0,,,16-10,2,K. Koufos makes 2-pt shot from 1 ft
6:45.0,A. Bradley misses 3-pt shot from 27 ft,,16-10,,
6:45.0,,,16-10,,Defensive rebound by R. Gay
6:38.0,,,16-10,,D. Cousins misses 2-pt shot from 17 ft
6:37.0,Defensive rebound by I. Thomas,,16-10,,
6:31.0,I. Thomas misses 2-pt shot from 13 ft,,16-10,,
6:30.0,,,16-10,,Defensive rebound by K. Koufos
6:12.0,,,16-10,,D. Cousins misses 2-pt shot from 3 ft (block by A. Johnson)
6:10.0,Defensive rebound by I. Thomas,,16-10,,
6:06.0,A. Bradley misses 2-pt shot from 17 ft,,16-10,,
