time,Dallas,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. S. Mejri (P. Beverley gains possession),,,,Jump ball: C. Capela vs. S. Mejri (P. Beverley gains possession)
11:44.0,,,0-2,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
11:35.0,,,0-2,,Personal foul by T. Ariza (drawn by D. Nowitzki)
11:22.0,S. Mejri makes 2-pt shot from 1 ft (assist by D. Williams),2,2-2,,
11:09.0,,,2-4,2,P. Beverley makes 2-pt shot from 6 ft (assist by C. Brewer)
10:52.0,Turnover by C. Parsons (lost ball; steal by C. Brewer),,2-4,,
10:44.0,,,2-4,,P. Beverley misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by Team,,2-4,,
10:27.0,W. Matthews misses 3-pt shot from 24 ft,,2-4,,
10:26.0,,,2-4,,Defensive rebound by C. Capela
10:18.0,,,2-7,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
9:59.0,S. Mejri makes 2-pt shot at rim (assist by C. Parsons),2,4-7,,
9:47.0,Violation by S. Mejri (kicked ball),,4-7,,
9:42.0,,,4-9,2,C. Brewer makes 2-pt shot from 16 ft (assist by P. Beverley)
9:24.0,D. Nowitzki misses 2-pt shot from 8 ft,,4-9,,
9:23.0,,,4-9,,Defensive rebound by C. Capela
9:16.0,,,4-9,,J. Harden misses 3-pt shot from 23 ft
9:15.0,,,4-9,,Offensive rebound by P. Beverley
9:12.0,,,4-9,,C. Brewer misses 3-pt shot from 23 ft
9:11.0,,,4-9,,Offensive rebound by J. Harden
9:06.0,,,4-12,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
9:04.0,Dallas full timeout,,4-12,,
8:47.0,,,4-12,,Personal foul by C. Capela (drawn by S. Mejri)
8:41.0,D. Williams misses 3-pt shot from 24 ft,,4-12,,
8:40.0,,,4-12,,Defensive rebound by J. Harden
8:34.0,,,4-12,,C. Brewer misses 2-pt shot from 6 ft
8:33.0,,,4-12,,Offensive rebound by C. Capela
8:27.0,,,4-12,,J. Harden misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by S. Mejri,,4-12,,
8:09.0,C. Parsons makes 3-pt shot from 26 ft (assist by D. Williams),3,7-12,,
7:52.0,,,7-15,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
7:23.0,Turnover by Team (shot clock),,7-15,,
7:05.0,,,7-15,,C. Brewer misses 2-pt shot from 10 ft
7:05.0,Defensive rebound by C. Parsons,,7-15,,
6:48.0,D. Nowitzki makes 3-pt shot from 23 ft (assist by W. Matthews),3,10-15,,
6:33.0,,,10-17,2,T. Ariza makes 2-pt shot from 22 ft (assist by C. Capela)
6:25.0,Turnover by D. Nowitzki (lost ball; steal by T. Ariza),,10-17,,
6:21.0,,,10-19,2,T. Ariza makes 2-pt shot at rim
6:21.0,Dallas full timeout,,10-19,,
6:21.0,,,10-19,,T. Jones enters the game for C. Brewer
6:21.0,R. Felton enters the game for D. Nowitzki,,10-19,,
5:56.0,S. Mejri makes 2-pt shot at rim (assist by R. Felton),2,12-19,,
5:35.0,,,12-19,,C. Capela misses 2-pt shot from 3 ft (block by S. Mejri)
