time,New Orleans,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. A. Davis (T. Parker gains possession),,,,Jump ball: L. Aldridge vs. A. Davis (T. Parker gains possession)
11:44.0,,,0-0,,D. West misses 2-pt shot from 1 ft (block by A. Davis)
11:43.0,Defensive rebound by A. Davis,,0-0,,
11:34.0,N. Cole makes 2-pt shot from 20 ft,2,2-0,,
11:19.0,,,2-0,,L. Aldridge misses 2-pt shot from 19 ft
11:18.0,Defensive rebound by O. Asik,,2-0,,
11:11.0,N. Cole misses 2-pt shot from 2 ft,,2-0,,
11:09.0,,,2-0,,Defensive rebound by D. Green
10:56.0,,,2-0,,D. Green misses 2-pt shot at rim
10:55.0,Defensive rebound by O. Asik,,2-0,,
10:46.0,Turnover by B. Dejean-Jones (traveling),,2-0,,
10:28.0,,,2-2,2,T. Parker makes 2-pt shot from 20 ft
10:02.0,Turnover by Team (shot clock),,2-2,,
9:45.0,,,2-4,2,L. Aldridge makes 2-pt shot from 8 ft
9:32.0,A. Davis makes 2-pt shot from 15 ft,2,4-4,,
9:20.0,,,4-6,2,D. West makes 2-pt shot from 16 ft (assist by T. Parker)
9:06.0,Shooting foul by L. Aldridge (drawn by A. Davis),,4-6,,
9:06.0,A. Davis makes free throw 1 of 2,1,5-6,,
9:06.0,A. Davis makes free throw 2 of 2,1,6-6,,
8:53.0,,,6-8,2,K. Leonard makes 2-pt shot at rim (assist by D. West)
8:39.0,N. Cole makes 2-pt shot from 21 ft (assist by A. Davis),2,8-8,,
8:27.0,,,8-8,,Turnover by K. Leonard (bad pass; steal by A. Gee)
8:21.0,A. Davis makes 2-pt shot at rim (assist by N. Cole),2,10-8,,
8:08.0,,,10-8,,Shooting foul by O. Asik (drawn by L. Aldridge)
8:08.0,,,10-9,1,L. Aldridge makes free throw 1 of 2
8:08.0,,,10-10,1,L. Aldridge makes free throw 2 of 2
7:59.0,B. Dejean-Jones makes 3-pt shot from 24 ft,3,13-10,,
7:43.0,,,13-10,,D. West misses 2-pt shot from 15 ft
7:41.0,Defensive rebound by B. Dejean-Jones,,13-10,,
7:27.0,A. Davis misses 2-pt shot from 17 ft,,13-10,,
7:25.0,,,13-10,,Defensive rebound by D. West
7:22.0,,,13-10,,Turnover by T. Parker (bad pass; steal by B. Dejean-Jones)
7:17.0,Turnover by B. Dejean-Jones (traveling),,13-10,,
7:05.0,Personal block foul by A. Gee (drawn by T. Parker),,13-10,,
6:53.0,,,13-10,,L. Aldridge misses 2-pt shot from 9 ft
6:52.0,Defensive rebound by N. Cole,,13-10,,
6:47.0,N. Cole misses 2-pt shot from 1 ft (block by K. Leonard),,13-10,,
6:47.0,Offensive rebound by Team,,13-10,,
6:33.0,A. Davis makes 2-pt shot from 10 ft (assist by N. Cole),2,15-10,,
6:23.0,Personal foul by N. Cole (drawn by T. Parker),,15-10,,
6:18.0,,,15-10,,T. Parker misses 2-pt shot from 17 ft
6:18.0,Defensive rebound by O. Asik,,15-10,,
6:06.0,N. Cole misses 2-pt shot from 17 ft,,15-10,,
6:03.0,,,15-10,,Defensive rebound by L. Aldridge
6:00.0,Violation by O. Asik (kicked ball),,15-10,,
6:00.0,,,15-10,,M. Ginobili enters the game for D. Green
5:48.0,,,15-10,,K. Leonard misses 2-pt shot from 15 ft
5:47.0,Defensive rebound by A. Davis,,15-10,,
5:40.0,N. Cole misses 2-pt shot from 8 ft (block by L. Aldridge),,15-10,,
5:40.0,Offensive rebound by Team,,15-10,,
5:40.0,,,15-10,,San Antonio full timeout
5:40.0,J. Holiday enters the game for B. Dejean-Jones,,15-10,,
5:36.0,A. Davis makes 2-pt shot from 10 ft (assist by J. Holiday),2,17-10,,
5:17.0,,,17-12,2,L. Aldridge makes 2-pt shot from 1 ft
5:01.0,O. Asik misses 2-pt shot at rim (block by L. Aldridge),,17-12,,
5:00.0,Offensive rebound by O. Asik,,17-12,,
4:58.0,O. Asik makes 2-pt shot at rim,2,19-12,,
4:48.0,,,19-14,2,D. West makes 2-pt shot from 16 ft (assist by L. Aldridge)
4:30.0,A. Davis makes 2-pt shot from 18 ft (assist by N. Cole),2,21-14,,
4:06.0,,,21-14,,M. Ginobili misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by O. Asik,,21-14,,
4:01.0,N. Cole misses 2-pt shot from 17 ft,,21-14,,
3:59.0,,,21-14,,Defensive rebound by K. Leonard
3:49.0,,,21-16,2,K. Leonard makes 2-pt shot from 1 ft
3:41.0,J. Holiday misses 3-pt shot from 24 ft,,21-16,,
3:38.0,,,21-16,,Defensive rebound by D. West
3:30.0,,,21-16,,Shooting foul by J. Holiday (drawn by K. Leonard)
3:30.0,,,21-17,1,K. Leonard makes free throw 1 of 2
3:30.0,,,21-17,,P. Mills enters the game for T. Parker
3:30.0,,,21-17,,B. Diaw enters the game for D. West
3:30.0,,,21-17,,K. Leonard misses free throw 2 of 2
3:28.0,Defensive rebound by A. Davis,,21-17,,
3:24.0,New Orleans full timeout,,21-17,,
3:24.0,R. Anderson enters the game for O. Asik,,21-17,,
3:24.0,,,21-17,,D. Green enters the game for K. Leonard
3:05.0,J. Holiday makes 2-pt shot from 4 ft (assist by A. Davis),2,23-17,,
2:46.0,,,23-20,3,M. Ginobili makes 3-pt shot from 23 ft (assist by B. Diaw)
2:30.0,A. Gee misses 3-pt shot from 23 ft,,23-20,,
2:29.0,,,23-20,,Defensive rebound by M. Ginobili
2:16.0,,,23-20,,Turnover by L. Aldridge (lost ball; steal by A. Davis)
2:15.0,,,23-20,,Personal foul by L. Aldridge (drawn by A. Davis)
2:15.0,,,23-20,,D. West enters the game for L. Aldridge
2:15.0,T. Douglas enters the game for A. Gee,,23-20,,
2:04.0,J. Holiday misses 2-pt shot at rim,,23-20,,
2:04.0,,,23-20,,Defensive rebound by D. West
1:47.0,,,23-22,2,D. Green makes 2-pt shot from 18 ft (assist by D. West)
1:31.0,T. Douglas misses 3-pt shot from 22 ft,,23-22,,
1:30.0,,,23-22,,Defensive rebound by B. Diaw
1:21.0,,,23-22,,P. Mills misses 2-pt shot from 19 ft
1:20.0,Defensive rebound by R. Anderson,,23-22,,
1:11.0,J. Holiday makes 2-pt shot from 16 ft,2,25-22,,
0:59.0,,,25-22,,Turnover by M. Ginobili (bad pass; steal by T. Douglas)
0:54.0,T. Douglas misses 2-pt shot from 1 ft,,25-22,,
0:52.0,,,25-22,,Defensive rebound by P. Mills
0:49.0,,,25-25,3,D. Green makes 3-pt shot from 25 ft (assist by P. Mills)
0:37.0,A. Davis misses 2-pt shot from 1 ft,,25-25,,
0:36.0,,,25-25,,Defensive rebound by D. West
0:32.0,,,25-28,3,D. Green makes 3-pt shot from 26 ft (assist by B. Diaw)
0:19.0,N. Cole makes 2-pt shot from 17 ft,2,27-28,,
0:02.0,,,27-28,,P. Mills misses 2-pt shot from 18 ft
0:01.0,,,27-28,,Offensive rebound by D. West
0:00.0,,,27-30,2,D. West makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Holiday makes 2-pt shot from 15 ft,2,29-30,,
11:33.0,,,29-32,2,P. Mills makes 2-pt shot from 1 ft
11:18.0,R. Anderson misses 2-pt shot from 13 ft,,29-32,,
11:16.0,,,29-32,,Defensive rebound by M. Ginobili
11:07.0,Personal foul by T. Douglas (drawn by D. West),,29-32,,
