time,LA Lakers,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Hibbert (T. Gibson gains possession),,,,Jump ball: P. Gasol vs. R. Hibbert (T. Gibson gains possession)
11:44.0,,,0-0,,P. Gasol misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by J. Clarkson,,0-0,,
11:27.0,K. Bryant misses 2-pt shot from 21 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by P. Gasol
11:22.0,,,0-2,2,D. Rose makes 2-pt shot from 1 ft
11:10.0,D. Russell misses 2-pt shot from 15 ft,,0-2,,
11:09.0,,,0-2,,Defensive rebound by T. Gibson
11:01.0,,,0-2,,Turnover by T. Gibson (lost ball; steal by D. Russell)
10:58.0,J. Clarkson makes 2-pt shot from 1 ft (assist by D. Russell),2,2-2,,
10:41.0,,,2-2,,Shooting foul by R. Hibbert (drawn by P. Gasol)
10:41.0,,,2-3,1,P. Gasol makes free throw 1 of 2
10:41.0,,,2-4,1,P. Gasol makes free throw 2 of 2
10:19.0,J. Clarkson misses 2-pt shot from 13 ft,,2-4,,
10:18.0,Offensive rebound by J. Clarkson,,2-4,,
10:09.0,J. Randle makes 2-pt shot from 11 ft,2,4-4,,
10:01.0,,,4-4,,E. Moore misses 2-pt shot from 5 ft
9:59.0,Defensive rebound by R. Hibbert,,4-4,,
9:52.0,J. Randle misses 2-pt shot from 12 ft,,4-4,,
9:52.0,Offensive rebound by Team,,4-4,,
9:44.0,K. Bryant makes 3-pt shot from 24 ft (assist by D. Russell),3,7-4,,
9:34.0,,,7-4,,Shooting foul by K. Bryant (drawn by M. Dunleavy)
9:34.0,,,7-5,1,M. Dunleavy makes free throw 1 of 3
9:34.0,,,7-6,1,M. Dunleavy makes free throw 2 of 3
9:34.0,,,7-7,1,M. Dunleavy makes free throw 3 of 3
9:20.0,R. Hibbert makes 2-pt shot from 19 ft (assist by J. Clarkson),2,9-7,,
8:58.0,,,9-7,,T. Gibson misses 2-pt shot at rim
8:57.0,,,9-7,,Offensive rebound by T. Gibson
8:57.0,,,9-7,,T. Gibson misses 2-pt shot at rim
8:55.0,Defensive rebound by J. Randle,,9-7,,
8:49.0,K. Bryant misses 3-pt shot from 24 ft,,9-7,,
8:48.0,,,9-7,,Defensive rebound by P. Gasol
8:41.0,,,9-9,2,P. Gasol makes 2-pt shot from 20 ft (assist by D. Rose)
8:29.0,K. Bryant makes 2-pt shot from 2 ft (assist by D. Russell),2,11-9,,
8:23.0,,,11-9,,Shooting foul by D. Russell (drawn by D. Rose)
8:23.0,,,11-10,1,D. Rose makes free throw 1 of 2
8:23.0,,,11-11,1,D. Rose makes free throw 2 of 2
8:02.0,,,11-11,,Personal foul by T. Gibson (drawn by K. Bryant)
7:54.0,J. Clarkson misses 2-pt shot from 1 ft,,11-11,,
7:53.0,,,11-11,,Defensive rebound by D. Rose
7:46.0,,,11-11,,P. Gasol misses 2-pt shot from 5 ft (block by R. Hibbert)
7:45.0,Defensive rebound by J. Clarkson,,11-11,,
7:38.0,J. Randle misses 2-pt shot from 1 ft,,11-11,,
7:38.0,Offensive rebound by K. Bryant,,11-11,,
7:38.0,,,11-11,,Personal foul by M. Dunleavy (drawn by K. Bryant)
7:26.0,K. Bryant misses 2-pt shot from 20 ft,,11-11,,
7:25.0,,,11-11,,Defensive rebound by P. Gasol
7:17.0,,,11-13,2,T. Gibson makes 2-pt shot from 1 ft (assist by M. Dunleavy)
7:07.0,D. Russell makes 2-pt shot from 12 ft,2,13-13,,
6:52.0,,,13-13,,P. Gasol misses 2-pt shot from 15 ft
6:50.0,Defensive rebound by K. Bryant,,13-13,,
6:32.0,J. Randle makes 2-pt shot from 2 ft,2,15-13,,
6:26.0,,,15-15,2,D. Rose makes 2-pt shot from 1 ft
6:13.0,K. Bryant misses 3-pt shot from 25 ft,,15-15,,
6:12.0,,,15-15,,Defensive rebound by T. Gibson
6:06.0,,,15-15,,D. Rose misses 2-pt shot from 19 ft
6:04.0,,,15-15,,Offensive rebound by D. Rose
6:02.0,,,15-15,,Chicago full timeout
6:02.0,L. Williams enters the game for J. Clarkson,,15-15,,
6:02.0,,,15-15,,A. Brooks enters the game for D. Rose
5:48.0,,,15-17,2,P. Gasol makes 2-pt shot from 5 ft
5:29.0,J. Randle makes 2-pt shot from 1 ft,2,17-17,,
5:24.0,Personal foul by J. Randle (drawn by T. Gibson),,17-17,,
5:24.0,,,17-17,,T. Snell enters the game for M. Dunleavy
5:19.0,,,17-19,2,E. Moore makes 2-pt shot at rim (assist by P. Gasol)
4:57.0,K. Bryant misses 2-pt shot from 19 ft,,17-19,,
4:56.0,,,17-19,,Defensive rebound by T. Gibson
4:47.0,,,17-21,2,T. Gibson makes 2-pt shot at rim (assist by A. Brooks)
4:35.0,R. Hibbert makes 2-pt shot from 5 ft,2,19-21,,
4:24.0,,,19-21,,Turnover by T. Gibson (bad pass)
