time,Sacramento,pts.away,score,pts.home,Golden State
4:13.0,,,15-23,,S. Curry misses 3-pt shot from 26 ft
4:12.0,,,15-23,,Offensive rebound by D. Green
4:08.0,,,15-23,,Turnover by D. Green (bad pass; steal by D. Cousins)
4:01.0,O. Casspi makes 3-pt shot from 26 ft (assist by D. Collison),3,18-23,,
3:42.0,,,18-23,,K. Thompson misses 2-pt shot from 20 ft
3:41.0,Defensive rebound by R. Gay,,18-23,,
3:34.0,M. Belinelli misses 3-pt shot from 23 ft,,18-23,,
3:34.0,,,18-23,,Defensive rebound by F. Ezeli
3:24.0,,,18-23,,Golden State full timeout
3:24.0,J. Anderson enters the game for O. Casspi,,18-23,,
3:19.0,,,18-23,,Turnover by A. Iguodala (bad pass; steal by D. Cousins)
3:11.0,D. Cousins misses 2-pt shot from 3 ft,,18-23,,
3:10.0,Offensive rebound by D. Cousins,,18-23,,
3:09.0,D. Cousins makes 2-pt shot from 2 ft,2,20-23,,
2:55.0,,,20-23,,F. Ezeli misses 2-pt shot from 1 ft
2:54.0,Defensive rebound by D. Cousins,,20-23,,
2:49.0,R. Gay makes 3-pt shot from 25 ft (assist by D. Collison),3,23-23,,
2:38.0,Shooting block foul by D. Cousins (drawn by D. Green),,23-23,,
2:38.0,,,23-24,1,D. Green makes free throw 1 of 2
2:38.0,Q. Acy enters the game for D. Cousins,,23-24,,
2:38.0,,,23-24,,S. Livingston enters the game for K. Thompson
2:38.0,,,23-25,1,D. Green makes free throw 2 of 2
2:22.0,R. Gay misses 2-pt shot from 16 ft,,23-25,,
2:21.0,,,23-25,,Defensive rebound by S. Curry
2:16.0,,,23-25,,D. Green misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by Q. Acy,,23-25,,
2:04.0,D. Collison makes 2-pt shot from 11 ft,2,25-25,,
1:52.0,,,25-25,,D. Green misses 3-pt shot from 26 ft
1:52.0,Defensive rebound by D. Collison,,25-25,,
1:47.0,R. Gay makes 2-pt shot from 1 ft (assist by D. Collison),2,27-25,,
1:35.0,,,27-27,2,S. Livingston makes 2-pt shot from 7 ft (assist by D. Green)
1:14.0,D. Collison misses 3-pt shot from 25 ft,,27-27,,
1:11.0,,,27-27,,Defensive rebound by F. Ezeli
0:58.0,,,27-27,,S. Livingston misses 2-pt shot from 17 ft
0:57.0,Defensive rebound by R. Gay,,27-27,,
0:51.0,,,27-27,,Shooting block foul by S. Curry (drawn by D. Collison)
0:51.0,D. Collison makes free throw 1 of 2,1,28-27,,
0:51.0,,,28-27,,I. Clark enters the game for S. Curry
0:51.0,D. Collison makes free throw 2 of 2,1,29-27,,
0:35.0,,,29-27,,S. Livingston misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by J. Anderson,,29-27,,
0:26.0,D. Collison misses 2-pt shot from 21 ft,,29-27,,
0:25.0,,,29-27,,Defensive rebound by I. Clark
0:06.0,,,29-27,,Turnover by F. Ezeli (lost ball; steal by D. Collison)
0:02.0,D. Collison misses 2-pt shot from 17 ft,,29-27,,
0:00.0,Offensive rebound by Team,,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,J. Anderson misses 2-pt shot from 3 ft (block by I. Clark),,29-27,,
11:38.0,Offensive rebound by Q. Acy,,29-27,,
11:35.0,O. Casspi makes 3-pt shot from 26 ft,3,32-27,,
11:18.0,,,32-27,,A. Iguodala misses 3-pt shot from 26 ft
11:17.0,Defensive rebound by Q. Acy,,32-27,,
11:10.0,D. Collison makes 2-pt shot from 2 ft,2,34-27,,
10:45.0,,,34-27,,B. Rush misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by Q. Acy,,34-27,,
10:41.0,Turnover by J. Anderson (bad pass),,34-27,,
10:32.0,,,34-27,,I. Clark misses 3-pt shot from 28 ft
10:31.0,Defensive rebound by D. Collison,,34-27,,
10:27.0,Turnover by D. Collison (lost ball; steal by I. Clark),,34-27,,
10:23.0,,,34-27,,Shooting foul by Q. Acy (drawn by J. McAdoo)
10:23.0,,,34-28,1,J. McAdoo makes free throw 1 of 2
10:23.0,,,34-28,,J. McAdoo misses free throw 2 of 2
10:21.0,Defensive rebound by M. Belinelli,,34-28,,
9:58.0,D. Collison misses 2-pt shot from 19 ft,,34-28,,
9:57.0,,,34-28,,Defensive rebound by I. Clark
9:37.0,,,34-28,,S. Livingston misses 2-pt shot from 14 ft
9:36.0,Defensive rebound by D. Collison,,34-28,,
9:23.0,,,34-28,,Violation by A. Iguodala (kicked ball)
9:13.0,Shooting foul by B. Rush (drawn by O. Casspi),,34-28,,
9:13.0,O. Casspi misses free throw 1 of 2,,34-28,,
9:13.0,Offensive rebound by Team,,34-28,,
9:13.0,,,34-28,,K. Thompson enters the game for B. Rush
9:13.0,O. Casspi makes free throw 2 of 2,1,35-28,,
8:57.0,,,35-28,,K. Thompson misses 2-pt shot from 18 ft
8:56.0,Defensive rebound by Q. Acy,,35-28,,
8:45.0,M. Belinelli misses 2-pt shot from 2 ft (block by J. McAdoo),,35-28,,
8:43.0,,,35-28,,Defensive rebound by A. Iguodala
8:28.0,Personal foul by O. Casspi (drawn by J. McAdoo),,35-28,,
8:28.0,Official timeout,,35-28,,
8:22.0,,,35-30,2,J. McAdoo makes 2-pt shot from 1 ft (assist by A. Iguodala)
8:07.0,Shooting foul by I. Clark (drawn by M. Belinelli),,35-30,,
8:07.0,M. Belinelli misses free throw 1 of 2,,35-30,,
8:07.0,Offensive rebound by Team,,35-30,,
8:07.0,M. Belinelli makes free throw 2 of 2,1,36-30,,
7:52.0,,,36-30,,K. Thompson misses 2-pt shot from 18 ft
7:52.0,Defensive rebound by Q. Acy,,36-30,,
7:33.0,M. Belinelli makes 2-pt shot from 7 ft,2,38-30,,
7:24.0,,,38-30,,I. Clark misses 3-pt shot from 23 ft
7:23.0,Defensive rebound by J. Anderson,,38-30,,
7:14.0,O. Casspi makes 3-pt shot from 24 ft (assist by D. Collison),3,41-30,,
7:13.0,,,41-30,,Golden State full timeout
7:13.0,,,41-30,,S. Curry enters the game for A. Iguodala
7:13.0,,,41-30,,D. Green enters the game for J. McAdoo
7:02.0,,,41-30,,K. Thompson misses 2-pt shot from 2 ft (block by Q. Acy)
7:00.0,Defensive rebound by O. Casspi,,41-30,,
6:59.0,Turnover by O. Casspi (bad pass; steal by D. Green),,41-30,,
6:57.0,Violation by Q. Acy (def goaltending),,41-30,,
6:57.0,,,41-32,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
6:40.0,Q. Acy makes 2-pt shot from 2 ft (assist by O. Casspi),2,43-32,,
6:25.0,,,43-32,,Shooting foul by Q. Acy (drawn by D. Green)
6:25.0,,,43-33,1,D. Green makes free throw 1 of 2
6:25.0,,,43-34,1,D. Green makes free throw 2 of 2
6:10.0,Turnover by M. Belinelli (bad pass; steal by S. Livingston),,43-34,,
6:05.0,,,43-36,2,I. Clark makes 2-pt shot at rim (assist by K. Thompson)
5:54.0,D. Collison misses 2-pt shot from 2 ft,,43-36,,
5:54.0,,,43-36,,Defensive rebound by D. Green
5:50.0,R. Gay enters the game for Q. Acy,,43-36,,
5:45.0,,,43-39,3,D. Green makes 3-pt shot from 24 ft (assist by S. Curry)
5:41.0,,,43-39,,Personal foul by S. Curry (drawn by M. Belinelli)
5:41.0,,,43-39,,A. Iguodala enters the game for I. Clark
5:33.0,Turnover by M. Belinelli (bad pass; steal by S. Curry),,43-39,,
5:27.0,,,43-39,,S. Curry misses 3-pt shot from 24 ft
5:26.0,Defensive rebound by R. Gay,,43-39,,
5:17.0,Turnover by O. Casspi (offensive foul),,43-39,,
5:17.0,Offensive foul by O. Casspi,,43-39,,
5:17.0,Sacramento full timeout,,43-39,,
5:10.0,S. Curry enters the game for M. Belinelli,,43-39,,
5:01.0,,,43-41,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
4:49.0,R. Gay misses 2-pt shot from 9 ft,,43-41,,
4:49.0,,,43-41,,Defensive rebound by S. Curry
4:43.0,,,43-41,,S. Curry misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by D. Collison,,43-41,,
4:25.0,D. Collison misses 2-pt shot from 9 ft,,43-41,,
4:24.0,,,43-41,,Defensive rebound by S. Curry
4:19.0,,,43-41,,Turnover by D. Green (bad pass; steal by J. Anderson)
4:13.0,O. Casspi makes 2-pt shot at rim (assist by J. Anderson),2,45-41,,
4:02.0,,,45-41,,Turnover by K. Thompson (bad pass; steal by D. Collison)
3:49.0,R. Gay makes 2-pt shot from 18 ft (assist by S. Curry),2,47-41,,
3:42.0,Personal foul by J. Anderson (drawn by A. Iguodala),,47-41,,
3:42.0,,,47-41,,I. Clark enters the game for S. Livingston
3:38.0,Personal foul by J. Anderson (drawn by D. Green),,47-41,,
3:38.0,,,47-41,,D. Green misses free throw 1 of 2
3:38.0,,,47-41,,Offensive rebound by Team
3:38.0,B. McLemore enters the game for J. Anderson,,47-41,,
3:38.0,,,47-41,,D. Green misses free throw 2 of 2
3:36.0,,,47-41,,Offensive rebound by K. Thompson
3:29.0,,,47-41,,Offensive foul by D. Green
3:29.0,,,47-41,,Turnover by D. Green (offensive foul)
3:23.0,R. Gay misses 2-pt shot from 4 ft,,47-41,,
3:23.0,,,47-41,,Defensive rebound by S. Curry
3:16.0,,,47-44,3,S. Curry makes 3-pt shot from 25 ft
3:01.0,O. Casspi makes 3-pt shot from 28 ft (assist by D. Collison),3,50-44,,
2:47.0,,,50-44,,D. Green misses 2-pt shot from 2 ft
2:47.0,Defensive rebound by Team,,50-44,,
2:39.0,O. Casspi makes 3-pt shot from 24 ft (assist by D. Collison),3,53-44,,
2:19.0,,,53-44,,K. Thompson misses 3-pt shot from 23 ft
2:19.0,,,53-44,,Offensive rebound by A. Iguodala
2:13.0,,,53-47,3,S. Curry makes 3-pt shot from 22 ft (assist by A. Iguodala)
2:00.0,R. Gay misses 3-pt shot from 25 ft,,53-47,,
2:00.0,,,53-47,,Defensive rebound by K. Thompson
1:48.0,,,53-47,,Turnover by D. Green (bad pass)
1:37.0,Turnover by O. Casspi (lost ball; steal by A. Iguodala),,53-47,,
1:29.0,,,53-47,,K. Thompson misses 2-pt shot from 2 ft
1:28.0,Defensive rebound by O. Casspi,,53-47,,
1:20.0,D. Collison misses 2-pt shot from 7 ft,,53-47,,
1:18.0,Offensive rebound by R. Gay,,53-47,,
1:18.0,R. Gay misses 2-pt shot at rim,,53-47,,
1:15.0,,,53-47,,Defensive rebound by A. Iguodala
1:08.0,,,53-50,3,S. Curry makes 3-pt shot from 26 ft
0:59.0,O. Casspi makes 3-pt shot from 28 ft,3,56-50,,
0:52.0,,,56-53,3,S. Curry makes 3-pt shot from 27 ft
0:46.0,,,56-53,,Personal foul by K. Thompson (drawn by B. McLemore)
0:46.0,Q. Acy enters the game for R. Gay,,56-53,,
0:46.0,,,56-53,,S. Livingston enters the game for I. Clark
0:43.0,O. Casspi makes 3-pt shot from 26 ft (assist by D. Collison),3,59-53,,
0:34.0,,,59-55,2,S. Curry makes 2-pt shot from 2 ft
