time,New Orleans,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,O. Johnson misses 2-pt shot from 18 ft,,0-0,,
12:00.0,Jump ball: O. Asik vs. C. Zeller (J. Holiday gains possession),,,,Jump ball: O. Asik vs. C. Zeller (J. Holiday gains possession)
11:41.0,,,0-0,,Defensive rebound by N. Batum
11:24.0,,,0-2,2,C. Zeller makes 2-pt shot from 5 ft (assist by C. Lee)
11:24.0,,,0-2,,Shooting foul by O. Asik (drawn by C. Zeller)
11:24.0,,,0-3,1,C. Zeller makes free throw 1 of 1
11:14.0,Turnover by O. Johnson (lost ball; steal by M. Williams),,0-3,,
11:11.0,,,0-3,,Turnover by M. Williams (lost ball; steal by O. Asik)
11:06.0,J. Holiday makes 3-pt shot from 25 ft (assist by O. Asik),3,3-3,,
10:51.0,,,3-6,3,K. Walker makes 3-pt shot from 25 ft (assist by M. Williams)
10:39.0,A. Davis makes 2-pt shot from 16 ft,2,5-6,,
10:15.0,,,5-9,3,N. Batum makes 3-pt shot from 23 ft (assist by K. Walker)
10:00.0,D. Cunningham makes 2-pt shot from 20 ft (assist by O. Asik),2,7-9,,
9:43.0,Def 3 sec tech foul by O. Asik,,7-9,,
9:43.0,,,7-10,1,N. Batum makes technical free throw
9:36.0,,,7-10,,C. Lee misses 2-pt shot from 19 ft
9:35.0,Defensive rebound by O. Asik,,7-10,,
9:25.0,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday),2,9-10,,
9:13.0,,,9-10,,M. Williams misses 3-pt shot from 24 ft
9:12.0,Defensive rebound by Team,,9-10,,
9:01.0,J. Holiday misses 3-pt shot from 25 ft,,9-10,,
9:00.0,,,9-10,,Defensive rebound by C. Lee
8:53.0,,,9-10,,C. Lee misses 2-pt shot from 13 ft
8:51.0,Defensive rebound by A. Davis,,9-10,,
8:42.0,Turnover by O. Johnson (lost ball; steal by K. Walker),,9-10,,
8:36.0,,,9-12,2,N. Batum makes 2-pt shot at rim (assist by K. Walker)
8:14.0,J. Holiday makes 2-pt shot from 1 ft,2,11-12,,
7:58.0,,,11-15,3,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum)
7:45.0,O. Johnson misses 3-pt shot from 25 ft,,11-15,,
7:44.0,,,11-15,,Defensive rebound by M. Williams
7:32.0,,,11-15,,N. Batum misses 2-pt shot from 18 ft
7:31.0,Defensive rebound by O. Johnson,,11-15,,
7:19.0,A. Davis misses 2-pt shot from 10 ft,,11-15,,
7:18.0,,,11-15,,Defensive rebound by C. Zeller
7:13.0,,,11-18,3,C. Lee makes 3-pt shot from 24 ft (assist by N. Batum)
6:52.0,A. Davis makes 2-pt shot from 15 ft (assist by D. Cunningham),2,13-18,,
6:38.0,,,13-20,2,K. Walker makes 2-pt shot from 1 ft
6:25.0,A. Davis misses 3-pt shot from 25 ft,,13-20,,
6:24.0,,,13-20,,Defensive rebound by M. Williams
6:16.0,,,13-23,3,M. Williams makes 3-pt shot from 22 ft (assist by K. Walker)
6:11.0,New Orleans full timeout,,13-23,,
6:11.0,,,13-23,,A. Jefferson enters the game for C. Zeller
6:11.0,R. Anderson enters the game for O. Asik,,13-23,,
6:11.0,T. Douglas enters the game for O. Johnson,,13-23,,
5:59.0,J. Holiday makes 2-pt shot from 1 ft,2,15-23,,
5:37.0,,,15-23,,K. Walker misses 2-pt shot from 18 ft
5:36.0,Defensive rebound by A. Davis,,15-23,,
5:21.0,R. Anderson misses 3-pt shot from 25 ft,,15-23,,
5:20.0,,,15-23,,Defensive rebound by N. Batum
5:11.0,,,15-25,2,N. Batum makes 2-pt shot from 10 ft
5:11.0,,,15-25,,Violation by Team (delay of game)
5:03.0,Shooting foul by A. Jefferson (drawn by A. Davis),,15-25,,
5:03.0,A. Davis makes free throw 1 of 2,1,16-25,,
5:03.0,,,16-25,,J. Lin enters the game for C. Lee
5:03.0,A. Davis misses free throw 2 of 2,,16-25,,
5:01.0,,,16-25,,Defensive rebound by M. Williams
4:40.0,,,16-25,,J. Lin misses 2-pt shot at rim
4:39.0,Defensive rebound by R. Anderson,,16-25,,
4:35.0,Turnover by D. Cunningham (traveling),,16-25,,
4:20.0,,,16-27,2,K. Walker makes 2-pt shot at rim
4:10.0,J. Holiday makes 2-pt shot at rim (assist by A. Davis),2,18-27,,
3:53.0,Personal foul by J. Holiday,,18-27,,
3:53.0,,,18-27,,J. Lamb enters the game for N. Batum
3:44.0,,,18-27,,K. Walker misses 3-pt shot from 24 ft
3:42.0,Defensive rebound by J. Holiday,,18-27,,
3:37.0,R. Anderson misses 3-pt shot from 27 ft,,18-27,,
