time,Miami,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. H. Whiteside (L. Deng gains possession),,,,Jump ball: J. Valanciunas vs. H. Whiteside (L. Deng gains possession)
11:40.0,L. Deng makes 2-pt shot from 12 ft,2,2-0,,
11:17.0,,,2-0,,N. Powell misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by G. Dragic,,2-0,,
11:06.0,G. Dragic makes 2-pt shot from 12 ft,2,4-0,,
10:47.0,,,4-0,,Turnover by K. Lowry (lost ball; steal by H. Whiteside)
10:42.0,Turnover by D. Wade (lost ball; steal by N. Powell),,4-0,,
10:27.0,,,4-0,,D. DeRozan misses 2-pt shot from 11 ft
10:27.0,,,4-0,,Offensive rebound by D. DeRozan
10:18.0,,,4-0,,D. Carroll misses 2-pt shot from 6 ft (block by H. Whiteside)
10:17.0,,,4-0,,Offensive rebound by D. Carroll
10:10.0,,,4-0,,D. Carroll misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by J. Johnson,,4-0,,
9:57.0,,,4-0,,Personal foul by N. Powell
9:53.0,,,4-0,,Personal foul by K. Lowry
9:40.0,Turnover by D. Wade (traveling),,4-0,,
9:35.0,,,4-2,2,D. DeRozan makes 2-pt shot from 21 ft (assist by K. Lowry)
9:20.0,H. Whiteside makes 2-pt shot at rim,2,6-2,,
9:04.0,,,6-4,2,K. Lowry makes 2-pt shot from 12 ft
8:52.0,G. Dragic makes 3-pt shot from 25 ft,3,9-4,,
8:35.0,,,9-6,2,D. DeRozan makes 2-pt shot from 8 ft
8:23.0,G. Dragic makes 2-pt shot from 11 ft,2,11-6,,
8:12.0,,,11-6,,D. DeRozan misses 2-pt shot from 10 ft
8:12.0,,,11-6,,Offensive rebound by D. DeRozan
8:09.0,,,11-6,,D. DeRozan misses 2-pt shot from 2 ft (block by L. Deng)
8:08.0,Defensive rebound by D. Wade,,11-6,,
7:57.0,Shooting foul by N. Powell (drawn by D. Wade),,11-6,,
7:57.0,D. Wade misses free throw 1 of 2,,11-6,,
7:57.0,Offensive rebound by Team,,11-6,,
7:57.0,,,11-6,,C. Joseph enters the game for N. Powell
7:57.0,D. Wade makes free throw 2 of 2,1,12-6,,
7:43.0,,,12-6,,K. Lowry misses 2-pt shot from 7 ft
7:42.0,,,12-6,,Offensive rebound by C. Joseph
7:27.0,,,12-9,3,D. Carroll makes 3-pt shot from 27 ft (assist by K. Lowry)
7:05.0,J. Johnson misses 3-pt shot from 26 ft,,12-9,,
7:04.0,,,12-9,,Defensive rebound by D. DeRozan
6:55.0,,,12-11,2,D. DeRozan makes 2-pt shot from 19 ft
6:47.0,Offensive foul by G. Dragic,,12-11,,
6:47.0,Turnover by G. Dragic (offensive foul),,12-11,,
6:36.0,,,12-11,,D. DeRozan misses 2-pt shot from 20 ft
6:35.0,Defensive rebound by L. Deng,,12-11,,
6:28.0,Turnover by D. Wade (lost ball; steal by D. Carroll),,12-11,,
6:24.0,,,12-13,2,K. Lowry makes 2-pt shot from 2 ft (assist by D. Carroll)
6:13.0,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic),2,14-13,,
6:13.0,Shooting foul by C. Joseph (drawn by H. Whiteside),,14-13,,
6:13.0,J. Richardson enters the game for G. Dragic,,14-13,,
6:13.0,H. Whiteside makes free throw 1 of 1,1,15-13,,
5:58.0,,,15-15,2,C. Joseph makes 2-pt shot from 21 ft (assist by J. Valanciunas)
5:43.0,Turnover by J. Richardson (lost ball; steal by D. DeRozan),,15-15,,
5:36.0,,,15-17,2,D. Carroll makes 2-pt shot from 8 ft (assist by K. Lowry)
5:36.0,Miami full timeout,,15-17,,
5:36.0,J. Winslow enters the game for J. Johnson,,15-17,,
5:20.0,Turnover by D. Wade (lost ball; steal by D. Carroll),,15-17,,
5:12.0,,,15-17,,D. DeRozan misses 2-pt shot from 2 ft
5:12.0,Defensive rebound by H. Whiteside,,15-17,,
4:51.0,D. Wade misses 2-pt shot from 21 ft,,15-17,,
4:49.0,Offensive rebound by L. Deng,,15-17,,
4:48.0,Turnover by L. Deng (lost ball; steal by K. Lowry),,15-17,,
4:39.0,,,15-20,3,K. Lowry makes 3-pt shot from 25 ft (assist by C. Joseph)
4:20.0,Turnover by J. Richardson (lost ball; steal by D. DeRozan),,15-20,,
4:09.0,,,15-23,3,D. Carroll makes 3-pt shot from 27 ft (assist by C. Joseph)
3:46.0,D. Wade misses 2-pt shot from 5 ft,,15-23,,
3:43.0,Offensive rebound by H. Whiteside,,15-23,,
3:42.0,H. Whiteside makes 2-pt shot at rim,2,17-23,,
3:19.0,,,17-23,,C. Joseph misses 2-pt shot from 6 ft
3:19.0,,,17-23,,Offensive rebound by J. Valanciunas
3:19.0,Personal foul by H. Whiteside,,17-23,,
3:19.0,,,17-23,,T. Ross enters the game for D. Carroll
3:19.0,G. Dragic enters the game for H. Whiteside,,17-23,,
3:19.0,A. Stoudemire enters the game for D. Wade,,17-23,,
3:09.0,,,17-23,,D. DeRozan misses 2-pt shot from 14 ft
3:09.0,,,17-23,,Offensive rebound by Team
3:09.0,Loose ball foul by A. Stoudemire,,17-23,,
3:02.0,,,17-23,,K. Lowry misses 2-pt shot from 4 ft
3:01.0,Defensive rebound by J. Richardson,,17-23,,
2:45.0,A. Stoudemire misses 2-pt shot from 17 ft,,17-23,,
2:45.0,,,17-23,,Defensive rebound by D. DeRozan
2:32.0,,,17-25,2,J. Valanciunas makes 2-pt shot from 6 ft (assist by D. DeRozan)
2:21.0,Turnover by G. Dragic (bad pass),,17-25,,
2:21.0,,,17-25,,Toronto full timeout
2:21.0,,,17-25,,P. Patterson enters the game for J. Valanciunas
2:21.0,,,17-25,,B. Biyombo enters the game for K. Lowry
2:21.0,J. Johnson enters the game for L. Deng,,17-25,,
2:07.0,,,17-25,,P. Patterson misses 3-pt shot from 23 ft
2:06.0,Defensive rebound by J. Winslow,,17-25,,
1:57.0,Turnover by G. Dragic (lost ball; steal by D. DeRozan),,17-25,,
1:37.0,,,17-25,,Turnover by C. Joseph (lost ball; steal by A. Stoudemire)
1:31.0,G. Dragic misses 2-pt shot from 23 ft,,17-25,,
1:30.0,,,17-25,,Defensive rebound by Team
1:11.0,,,17-27,2,T. Ross makes 2-pt shot from 18 ft (assist by C. Joseph)
0:50.0,Turnover by A. Stoudemire (lost ball; steal by T. Ross),,17-27,,
0:33.0,,,17-29,2,C. Joseph makes 2-pt shot from 19 ft
0:17.0,J. Johnson makes 2-pt shot from 18 ft,2,19-29,,
0:03.0,,,19-29,,T. Ross misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by J. Richardson,,19-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,19-31,2,T. Ross makes 2-pt shot from 2 ft
11:18.0,,,19-31,,Personal foul by C. Joseph
11:18.0,H. Whiteside enters the game for A. Stoudemire,,19-31,,
11:18.0,,,19-31,,D. Carroll enters the game for C. Joseph
11:05.0,J. Johnson misses 2-pt shot from 8 ft,,19-31,,
11:05.0,,,19-31,,Defensive rebound by Team
10:50.0,,,19-33,2,T. Ross makes 2-pt shot from 11 ft
10:29.0,J. Winslow makes 2-pt shot from 1 ft (assist by J. Richardson),2,21-33,,
10:16.0,,,21-33,,K. Lowry misses 2-pt shot from 6 ft (block by J. Richardson)
10:15.0,Defensive rebound by J. Winslow,,21-33,,
10:11.0,G. Dragic makes 2-pt shot from 3 ft (assist by J. Winslow),2,23-33,,
9:48.0,,,23-35,2,D. Carroll makes 2-pt shot from 1 ft
9:32.0,J. Johnson makes 2-pt shot from 15 ft,2,25-35,,
9:08.0,,,25-35,,D. Carroll misses 3-pt shot from 25 ft
9:07.0,,,25-35,,Offensive rebound by K. Lowry
8:54.0,,,25-35,,T. Ross misses 2-pt shot from 19 ft
8:53.0,Defensive rebound by J. Johnson,,25-35,,
8:43.0,J. Winslow misses 2-pt shot from 17 ft,,25-35,,
8:42.0,,,25-35,,Defensive rebound by B. Biyombo
8:34.0,,,25-35,,K. Lowry misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by H. Whiteside,,25-35,,
8:25.0,Shooting foul by B. Biyombo (drawn by G. Dragic),,25-35,,
8:25.0,Official timeout,,25-35,,
8:25.0,G. Dragic makes free throw 1 of 2,1,26-35,,
8:25.0,G. Dragic makes free throw 2 of 2,1,27-35,,
8:05.0,,,27-35,,T. Ross misses 2-pt shot from 5 ft
8:05.0,Defensive rebound by H. Whiteside,,27-35,,
8:01.0,Turnover by J. Winslow (lost ball; steal by D. Carroll),,27-35,,
7:47.0,,,27-37,2,T. Ross makes 2-pt shot from 16 ft
7:32.0,J. Richardson misses 2-pt shot from 4 ft,,27-37,,
7:31.0,,,27-37,,Defensive rebound by B. Biyombo
7:31.0,Personal foul by H. Whiteside,,27-37,,
7:31.0,L. Deng enters the game for J. Winslow,,27-37,,
7:14.0,D. Wade enters the game for G. Dragic,,27-37,,
7:10.0,,,27-37,,Shooting foul by J. Richardson (drawn by K. Lowry)
7:10.0,,,27-38,1,K. Lowry makes free throw 1 of 2
7:10.0,,,27-38,,J. Valanciunas enters the game for B. Biyombo
7:10.0,,,27-39,1,K. Lowry makes free throw 2 of 2
6:54.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,29-39,,
6:32.0,,,29-39,,T. Ross misses 2-pt shot from 15 ft (block by H. Whiteside)
6:31.0,Defensive rebound by H. Whiteside,,29-39,,
6:17.0,,,29-39,,Personal foul by P. Patterson
6:17.0,,,29-39,,D. DeRozan enters the game for T. Ross
6:05.0,J. Johnson misses 2-pt shot from 20 ft,,29-39,,
6:05.0,,,29-39,,Defensive rebound by P. Patterson
5:46.0,,,29-39,,Turnover by K. Lowry (lost ball; steal by H. Whiteside)
5:44.0,,,29-39,,Personal foul by D. Carroll
5:44.0,,,29-39,,Toronto full timeout
5:44.0,G. Green enters the game for J. Johnson,,29-39,,
5:32.0,D. Wade makes 2-pt shot from 15 ft,2,31-39,,
5:09.0,,,31-41,2,J. Valanciunas makes 2-pt shot from 4 ft
4:47.0,D. Wade misses 2-pt shot from 5 ft,,31-41,,
4:47.0,,,31-41,,Defensive rebound by D. DeRozan
4:40.0,,,31-41,,P. Patterson misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by J. Richardson,,31-41,,
4:35.0,Miami full timeout,,31-41,,
4:35.0,,,31-41,,T. Ross enters the game for P. Patterson
4:35.0,J. Johnson enters the game for D. Wade,,31-41,,
4:35.0,G. Dragic enters the game for J. Richardson,,31-41,,
4:21.0,G. Dragic misses 2-pt shot from 5 ft,,31-41,,
4:20.0,Offensive rebound by H. Whiteside,,31-41,,
4:20.0,Shooting foul by D. DeRozan (drawn by H. Whiteside),,31-41,,
4:20.0,H. Whiteside misses free throw 1 of 2,,31-41,,
4:20.0,Offensive rebound by Team,,31-41,,
4:20.0,D. Wade enters the game for G. Green,,31-41,,
4:20.0,H. Whiteside makes free throw 2 of 2,1,32-41,,
3:57.0,,,32-41,,J. Valanciunas misses 2-pt shot from 11 ft
3:56.0,Defensive rebound by L. Deng,,32-41,,
3:45.0,L. Deng misses 2-pt shot from 22 ft,,32-41,,
3:45.0,,,32-41,,Defensive rebound by K. Lowry
3:36.0,Personal block foul by G. Dragic,,32-41,,
3:19.0,,,32-41,,K. Lowry misses 3-pt shot from 28 ft
3:19.0,,,32-41,,Offensive rebound by J. Valanciunas
3:04.0,,,32-41,,K. Lowry misses 2-pt shot from 2 ft (block by H. Whiteside)
3:04.0,,,32-41,,Offensive rebound by Team
2:59.0,,,32-41,,D. DeRozan misses 2-pt shot from 20 ft
2:58.0,Defensive rebound by D. Wade,,32-41,,
2:49.0,D. Wade misses 2-pt shot from 8 ft,,32-41,,
2:49.0,,,32-41,,Defensive rebound by J. Valanciunas
2:34.0,,,32-43,2,D. DeRozan makes 2-pt shot from 9 ft (assist by K. Lowry)
2:10.0,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic),3,35-43,,
2:00.0,Violation by H. Whiteside (def goaltending),,35-43,,
2:00.0,,,35-45,2,K. Lowry makes 2-pt shot from 2 ft
1:49.0,D. Wade misses 2-pt shot from 17 ft,,35-45,,
1:49.0,,,35-45,,Defensive rebound by D. DeRozan
1:45.0,Shooting block foul by G. Dragic (drawn by D. DeRozan),,35-45,,
1:45.0,J. Richardson enters the game for G. Dragic,,35-45,,
1:45.0,,,35-45,,D. DeRozan misses free throw 1 of 2
1:45.0,,,35-45,,Offensive rebound by Team
1:45.0,U. Haslem enters the game for H. Whiteside,,35-45,,
1:45.0,,,35-45,,C. Joseph enters the game for K. Lowry
1:45.0,,,35-46,1,D. DeRozan makes free throw 2 of 2
1:25.0,J. Johnson makes 2-pt shot from 5 ft,2,37-46,,
1:06.0,,,37-46,,D. DeRozan misses 2-pt shot from 16 ft
1:06.0,Defensive rebound by J. Johnson,,37-46,,
0:59.0,J. Johnson misses 3-pt shot from 26 ft,,37-46,,
0:59.0,Offensive rebound by L. Deng,,37-46,,
0:51.0,D. Wade makes 2-pt shot from 13 ft,2,39-46,,
0:33.0,,,39-46,,C. Joseph misses 2-pt shot from 8 ft (block by U. Haslem)
0:32.0,Defensive rebound by U. Haslem,,39-46,,
0:21.0,J. Johnson makes 2-pt shot from 5 ft,2,41-46,,
0:04.0,,,41-46,,Toronto full timeout
0:01.0,,,41-48,2,D. Carroll makes 2-pt shot from 2 ft (assist by J. Valanciunas)
0:00.0,J. Johnson misses 3-pt shot from 63 ft,,41-48,,
0:00.0,Offensive rebound by Team,,41-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,41-48,,D. DeRozan misses 2-pt shot from 7 ft
11:43.0,,,41-48,,Offensive rebound by Team
11:43.0,Loose ball foul by J. Johnson,,41-48,,
11:37.0,,,41-50,2,D. DeRozan makes 2-pt shot from 16 ft
11:17.0,J. Johnson makes 2-pt shot from 10 ft,2,43-50,,
10:50.0,,,43-50,,N. Powell misses 2-pt shot from 19 ft (block by G. Dragic)
10:50.0,,,43-50,,Offensive rebound by Team
10:49.0,,,43-50,,N. Powell misses 2-pt shot from 19 ft
10:49.0,,,43-50,,Offensive rebound by Team
10:49.0,,,43-50,,Turnover by Team (shot clock)
10:39.0,,,43-50,,Personal foul by D. Carroll
10:32.0,Turnover by D. Wade (lost ball; steal by D. Carroll),,43-50,,
10:28.0,,,43-50,,Shooting foul by G. Dragic (drawn by N. Powell)
10:28.0,,,43-51,1,N. Powell makes free throw 1 of 2
10:28.0,J. Richardson enters the game for G. Dragic,,43-51,,
10:28.0,,,43-52,1,N. Powell makes free throw 2 of 2
10:16.0,,,43-52,,Personal foul by K. Lowry
10:06.0,J. Johnson makes 2-pt shot from 5 ft,2,45-52,,
9:45.0,,,45-52,,N. Powell misses 2-pt shot from 6 ft
9:45.0,,,45-52,,Offensive rebound by J. Valanciunas
9:41.0,,,45-52,,Turnover by J. Valanciunas (lost ball; steal by L. Deng)
9:37.0,,,45-52,,Personal block foul by N. Powell
9:27.0,J. Johnson makes 2-pt shot from 16 ft,2,47-52,,
9:07.0,,,47-52,,K. Lowry misses 2-pt shot from 9 ft
9:06.0,Defensive rebound by H. Whiteside,,47-52,,
8:53.0,J. Johnson makes 2-pt shot from 6 ft,2,49-52,,
8:53.0,Shooting foul by D. Carroll (drawn by J. Johnson),,49-52,,
8:53.0,J. Johnson makes free throw 1 of 1,1,50-52,,
8:30.0,,,50-52,,Shooting foul by H. Whiteside (drawn by D. DeRozan)
8:30.0,,,50-52,,D. DeRozan misses free throw 1 of 2
8:30.0,,,50-52,,Offensive rebound by Team
8:30.0,,,50-52,,D. DeRozan misses free throw 2 of 2
8:29.0,,,50-52,,Offensive rebound by Team
8:29.0,,,50-52,,J. Johnson enters the game for N. Powell
8:22.0,,,50-52,,K. Lowry misses 2-pt shot from 6 ft
8:21.0,Defensive rebound by H. Whiteside,,50-52,,
8:12.0,D. Wade misses 2-pt shot from 16 ft,,50-52,,
8:11.0,,,50-52,,Defensive rebound by J. Johnson
8:00.0,,,50-55,3,D. Carroll makes 3-pt shot from 23 ft
7:32.0,J. Johnson misses 3-pt shot from 26 ft,,50-55,,
7:31.0,,,50-55,,Defensive rebound by J. Valanciunas
7:19.0,,,50-55,,D. DeRozan misses 2-pt shot from 10 ft
7:18.0,Defensive rebound by H. Whiteside,,50-55,,
7:10.0,L. Deng misses 3-pt shot from 25 ft,,50-55,,
7:09.0,,,50-55,,Defensive rebound by K. Lowry
6:47.0,,,50-57,2,D. Carroll makes 2-pt shot from 4 ft
6:47.0,Miami full timeout,,50-57,,
6:47.0,,,50-57,,B. Biyombo enters the game for J. Valanciunas
6:24.0,D. Wade makes 2-pt shot from 5 ft,2,52-57,,
6:04.0,,,52-59,2,K. Lowry makes 2-pt shot from 15 ft
5:40.0,J. Richardson misses 3-pt shot from 25 ft,,52-59,,
5:40.0,,,52-59,,Defensive rebound by B. Biyombo
5:28.0,,,52-61,2,D. DeRozan makes 2-pt shot from 5 ft
5:05.0,,,52-61,,Violation by B. Biyombo (def goaltending)
5:05.0,L. Deng makes 2-pt shot from 4 ft (assist by D. Wade),2,54-61,,
4:50.0,,,54-61,,Offensive foul by B. Biyombo
4:50.0,,,54-61,,Turnover by B. Biyombo (offensive foul)
4:50.0,G. Green enters the game for J. Johnson,,54-61,,
4:42.0,J. Richardson makes 2-pt shot from 2 ft (assist by H. Whiteside),2,56-61,,
4:42.0,Shooting foul by J. Johnson (drawn by J. Richardson),,56-61,,
4:42.0,,,56-61,,C. Joseph enters the game for D. Carroll
4:42.0,J. Richardson makes free throw 1 of 1,1,57-61,,
4:24.0,,,57-61,,K. Lowry misses 3-pt shot from 26 ft
4:23.0,Defensive rebound by Team,,57-61,,
4:09.0,Turnover by H. Whiteside (lost ball; steal by K. Lowry),,57-61,,
3:45.0,,,57-61,,K. Lowry misses 2-pt shot from 19 ft
3:44.0,Defensive rebound by H. Whiteside,,57-61,,
3:31.0,Turnover by H. Whiteside (traveling),,57-61,,
3:31.0,,,57-61,,Toronto full timeout
3:31.0,,,57-61,,T. Ross enters the game for J. Johnson
3:31.0,U. Haslem enters the game for H. Whiteside,,57-61,,
3:14.0,,,57-61,,C. Joseph misses 2-pt shot from 7 ft
3:14.0,Defensive rebound by D. Wade,,57-61,,
2:55.0,D. Wade makes 2-pt shot from 16 ft,2,59-61,,
2:34.0,,,59-61,,T. Ross misses 2-pt shot from 19 ft
2:34.0,Defensive rebound by J. Richardson,,59-61,,
2:13.0,D. Wade misses 2-pt shot from 12 ft,,59-61,,
2:13.0,Offensive rebound by L. Deng,,59-61,,
2:01.0,Offensive foul by U. Haslem,,59-61,,
2:01.0,Turnover by U. Haslem (offensive foul),,59-61,,
2:01.0,,,59-61,,P. Patterson enters the game for K. Lowry
1:49.0,,,59-61,,D. DeRozan misses 2-pt shot from 14 ft
1:49.0,Defensive rebound by G. Green,,59-61,,
1:36.0,D. Wade makes 2-pt shot from 21 ft,2,61-61,,
1:15.0,,,61-63,2,D. DeRozan makes 2-pt shot from 3 ft
0:51.0,U. Haslem makes 2-pt shot from 17 ft,2,63-63,,
0:28.0,,,63-63,,D. DeRozan misses 2-pt shot from 18 ft
0:27.0,Defensive rebound by U. Haslem,,63-63,,
0:06.0,D. Wade makes 2-pt shot from 15 ft,2,65-63,,
0:01.0,,,65-63,,D. DeRozan misses 2-pt shot from 20 ft
0:00.0,Defensive rebound by D. Wade,,65-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,J. Johnson misses 3-pt shot from 29 ft,,65-63,,
11:38.0,,,65-63,,Defensive rebound by K. Lowry
11:19.0,,,65-63,,Shooting foul by G. Green (drawn by K. Lowry)
11:19.0,,,65-63,,K. Lowry misses free throw 1 of 2
11:19.0,,,65-63,,Offensive rebound by Team
11:19.0,,,65-63,,K. Lowry misses free throw 2 of 2
11:18.0,Defensive rebound by G. Dragic,,65-63,,
11:02.0,G. Dragic makes 2-pt shot from 10 ft,2,67-63,,
10:45.0,,,67-63,,Turnover by J. Valanciunas (offensive foul)
10:45.0,,,67-63,,Offensive foul by J. Valanciunas
10:28.0,G. Green makes 2-pt shot from 12 ft,2,69-63,,
10:08.0,,,69-63,,Shooting foul by J. Johnson (drawn by J. Valanciunas)
10:08.0,,,69-63,,J. Valanciunas misses free throw 1 of 2
10:08.0,,,69-63,,Offensive rebound by Team
10:08.0,,,69-64,1,J. Valanciunas makes free throw 2 of 2
9:53.0,G. Dragic misses 2-pt shot from 6 ft,,69-64,,
9:53.0,,,69-64,,Defensive rebound by Team
9:39.0,,,69-64,,K. Lowry misses 3-pt shot from 25 ft
9:39.0,,,69-64,,Offensive rebound by P. Patterson
9:36.0,,,69-66,2,P. Patterson makes 2-pt shot at rim
9:16.0,U. Haslem misses 2-pt shot from 20 ft,,69-66,,
9:15.0,Offensive rebound by J. Winslow,,69-66,,
9:13.0,Turnover by J. Winslow (lost ball; steal by K. Lowry),,69-66,,
9:09.0,Personal foul by J. Johnson,,69-66,,
9:00.0,,,69-68,2,C. Joseph makes 2-pt shot from 10 ft
8:50.0,Turnover by U. Haslem (lost ball; steal by J. Valanciunas),,69-68,,
8:43.0,,,69-70,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
8:43.0,Miami full timeout,,69-70,,
8:43.0,H. Whiteside enters the game for U. Haslem,,69-70,,
8:22.0,G. Dragic misses 2-pt shot from 7 ft,,69-70,,
8:22.0,Offensive rebound by H. Whiteside,,69-70,,
8:21.0,Shooting foul by C. Joseph (drawn by H. Whiteside),,69-70,,
8:21.0,H. Whiteside makes free throw 1 of 2,1,70-70,,
8:21.0,H. Whiteside misses free throw 2 of 2,,70-70,,
8:20.0,,,70-70,,Defensive rebound by J. Valanciunas
8:05.0,,,70-70,,C. Joseph misses 2-pt shot from 18 ft
8:04.0,Defensive rebound by Team,,70-70,,
7:44.0,J. Johnson misses 2-pt shot from 19 ft,,70-70,,
7:44.0,Offensive rebound by Team,,70-70,,
7:44.0,,,70-70,,Loose ball foul by C. Joseph
7:44.0,L. Deng enters the game for J. Winslow,,70-70,,
7:33.0,G. Dragic makes 2-pt shot from 15 ft,2,72-70,,
7:24.0,,,72-70,,Turnover by C. Joseph (offensive foul)
7:24.0,,,72-70,,Offensive foul by C. Joseph
7:24.0,,,72-70,,D. Carroll enters the game for C. Joseph
7:13.0,L. Deng makes 3-pt shot from 22 ft (assist by G. Dragic),3,75-70,,
6:51.0,,,75-70,,Turnover by K. Lowry (lost ball; steal by L. Deng)
6:35.0,H. Whiteside makes 2-pt shot from 5 ft (assist by G. Dragic),2,77-70,,
6:35.0,,,77-70,,Toronto full timeout
6:35.0,,,77-70,,D. DeRozan enters the game for P. Patterson
6:24.0,,,77-70,,Shooting foul by J. Johnson (drawn by D. Carroll)
6:24.0,,,77-71,1,D. Carroll makes free throw 1 of 2
6:24.0,,,77-71,,D. Carroll misses free throw 2 of 2
6:22.0,Defensive rebound by H. Whiteside,,77-71,,
6:05.0,L. Deng misses 2-pt shot from 15 ft,,77-71,,
6:04.0,,,77-71,,Defensive rebound by T. Ross
5:49.0,,,77-73,2,D. DeRozan makes 2-pt shot from 17 ft
5:31.0,J. Johnson misses 2-pt shot from 9 ft,,77-73,,
