time,Phoenix,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Chandler (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. T. Chandler (S. Ibaka gains possession)
11:48.0,,,0-2,2,K. Durant makes 2-pt shot from 15 ft (assist by R. Westbrook)
11:23.0,B. Knight misses 2-pt shot from 6 ft,,0-2,,
11:22.0,Offensive rebound by P. Tucker,,0-2,,
11:19.0,P. Tucker makes 2-pt shot from 5 ft,2,2-2,,
10:56.0,,,2-2,,A. Roberson misses 3-pt shot from 22 ft
10:56.0,Defensive rebound by T. Chandler,,2-2,,
10:32.0,T. Warren makes 3-pt shot from 26 ft (assist by P. Tucker),3,5-2,,
10:06.0,,,5-4,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
9:54.0,D. Booker misses 3-pt shot from 23 ft,,5-4,,
9:53.0,,,5-4,,Defensive rebound by S. Adams
9:40.0,,,5-6,2,R. Westbrook makes 2-pt shot from 2 ft
9:22.0,P. Tucker makes 2-pt shot from 1 ft (assist by B. Knight),2,7-6,,
9:09.0,,,7-9,3,S. Ibaka makes 3-pt shot from 25 ft (assist by R. Westbrook)
8:44.0,T. Warren makes 2-pt shot from 19 ft,2,9-9,,
8:38.0,Personal foul by T. Warren (drawn by K. Durant),,9-9,,
8:32.0,,,9-9,,K. Durant misses 2-pt shot from 10 ft
8:32.0,Defensive rebound by B. Knight,,9-9,,
8:23.0,,,9-9,,Personal foul by A. Roberson (drawn by B. Knight)
8:10.0,Turnover by B. Knight (bad pass; steal by S. Adams),,9-9,,
8:04.0,Personal foul by P. Tucker (drawn by R. Westbrook),,9-9,,
7:58.0,,,9-9,,S. Ibaka misses 2-pt shot from 18 ft
7:57.0,Defensive rebound by D. Booker,,9-9,,
7:42.0,B. Knight misses 3-pt shot from 26 ft,,9-9,,
7:41.0,Offensive rebound by T. Chandler,,9-9,,
7:34.0,T. Chandler misses 2-pt shot at rim (block by S. Ibaka),,9-9,,
7:33.0,Offensive rebound by Team,,9-9,,
7:29.0,T. Warren misses 2-pt shot from 11 ft,,9-9,,
7:28.0,,,9-9,,Defensive rebound by K. Durant
7:22.0,,,9-11,2,R. Westbrook makes 2-pt shot from 1 ft (assist by K. Durant)
7:06.0,D. Booker makes 2-pt shot from 17 ft,2,11-11,,
6:54.0,Personal foul by T. Chandler (drawn by S. Adams),,11-11,,
6:54.0,,,11-11,,Technical foul by S. Adams
6:54.0,Technical foul by T. Chandler (drawn by S. Adams),,11-11,,
6:41.0,,,11-11,,S. Ibaka misses 2-pt shot from 13 ft
6:40.0,,,11-11,,Offensive rebound by A. Roberson
6:39.0,,,11-11,,Turnover by A. Roberson (traveling)
6:27.0,D. Booker makes 2-pt shot from 18 ft,2,13-11,,
6:14.0,,,13-11,,Shooting foul by T. Chandler (drawn by S. Adams)
6:14.0,,,13-12,1,S. Adams makes free throw 1 of 2
6:14.0,,,13-12,,D. Waiters enters the game for A. Roberson
6:14.0,M. Teletovic enters the game for P. Tucker,,13-12,,
6:14.0,A. Len enters the game for T. Chandler,,13-12,,
6:14.0,,,13-13,1,S. Adams makes free throw 2 of 2
6:06.0,Turnover by B. Knight (bad pass; steal by R. Westbrook),,13-13,,
6:03.0,,,13-15,2,R. Westbrook makes 2-pt shot at rim (assist by D. Waiters)
5:52.0,,,13-15,,Oklahoma City full timeout
5:37.0,M. Teletovic makes 3-pt shot from 23 ft (assist by B. Knight),3,16-15,,
5:23.0,,,16-15,,S. Ibaka misses 3-pt shot from 22 ft
5:22.0,Defensive rebound by A. Len,,16-15,,
5:01.0,M. Teletovic misses 3-pt shot from 24 ft (block by K. Durant),,16-15,,
5:00.0,Offensive rebound by M. Teletovic,,16-15,,
4:57.0,M. Teletovic misses 2-pt shot from 7 ft,,16-15,,
4:57.0,,,16-15,,Defensive rebound by Team
4:37.0,,,16-18,3,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Ibaka)
4:21.0,B. Knight misses 2-pt shot from 3 ft,,16-18,,
4:21.0,,,16-18,,Defensive rebound by S. Ibaka
4:15.0,,,16-20,2,R. Westbrook makes 2-pt shot from 1 ft
3:53.0,T. Warren makes 2-pt shot from 6 ft,2,18-20,,
3:33.0,,,18-22,2,R. Westbrook makes 2-pt shot from 17 ft (assist by K. Durant)
3:15.0,D. Booker makes 2-pt shot from 9 ft (assist by T. Warren),2,20-22,,
3:02.0,,,20-22,,Shooting foul by D. Booker (drawn by R. Westbrook)
3:02.0,,,20-23,1,R. Westbrook makes free throw 1 of 2
3:02.0,,,20-23,,E. Kanter enters the game for S. Adams
3:02.0,,,20-24,1,R. Westbrook makes free throw 2 of 2
2:38.0,Turnover by Team (shot clock),,20-24,,
2:38.0,Phoenix full timeout,,20-24,,
2:38.0,,,20-24,,N. Collison enters the game for S. Ibaka
2:38.0,,,20-24,,C. Payne enters the game for R. Westbrook
2:38.0,P. Tucker enters the game for T. Warren,,20-24,,
2:27.0,,,20-24,,K. Durant misses 3-pt shot from 23 ft
2:26.0,Defensive rebound by D. Booker,,20-24,,
2:14.0,B. Knight makes 2-pt shot from 18 ft (assist by D. Booker),2,22-24,,
1:55.0,,,22-26,2,D. Waiters makes 2-pt shot from 5 ft
1:41.0,,,22-26,,Personal foul by C. Payne (drawn by B. Knight)
1:41.0,B. Cotton enters the game for B. Knight,,22-26,,
1:29.0,M. Teletovic makes 2-pt shot from 1 ft,2,24-26,,
1:13.0,,,24-28,2,C. Payne makes 2-pt shot from 17 ft
0:57.0,,,24-28,,Personal foul by D. Waiters (drawn by D. Booker)
0:57.0,D. Booker makes free throw 1 of 2,1,25-28,,
0:57.0,D. Booker makes free throw 2 of 2,1,26-28,,
0:41.0,,,26-28,,Turnover by E. Kanter (lost ball)
0:32.0,D. Booker misses 2-pt shot from 19 ft,,26-28,,
0:32.0,,,26-28,,Defensive rebound by D. Waiters
0:26.0,,,26-28,,D. Waiters misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by A. Len,,26-28,,
0:00.0,P. Tucker misses 2-pt shot from 10 ft,,26-28,,
0:00.0,Offensive rebound by Team,,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,Shooting foul by N. Collison (drawn by D. Booker),,26-28,,
11:38.0,D. Booker makes free throw 1 of 2,1,27-28,,
11:38.0,D. Booker makes free throw 2 of 2,1,28-28,,
11:31.0,Personal foul by P. Tucker (drawn by D. Waiters),,28-28,,
11:24.0,,,28-28,,C. Payne misses 2-pt shot from 5 ft
11:23.0,,,28-28,,Offensive rebound by N. Collison
11:19.0,,,28-30,2,A. Morrow makes 2-pt shot from 14 ft (assist by N. Collison)
11:00.0,P. Tucker makes 2-pt shot from 4 ft,2,30-30,,
10:48.0,,,30-30,,D. Waiters misses 2-pt shot from 2 ft
10:47.0,,,30-30,,Offensive rebound by D. Waiters
10:35.0,,,30-33,3,C. Payne makes 3-pt shot from 26 ft (assist by E. Kanter)
10:19.0,D. Booker misses 2-pt shot from 5 ft (block by D. Waiters),,30-33,,
10:18.0,Offensive rebound by D. Booker,,30-33,,
10:15.0,P. Tucker makes 3-pt shot from 23 ft (assist by D. Booker),3,33-33,,
10:03.0,,,33-33,,Shooting foul by A. Len (drawn by E. Kanter)
10:03.0,,,33-34,1,E. Kanter makes free throw 1 of 2
10:03.0,,,33-34,,E. Kanter misses free throw 2 of 2
10:02.0,Defensive rebound by P. Tucker,,33-34,,
9:42.0,P. Tucker makes 3-pt shot from 25 ft (assist by M. Teletovic),3,36-34,,
9:24.0,,,36-34,,Shooting foul by A. Len (drawn by A. Morrow)
9:24.0,,,36-35,1,A. Morrow makes free throw 1 of 2
9:24.0,B. Knight enters the game for D. Booker,,36-35,,
9:24.0,T. Chandler enters the game for A. Len,,36-35,,
9:24.0,T. Warren enters the game for B. Cotton,,36-35,,
9:24.0,,,36-35,,A. Morrow misses free throw 2 of 2
9:23.0,Defensive rebound by P. Tucker,,36-35,,
9:06.0,P. Tucker misses 2-pt shot from 9 ft,,36-35,,
9:06.0,,,36-35,,Defensive rebound by A. Morrow
8:52.0,,,36-35,,Turnover by D. Waiters (lost ball; steal by M. Teletovic)
8:45.0,T. Warren makes 3-pt shot from 23 ft (assist by B. Knight),3,39-35,,
8:44.0,,,39-35,,Oklahoma City full timeout
8:44.0,,,39-35,,A. Roberson enters the game for D. Waiters
8:36.0,,,39-35,,A. Morrow misses 3-pt shot from 24 ft
