time,LA Clippers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. R. Gobert (G. Hayward gains possession),,,,Jump ball: C. Aldrich vs. R. Gobert (G. Hayward gains possession)
11:38.0,,,0-0,,R. Hood misses 3-pt shot from 24 ft
11:37.0,,,0-0,,Offensive rebound by S. Mack
11:17.0,,,0-0,,G. Hayward misses 2-pt shot from 8 ft
11:17.0,Defensive rebound by C. Aldrich,,0-0,,
10:53.0,L. Mbah a Moute misses 2-pt shot from 22 ft,,0-0,,
10:53.0,Offensive rebound by J. Crawford,,0-0,,
10:28.0,P. Prigioni makes 3-pt shot from 27 ft,3,3-0,,
10:12.0,,,3-2,2,D. Favors makes 2-pt shot from 5 ft
9:49.0,C. Aldrich makes 2-pt shot from 1 ft (assist by J. Crawford),2,5-2,,
9:33.0,,,5-2,,Turnover by S. Mack (lost ball; steal by P. Pierce)
9:22.0,P. Pierce makes 2-pt shot from 1 ft,2,7-2,,
9:01.0,,,7-4,2,S. Mack makes 2-pt shot from 2 ft
8:41.0,P. Pierce makes 2-pt shot from 10 ft,2,9-4,,
8:29.0,,,9-4,,Turnover by G. Hayward (lost ball; steal by C. Aldrich)
8:25.0,P. Prigioni makes 2-pt shot from 2 ft (assist by P. Pierce),2,11-4,,
8:25.0,,,11-4,,Utah full timeout
8:09.0,,,11-4,,Turnover by D. Favors (lost ball; steal by L. Mbah a Moute)
8:02.0,J. Crawford makes 3-pt shot from 24 ft (assist by L. Mbah a Moute),3,14-4,,
7:51.0,Personal foul by J. Crawford,,14-4,,
7:45.0,,,14-4,,S. Mack misses 3-pt shot from 24 ft
7:44.0,,,14-4,,Offensive rebound by D. Favors
7:40.0,,,14-4,,R. Hood misses 3-pt shot from 24 ft
7:37.0,,,14-4,,Offensive rebound by R. Gobert
7:36.0,,,14-6,2,R. Gobert makes 2-pt shot from 1 ft
7:18.0,C. Aldrich makes 2-pt shot from 8 ft (assist by P. Prigioni),2,16-6,,
6:58.0,,,16-6,,D. Favors misses 2-pt shot from 21 ft
6:56.0,,,16-6,,Offensive rebound by R. Gobert
6:56.0,,,16-8,2,R. Gobert makes 2-pt shot at rim
6:25.0,Turnover by Team (shot clock),,16-8,,
6:25.0,,,16-8,,T. Booker enters the game for D. Favors
6:25.0,,,16-8,,J. Ingles enters the game for G. Hayward
6:06.0,,,16-8,,J. Ingles misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by P. Prigioni,,16-8,,
5:56.0,Shooting foul by J. Ingles (drawn by C. Aldrich),,16-8,,
5:56.0,C. Aldrich makes free throw 1 of 2,1,17-8,,
5:56.0,J. Green enters the game for P. Pierce,,17-8,,
5:56.0,C. Aldrich misses free throw 2 of 2,,17-8,,
5:54.0,,,17-8,,Defensive rebound by R. Gobert
5:46.0,Def 3 sec tech foul by J. Green,,17-8,,
5:46.0,,,17-9,1,R. Hood makes technical free throw
5:30.0,,,17-11,2,T. Booker makes 2-pt shot from 22 ft (assist by R. Gobert)
5:17.0,J. Crawford misses 3-pt shot from 24 ft,,17-11,,
5:17.0,,,17-11,,Defensive rebound by R. Gobert
5:10.0,Violation by L. Mbah a Moute (kicked ball),,17-11,,
5:01.0,Def 3 sec tech foul by J. Green,,17-11,,
5:01.0,,,17-11,,R. Hood misses technical free throw
5:01.0,,,17-11,,Offensive rebound by Team
4:51.0,,,17-14,3,R. Hood makes 3-pt shot from 23 ft (assist by S. Mack)
4:49.0,LA Clippers full timeout,,17-14,,
4:26.0,J. Crawford misses 2-pt shot from 15 ft,,17-14,,
4:25.0,Offensive rebound by C. Aldrich,,17-14,,
4:24.0,C. Aldrich makes 2-pt shot from 6 ft,2,19-14,,
4:01.0,,,19-14,,R. Hood misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by L. Mbah a Moute,,19-14,,
3:43.0,P. Prigioni misses 2-pt shot from 12 ft,,19-14,,
3:43.0,,,19-14,,Defensive rebound by R. Gobert
3:23.0,Personal foul by P. Prigioni,,19-14,,
3:23.0,C. Wilcox enters the game for J. Crawford,,19-14,,
3:23.0,J. Ayres enters the game for C. Aldrich,,19-14,,
3:09.0,,,19-17,3,J. Ingles makes 3-pt shot from 24 ft
2:46.0,J. Green makes 2-pt shot from 12 ft,2,21-17,,
2:26.0,,,21-19,2,S. Mack makes 2-pt shot from 5 ft
2:13.0,,,21-19,,R. Neto enters the game for S. Mack
2:13.0,,,21-19,,D. Favors enters the game for R. Gobert
2:13.0,,,21-19,,G. Hayward enters the game for R. Hood
2:13.0,B. Dawson enters the game for L. Mbah a Moute,,21-19,,
