time,Atlanta,pts.away,score,pts.home,Detroit
0:22.0,,,30-32,,Defensive rebound by T. Harris
0:02.0,,,30-32,,S. Blake misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by A. Horford,,30-32,,
0:01.0,T. Hardaway misses 3-pt shot from 61 ft,,30-32,,
0:00.0,Offensive rebound by Team,,30-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,30-34,2,M. Morris makes 2-pt shot from 12 ft
11:18.0,D. Schroder makes 2-pt shot from 1 ft,2,32-34,,
10:58.0,,,32-37,3,S. Johnson makes 3-pt shot from 23 ft (assist by S. Blake)
10:48.0,T. Sefolosha misses 3-pt shot from 26 ft,,32-37,,
10:47.0,,,32-37,,Defensive rebound by A. Baynes
10:35.0,Violation by A. Horford (kicked ball),,32-37,,
10:29.0,K. Korver enters the game for T. Hardaway,,32-37,,
10:24.0,,,32-37,,Turnover by M. Morris (lost ball; steal by D. Schroder)
10:15.0,M. Scott misses 3-pt shot from 24 ft,,32-37,,
10:14.0,,,32-37,,Defensive rebound by A. Baynes
9:59.0,,,32-39,2,M. Morris makes 2-pt shot from 18 ft
9:45.0,M. Scott makes 2-pt shot at rim,2,34-39,,
9:22.0,,,34-41,2,A. Baynes makes 2-pt shot from 9 ft (assist by M. Morris)
9:13.0,Shooting foul by S. Blake (drawn by D. Schroder),,34-41,,
9:13.0,D. Schroder makes free throw 1 of 2,1,35-41,,
9:13.0,D. Schroder makes free throw 2 of 2,1,36-41,,
8:58.0,,,36-41,,M. Morris misses 2-pt shot from 11 ft
8:57.0,,,36-41,,Offensive rebound by A. Baynes
8:57.0,,,36-41,,A. Baynes misses 2-pt shot from 7 ft (block by M. Scott)
8:54.0,,,36-41,,Offensive rebound by A. Baynes
8:50.0,,,36-44,3,A. Tolliver makes 3-pt shot from 25 ft (assist by A. Baynes)
8:25.0,T. Sefolosha misses 3-pt shot from 23 ft,,36-44,,
8:24.0,,,36-44,,Defensive rebound by S. Johnson
8:09.0,,,36-44,,S. Johnson misses 2-pt shot from 9 ft
8:09.0,Defensive rebound by M. Scott,,36-44,,
7:56.0,D. Schroder makes 3-pt shot from 26 ft (assist by M. Scott),3,39-44,,
7:33.0,,,39-44,,A. Baynes misses 2-pt shot from 6 ft
7:32.0,Defensive rebound by T. Sefolosha,,39-44,,
7:19.0,A. Horford makes 2-pt shot at rim (assist by M. Scott),2,41-44,,
7:12.0,,,41-44,,Detroit full timeout
7:12.0,,,41-44,,R. Jackson enters the game for S. Blake
7:12.0,J. Teague enters the game for K. Korver,,41-44,,
7:12.0,K. Bazemore enters the game for T. Sefolosha,,41-44,,
7:07.0,,,41-44,,Turnover by S. Johnson (lost ball; steal by K. Bazemore)
7:02.0,Offensive charge foul by K. Bazemore,,41-44,,
7:02.0,Turnover by K. Bazemore (offensive foul),,41-44,,
6:47.0,,,41-46,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
6:40.0,Turnover by J. Teague (lost ball; steal by A. Baynes),,41-46,,
6:29.0,,,41-48,2,R. Jackson makes 2-pt shot from 15 ft
6:06.0,M. Scott makes 2-pt shot at rim (assist by D. Schroder),2,43-48,,
5:53.0,,,43-48,,S. Johnson misses 2-pt shot from 20 ft
5:52.0,Defensive rebound by K. Bazemore,,43-48,,
5:40.0,K. Bazemore makes 3-pt shot from 25 ft (assist by J. Teague),3,46-48,,
5:22.0,,,46-50,2,A. Baynes makes 2-pt shot from 18 ft (assist by R. Jackson)
5:20.0,Atlanta full timeout,,46-50,,
5:20.0,,,46-50,,T. Harris enters the game for S. Johnson
5:20.0,,,46-50,,A. Drummond enters the game for A. Tolliver
5:20.0,,,46-50,,K. Caldwell-Pope enters the game for A. Baynes
5:20.0,K. Humphries enters the game for A. Horford,,46-50,,
5:20.0,K. Korver enters the game for D. Schroder,,46-50,,
5:20.0,P. Millsap enters the game for M. Scott,,46-50,,
5:04.0,Turnover by K. Humphries (traveling),,46-50,,
4:56.0,,,46-52,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
4:37.0,J. Teague makes 3-pt shot from 25 ft (assist by P. Millsap),3,49-52,,
4:10.0,,,49-52,,Turnover by Team (shot clock)
3:56.0,P. Millsap misses 2-pt shot from 4 ft,,49-52,,
3:56.0,,,49-52,,Defensive rebound by T. Harris
3:52.0,,,49-52,,Turnover by T. Harris (offensive foul)
3:52.0,,,49-52,,Offensive charge foul by T. Harris
3:42.0,J. Teague misses 2-pt shot from 6 ft,,49-52,,
3:41.0,,,49-52,,Defensive rebound by K. Caldwell-Pope
3:33.0,,,49-52,,R. Jackson misses 3-pt shot from 26 ft
3:33.0,Defensive rebound by K. Bazemore,,49-52,,
3:26.0,K. Korver misses 3-pt shot from 26 ft,,49-52,,
3:25.0,,,49-52,,Defensive rebound by K. Caldwell-Pope
3:04.0,,,49-52,,A. Drummond misses 2-pt shot from 7 ft
3:04.0,Defensive rebound by K. Bazemore,,49-52,,
2:54.0,K. Humphries makes 2-pt shot from 18 ft (assist by K. Korver),2,51-52,,
2:32.0,,,51-54,2,R. Jackson makes 2-pt shot from 6 ft
2:32.0,,,51-54,,Shooting foul by J. Teague (drawn by R. Jackson)
2:32.0,Official timeout,,51-54,,
2:32.0,,,51-54,,A. Tolliver enters the game for T. Harris
2:32.0,,,51-55,1,R. Jackson makes free throw 1 of 1
2:19.0,K. Korver misses 2-pt shot from 18 ft,,51-55,,
2:19.0,,,51-55,,Defensive rebound by A. Drummond
2:04.0,,,51-55,,K. Caldwell-Pope misses 2-pt shot from 7 ft
2:04.0,,,51-55,,Offensive rebound by A. Drummond
2:03.0,,,51-57,2,A. Drummond makes 2-pt shot at rim
1:58.0,,,51-57,,Personal foul by A. Tolliver
1:58.0,A. Horford enters the game for K. Humphries,,51-57,,
1:48.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,53-57,,
1:26.0,,,53-57,,A. Tolliver misses 3-pt shot from 26 ft
1:25.0,Defensive rebound by K. Bazemore,,53-57,,
1:18.0,K. Bazemore makes 2-pt shot at rim (assist by A. Horford),2,55-57,,
1:00.0,,,55-59,2,R. Jackson makes 2-pt shot from 7 ft
0:57.0,J. Teague makes 2-pt shot at rim,2,57-59,,
0:57.0,Shooting foul by R. Jackson (drawn by J. Teague),,57-59,,
0:57.0,J. Teague makes free throw 1 of 1,1,58-59,,
0:37.0,,,58-59,,M. Morris misses 2-pt shot from 13 ft
0:36.0,,,58-59,,Offensive rebound by A. Drummond
0:35.0,,,58-59,,A. Drummond misses 2-pt shot at rim
0:34.0,Defensive rebound by A. Horford,,58-59,,
0:34.0,,,58-59,,Loose ball foul by A. Tolliver
0:34.0,A. Horford misses free throw 1 of 2,,58-59,,
0:34.0,Offensive rebound by Team,,58-59,,
0:34.0,T. Sefolosha enters the game for K. Korver,,58-59,,
0:34.0,A. Horford makes free throw 2 of 2,1,59-59,,
0:24.0,,,59-59,,R. Jackson misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by K. Bazemore,,59-59,,
0:19.0,Atlanta full timeout,,59-59,,
0:19.0,K. Korver enters the game for T. Sefolosha,,59-59,,
0:10.0,,,59-59,,Personal foul by R. Jackson
0:10.0,J. Teague makes free throw 1 of 2,1,60-59,,
0:10.0,T. Sefolosha enters the game for K. Korver,,60-59,,
0:10.0,J. Teague makes free throw 2 of 2,1,61-59,,
0:02.0,,,61-62,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson)
0:01.0,T. Sefolosha misses 3-pt shot from 39 ft,,61-62,,
0:00.0,Offensive rebound by Team,,61-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,61-64,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by T. Harris)
11:23.0,P. Millsap misses 2-pt shot from 4 ft,,61-64,,
11:22.0,,,61-64,,Defensive rebound by A. Drummond
11:16.0,Personal foul by K. Bazemore,,61-64,,
11:02.0,,,61-64,,T. Harris misses 2-pt shot at rim (block by P. Millsap)
11:02.0,Defensive rebound by P. Millsap,,61-64,,
10:52.0,J. Teague makes 2-pt shot from 1 ft,2,63-64,,
10:32.0,,,63-64,,K. Caldwell-Pope misses 3-pt shot from 24 ft
10:32.0,,,63-64,,Offensive rebound by Team
10:32.0,Loose ball foul by A. Horford,,63-64,,
10:22.0,,,63-64,,R. Jackson misses 3-pt shot from 26 ft
10:21.0,Defensive rebound by K. Bazemore,,63-64,,
10:15.0,,,63-64,,Personal foul by T. Harris
9:56.0,P. Millsap misses 2-pt shot from 17 ft,,63-64,,
9:55.0,,,63-64,,Defensive rebound by A. Drummond
9:44.0,,,63-64,,K. Caldwell-Pope misses 2-pt shot at rim
9:44.0,,,63-64,,Offensive rebound by A. Drummond
9:44.0,,,63-64,,Shooting foul by K. Korver (drawn by A. Drummond)
9:44.0,,,63-64,,A. Drummond misses free throw 1 of 2
9:44.0,,,63-64,,Offensive rebound by Team
9:44.0,,,63-65,1,A. Drummond makes free throw 2 of 2
9:35.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,65-65,,
9:15.0,,,65-65,,K. Caldwell-Pope misses 3-pt shot from 27 ft
9:14.0,Defensive rebound by J. Teague,,65-65,,
9:05.0,A. Horford makes 3-pt shot from 26 ft (assist by J. Teague),3,68-65,,
8:41.0,,,68-67,2,T. Harris makes 2-pt shot from 1 ft
8:28.0,J. Teague misses 3-pt shot from 25 ft,,68-67,,
8:28.0,,,68-67,,Defensive rebound by T. Harris
8:15.0,,,68-67,,R. Jackson misses 2-pt shot from 7 ft
8:15.0,Defensive rebound by K. Korver,,68-67,,
8:05.0,A. Horford misses 3-pt shot from 25 ft,,68-67,,
8:04.0,,,68-67,,Defensive rebound by A. Drummond
7:50.0,,,68-69,2,A. Drummond makes 2-pt shot from 5 ft (assist by T. Harris)
7:41.0,Turnover by J. Teague (bad pass),,68-69,,
7:29.0,,,68-69,,T. Harris misses 2-pt shot from 19 ft
7:28.0,Defensive rebound by A. Horford,,68-69,,
