time,Indiana,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. I. Mahinmi (J. Wall gains possession),,,,Jump ball: M. Gortat vs. I. Mahinmi (J. Wall gains possession)
11:46.0,,,0-0,,J. Wall misses 2-pt shot from 1 ft
11:44.0,,,0-0,,Offensive rebound by O. Porter
11:42.0,,,0-2,2,O. Porter makes 2-pt shot at rim
11:27.0,P. George makes 3-pt shot from 26 ft (assist by M. Ellis),3,3-2,,
11:02.0,,,3-2,,M. Morris misses 2-pt shot from 14 ft
11:02.0,,,3-2,,Offensive rebound by M. Gortat
11:02.0,,,3-2,,M. Gortat misses 2-pt shot at rim
11:01.0,Defensive rebound by I. Mahinmi,,3-2,,
10:40.0,P. George misses 2-pt shot from 18 ft,,3-2,,
10:38.0,,,3-2,,Defensive rebound by M. Gortat
10:30.0,,,3-4,2,O. Porter makes 2-pt shot from 1 ft (assist by M. Gortat)
10:11.0,P. George misses 2-pt shot from 2 ft (block by M. Gortat),,3-4,,
10:09.0,,,3-4,,Defensive rebound by M. Morris
10:09.0,,,3-4,,Turnover by M. Morris (traveling)
9:59.0,M. Ellis makes 2-pt shot from 5 ft,2,5-4,,
9:46.0,,,5-4,,Turnover by M. Gortat (lost ball; steal by I. Mahinmi)
9:35.0,G. Hill makes 3-pt shot from 23 ft,3,8-4,,
9:23.0,,,8-4,,Turnover by B. Beal (traveling)
9:11.0,M. Turner misses 2-pt shot from 20 ft,,8-4,,
9:10.0,,,8-4,,Defensive rebound by J. Wall
9:02.0,,,8-4,,O. Porter misses 3-pt shot from 23 ft
9:01.0,,,8-4,,Offensive rebound by M. Morris
8:58.0,,,8-4,,J. Wall misses 3-pt shot from 27 ft
8:57.0,,,8-4,,Offensive rebound by M. Morris
8:53.0,,,8-6,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
8:35.0,P. George makes 2-pt shot from 17 ft (assist by G. Hill),2,10-6,,
8:24.0,Personal foul by M. Ellis (drawn by B. Beal),,10-6,,
8:20.0,,,10-8,2,B. Beal makes 2-pt shot from 16 ft
8:07.0,I. Mahinmi misses 2-pt shot from 2 ft (block by M. Gortat),,10-8,,
8:06.0,Offensive rebound by G. Hill,,10-8,,
8:02.0,G. Hill misses 3-pt shot from 26 ft,,10-8,,
8:01.0,,,10-8,,Defensive rebound by B. Beal
7:54.0,,,10-10,2,M. Morris makes 2-pt shot at rim (assist by O. Porter)
7:39.0,M. Turner misses 2-pt shot from 10 ft,,10-10,,
7:38.0,,,10-10,,Defensive rebound by M. Gortat
7:32.0,,,10-13,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
7:15.0,P. George makes 2-pt shot from 17 ft,2,12-13,,
6:59.0,,,12-15,2,M. Gortat makes 2-pt shot from 8 ft (assist by J. Wall)
6:42.0,Turnover by I. Mahinmi (bad pass; steal by J. Wall),,12-15,,
6:39.0,,,12-17,2,J. Wall makes 2-pt shot from 1 ft
6:39.0,,,12-17,,Shooting foul by G. Hill (drawn by J. Wall)
6:39.0,,,12-17,,J. Wall misses free throw 1 of 1
6:38.0,Defensive rebound by M. Turner,,12-17,,
6:34.0,Indiana full timeout,,12-17,,
6:25.0,M. Ellis makes 2-pt shot from 19 ft,2,14-17,,
5:59.0,,,14-19,2,B. Beal makes 2-pt shot from 17 ft
5:44.0,M. Ellis makes 2-pt shot from 21 ft,2,16-19,,
5:28.0,,,16-19,,B. Beal misses 2-pt shot from 18 ft
5:27.0,Defensive rebound by G. Hill,,16-19,,
5:16.0,P. George makes 2-pt shot from 12 ft,2,18-19,,
5:05.0,Personal foul by P. George (drawn by O. Porter),,18-19,,
4:53.0,,,18-19,,B. Beal misses 2-pt shot from 9 ft
4:52.0,Defensive rebound by I. Mahinmi,,18-19,,
4:45.0,Shooting foul by O. Porter (drawn by P. George),,18-19,,
4:45.0,P. George makes free throw 1 of 2,1,19-19,,
4:45.0,,,19-19,,A. Anderson enters the game for O. Porter
4:45.0,P. George makes free throw 2 of 2,1,20-19,,
4:31.0,,,20-19,,M. Morris misses 2-pt shot from 15 ft
4:30.0,Defensive rebound by I. Mahinmi,,20-19,,
4:22.0,M. Turner misses 2-pt shot from 12 ft,,20-19,,
4:21.0,,,20-19,,Defensive rebound by J. Wall
4:15.0,R. Stuckey enters the game for G. Hill,,20-19,,
4:09.0,,,20-21,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:54.0,M. Ellis misses 3-pt shot from 26 ft,,20-21,,
3:53.0,,,20-21,,Defensive rebound by J. Wall
3:49.0,,,20-23,2,J. Wall makes 2-pt shot at rim
3:30.0,I. Mahinmi makes 2-pt shot at rim (assist by P. George),2,22-23,,
3:20.0,,,22-25,2,J. Wall makes 2-pt shot from 16 ft
2:58.0,P. George makes 3-pt shot from 25 ft (assist by I. Mahinmi),3,25-25,,
2:51.0,,,25-25,,Washington full timeout
2:51.0,,,25-25,,G. Temple enters the game for B. Beal
2:51.0,J. Hill enters the game for I. Mahinmi,,25-25,,
2:51.0,L. Allen enters the game for M. Turner,,25-25,,
2:42.0,,,25-28,3,A. Anderson makes 3-pt shot from 23 ft (assist by J. Wall)
2:27.0,P. George makes 2-pt shot at rim (assist by M. Ellis),2,27-28,,
2:10.0,,,27-30,2,M. Morris makes 2-pt shot from 15 ft (assist by J. Wall)
1:54.0,Shooting foul by G. Temple (drawn by R. Stuckey),,27-30,,
1:54.0,R. Stuckey makes free throw 1 of 2,1,28-30,,
1:54.0,,,28-30,,J. Dudley enters the game for M. Morris
1:54.0,R. Stuckey makes free throw 2 of 2,1,29-30,,
1:43.0,,,29-30,,J. Dudley misses 2-pt shot from 15 ft
1:42.0,Defensive rebound by P. George,,29-30,,
1:28.0,J. Hill makes 2-pt shot from 11 ft,2,31-30,,
1:15.0,,,31-32,2,J. Wall makes 2-pt shot from 2 ft
1:01.0,R. Stuckey misses 2-pt shot from 19 ft,,31-32,,
1:00.0,,,31-32,,Defensive rebound by J. Wall
0:48.0,,,31-32,,J. Wall misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by J. Hill,,31-32,,
0:37.0,M. Ellis misses 2-pt shot from 19 ft,,31-32,,
0:36.0,,,31-32,,Defensive rebound by J. Dudley
0:30.0,,,31-35,3,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall)
0:07.0,J. Hill misses 2-pt shot from 18 ft,,31-35,,
0:05.0,,,31-35,,Defensive rebound by A. Anderson
0:01.0,,,31-37,2,G. Temple makes 2-pt shot from 2 ft (assist by A. Anderson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by S. Hill (lost ball; steal by J. Dudley),,31-37,,
11:30.0,,,31-39,2,A. Anderson makes 2-pt shot from 11 ft
11:09.0,,,31-39,,Personal foul by R. Sessions (drawn by G. Hill)
10:56.0,G. Hill misses 3-pt shot from 26 ft,,31-39,,
10:56.0,,,31-39,,Defensive rebound by Team
10:56.0,Loose ball foul by L. Allen (drawn by J. Dudley),,31-39,,
