time,Toronto,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Valanciunas (L. Scola gains possession),,,,Jump ball: A. Bogut vs. J. Valanciunas (L. Scola gains possession)
11:43.0,K. Lowry misses 3-pt shot from 26 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by H. Barnes
11:25.0,,,0-0,,K. Thompson misses 2-pt shot from 3 ft
11:24.0,Defensive rebound by Team,,0-0,,
11:11.0,D. DeRozan misses 2-pt shot from 16 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by D. Green
11:03.0,,,0-0,,S. Curry misses 3-pt shot from 23 ft
11:02.0,Defensive rebound by D. DeRozan,,0-0,,
10:52.0,Shooting foul by S. Curry (drawn by K. Lowry),,0-0,,
10:52.0,K. Lowry makes free throw 1 of 2,1,1-0,,
10:52.0,K. Lowry makes free throw 2 of 2,1,2-0,,
10:33.0,,,2-3,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Green)
10:09.0,L. Scola makes 2-pt shot from 11 ft,2,4-3,,
9:51.0,,,4-3,,S. Curry misses 2-pt shot from 4 ft
9:50.0,Defensive rebound by J. Valanciunas,,4-3,,
9:49.0,Turnover by J. Valanciunas (bad pass; steal by A. Bogut),,4-3,,
9:43.0,,,4-5,2,K. Thompson makes 2-pt shot from 12 ft (assist by S. Curry)
9:17.0,D. DeRozan misses 2-pt shot from 19 ft,,4-5,,
9:17.0,,,4-5,,Defensive rebound by A. Bogut
9:09.0,,,4-7,2,K. Thompson makes 2-pt shot at rim (assist by D. Green)
8:51.0,D. Carroll misses 2-pt shot from 3 ft,,4-7,,
8:50.0,,,4-7,,Defensive rebound by A. Bogut
8:47.0,,,4-9,2,D. Green makes 2-pt shot from 2 ft (assist by A. Bogut)
8:31.0,,,4-9,,Personal foul by A. Bogut (drawn by J. Valanciunas)
8:22.0,Shooting foul by A. Bogut (drawn by D. DeRozan),,4-9,,
8:22.0,D. DeRozan makes free throw 1 of 2,1,5-9,,
8:22.0,,,5-9,,F. Ezeli enters the game for A. Bogut
8:22.0,D. DeRozan makes free throw 2 of 2,1,6-9,,
8:07.0,,,6-9,,K. Thompson misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by D. DeRozan,,6-9,,
8:00.0,K. Lowry misses 3-pt shot from 24 ft,,6-9,,
8:00.0,,,6-9,,Defensive rebound by D. Green
