time,Utah,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,G. Hayward misses 3-pt shot from 24 ft,,0-0,,
12:00.0,Jump ball: D. Cousins vs. D. Favors (R. Neto gains possession),,,,Jump ball: D. Cousins vs. D. Favors (R. Neto gains possession)
11:42.0,,,0-0,,Defensive rebound by R. Rondo
11:33.0,,,0-0,,Turnover by D. Cousins (bad pass)
11:13.0,D. Favors misses 2-pt shot from 17 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by O. Casspi
11:02.0,,,0-0,,R. Gay misses 3-pt shot from 23 ft
11:01.0,Defensive rebound by D. Favors,,0-0,,
10:53.0,R. Neto makes 2-pt shot at rim,2,2-0,,
10:28.0,,,2-3,3,B. McLemore makes 3-pt shot from 24 ft (assist by R. Gay)
10:03.0,Turnover by R. Neto (bad pass; steal by B. McLemore),,2-3,,
9:56.0,,,2-5,2,O. Casspi makes 2-pt shot from 2 ft (assist by B. McLemore)
9:41.0,R. Hood misses 2-pt shot from 21 ft,,2-5,,
9:40.0,,,2-5,,Defensive rebound by R. Rondo
9:39.0,,,2-7,2,R. Gay makes 2-pt shot from 1 ft (assist by R. Rondo)
9:39.0,,,2-7,,Shooting foul by R. Neto (drawn by R. Gay)
9:39.0,,,2-8,1,R. Gay makes free throw 1 of 1
9:21.0,Turnover by R. Neto (lost ball),,2-8,,
9:10.0,,,2-10,2,D. Cousins makes 2-pt shot from 18 ft (assist by O. Casspi)
9:06.0,Turnover by D. Favors (bad pass; steal by D. Cousins),,2-10,,
9:05.0,,,2-12,2,D. Cousins makes 2-pt shot from 2 ft
9:05.0,Utah full timeout,,2-12,,
8:47.0,R. Hood misses 2-pt shot from 16 ft,,2-12,,
8:47.0,,,2-12,,Defensive rebound by R. Rondo
8:42.0,,,2-12,,Turnover by D. Cousins (lost ball)
8:23.0,T. Lyles makes 2-pt shot from 15 ft (assist by R. Hood),2,4-12,,
8:05.0,,,4-14,2,B. McLemore makes 2-pt shot from 4 ft
7:48.0,T. Lyles makes 2-pt shot from 14 ft (assist by D. Favors),2,6-14,,
7:34.0,,,6-14,,Turnover by R. Rondo (traveling)
7:20.0,D. Favors misses 2-pt shot from 13 ft,,6-14,,
7:19.0,,,6-14,,Defensive rebound by O. Casspi
7:12.0,,,6-14,,Shooting foul by D. Favors (drawn by D. Cousins)
7:12.0,,,6-14,,D. Cousins misses free throw 1 of 2
7:12.0,,,6-14,,Offensive rebound by Team
7:12.0,,,6-14,,D. Cousins misses free throw 2 of 2
7:11.0,Defensive rebound by D. Favors,,6-14,,
6:58.0,Turnover by G. Hayward (bad pass; steal by B. McLemore),,6-14,,
6:51.0,,,6-14,,O. Casspi misses 2-pt shot from 9 ft
6:50.0,Defensive rebound by G. Hayward,,6-14,,
6:44.0,G. Hayward makes 2-pt shot from 1 ft (assist by R. Neto),2,8-14,,
6:22.0,,,8-16,2,O. Casspi makes 2-pt shot from 3 ft
6:22.0,,,8-16,,Shooting foul by T. Lyles (drawn by O. Casspi)
6:22.0,T. Burke enters the game for T. Lyles,,8-16,,
6:22.0,T. Booker enters the game for R. Neto,,8-16,,
6:22.0,,,8-17,1,O. Casspi makes free throw 1 of 1
6:06.0,G. Hayward misses 2-pt shot from 7 ft,,8-17,,
6:05.0,,,8-17,,Defensive rebound by D. Cousins
5:58.0,,,8-19,2,R. Gay makes 2-pt shot from 2 ft (assist by D. Cousins)
5:43.0,T. Burke misses 2-pt shot from 7 ft,,8-19,,
5:43.0,Offensive rebound by T. Booker,,8-19,,
5:40.0,T. Booker misses 2-pt shot from 14 ft,,8-19,,
5:38.0,Offensive rebound by D. Favors,,8-19,,
5:28.0,Shooting foul by D. Cousins (drawn by G. Hayward),,8-19,,
5:28.0,G. Hayward makes free throw 1 of 2,1,9-19,,
5:28.0,A. Burks enters the game for R. Hood,,9-19,,
5:28.0,G. Hayward makes free throw 2 of 2,1,10-19,,
5:14.0,,,10-21,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
4:47.0,T. Booker misses 2-pt shot from 1 ft,,10-21,,
4:45.0,Offensive rebound by T. Booker,,10-21,,
4:45.0,T. Booker makes 2-pt shot from 2 ft,2,12-21,,
4:30.0,,,12-24,3,R. Rondo makes 3-pt shot from 24 ft (assist by B. McLemore)
4:12.0,Turnover by D. Favors (bad pass; steal by R. Rondo),,12-24,,
4:12.0,Violation by A. Burks (kicked ball),,12-24,,
4:12.0,,,12-24,,D. Collison enters the game for O. Casspi
3:53.0,,,12-24,,D. Cousins misses 3-pt shot from 26 ft
3:52.0,Defensive rebound by A. Burks,,12-24,,
3:42.0,Shooting foul by R. Gay (drawn by A. Burks),,12-24,,
3:42.0,A. Burks makes free throw 1 of 2,1,13-24,,
3:42.0,A. Burks makes free throw 2 of 2,1,14-24,,
3:21.0,,,14-24,,R. Rondo misses 3-pt shot from 25 ft
3:20.0,,,14-24,,Offensive rebound by B. McLemore
3:19.0,,,14-26,2,B. McLemore makes 2-pt shot from 1 ft
3:00.0,A. Burks misses 2-pt shot from 10 ft,,14-26,,
2:59.0,Offensive rebound by T. Booker,,14-26,,
2:59.0,T. Booker misses 2-pt shot from 1 ft,,14-26,,
2:59.0,,,14-26,,Defensive rebound by Team
2:59.0,,,14-26,,Sacramento full timeout
2:59.0,,,14-26,,M. Belinelli enters the game for B. McLemore
2:47.0,,,14-28,2,R. Gay makes 2-pt shot from 5 ft
2:30.0,T. Burke misses 2-pt shot from 20 ft,,14-28,,
2:27.0,,,14-28,,Defensive rebound by R. Gay
2:07.0,,,14-28,,D. Cousins misses 2-pt shot from 18 ft
2:07.0,Defensive rebound by G. Hayward,,14-28,,
1:55.0,D. Favors misses 2-pt shot from 7 ft,,14-28,,
1:55.0,,,14-28,,Defensive rebound by M. Belinelli
1:42.0,,,14-28,,D. Collison misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by G. Hayward,,14-28,,
1:25.0,T. Burke misses 3-pt shot from 25 ft,,14-28,,
1:25.0,,,14-28,,Defensive rebound by D. Cousins
1:21.0,,,14-30,2,R. Gay makes 2-pt shot from 1 ft (assist by D. Cousins)
