time,Milwaukee,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. G. Monroe (G. Antetokounmpo gains possession),,,,Jump ball: A. Horford vs. G. Monroe (G. Antetokounmpo gains possession)
11:41.0,G. Monroe misses 2-pt shot from 18 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by P. Millsap
11:24.0,,,0-2,2,P. Millsap makes 2-pt shot from 16 ft
11:09.0,J. Parker makes 2-pt shot from 20 ft,2,2-2,,
10:57.0,,,2-4,2,P. Millsap makes 2-pt shot from 13 ft
10:42.0,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo),2,4-4,,
10:27.0,,,4-4,,J. Teague misses 3-pt shot from 23 ft
10:25.0,,,4-4,,Offensive rebound by P. Millsap
10:18.0,,,4-4,,P. Millsap misses 2-pt shot at rim
10:17.0,Defensive rebound by G. Monroe,,4-4,,
10:10.0,J. Parker makes 2-pt shot from 9 ft (assist by G. Antetokounmpo),2,6-4,,
9:54.0,,,6-6,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore)
9:40.0,J. Parker makes 2-pt shot from 19 ft (assist by J. Bayless),2,8-6,,
9:27.0,,,8-8,2,K. Korver makes 2-pt shot from 21 ft (assist by J. Teague)
9:14.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Horford),,8-8,,
9:08.0,,,8-10,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
8:44.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,8-10,,
8:43.0,,,8-10,,Defensive rebound by K. Bazemore
8:38.0,,,8-12,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague)
8:21.0,J. Parker misses 2-pt shot from 20 ft,,8-12,,
8:20.0,,,8-12,,Defensive rebound by J. Teague
8:11.0,,,8-12,,P. Millsap misses 2-pt shot from 12 ft
8:08.0,Defensive rebound by G. Monroe,,8-12,,
7:57.0,K. Middleton misses 2-pt shot from 20 ft,,8-12,,
7:55.0,Offensive rebound by J. Parker,,8-12,,
7:55.0,J. Parker makes 2-pt shot at rim,2,10-12,,
7:43.0,,,10-12,,J. Teague misses 2-pt shot from 17 ft (block by J. Bayless)
7:40.0,Defensive rebound by J. Bayless,,10-12,,
7:31.0,K. Middleton misses 2-pt shot from 8 ft,,10-12,,
7:31.0,,,10-12,,Defensive rebound by Team
