time,Cleveland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Thompson (J. Teague gains possession),,,,Jump ball: A. Horford vs. T. Thompson (J. Teague gains possession)
11:45.0,,,0-2,2,J. Teague makes 2-pt shot from 1 ft (assist by P. Millsap)
11:32.0,,,0-2,,Violation by T. Sefolosha (kicked ball)
11:24.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,3-2,,
11:11.0,,,3-4,2,A. Horford makes 2-pt shot from 2 ft
10:54.0,K. Love misses 2-pt shot from 19 ft,,3-4,,
10:53.0,,,3-4,,Defensive rebound by T. Sefolosha
10:41.0,,,3-6,2,A. Horford makes 2-pt shot from 10 ft
10:29.0,Turnover by T. Thompson (lost ball; steal by K. Bazemore),,3-6,,
10:23.0,,,3-8,2,T. Sefolosha makes 2-pt shot at rim (assist by A. Horford)
10:23.0,Cleveland full timeout,,3-8,,
10:09.0,L. James misses 3-pt shot from 24 ft,,3-8,,
10:08.0,Offensive rebound by Team,,3-8,,
10:08.0,,,3-8,,Loose ball foul by A. Horford
10:02.0,Turnover by K. Irving (lost ball; steal by P. Millsap),,3-8,,
9:53.0,,,3-8,,J. Teague misses 3-pt shot from 23 ft
9:52.0,Defensive rebound by K. Love,,3-8,,
9:40.0,,,3-8,,Personal foul by J. Teague
9:33.0,K. Love makes 3-pt shot from 25 ft (assist by K. Irving),3,6-8,,
9:21.0,,,6-8,,P. Millsap misses 2-pt shot from 9 ft
9:19.0,Defensive rebound by K. Love,,6-8,,
9:13.0,L. James misses 2-pt shot from 1 ft,,6-8,,
9:12.0,,,6-8,,Defensive rebound by Team
9:00.0,,,6-8,,A. Horford misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by J. Smith,,6-8,,
8:50.0,Shooting foul by A. Horford (drawn by T. Thompson),,6-8,,
8:50.0,T. Thompson misses free throw 1 of 2,,6-8,,
8:50.0,Offensive rebound by Team,,6-8,,
8:50.0,,,6-8,,K. Humphries enters the game for A. Horford
