time,Chicago,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. P. Gasol (T. Allen gains possession),,,,Jump ball: C. Andersen vs. P. Gasol (T. Allen gains possession)
11:42.0,,,0-0,,Z. Randolph misses 2-pt shot from 17 ft
11:42.0,Defensive rebound by P. Gasol,,0-0,,
11:26.0,J. Butler misses 2-pt shot from 21 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by M. Barnes
11:08.0,,,0-0,,Z. Randolph misses 2-pt shot from 7 ft
11:07.0,Defensive rebound by Team,,0-0,,
10:45.0,D. Rose misses 2-pt shot from 15 ft,,0-0,,
10:44.0,,,0-0,,Defensive rebound by Z. Randolph
10:36.0,,,0-2,2,J. Farmar makes 2-pt shot from 1 ft
10:17.0,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose),2,2-2,,
9:59.0,,,2-2,,T. Allen misses 2-pt shot from 2 ft (block by M. Dunleavy)
9:56.0,,,2-2,,Offensive rebound by T. Allen
9:56.0,,,2-2,,T. Allen misses 2-pt shot from 2 ft
9:55.0,Defensive rebound by D. Rose,,2-2,,
9:52.0,J. Butler misses 2-pt shot from 1 ft,,2-2,,
9:47.0,Offensive rebound by B. Portis,,2-2,,
9:47.0,B. Portis misses 2-pt shot at rim,,2-2,,
9:46.0,,,2-2,,Defensive rebound by T. Allen
9:43.0,,,2-2,,M. Barnes misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by J. Butler,,2-2,,
9:30.0,B. Portis makes 2-pt shot from 7 ft,2,4-2,,
9:10.0,,,4-4,2,M. Barnes makes 2-pt shot from 19 ft (assist by C. Andersen)
8:58.0,B. Portis misses 2-pt shot from 18 ft,,4-4,,
8:57.0,,,4-4,,Defensive rebound by M. Barnes
8:47.0,,,4-4,,Z. Randolph misses 2-pt shot from 5 ft (block by B. Portis)
8:47.0,,,4-4,,Offensive rebound by Team
8:37.0,,,4-4,,Shooting foul by P. Gasol (drawn by M. Barnes)
8:37.0,,,4-5,1,M. Barnes makes free throw 1 of 2
8:37.0,,,4-6,1,M. Barnes makes free throw 2 of 2
8:22.0,P. Gasol misses 2-pt shot from 16 ft,,4-6,,
8:21.0,,,4-6,,Defensive rebound by T. Allen
8:10.0,,,4-6,,Turnover by Z. Randolph (lost ball; steal by J. Butler)
8:02.0,D. Rose misses 2-pt shot from 1 ft,,4-6,,
8:00.0,,,4-6,,Defensive rebound by Z. Randolph
7:50.0,,,4-6,,Z. Randolph misses 2-pt shot from 18 ft
7:49.0,Defensive rebound by P. Gasol,,4-6,,
7:31.0,Turnover by D. Rose (lost ball; steal by Z. Randolph),,4-6,,
7:10.0,,,4-6,,Z. Randolph misses 2-pt shot from 6 ft (block by B. Portis)
7:07.0,,,4-6,,Offensive rebound by Z. Randolph
7:07.0,,,4-8,2,Z. Randolph makes 2-pt shot from 6 ft
6:48.0,M. Dunleavy misses 2-pt shot from 19 ft,,4-8,,
6:47.0,Offensive rebound by B. Portis,,4-8,,
6:27.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by B. Portis),3,7-8,,
6:11.0,,,7-8,,Turnover by J. Farmar (lost ball)
5:59.0,Shooting foul by C. Andersen (drawn by D. Rose),,7-8,,
5:59.0,,,7-8,,Memphis full timeout
5:59.0,,,7-8,,V. Carter enters the game for M. Barnes
5:59.0,D. Rose makes free throw 1 of 2,1,8-8,,
5:59.0,D. Rose makes free throw 2 of 2,1,9-8,,
5:41.0,,,9-8,,T. Allen misses 2-pt shot from 15 ft
5:40.0,Defensive rebound by M. Dunleavy,,9-8,,
5:33.0,J. Butler misses 3-pt shot from 24 ft,,9-8,,
5:31.0,Offensive rebound by D. Rose,,9-8,,
5:27.0,Turnover by D. Rose (bad pass),,9-8,,
5:17.0,,,9-10,2,T. Allen makes 2-pt shot from 21 ft (assist by V. Carter)
5:04.0,P. Gasol makes 2-pt shot from 15 ft (assist by D. Rose),2,11-10,,
4:40.0,,,11-10,,Shooting foul by B. Portis (drawn by Z. Randolph)
4:40.0,,,11-11,1,Z. Randolph makes free throw 1 of 2
4:40.0,A. Brooks enters the game for D. Rose,,11-11,,
4:40.0,,,11-11,,J. Green enters the game for C. Andersen
4:40.0,,,11-12,1,Z. Randolph makes free throw 2 of 2
4:21.0,B. Portis makes 2-pt shot from 8 ft,2,13-12,,
3:59.0,,,13-12,,T. Allen misses 2-pt shot from 2 ft (block by M. Dunleavy)
3:59.0,N. Mirotic enters the game for B. Portis,,13-12,,
3:59.0,,,13-12,,X. Munford enters the game for J. Farmar
3:59.0,Jump ball: T. Allen vs. M. Dunleavy (J. Green gains possession),,,,Jump ball: T. Allen vs. M. Dunleavy (J. Green gains possession)
3:59.0,,,13-12,,Offensive rebound by Team
3:54.0,,,13-12,,X. Munford misses 2-pt shot from 9 ft
3:54.0,Defensive rebound by Team,,13-12,,
3:54.0,,,13-12,,Loose ball foul by Z. Randolph
3:43.0,A. Brooks misses 3-pt shot from 27 ft,,13-12,,
3:42.0,,,13-12,,Defensive rebound by T. Allen
3:35.0,,,13-12,,V. Carter misses 3-pt shot from 27 ft
3:32.0,,,13-12,,Offensive rebound by Z. Randolph
3:25.0,,,13-12,,Z. Randolph misses 2-pt shot from 4 ft (block by P. Gasol)
3:23.0,,,13-12,,Offensive rebound by V. Carter
3:21.0,,,13-12,,V. Carter misses 2-pt shot from 1 ft
3:21.0,,,13-12,,Offensive rebound by V. Carter
3:21.0,,,13-12,,V. Carter misses 2-pt shot from 1 ft
3:20.0,,,13-12,,Offensive rebound by Z. Randolph
3:18.0,,,13-14,2,Z. Randolph makes 2-pt shot from 2 ft
3:05.0,M. Dunleavy misses 3-pt shot from 24 ft,,13-14,,
3:04.0,,,13-14,,Defensive rebound by T. Allen
3:01.0,Personal take foul by N. Mirotic,,13-14,,
3:01.0,D. McDermott enters the game for M. Dunleavy,,13-14,,
2:52.0,,,13-14,,J. Green misses 2-pt shot from 12 ft
2:51.0,Defensive rebound by N. Mirotic,,13-14,,
2:49.0,Turnover by N. Mirotic (lost ball; steal by T. Allen),,13-14,,
2:47.0,,,13-16,2,T. Allen makes 2-pt shot from 1 ft
2:47.0,Chicago full timeout,,13-16,,
2:47.0,,,13-16,,M. Barnes enters the game for T. Allen
2:28.0,N. Mirotic makes 3-pt shot from 26 ft (assist by P. Gasol),3,16-16,,
2:06.0,,,16-18,2,J. Green makes 2-pt shot at rim (assist by Z. Randolph)
1:50.0,J. Butler misses 3-pt shot from 23 ft,,16-18,,
1:49.0,,,16-18,,Defensive rebound by J. Green
1:36.0,,,16-20,2,Z. Randolph makes 2-pt shot from 4 ft
1:26.0,P. Gasol makes 2-pt shot from 15 ft (assist by A. Brooks),2,18-20,,
1:09.0,,,18-22,2,Z. Randolph makes 2-pt shot from 1 ft
0:46.0,J. Butler misses 3-pt shot from 25 ft,,18-22,,
0:44.0,,,18-22,,Defensive rebound by V. Carter
0:44.0,J. Holiday enters the game for J. Butler,,18-22,,
0:44.0,C. Felicio enters the game for P. Gasol,,18-22,,
0:34.0,,,18-22,,X. Munford misses 2-pt shot from 7 ft
0:32.0,,,18-22,,Offensive rebound by J. Green
0:32.0,,,18-22,,J. Green misses 2-pt shot at rim
0:31.0,Defensive rebound by J. Holiday,,18-22,,
0:29.0,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Holiday),3,21-22,,
0:13.0,Def 3 sec tech foul by D. McDermott,,21-22,,
0:13.0,,,21-23,1,V. Carter makes technical free throw
0:13.0,,,21-23,,J. Farmar enters the game for J. Green
0:07.0,,,21-23,,Turnover by X. Munford (lost ball)
0:01.0,N. Mirotic misses 3-pt shot from 26 ft,,21-23,,
0:00.0,Offensive rebound by Team,,21-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Holiday misses 2-pt shot from 19 ft,,21-23,,
11:44.0,,,21-23,,Defensive rebound by X. Munford
11:27.0,,,21-25,2,J. Martin makes 2-pt shot from 1 ft (assist by V. Carter)
11:27.0,,,21-25,,Shooting foul by D. McDermott (drawn by J. Martin)
11:27.0,,,21-26,1,J. Martin makes free throw 1 of 1
11:18.0,Turnover by A. Brooks (lost ball; steal by J. Green),,21-26,,
11:10.0,,,21-28,2,X. Munford makes 2-pt shot from 16 ft (assist by V. Carter)
10:45.0,D. Rose enters the game for A. Brooks,,21-28,,
10:44.0,Turnover by D. Rose (lost ball; steal by V. Carter),,21-28,,
