time,Orlando,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Vucevic (A. Afflalo gains possession),,,,Jump ball: R. Lopez vs. N. Vucevic (A. Afflalo gains possession)
11:34.0,,,0-0,,A. Afflalo misses 2-pt shot from 2 ft
11:33.0,,,0-0,,Offensive rebound by R. Lopez
11:33.0,,,0-0,,R. Lopez misses 2-pt shot from 1 ft
11:32.0,Defensive rebound by N. Vucevic,,0-0,,
11:24.0,Shooting foul by K. Porzingis (drawn by A. Gordon),,0-0,,
11:24.0,A. Gordon makes free throw 1 of 2,1,1-0,,
11:24.0,A. Gordon misses free throw 2 of 2,,1-0,,
11:23.0,,,1-0,,Defensive rebound by A. Afflalo
11:10.0,Personal foul by V. Oladipo (drawn by A. Afflalo),,1-0,,
11:04.0,,,1-0,,K. Porzingis misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by E. Payton,,1-0,,
10:52.0,N. Vucevic makes 2-pt shot from 9 ft (assist by E. Payton),2,3-0,,
10:40.0,,,3-0,,C. Anthony misses 2-pt shot from 13 ft
10:39.0,Defensive rebound by N. Vucevic,,3-0,,
10:15.0,E. Payton makes 2-pt shot from 11 ft (assist by E. Fournier),2,5-0,,
10:04.0,,,5-2,2,J. Calderon makes 2-pt shot from 18 ft
9:51.0,A. Gordon misses 2-pt shot from 2 ft,,5-2,,
9:51.0,Offensive rebound by E. Fournier,,5-2,,
9:49.0,A. Gordon makes 2-pt shot at rim (assist by E. Fournier),2,7-2,,
9:37.0,,,7-4,2,J. Calderon makes 2-pt shot from 15 ft
9:26.0,E. Payton makes 2-pt shot from 2 ft,2,9-4,,
9:06.0,,,9-4,,A. Afflalo misses 2-pt shot from 4 ft
9:05.0,Defensive rebound by A. Gordon,,9-4,,
8:55.0,V. Oladipo misses 3-pt shot from 25 ft,,9-4,,
8:54.0,,,9-4,,Defensive rebound by K. Porzingis
8:46.0,,,9-6,2,J. Calderon makes 2-pt shot from 16 ft
8:34.0,Turnover by E. Payton (bad pass),,9-6,,
8:21.0,,,9-6,,C. Anthony misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by E. Payton,,9-6,,
8:06.0,E. Payton misses 2-pt shot from 1 ft,,9-6,,
8:05.0,,,9-6,,Defensive rebound by R. Lopez
7:56.0,,,9-6,,Shooting foul by E. Fournier (drawn by K. Porzingis)
7:56.0,,,9-7,1,K. Porzingis makes free throw 1 of 2
7:56.0,,,9-8,1,K. Porzingis makes free throw 2 of 2
7:41.0,V. Oladipo misses 3-pt shot from 23 ft,,9-8,,
7:40.0,Offensive rebound by N. Vucevic,,9-8,,
7:37.0,N. Vucevic misses 2-pt shot from 9 ft,,9-8,,
7:35.0,,,9-8,,Defensive rebound by A. Afflalo
7:23.0,,,9-11,3,A. Afflalo makes 3-pt shot from 24 ft (assist by C. Anthony)
7:08.0,Turnover by N. Vucevic (3 sec),,9-11,,
6:54.0,,,9-13,2,J. Calderon makes 2-pt shot from 19 ft (assist by K. Porzingis)
6:39.0,E. Fournier misses 2-pt shot from 1 ft,,9-13,,
6:38.0,Offensive rebound by A. Gordon,,9-13,,
6:38.0,A. Gordon makes 2-pt shot at rim,2,11-13,,
6:19.0,,,11-13,,C. Anthony misses 2-pt shot from 2 ft
6:18.0,,,11-13,,Offensive rebound by R. Lopez
6:18.0,,,11-15,2,R. Lopez makes 2-pt shot from 2 ft
6:03.0,N. Vucevic makes 2-pt shot from 7 ft (assist by V. Oladipo),2,13-15,,
5:48.0,,,13-17,2,J. Calderon makes 2-pt shot from 5 ft
5:33.0,V. Oladipo makes 2-pt shot from 22 ft,2,15-17,,
5:17.0,,,15-19,2,K. Porzingis makes 2-pt shot from 1 ft (assist by C. Anthony)
5:05.0,E. Fournier misses 3-pt shot from 26 ft,,15-19,,
5:04.0,,,15-19,,Defensive rebound by R. Lopez
4:58.0,,,15-19,,R. Lopez misses 2-pt shot from 19 ft
4:57.0,Defensive rebound by N. Vucevic,,15-19,,
4:54.0,Orlando full timeout,,15-19,,
4:54.0,,,15-19,,K. O'Quinn enters the game for K. Porzingis
4:54.0,,,15-19,,L. Thomas enters the game for R. Lopez
4:39.0,N. Vucevic makes 2-pt shot from 12 ft,2,17-19,,
4:19.0,,,17-21,2,A. Afflalo makes 2-pt shot from 1 ft
4:11.0,N. Vucevic misses 2-pt shot from 20 ft,,17-21,,
4:11.0,,,17-21,,Defensive rebound by A. Afflalo
4:00.0,,,17-23,2,C. Anthony makes 2-pt shot from 2 ft
4:00.0,,,17-23,,Violation by Team (jump ball)
3:39.0,E. Fournier misses 3-pt shot from 25 ft,,17-23,,
3:39.0,,,17-23,,Defensive rebound by A. Afflalo
3:29.0,,,17-23,,A. Afflalo misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by E. Payton,,17-23,,
3:20.0,E. Payton makes 2-pt shot at rim,2,19-23,,
3:13.0,,,19-23,,New York full timeout
3:13.0,C. Watson enters the game for N. Vucevic,,19-23,,
3:13.0,M. Hezonja enters the game for V. Oladipo,,19-23,,
3:13.0,J. Smith enters the game for E. Payton,,19-23,,
3:13.0,,,19-23,,L. Galloway enters the game for J. Calderon
2:59.0,Personal foul by A. Gordon (drawn by C. Anthony),,19-23,,
2:44.0,,,19-23,,C. Anthony misses 2-pt shot from 18 ft
2:43.0,,,19-23,,Offensive rebound by K. O'Quinn
2:43.0,Personal foul by J. Smith (drawn by K. O'Quinn),,19-23,,
2:43.0,B. Jennings enters the game for E. Fournier,,19-23,,
2:34.0,,,19-23,,Turnover by L. Thomas (bad pass; steal by M. Hezonja)
2:32.0,Turnover by M. Hezonja (bad pass; steal by A. Afflalo),,19-23,,
2:19.0,,,19-23,,Shooting foul by J. Smith (drawn by C. Anthony)
2:19.0,,,19-24,1,C. Anthony makes free throw 1 of 2
2:19.0,,,19-24,,J. Grant enters the game for A. Afflalo
2:19.0,,,19-25,1,C. Anthony makes free throw 2 of 2
